R U L B R'
L' R U L2 B R'
L2 R U L' B R'
L' R U B L2 R'
L' R U B R' L2
L2 R U B L' R'
L2 R U B R' L'
R L' U L2 B R'
R L' U B L2 R'
R L' U B R' L2
R L2 U L' B R'
R L2 U B L' R'
R L2 U B R' L'
R U L B R' D
R U L B R' D'
R U L B R' D2
R U L B D R'
R U L B D' R'
R U L B D2 R'
R U L' B L2 R'
R U L' B R' L2
R U L2 B L' R'
R U L2 B R' L'
R F U L B R'
R F' U L B R'
R F2 U L B R'
L' R U L' B L' R'
L' R U L' B R' L'
L' R U L2 B R' D
L' R U L2 B R' D'
L' R U L2 B R' D2
L' R U L2 B D R'
L' R U L2 B D' R'
L' R U L2 B D2 R'
L2 R U L B L2 R'
L2 R U L B R' L2
L2 R U L' B R' D
L2 R U L' B R' D'
L2 R U L' B R' D2
L2 R U L' B D R'
L2 R U L' B D' R'
L2 R U L' B D2 R'
L' R U B L2 R' D
L' R U B L2 R' D'
L' R U B L2 R' D2
L' R U B L2 D R'
L' R U B L2 D' R'
L' R U B L2 D2 R'
L' R U B R' L2 D
L' R U B R' L2 D'
L' R U B R' L2 D2
F2 L R B R' D F2
F2 L R B D R' F2
F2 L R B D F2 R'
L2 R U B L' R' D
L2 R U B L' R' D'
L2 R U B L' R' D2
L2 R U B L' D R'
L2 R U B L' D' R'
L2 R U B L' D2 R'
L2 R U B R' L' D
L2 R U B R' L' D'
L2 R U B R' L' D2
L2 R U B R' D L'
L2 R U B R' D' L'
L2 R U B R' D2 L'
L2 R U B D L' R'
L2 R U B D R' L'
L2 R U B D' L' R'
L2 R U B D' R' L'
L2 R U B D2 L' R'
L2 R U B D2 R' L'
R' L U' R2 U B R'
R2 L U' R' U B R'
L' R U' B L2 R' F
L' R U' B L2 F R'
L' R U' B R' L2 F
U L U' R U B R'
L' R F U L2 B R'
L' R F U B L2 R'
L' R F U B R' L2
L' R F' U L2 B R'
L' R F' U B L2 R'
L' R F' U B R' L2
L' R F2 U L2 B R'
L' R F2 U B L2 R'
L' R F2 U B R' L2
L R B R' U' R U
