B R2 F2 D L2
B' U' R2 F2 B2
B' U' R2 B2 F2
B' U' F2 R2 B2
B' U' F2 B2 R2
B' U' B2 R2 F2
B' U' B2 F2 R2
F2 B R2 D L2
B F2 R2 D L2
B L R2 F2 D L2
B' L U' R2 F2 B2
B' L U' R2 B2 F2
B' L U' F2 R2 B2
B' L U' F2 B2 R2
B' L U' B2 R2 F2
B' L U' B2 F2 R2
B L F2 R2 D L2
B L' R2 F2 D L2
B' L' U' R2 F2 B2
B' L' U' R2 B2 F2
B' L' U' F2 R2 B2
B' L' U' F2 B2 R2
B' L' U' B2 R2 F2
B' L' U' B2 F2 R2
B L' F2 R2 D L2
B L2 R2 F2 D L2
B' L2 U' R2 F2 B2
B' L2 U' R2 B2 F2
B' L2 U' F2 R2 B2
B' L2 U' F2 B2 R2
B' L2 U' B2 R2 F2
B' L2 U' B2 F2 R2
B L2 F2 R2 D L2
B' R U' R F2 B2
B' R U' R B2 F2
L U F2 B L R2
L U F2 B R2 L
L U B L R2 F2
L U B L F2 R2
B' R U' B2 R F2
L U B R2 L F2
L U B R2 F2 L
L U B F2 L R2
L U B F2 R2 L
B' R' U' R' F2 B2
B' R' U' R' B2 F2
B' R' U' F2 R' B2
B R' F2 R' D L2
B R' F2 D L2 R'
B R' F2 D R' L2
B R2 L F2 D L2
B R2 L' F2 D L2
B R2 L2 F2 D L2
B R2 U B2 U' F2
B R2 D L2 D' F2
B R2 F D F L2
B R2 F' D L2 F'
B R2 F' D F' L2
B' R2 F2 B2 D L2
B R2 F2 L D L2
B R2 F2 L' D L2
B R2 F2 L2 D L2
B R2 F2 U B2 U'
B R2 F2 D L2 D
B R2 F2 D L2 D'
B R2 F2 D L2 D2
B' R2 B2 F2 D L2
F2 U B' U' R2 B2
F2 U B' U' B2 R2
B U B2 U' R2 F2
B U B2 U' F2 R2
B' U' R B2 R F2
B' U' R' F2 R' B2
B' U' R2 F2 B2 D
B' U' R2 F2 B2 D'
B' U' R2 F2 B2 D2
B' U' R2 B2 F2 D
B' U' R2 B2 F2 D'
B' U' R2 B2 F2 D2
B' U' F R2 F B2
B' U' F R2 B2 F
B' U' F B2 R2 F
B' U' F2 R B2 R
B' U' F2 R2 B2 D
B' U' F2 R2 B2 D'
B' U' F2 R2 B2 D2
B' U' F2 B' R2 B'
B' U' F2 B2 R2 D
