F' L U' D' L2
F' L U2 F2 U
F' L D' U' L2
F' L D2 B2 U'
F' D' L U' L
F' D2 L B2 U'
L2 B' L' F' U'
F' L U D R2 U2
F' L U' L D' L2
F' L U' L' D' L2
F' L U' L2 D' L2
F' L U' D' L2 D
F' L U' D' L2 D'
F' L U' D' L2 D2
F' L U2 F2 U D
F' L U2 F2 U D'
F' L U2 F2 U D2
F' L U2 F2 D U
F' L U2 F2 D' U
F' L U2 F2 D2 U
F' L D U R2 U2
F' L D' U' L2 D
F' L D' U' L2 D'
F' L D' U' L2 D2
F' L D' B U' L2
F' L D' B' U' L2
F' L D' B2 U' L2
F' L D2 B2 U' D
F' L D2 B2 U' D'
F' L D2 B2 U' D2
F' L D2 B2 D U'
F' L D2 B2 D' U'
F' L D2 B2 D2 U'
F L F2 U' D' L2
F L F2 U2 F2 U
F L F2 D' U' L2
F L F2 D2 B2 U'
F' L B U' D' L2
F' L B U2 F2 U
F' L B D' U' L2
F' L B D2 B2 U'
F' L B' U' D' L2
F' L B' U2 F2 U
F' L B' D' U' L2
F' L B' D2 B2 U'
F' L B2 U' D' L2
F' L B2 U2 F2 U
F' L B2 D' U' L2
F' L B2 D2 B2 U'
F' L2 U2 F2 R U
F' L2 U2 F2 R U
F' L2 D' L' U' L'
F' L2 D2 L' B2 U'
F' L2 D2 B2 L' U'
B L2 F' B' L U'
D' L2 B' L' F' U'
D2 L2 B' L' F' U'
D L2 B' L' F' U'
B L2 B' L F' U'
B L2 B' F' L U'
L' D F' U' F' L'
L D F' U R U2
L2 D B' L' F' U'
L D' F' B' U' L
L2 D' B' L' F' U'
L D' B' F' U' L
F U2 L F2 R U'
L2 D2 B' L' F' U'
F' U2 F2 U2 L U'
F' D L U R2 U2
F' D L U' D2 L2
F' D L D B2 U'
F' D L D2 U' L2
U2 F U2 L F2 U'
U2 F U2 F2 L U'
U2 F D2 B2 R' U
L' F' L' B' L' U'
D2 F' L U' D' L2
D2 F' L U2 F2 U
D2 F' L D' U' L2
D' F' L U' D' L2
D' F' L U2 F2 U
D2 F' L D2 B2 U'
D' F' L D' U' L2
D' F' L D2 B2 U'
D F' L U' D' L2
D F' L U2 F2 U
D F' L D' U' L2
L F' L B' L' U'
D F' L D2 B2 U'
F' D' L U' L D
F' D' L U' L D'
F' D' L U' L D2
F' D' L U' D L
F' D' L U' D' L
F' D' L U' D2 L
F' D' L D U' L
F' D' L D' U' L
F' D' L D2 U' L
D2 F' D' L U' L
D' F' D' L U' L
D2 F' D2 L B2 U'
D' F' D2 L B2 U'
D F' D' L U' L
L F' D' B' U' L
L2 F' D2 B' L U'
D F' D2 L B2 U'
F' D2 L U' D L2
F' D2 L D U' L2
F' D2 L B2 U' D
F' D2 L B2 U' D'
F' D2 L B2 U' D2
F' D2 L B2 D U'
F' D2 L B2 D' U'
F' D2 L B2 D2 U'
F' D2 L' B2 L2 U'
F' D2 L2 B2 L' U'
L F2 D F U' L'
L2 B L' F' B2 U'
L2 B L' F' B2 U'
L2 B L' B2 F' U'
F' D2 B2 U2 R' U
L2 B' L F' L2 U'
L2 B' L' D F' U'
L2 B' L' D' F' U'
L2 B' L' D2 F' U'
L2 B' L' F' U' D
L2 B' L' F' U' D'
L2 B' L' F' U' D2
L2 B' L' F' D U'
L2 B' L' F' D' U'
L2 B' L' F' D2 U'
L2 B' L2 F' L U'
L2 B' D L' F' U'
L2 B' D' L' F' U'
L2 B' D2 L' F' U'
B2 F' U2 R' F2 U
B2 F' U2 F2 R' U
L2 B2 L' F' B U'
L2 B2 L' B F' U'
B2 F' D2 B2 L U'
B2 F' D2 B2 L U'
F' B2 U2 R' F2 U
F' B2 U2 F2 R' U
F' B2 D2 B2 L U'
F' L R D' R' U' L2
F' L R D2 R' B2 U'
F' L R' U2 F2 L' U
F' L R' D' R U' L2
F' L R' D2 R B2 U'
F' L R' D2 B2 R U'
F' L U R U F2 U
F' L U R U2 D' L2
F' L U R D R2 U2
F' L U R D' U2 L2
F' L U R' U F2 U
F' L U R' U2 D' L2
F' L U R' D R2 U2
F' L U R' D' U2 L2
F' L U R2 U F2 U
F' L U R2 U2 D' L2
F' L U R2 D R2 U2
F' L U R2 D' U2 L2
F' L U D R2 U2 D
F' L U D R2 U2 D'
F' L U D R2 U2 D2
F' L U D R2 D U2
F' L U D R2 D' U2
F' L U D R2 D2 U2
F' L U D' R U2 L2
F' L U D' R' U2 L2
F' L U D' R2 U2 L2
F L U D' L2 U2 L2
F' L U' L U' F2 U
F' L U' L D' L2 D
F' L U' L D' L2 D'
F' L U' L D' L2 D2
F' L U' L' U' F2 U
F' L U' L' D' L2 D
F' L U' L' D' L2 D'
F' L U' L' D' L2 D2
F' L U' L2 U' F2 U
F' L U' L2 D' L2 D
F' L U' L2 D' L2 D'
F' L U' L2 D' L2 D2
F' L U' R D' L2 R'
F' L U' R D' R' L2
F' L U' R' D' L2 R
F' L U' R' D' R L2
F' L U' D L D2 L2
F' L U' D L' D2 L2
F' L U' D L2 D2 L2
F' L U' D' L D L
F' L U' D' L D' L
F' L U' D' L D2 L
F' L U' D' L' D L'
F' L U' D' L' D' L'
F' L U' D' L' D2 L'
F' L U' D' F L2 F'
F' L U' D' F2 L2 F2
F' L U' D' B' L2 B
F' L U' D' B2 L2 B2
F' L U' D2 L D L2
F' L U' D2 L' D L2
F' L U' D2 L2 D L2
F L U' D R2 D2 L2
F' L U' B D' B' L2
F' L U' B' D' L2 B
F' L U' B' D' B L2
F' L U2 L' F2 L U
F' L U2 L2 F2 L2 U
F' L U2 R F2 R' U
F' L U2 R2 F2 R2 U
F' L U2 D' F U L2
F' L U2 D' F' U L2
F' L U2 D' F2 U L2
F2 L U2 D F' U R
F' L U2 F D F U
F' L U2 F D' F U
F' L U2 F D2 F U
F' L U2 F' D F' U
F' L U2 F' D' F' U
F' L U2 F' D2 F' U
L R D2 R' F' B U'
L R D2 R' B F' U'
R L D2 R' F' B U'
R L D2 R' B F' U'
F' L D U R2 U2 D
F' L D U R2 U2 D'
F' L D U R2 U2 D2
F' L D U R2 D U2
F' L D U R2 D' U2
F' L D U R2 D2 U2
F' L D U' L D2 L2
F' L D U' L' D2 L2
F' L D U' L2 D2 L2
F2 L D U2 F' U R
D2 L D F' U R U2
D' L D F' U R U2
F L D U' R2 D2 L2
D L D F' U R U2
F' L D B U R2 U2
F' L D B U' D2 L2
F' L D B D B2 U'
F' L D B D2 U' L2
F' L D B' U R2 U2
F' L D B' U' D2 L2
F' L D B' D B2 U'
F' L D B' D2 U' L2
F' L D B2 U R2 U2
F' L D B2 U' D2 L2
F' L D B2 D B2 U'
F' L D B2 D2 U' L2
F' L D' U R U2 L2
F' L D' U R' U2 L2
F' L D' U R2 U2 L2
F' L D' U' L D L
F' L D' U' L D' L
F' L D' U' L D2 L
F' L D' U' L' D L'
F' L D' U' L' D' L'
F' L D' U' L' D2 L'
F' L D' U' F L2 F'
F' L D' U' F2 L2 F2
F' L D' U' B' L2 B
F' L D' U' B2 L2 B2
F' L D' U2 F U L2
F' L D' U2 F' U L2
F' L D' U2 F2 U L2
F L D' U L2 U2 L2
D' L D' F' B' U' L
D2 L D' F' B' U' L
D L D' F' B' U' L
F' L D' B U' L2 D
F' L D' B U' L2 D'
F' L D' B U' L2 D2
F' L D' B D' B2 U'
D' L D' B' F' U' L
D2 L D' B' F' U' L
F' L D' B' U' L2 D
F' L D' B' U' L2 D'
F' L D' B' U' L2 D2
F' L D' B' D' B2 U'
F' L D' B2 U' L2 D
F' L D' B2 U' L2 D'
F' L D' B2 U' L2 D2
F' L D' B2 D' B2 U'
D L D' B' F' U' L
F' L D2 L B2 L' U'
F' L D2 L2 B2 L2 U'
F' L D2 R' B2 R U'
F' L D2 R2 B2 R2 U'
F' L D2 U' L D L2
F' L D2 U' L' D L2
F' L D2 U' L2 D L2
F' L D2 B D B U'
F' L D2 B D' B U'
F' L D2 B D2 B U'
F' L D2 B' D B' U'
F' L D2 B' D' B' U'
F' L D2 B' D2 B' U'
D2 L F' L B' L' U'
D' L F' L B' L' U'
D L F' L B' L' U'
B L F' L B' L U'
D2 L F' D' B' U' L
D' L F' D' B' U' L
D L F' D' B' U' L
B' L F' B L B' U'
B2 L F' B2 L B' U'
B L F' B' L B' U'
D2 L F2 D F U' L'
F L F2 U D R2 U2
D' L F2 D F U' L'
F L F2 U' L D' L2
F L F2 U' L' D' L2
F L F2 U' L2 D' L2
F L F2 U' D' L2 D
F L F2 U' D' L2 D'
F L F2 U' D' L2 D2
F L F2 U2 F2 U D
F L F2 U2 F2 U D'
F L F2 U2 F2 U D2
F L F2 U2 F2 D U
F L F2 U2 F2 D' U
F L F2 U2 F2 D2 U
D L F2 D F U' L'
F L F2 D U R2 U2
F L F2 D' U' L2 D
F L F2 D' U' L2 D'
F L F2 D' U' L2 D2
F L F2 D' B U' L2
F L F2 D' B' U' L2
F L F2 D' B2 U' L2
F L F2 D2 B2 U' D
F L F2 D2 B2 U' D'
F L F2 D2 B2 U' D2
F L F2 D2 B2 D U'
F L F2 D2 B2 D' U'
F L F2 D2 B2 D2 U'
F L F2 B U' D' L2
F L F2 B U2 F2 U
F L F2 B D' U' L2
F L F2 B D2 B2 U'
F L F2 B' U' D' L2
F L F2 B' U2 F2 U
F L F2 B' D' U' L2
F L F2 B' D2 B2 U'
B' L B L F' B' U'
F L F2 B2 U' D' L2
F L F2 B2 U2 F2 U
B' L B L B' F' U'
F L F2 B2 D' U' L2
F L F2 B2 D2 B2 U'
F' L B U D R2 U2
F' L B U' L D' L2
F' L B U' L' D' L2
F' L B U' L2 D' L2
F' L B U' D' L2 D
F' L B U' D' L2 D'
F' L B U' D' L2 D2
F' L B U2 F2 U D
F' L B U2 F2 U D'
F' L B U2 F2 U D2
F' L B U2 F2 D U
F' L B U2 F2 D' U
F' L B U2 F2 D2 U
F' L B D U R2 U2
F' L B D' U' L2 D
F' L B D' U' L2 D'
F' L B D' U' L2 D2
F' L B D' B U' L2
F' L B D' B' U' L2
F' L B D' B2 U' L2
F' L B D2 B2 U' D
F' L B D2 B2 U' D'
F' L B D2 B2 U' D2
F' L B D2 B2 D U'
F' L B D2 B2 D' U'
F' L B D2 B2 D2 U'
B' L B F' L B' U'
F L B F2 U' D' L2
F L B F2 U2 F2 U
F L B F2 D' U' L2
F L B F2 D2 B2 U'
B L B' L F' B' U'
B L B' L B' F' U'
F' L B' U D R2 U2
F' L B' U' L D' L2
F' L B' U' L' D' L2
F' L B' U' L2 D' L2
F' L B' U' D' L2 D
F' L B' U' D' L2 D'
F' L B' U' D' L2 D2
F' L B' U2 F2 U D
F' L B' U2 F2 U D'
F' L B' U2 F2 U D2
F' L B' U2 F2 D U
F' L B' U2 F2 D' U
F' L B' U2 F2 D2 U
F' L B' D U R2 U2
F' L B' D' U' L2 D
F' L B' D' U' L2 D'
F' L B' D' U' L2 D2
F' L B' D' B U' L2
F' L B' D' B' U' L2
F' L B' D' B2 U' L2
F' L B' D2 B2 U' D
F' L B' D2 B2 U' D'
F' L B' D2 B2 U' D2
F' L B' D2 B2 D U'
F' L B' D2 B2 D' U'
F' L B' D2 B2 D2 U'
B L B' F' L B' U'
F L B' F2 U' D' L2
F L B' F2 U2 F2 U
F L B' F2 D' U' L2
B2 L B2 L F' B' U'
F L B' F2 D2 B2 U'
B2 L B2 L B' F' U'
F' L B2 U D R2 U2
F' L B2 U' L D' L2
F' L B2 U' L' D' L2
F' L B2 U' L2 D' L2
F' L B2 U' D' L2 D
F' L B2 U' D' L2 D'
F' L B2 U' D' L2 D2
F' L B2 U2 F2 U D
F' L B2 U2 F2 U D'
F' L B2 U2 F2 U D2
F' L B2 U2 F2 D U
F' L B2 U2 F2 D' U
F' L B2 U2 F2 D2 U
F' L B2 D U R2 U2
F' L B2 D' U' L2 D
F' L B2 D' U' L2 D'
F' L B2 D' U' L2 D2
F' L B2 D' B U' L2
F' L B2 D' B' U' L2
F' L B2 D' B2 U' L2
F' L B2 D2 B2 U' D
F' L B2 D2 B2 U' D'
F' L B2 D2 B2 U' D2
F' L B2 D2 B2 D U'
F' L B2 D2 B2 D' U'
F' L B2 D2 B2 D2 U'
B2 L B2 F' L B' U'
F L B2 F2 U' D' L2
F L B2 F2 U2 F2 U
F L B2 F2 D' U' L2
F L B2 F2 D2 B2 U'
F' L' U D R2 U2 F2
F' L' U D' B2 U2 L2
F' L' U' D F2 D2 L2
F' L' U' D' L2 D2 F2
U L' U' L2 F' U' L'
U L' U' F' L2 U' L
F' L' U2 F2 U D F2
F' L' U2 F2 U2 L2 U'
F' L' U2 F2 D U F2
F' L' U2 F2 D2 R2 U
F' L' D U R2 U2 F2
F' L' D U' F2 D2 L2
D2 L' D F' U' F' L'
D' L' D F' U' F' L'
D L' D F' U' F' L'
F' L' D' U B2 U2 L2
F' L' D' U' L2 D2 F2
F' L' D' B' U' L2 F
L2 R' B' L' R F' U'
L2 R' B' R L' F' U'
F' L' D2 B2 U' D' F2
F' L' D2 B2 U2 R2 U
F' L' D2 B2 D' U' F2
F' L' D2 B2 D2 L2 U'
F' L' F L2 F' B' U'
F' L' F L2 B' F' U'
D' L' F' L' B' L' U'
D2 L' F' L' B' L' U'
D L' F' L' B' L' U'
B L' F' L' B' L U'
F L' F' L2 F' B' U'
F L' F' L2 B' F' U'
B2 L' F' U2 R' F' U
F L' F2 L2 U' D' L2
F L' F2 L2 U2 F2 U
F L' F2 L2 D' U' L2
F L' F2 L2 D2 B2 U'
F' L' B L2 U' D' L2
F' L' B L2 U2 F2 U
F' L' B L2 D' U' L2
F' L' B L2 D2 B2 U'
F' L' B' L2 U' D' L2
F' L' B' L2 U2 F2 U
F' L' B' L2 D' U' L2
F' L' B' L2 D2 B2 U'
F' L' B2 L2 U' D' L2
F' L' B2 L2 U2 F2 U
F' L' B2 L2 D' U' L2
F' L' B2 L2 D2 B2 U'
U' L2 U B' L' F' U'
F' L2 U2 R F2 R U
F' L2 U2 R' F2 R U
R' L2 B' L' R F' U'
F' L2 U2 R2 F2 R U
U L2 U' B' L' F' U'
R' L2 B' R L' F' U'
F' L2 U2 F2 R U D
F' L2 U2 F2 R U D'
F' L2 U2 F2 R U D2
F' L2 U2 F2 R D U
F' L2 U2 F2 R D' U
F' L2 U2 F2 R D2 U
F' L2 U2 F2 D R U
F' L2 U2 F2 D' R U
F' L2 U2 F2 D2 R U
F' L2 D L' U R2 U2
F' L2 D L' U' D2 L2
F' L2 D L' D B2 U'
F' L2 D L' D2 U' L2
D2 L2 D B' L' F' U'
D' L2 D B' L' F' U'
F' L2 D' L' U' L' D
F' L2 D' L' U' L' D'
F' L2 D' L' U' L' D2
F' L2 D' L' U' D L'
F' L2 D' L' U' D' L'
F' L2 D' L' U' D2 L'
F' L2 D' L' D U' L'
F' L2 D' L' D' U' L'
F' L2 D' L' D2 U' L'
F' L2 D' L' B U' L'
F' L2 D' L' B' U' L'
F' L2 D' L' B2 U' L'
D L2 D B' L' F' U'
D2 L2 D' B' L' F' U'
D' L2 D' B' L' F' U'
F' L2 D' B L' U' L'
F' L2 D' B' L' U' L'
F' L2 D' B2 L' U' L'
F' L2 D2 L B2 L2 U'
F' L2 D2 L' U' D L2
F' L2 D2 L' D U' L2
F' L2 D2 L' B2 U' D
F' L2 D2 L' B2 U' D'
F' L2 D2 L' B2 U' D2
F' L2 D2 L' B2 D U'
F' L2 D2 L' B2 D' U'
F' L2 D2 L' B2 D2 U'
L U L U' F' B' U'
D L2 D' B' L' F' U'
L U L U' B' F' U'
D2 L2 D2 B' L' F' U'
D' L2 D2 B' L' F' U'
F' L2 D2 B L' B U'
F' L2 D2 B2 L' U' D
F' L2 D2 B2 L' U' D'
F' L2 D2 B2 L' U' D2
F' L2 D2 B2 L' D U'
F' L2 D2 B2 L' D' U'
F' L2 D2 B2 L' D2 U'
F' L2 D2 B2 D L' U'
F' L2 D2 B2 D' L' U'
F' L2 D2 B2 D2 L' U'
D L2 D2 B' L' F' U'
L U L2 U' F' U' L'
B L2 F B' L F2 U'
D2 L2 F' D2 B' L U'
D' L2 F' D2 B' L U'
B' L2 F' B L B2 U'
B' L2 F' B' U2 R' U
B2 L2 F' B2 L B U'
D L2 F' D2 B' L U'
B L2 F' B' L U' D
B L2 F' B' L U' D'
B L2 F' B' L U' D2
B L2 F' B' L D U'
B L2 F' B' L D' U'
B L2 F' B' L D2 U'
B L2 F' B' D L U'
B L2 F' B' D' L U'
B L2 F' B' D2 L U'
D2 L2 B L' F' B2 U'
D2 L2 B L' B2 F' U'
B' L2 B L F' B2 U'
D' L2 B L' F' B2 U'
F L2 F2 U2 R F2 U
F' L2 B L' U' D' L2
B' L2 B L B2 F' U'
F' L2 B L' U2 F2 U
D' L2 B L' B2 F' U'
F' L2 B L' D' U' L2
F' L2 B L' D2 B2 U'
D L2 B L' F' B2 U'
D L2 B L' B2 F' U'
F' L2 B U2 F2 R U
F' L2 B D' L' U' L'
F' L2 B D2 L' B2 U'
F' L2 B D2 B2 L' U'
B' L2 B F' L B2 U'
D2 L2 B' L F' L2 U'
D2 L2 B' L' D F' U'
D2 L2 B' L' D' F' U'
D2 L2 B' L' D2 F' U'
D' L2 B' L F' L2 U'
D2 L2 B' L' F' U' D
D2 L2 B' L' F' U' D'
D2 L2 B' L' F' U' D2
D2 L2 B' L' F' D U'
D2 L2 B' L' F' D' U'
D2 L2 B' L' F' D2 U'
D' L2 B' L' D F' U'
D' L2 B' L' D' F' U'
F' L2 B' L' U' D' L2
D' L2 B' L' D2 F' U'
F' L2 B' L' U2 F2 U
D2 L2 B' L2 F' L U'
D' L2 B' L' F' U' D
D' L2 B' L' F' U' D'
D' L2 B' L' F' U' D2
D' L2 B' L' F' D U'
D' L2 B' L' F' D' U'
D' L2 B' L' F' D2 U'
F' L2 B' L' D' U' L2
F' L2 B' L' D2 B2 U'
U' L2 B' L' F' U' B
D' L2 B' L2 F' L U'
D L2 B' L F' L2 U'
B L2 B' L D F' U'
B L2 B' L D' F' U'
B L2 B' L D2 F' U'
B L2 B' L F' U' D
B L2 B' L F' U' D'
B L2 B' L F' U' D2
B L2 B' L F' D U'
B L2 B' L F' D' U'
