L' D' B' U2 L B
B' L U L2 B' U2 B2
B' L U' D2 F B R2
B' L U' D2 B R2 F
B' L U' D2 B F R2
B' L U' F D2 B R2
B' L U' F B D2 R2
B' L U' B D2 R2 F
B' L U' B D2 F R2
B' L U' B F D2 R2
L' R D' B' U2 L B
B' L D F2 U' F' B
B' L D F2 U' B F'
B' L D2 U' F B R2
B' L D2 U' B R2 F
B' L D2 U' B F R2
F2 L' R D L2 F L'
U2 L' R D' B R' U2
R' L' D' B' U2 L B
L' R' D' B' U2 L B
R2 L' D' B' U2 L B
R L' D' B' U2 L B
U2 L' U' B L B' U'
U2 L' U2 D L F L'
F2 L' D L2 R F L'
F2 L' D R L2 F L'
F L' D L2 F L' R
F L' D L2 F R L'
U2 L' D U2 L F L'
U2 L' D' R B R' U2
D2 L' D' B' U2 L B
D' L' D' B' U2 L B
U2 L' D' B R' U2 F'
U2 L' D' B' U2 L F
D L' D' B' U2 L B
B' L' B' U' B U' B
B2 L' B' U' B2 U' B
B2 L' B' U2 D B' L2
B2 L' B' D U2 B' L2
B2 L' B' D' R2 U2 B'
L' R2 D' B' U2 L B
B' L2 U L B' U2 B2
F2 L2 D2 R F' D' L2
F2 R L' D L2 F L'
U2 R L' D' B R' U2
F2 R U B L B2 U'
F2 R U B' U2 R' U
U2 R B L' U' B2 U'
U2 R B L' U2 D L2
U2 R B L' D U2 L2
U2 R B L' D' R2 U2
U2 R B D L' U2 L'
U2 R B D' L' R2 U2
U2 R B D' R2 L' U2
L2 U' F U' L B' U2
L U' F' U L' F2 R
L2 U2 L D' B' U2 L
L' D L2 F D2 L' R2
L' D L2 F D2 R2 L'
L' D F B' U2 L' B
L' D F B' U2 B L'
L' D F' R B' U2 B
L' D F2 B' U2 B L
L' D B' R2 F' R U2
L' D B' F U2 L' B
L' D B' F U2 B L'
L' D B' F2 U2 B L
L' D' L2 D2 R2 F L'
L' D' L2 D2 F L' R2
L' D' L2 D2 F R2 L'
L' D' R B' U2 L B
L' D' R' B' U2 L B
F2 U B L B2 U' R
F U B L F B2 U'
F U B L B2 F U'
L' D' R2 B' U2 L B
F2 U B' U' R D' F2
F2 U B' U2 R' U R2
L' D' F B' U2 L B
L' D' F' B' U2 L B
L' D' F2 B' U2 L B
L' D' B R' B2 U2 B
L' D' B' R2 F' U2 L
L' D' B' U2 L D B
L' D' B' U2 L D' B
L' D' B' U2 L D2 B
L' D' B' U2 L B D
L' D' B' U2 L B D'
L' D' B' U2 L B D2
L' D' B' U2 L' B L2
L' D' B' U2 L2 B L'
L' D' B' U2 D L B
L' D' B' U2 D' L B
L' D' B' U2 D2 L B
L' D' B' D U2 L B
L' D' B' D' U2 L B
L' D' B' D2 U2 L B
L' D' B' F U2 L B
L' D' B' F' U2 L B
L' D' B' F2 U2 L B
B' U' F2 D B R F'
B' U' F2 B D R F'
B' U' B F2 D R F'
U' F R U2 B' U' R'
L' F D' B' U2 L B
L' F' D' B' U2 L B
L' F2 D' B' U2 L B
U F2 B L B2 U' R
U F2 B' U' R D' F2
U F2 B' U2 R' U R2
U B L D F2 U' L2
U B L B2 U L2 U2
U B L B2 U' D2 R2
U B L B2 D F2 U'
U B L B2 D2 U' R2
U B L2 B2 L' U' R'
U B F2 L B2 U' R
U B' L' U2 R' U R
L' B' R2 D F' R U2
U' B' U L' B' U2 B
F2 B' L U' B R F
L' B' U L' F U B
L' B' U L2 U B L
U' B' U' L' U2 L F
L' B' U2 L B D L2
U B' U L' U R' U
L' B' U2 D' B' L B2
L' B' U2 B2 D' B' L
U B' U' R D' F2 R
L' B' D R2 F' R U2
L' B' D F U2 L' B
L' B' D F U2 B L'
L' B' D F2 U2 B L
U B' U' F2 R D' F2
U B' U2 R' U' L' U2
L' B' D' U2 B' L B2
U B' F2 U' R D' F2
U B' F2 U2 R' U R2
U2 B2 L' U' B L U'
B' F2 L U' B R F
