U L2 B' U' F R
L2 U B' U' R' F
L2 U B' U' F R'
L2 F U B' U' R'
D F' R D' L2 F
D F' D' L2 R F
D F' D' R L2 F
L2 B' U' F B R
L2 B' U' B F R
L2 R U B' U' R' F
L2 R U B' U' F R'
L2 R F U B' U' R'
L2 R B' U' F B R
L2 R B' U' B F R
F L B' L U F B
F L B' L U B F
L2 R' U B' U' R' F
L2 R' U B' U' F R'
L2 R' F U B' U' R'
U L' D F L' B' U'
L2 R' B' U' F B R
L2 R' B' U' B F R
U L' F L' B' U' F
U L' F U' F' L' F
R' L2 U B' U' R' F
R' L2 U B' U' F R'
L2 R2 U B' U' R' F
L2 R2 U B' U' F R'
R2 L2 U B' U' R' F
R2 L2 U B' U' F R'
R L2 U B' U' R' F
R L2 U B' U' F R'
R' L2 F U B' U' R'
L2 R2 F U B' U' R'
R2 L2 F U B' U' R'
R L2 F U B' U' R'
F' L2 U' F2 U F' R
F2 L2 U' F' U F2 R
R' L2 B' U' F B R
R' L2 B' U' B F R
L2 R2 B' U' F B R
L2 R2 B' U' B F R
R2 L2 B' U' F B R
R2 L2 B' U' B F R
R L2 B' U' F B R
R L2 B' U' B F R
U L2 D B' U' F R
U L2 D' B' U' F R
F' L2 F U' F U R
U L2 D2 B' U' F R
R' U L2 B' U' F R
R2 U L2 B' U' F R
R U L2 B' U' F R
F L2 B U F B' R'
F L2 B U B' R' F
F L2 B U B' F R'
U L2 B' U' R F R
U L2 B' U' R' F R
U L2 B' U' R2 F R
U L2 B' U' D F R
U L2 B' U' D' F R
U L2 B' U' D2 F R
U L2 B' U' F R D
U L2 B' U' F R D'
U L2 B' U' F R D2
U L2 B' U' F D R
U L2 B' U' F D' R
U L2 B' U' F D2 R
U L2 B' D U' F R
U L2 B' D' U' F R
L2 U D B' U' R' F
L2 U D B' U' F R'
U L2 B' D2 U' F R
L2 U D' B' U' R' F
L2 U D' B' U' F R'
L2 U D2 B' U' R' F
L2 U D2 B' U' F R'
L2 U F' B' U' R' F2
L2 U F' B' U' F2 R'
L2 U F2 B' U' F' R'
L2 U B' U' R F R2
L2 U B' U' R' D F
L2 U B' U' R' D' F
L2 U B' U' R' D2 F
L2 U B' U' R' F D
L2 U B' U' R' F D'
L2 U B' U' R' F D2
L2 U B' U' D R' F
L2 U B' U' D F R'
L2 U B' U' D' R' F
L2 U B' U' D' F R'
L2 U B' U' D2 R' F
L2 U B' U' D2 F R'
L2 U B' U' F R' D
L2 U B' U' F R' D'
L2 U B' U' F R' D2
L2 U B' U' F D R'
L2 U B' U' F D' R'
L2 U B' U' F D2 R'
L2 U B' U' F' R' F2
L2 U B' D U' R' F
L2 U B' D U' F R'
L2 U B' D' U' R' F
L2 U B' D' U' F R'
L2 U B' D2 U' R' F
L2 U B' D2 U' F R'
L2 U B' F' U' R' F2
L2 U B' F' U' F2 R'
L2 U B' F2 U' F' R'
D R F' R D' L2 F
D R F' D' L2 R F
D R F' D' R L2 F
L U' D' B' U L F
D R' F' R D' L2 F
D R' F' D' L2 R F
D R' F' D' R L2 F
D R2 F' R D' L2 F
D R2 F' D' L2 R F
D R2 F' D' R L2 F
L2 D U B' U' R' F
L2 D U B' U' F R'
L' D F L' B' U' B
R' D F' R D' L2 F
L2 D F U B' U' R'
R' D F' D' L2 R F
R' D F' D' R L2 F
R2 D F' R D' L2 F
R2 D F' D' L2 R F
R2 D F' D' R L2 F
F U L2 U' F L2 R
F U L2 U' F R L2
R D F' R D' L2 F
R D F' D' L2 R F
R D F' D' R L2 F
L2 D B' U' F B R
L2 D B' U' B F R
U' D F U' B' L' U2
B' U D' F U B R'
B' U F L B' U B2
B' U F U D' B R'
B' U F D' U B R'
L2 D' U B' U' R' F
L2 D' U B' U' F R'
L D' U' B' U L F
L2 D' F U B' U' R'
D' U' F U' B' L U2
U' D' F U' B' L U2
D U' F U' B' L' U2
L2 D' B' U' F B R
L2 D' B' U' B F R
L2 D2 U B' U' R' F
L2 D2 U B' U' F R'
L2 D2 F U B' U' R'
L2 D2 B' U' F B R
L2 D2 B' U' B F R
F' U2 D' B' L U2 L
L' F L' B' U' F B
L' F L' B' U' B F
L2 F R U B' U' R'
L2 F R' U B' U' R'
L2 F R2 U B' U' R'
L2 F U D B' U' R'
L2 F U D' B' U' R'
L2 F U D2 B' U' R'
U' F U' D' B' L U2
L2 F U F B' U' R'
L2 F U F' B' U' R'
L2 F U F2 B' U' R'
L2 F U B' U' R' D
L2 F U B' U' R' D'
L2 F U B' U' R' D2
L2 F U B' U' D R'
L2 F U B' U' D' R'
L2 F U B' U' D2 R'
L2 F U B' D U' R'
L2 F U B' D' U' R'
L2 F U B' D2 U' R'
L2 F U B' F U' R'
L2 F U B' F' U' R'
L2 F U B' F2 U' R'
U' F U2 L2 U' F R
L2 F D U B' U' R'
U' F D' U' B' L U2
F' D L2 F' R F2 L'
L2 F D' U B' U' R'
L2 F D2 U B' U' R'
D F' L2 R D' F L2
F' D F' D2 L2 R F
F' D F' D2 R L2 F
D F' L2 D' R F L2
F' D F2 D2 L2 F R
D F' R L2 D' F L2
D F' R D' L2 D F
D F' R D' L2 D' F
D F' R D' L2 D2 F
D F' R D' L2 F D
D F' R D' L2 F D'
D F' R D' L2 F D2
D F' R D' F L2 F
D F' R D' F' L2 F
D F' R D' F2 L2 F
F D F2 D' L2 F R
F' D B' R2 F' U2 R
D F' R2 D' L2 R' F
D F' R2 D' L2 F R'
D F' R2 D' R' L2 F
L2 F' U B' U' R' F2
L2 F' U B' U' F2 R'
D2 F' D' L2 F' R F2
F' D' L2 D2 F' R F2
F' D' L2 F B R' B'
F' D' L2 F2 D2 F' R
F' D' L2 B R' F B'
F' D' L2 B R' B' F
F' D' L2 B F R' B'
D2 F' D' F' L2 R F
D2 F' D' F' R L2 F
D2 F' D' F2 L2 F R
D F' D' L2 R D F
D F' D' L2 R D' F
D F' D' L2 R D2 F
D F' D' L2 R F D
D F' D' L2 R F D'
D F' D' L2 R F D2
D F' D' L2 R' F R2
D F' D' L2 R2 F R'
D F' D' L2 D R F
D F' D' L2 D' R F
D F' D' L2 D2 R F
D F' D' R L2 D F
D F' D' R L2 D' F
D F' D' R L2 D2 F
D F' D' R L2 F D
D F' D' R L2 F D'
D F' D' R L2 F D2
D F' D' R F L2 F
D F' D' R F' L2 F
D F' D' R F2 L2 F
D F' D' R' L2 F R2
D F' D' R2 L2 F R'
D F' D' F' L2 F R
D F' D2 R D L2 F
B' D' U F U B R'
F' D' U2 B' L U2 L
D F2 L2 F R D' L2
D F2 L2 F D' L2 R
D F2 L2 F D' R L2
F' D' B R' B' L2 F
F' D' B' L U2 L B
L2 F2 U B' U' F' R'
L B D' R2 B' L F
L B D' B' L R2 F
L B D' B' L F R2
L B D' B' R2 L F
L2 B' U' R' F R B
L2 B' U' D F B R
L2 B' U' D B F R
L2 B' U' D' F B R
L2 B' U' D' B F R
L2 B' U' D2 F B R
L2 B' U' D2 B F R
L2 B' U' F D B R
L2 B' U' F D' B R
L2 B' U' F D2 B R
L2 B' U' F B R D
L2 B' U' F B R D'
L2 B' U' F B R D2
L2 B' U' F B D R
L2 B' U' F B D' R
L2 B' U' F B D2 R
L2 B' U' F B' R B2
L2 B' U' F B2 R B'
L2 B' U' B R F R
L2 B' U' B R' F R
L2 B' U' B R2 F R
L2 B' U' B D F R
L2 B' U' B D' F R
L2 B' U' B D2 F R
L2 B' U' B F R D
L2 B' U' B F R D'
L2 B' U' B F R D2
L2 B' U' B F D R
L2 B' U' B F D' R
L2 B' U' B F D2 R
L2 B' U' B' F R B2
L2 B' U' B2 F R B'
L2 B' D U' F B R
L2 B' D U' B F R
L2 B' D' U' F B R
L2 B' D' U' B F R
L2 B' D2 U' F B R
L2 B' D2 U' B F R
B' F' U2 D' L2 B R'
B' F' U2 D' B L2 R'
B' F' U2 D' B R' L2
F' B' U2 D' L2 B R'
F' B' U2 D' B L2 R'
F' B' U2 D' B R' L2
B' F' D R2 F' U2 R
F' B' D R2 F' U2 R
B' F' D' U2 L2 B R'
B' F' D' U2 B L2 R'
B' F' D' U2 B R' L2
B' F' D' B L2 R' F
B' F' D' B L2 F R'
B' F' D' B R' L2 F
F' B' D' U2 L2 B R'
