B L D B' L U2 L
L R B' U' F' U' L'
R L B' U' F' U' L'
L2 U F B' R' B U
L2 U B' R' F B U
L2 U B' R' B F U
L2 U B' F R' B U
R2 U' D' B' L U' R'
R U' D' F' B' L U'
R U' D' B' L F' U'
R U' D' B' F' L U'
R U' F' D' B' L U'
R U' F' B' L' U' F
R2 U' B' L' U' R' F
R2 U' B' L' U' F R'
R U' B' L' F' U' F2
R U' B' F' L' U' F
L' D F L' R2 B R'
L' D F R2 L' B R'
L' D F R2 B L' R'
L' D F R2 B R' L'
L' D B U2 R' F L'
L' D B U2 F L' R'
L' D B U2 F R' L'
L D B' L U F U
L' D B2 U2 F L' R
L' D B2 U2 F R L'
R2 D' U' B' L U' R'
R D' U' F' B' L U'
R D' U' B' L F' U'
R D' U' B' F' L U'
U' D' F' B' L U' R
D' U' F' B' L U' R
U' D' B' L F' U' R
D' U' B' L F' U' R
U' D' B' F' L U' R
D' U' B' F' L U' R
L B' R U' F' U' L'
L B' R' U B U L
