R' D' B2 L F R
D2 L D F L R B2
D2 L D F L B2 R
D2 L D F R L B2
D2 L F L D R B2
D2 L F L D B2 R
D L F R D L2 B'
D2 L F D L R B2
D2 L F D L B2 R
D2 L F D R L B2
D L F D L2 R B'
D L F D L2 B' R
D L F D R L2 B'
D' L F2 U F' R B2
D' L F2 U F' B2 R
D' L F2 U B2 F' R
D' L B2 D' F L2 R
D' L B2 D' F R L2
F' L' R2 B' U L' U
R2 L' B' U L' B' U
F' L' B' R2 U L' U
F L2 U R F2 L' F
F L2 U D2 L2 R F'
F L2 U D2 R L2 F'
F L2 U D2 R F' L2
F' L2 U' L R2 B' U2
F' L2 U' L B' R2 U2
F' L2 U' R2 L B' U2
L' R2 B' U L' B' U
F L2 D2 U L2 R F'
F L2 D2 U R L2 F'
F L2 D2 U R F' L2
R2 U L' B' L' R' U
R2 U L' B' R' L' U
B' R' D' B2 L F R
B2 R' D' B2 L F R
B R' D' B2 L F R
R2 U2 D' B' R' F' B'
R2 U2 D' B' R' B' F'
F' R2 L' B' U L' U
F R2 U L2 U R' F'
R2 U2 B D' B2 R' F'
F' R2 D L' F2 B' U2
F' R2 D L' B' F2 U2
F R2 U2 R' D' F' B2
F R2 U2 R' D' B2 F'
F R2 U2 R' F' D' B2
R2 U2 B' R' D' F' B2
R2 U2 B' R' D' B2 F'
R2 U2 B' R' F' D' B2
F R2 U2 D' R' F' B2
F R2 U2 D' R' B2 F'
R2 U2 B' D' R' F' B2
R2 U2 B' D' R' B2 F'
F' R2 D' L' B' U2 B'
F R2 D F2 U2 R' F'
F R2 D' U2 R' F' B2
F R2 D' U2 R' B2 F'
R2 D L F2 U2 F' R
R2 D F' L' F' B' U2
R2 D F' L' B' F' U2
R2 D F2 U2 R' F' R
R' D' L F B2 L R
R' D' L F B2 R L
R' D' L B2 F L R
R' D' L B2 F R L
R2 D' L F R B2 L
R2 D' L' B' U2 B' R'
R2 D' R B2 L F R
R D' R2 B2 L F R
R2 D' U2 B' R' F' B'
R2 D' U2 B' R' B' F'
R' D' F B2 L R F
R' D' F B2 R L F
R2 D' F R B2 L F
R2 D' F' L' B' U2 B'
L D' F2 L U F' R
R' D' B2 L R F R
R' D' B2 L R' F R
R' D' B2 L R2 F R
R' D' B2 L D F R
R' D' B2 L D' F R
R' D' B2 L D2 F R
R' D' B2 L F R D
R' D' B2 L F R D'
R' D' B2 L F R D2
R' D' B2 L F D R
R' D' B2 L F D' R
R' D' B2 L F D2 R
R' D' B2 R L F R
R' D' B2 R' L F R
R' D' B2 R2 L F R
R' D' B2 D L F R
R2 D' B' U2 B' R' F'
R' D' B2 D' L F R
R' D' B2 D2 L F R
R' D' B2 F L R F
R' D' B2 F R L F
L2 D2 F U L2 R F'
L2 D2 F U R L2 F'
L2 D2 F U R F' L2
R2 F R D' B2 L F
L2 F U R F2 L' F
L2 F U D2 L2 R F'
L2 F U D2 R L2 F'
L2 F U D2 R F' L2
R2 F D F2 L' B' U2
R' F D' B2 L R F
R' F D' B2 R L F
R2 F D' R B2 L F
L2 F D2 U L2 R F'
L2 F D2 U R L2 F'
L2 F D2 U R F' L2
R2 F' L' B' U L' U
L2 F' U' L' R2 U2 F
L2 F' U' R2 L' U2 F
R2 F' D L' F2 B' U2
R2 F' D L' B' F2 U2
R2 F' D' L' B' U2 B'
U2 B' R' D' F' B2 L
L' B' R2 U L' B' U
U2 B' R' D' B2 L F'
U2 B' R' D' B2 F' L
U2 B' R' F' D' B2 L
D' B2 L D' F L2 R
D' B2 L D' F R L2
D' B2 L' D' L2 F R
R' B2 D' L F R B2
R' B2 D' L F B2 R
R' B2 D' L B2 F R
D' B2 D' L F L R
D' B2 D' L F R L
