U' L B' L R' U2
U' L B' R' L U2
D' R' F' B R' U
D' R' B F' R' U
D2 U R F' L' R
D2 U R F' R L'
B U R' F' L' F
D2 U F' L' R F'
D2 U F' R L' F'
B U F' L' R' F
B U F' L' F R'
B U F' R' L' F
B' U' L B' R' U2
U D2 R F' L' R
U D2 R F' R L'
R' D2 F' U R F'
U D2 F' L' R F'
U D2 F' R L' F'
D2 F' U R F' L'
D' B R' F' B U
D' B R' B F' U
U' B' L R' B' U2
U' B' R' L B' U2
U' L R B' L R' U2
U' L R B' R' L U2
U' L R' B' L R' U2
U' L R' B' R' L U2
U' L R2 B' L R' U2
U' L R2 B' R' L U2
U L U2 B' L R' U2
U L U2 B' R' L U2
U' L B' L R' U2 D
U' L B' L R' U2 D'
U' L B' L R' U2 D2
U' L B' L R' D U2
U' L B' L R' D' U2
U' L B' L R' D2 U2
U' L B' L D R' U2
U' L B' L D' R' U2
U' L B' L D2 R' U2
U' L B' R' L U2 D
U' L B' R' L U2 D'
U' L B' R' L U2 D2
U' L B' R' L D U2
U' L B' R' L D' U2
U' L B' R' L D2 U2
U L B' L U2 B L
U' L B' R' D L U2
U' L B' R' D' L U2
U' L B' R' D2 L U2
U' L B' D L R' U2
U' L B' D R' L U2
U' L B' D' L R' U2
U' L B' D' R' L U2
U' L B' D2 L R' U2
U' L B' D2 R' L U2
U L' D2 F' L' R F2
U L' D2 F' R L' F2
U' L' F R2 B L R'
U' L' F R2 B R' L
U' L' B U2 R' F L
U' L' B U2 F L R'
U' L' B U2 F R' L
U' L2 B U2 L R' F'
U' L2 B U2 R' L F'
U' L2 B U2 R' F' L
U' L2 B' L R' U2 F
U' L2 B' R' L U2 F
U' R L B' L R' U2
U' R L B' R' L U2
D2 R U2 B U' F' R
U R D2 R F' L' R
U R D2 R F' R L'
U R D2 F' L' R F'
U R D2 F' R L' F'
U' R B' L R' B' U2
U' R B' R' L B' U2
U' R' L B' L R' U2
U' R' L B' R' L U2
D R' D F' U R F'
B R' D F' R U R'
D' R' D2 F' B R U
F' R' D2 F' U R F'
D' R' D2 B F' R U
F2 R' D2 F' U R F'
U R' D2 R F' L' R
U R' D2 R F' R L'
F R' D2 F' U R F'
U R' D2 F' L' R F'
U R' D2 F' R L' F'
D' R' F B R' F2 U
D2 R' F' R2 U F' R'
R U2 L' B U' R' F
R U2 L' B U' F R'
D2 R' F' U R2 F' R'
D2 R' F' U' B U2 R
B' R' F' U' L B' U2
D' R' F' B R' U D
D' R' F' B R' U D'
D' R' F' B R' U D2
D' R' F' B R' D U
D' R' F' B R' D' U
D' R' F' B R' D2 U
D' R' F' B D R' U
D' R' F' B D' R' U
D' R' F' B D2 R' U
D' R' F2 B R' F U
D' R' B D F' R' U
D' R' B D' F' R' U
D' R' B D2 F' R' U
D' R' B F R' F2 U
D' R' B F' R' U D
D' R' B F' R' U D'
D' R' B F' R' U D2
D' R' B F' R' D U
D' R' B F' R' D' U
D' R' B F' R' D2 U
D' R' B F' D R' U
D' R' B F' D' R' U
D' R' B F' D2 R' U
D' R' B F2 R' F U
U' R' B' L R' B' U2
U' R' B' R' L B' U2
U' R2 L B' L R' U2
U' R2 L B' R' L U2
R U2 B L' U' R' F
R U2 B L' U' F R'
U R2 D2 R F' L' R
U R2 D2 R F' R L'
U R2 D2 F' L' R F'
U R2 D2 F' R L' F'
U' R2 B' L R' B' U2
U' R2 B' R' L B' U2
D2 U L R F' L' R
D2 U L R F' R L'
D2 U L F' L' R F'
D2 U L F' R L' F'
B' U L B' U2 B L
D2 U L' R F' L' R
D2 U L' R F' R L'
D2 U L' F' L' R F'
D2 U L' F' R L' F'
B' U L' F' L' F2 R
B U L' R' F' L' F2
D2 U L2 R F' L' R
D2 U L2 R F' R L'
U2 D L' F B' L' U'
U2 D L' B' F L' U'
B U L' F R' D2 L2
B U L' F' L' R' F2
B U L' F' L' F2 R'
B U L' F' R' L' F2
D2 U L2 F' L' R F'
D2 U L2 F' R L' F'
D2 U R L F' L' R
D2 U R L F' R L'
D2 U R L' F' L' R
D2 U R L' F' R L'
D2 U R L2 F' L' R
D2 U R L2 F' R L'
D2 U R F' L' R D
D2 U R F' L' R D'
D2 U R F' L' R D2
D2 U R F' L' D R
D2 U R F' L' D' R
D2 U R F' L' D2 R
D2 U R F' R L' D
D2 U R F' R L' D'
D2 U R F' R L' D2
D2 U R F' R D L'
D2 U R F' R D' L'
D2 U R F' R D2 L'
D2 U R F' D L' R
D2 U R F' D R L'
D2 U R F' D' L' R
D2 U R F' D' R L'
D2 U R F' D2 L' R
D2 U R F' D2 R L'
B U R F' L' R2 F
B U R F' L' F R2
B U R F' R2 L' F
B U R' L' F' L' F2
B U R' F' L' D F
B U R' F' L' D' F
B U R' F' L' D2 F
B U R' F' L' F D
B U R' F' L' F D'
B U R' F' L' F D2
B U R' F2 L' F L'
B U R2 D2 R F' L'
B U R2 F' L' F R
U2 D F L' F B' U'
U2 D F L' B' F U'
D2 U F' L R F' L2
D2 U F' L' R D F'
D2 U F' L' R D' F'
D2 U F' L' R D2 F'
D2 U F' L' R F' D
D2 U F' L' R F' D'
D2 U F' L' R F' D2
D2 U F' L2 R F' L
D2 U F' R L F' L2
D2 U F' R L' D F'
D2 U F' R L' D' F'
D2 U F' R L' D2 F'
D2 U F' R L' F' D
D2 U F' R L' F' D'
D2 U F' R L' F' D2
D2 U F' R L2 F' L
D2 U F' R D L' F'
D2 U F' R D' L' F'
D2 U F' R D2 L' F'
D2 U F' D2 L' R F
D2 U F' D2 R L' F
F' U D2 R F' L' R
F' U D2 R F' R L'
F' U D2 F' L' R F'
F' U D2 F' R L' F'
F2 U D2 R F' L' R
F2 U D2 R F' R L'
F2 U D2 F' L' R F'
F2 U D2 F' R L' F'
B U D2 R F' L' R2
B U D2 R F' R2 L'
F U D2 R F' L' R
F U D2 R F' R L'
F U D2 F' L' R F'
F U D2 F' R L' F'
B' U F' L' D2 R2 F
B' U F' L' D2 F R2
B' U F' L' F D2 R2
B U F' L' R F R2
B U F' L' R' D F
B U F' L' R' D' F
B U F' L' R' D2 F
B U F' L' R' F D
B U F' L' R' F D'
B U F' L' R' F D2
B U F' L' D R' F
B U F' L' D F R'
B U F' L' D' R' F
B U F' L' D' F R'
B U F' L' D2 R' F
B U F' L' D2 F R'
B U F' L' F R' D
B U F' L' F R' D'
B U F' L' F R' D2
B U F' L' F D R'
B U F' L' F D' R'
B U F' L' F D2 R'
B U F' L' F' R' F2
B U F' R L' F R2
B U F' R' L' D F
B U F' R' L' D' F
B U F' R' L' D2 F
B U F' R' L' F D
B U F' R' L' F D'
B U F' R' L' F D2
B U F2 L' R' F L'
B U F2 L' F L' R'
B U F2 L' F R' L'
B U F2 R' L' F L'
B U F2 R' F L' F
R D' R' B R' F' U
B' U' L R B' R' U2
B' U' L R' B' R' U2
B' U' L R2 B' R' U2
B' U' L D B' R' U2
B' U' L D' B' R' U2
B' U' L D2 B' R' U2
D2 U' R U2 F' L' R
D2 U' R U2 F' R L'
B' U' L B' R' U2 D
B' U' L B' R' U2 D'
B' U' L B' R' U2 D2
B' U' L B' R' D U2
B' U' L B' R' D' U2
B' U' L B' R' D2 U2
B' U' L B' D R' U2
B' U' L B' D' R' U2
B' U' L B' D2 R' U2
F' U' L B' L R' U2
F' U' L B' R' L U2
F2 U' L B' L R' U2
F2 U' L B' R' L U2
R' D' F' R' B R' U
F U' L B' L R' U2
F U' L B' R' L U2
R' D' F' B R' B U
B' U' R L B' R' U2
B U' L2 U2 R' F' L'
B' U' R' L B' R' U2
R' D' B F' R' B U
B' U' R2 L B' R' U2
R' D2 R U F' L' R
R' D2 R U F' R L'
U D2 L R F' L' R
U D2 L R F' R L'
U D2 L F' L' R F'
U D2 L F' R L' F'
U D2 L' R F' L' R
U D2 L' R F' R L'
D U2 L' F B' L' U'
D U2 L' B' F L' U'
U' D2 R U2 F' L' R
U' D2 R U2 F' R L'
F' U' B' L R' B' U2
U D2 L' F' L' R F'
U D2 L' F' R L' F'
F' U' B' R' L B' U2
F2 U' B' L R' B' U2
U D2 L2 R F' L' R
U D2 L2 R F' R L'
F2 U' B' R' L B' U2
U D2 L2 F' L' R F'
U D2 L2 F' R L' F'
U D2 R L F' L' R
U D2 R L F' R L'
F U' B' L R' B' U2
U D2 R L' F' L' R
U D2 R L' F' R L'
U D2 R L2 F' L' R
U D2 R L2 F' R L'
F U' B' R' L B' U2
U D2 R F' L' R D
U D2 R F' L' R D'
U D2 R F' L' R D2
U D2 R F' L' D R
U D2 R F' L' D' R
U D2 R F' L' D2 R
U D2 R F' R L' D
U D2 R F' R L' D'
U D2 R F' R L' D2
U D2 R F' R D L'
U D2 R F' R D' L'
U D2 R F' R D2 L'
U D2 R F' D L' R
U D2 R F' D R L'
U D2 R F' D' L' R
U D2 R F' D' R L'
U D2 R F' D2 L' R
U D2 R F' D2 R L'
B U' B2 L B' U2 L
R' D2 F' R' U R2 F'
D U2 F L' F B' U'
R' D2 F' U R D F'
R' D2 F' U R D' F'
R' D2 F' U R D2 F'
R' D2 F' U R F' D
R' D2 F' U R F' D'
R' D2 F' U R F' D2
D U2 F L' B' F U'
D2 U2 F' U' R F' L'
R' D2 F' B U R F'
R' D2 F' B' U R F'
R' D2 F' B2 U R F'
U2 D2 F' U' R F' L'
U D2 F' L R F' L2
U D2 F' L' R D F'
U D2 F' L' R D' F'
U D2 F' L' R D2 F'
U D2 F' L' R F' D
U D2 F' L' R F' D'
U D2 F' L' R F' D2
U D2 F' L2 R F' L
U D2 F' R L F' L2
U D2 F' R L' D F'
U D2 F' R L' D' F'
U D2 F' R L' D2 F'
U D2 F' R L' F' D
U D2 F' R L' F' D'
U D2 F' R L' F' D2
U D2 F' R L2 F' L
U D2 F' R D L' F'
U D2 F' R D' L' F'
U D2 F' R D2 L' F'
U D2 F' D2 L' R F
U D2 F' D2 R L' F
R' D2 B F' U R F'
R' D2 B' F' U R F'
R' D2 B2 F' U R F'
D' F R' F' B R' U
D' F R' B F' R' U
D F U2 L' F B' U'
D F U2 L' B' F U'
D' F B R' F' B U
D' F B R' B F' U
B D R' F' R U R'
U F D2 F' R F' L'
U F' L' D2 F' R F2
U F' L' F B R' B'
U F' L' F2 D2 F' R
U F' L' B R' F B'
U F' L' B R' B' F
U F' L' B F R' B'
D2 F' R' F' U R2 F'
D' F' R' F' B R' U
D' F' R' B F' R' U
D2 F' U L R F' L'
D2 F' U L' R F' L'
D2 F' U L2 R F' L'
D2 F' U R L F' L'
D2 F' U R L' F' L'
D2 F' U R L2 F' L'
D2 F' U R D F' L'
D2 F' U R D' F' L'
D2 F' U R D2 F' L'
D2 F' U R F' L' D
D2 F' U R F' L' D'
D2 F' U R F' L' D2
D2 F' U R F' D L'
D2 F' U R F' D' L'
D2 F' U R F' D2 L'
R' F' U D2 R F' R
R' F' U D2 F' R F'
R' F' U' L B' L U2
R' F' U' B' L B' U2
R' F' D' R' B R' U
R' F' D' B R' B U
R' F' D2 R U F' R
R' F' D2 U R F' R
R' F' D2 U F' R F'
D' F' B R' F' B U
D' F' B R' B F' U
D2 F' B U R F' L'
F' D' R' F' B R' U
F' D' R' B F' R' U
F2 D' R' F' B R' U
F2 D' R' B F' R' U
U F' D2 L' R F' R
U F' D2 L' F' R F'
U F' D2 R L' F' R
D2 F' B' U R F' L'
R' F' B' U' L B' U2
F D' R' F' B R' U
D2 F' B2 U R F' L'
F D' R' B F' R' U
U F' B R' B' L' F
D' F2 R' F' B R' U
D' F2 R' B F' R' U
F' D' B R' F' B U
F' D' B R' B F' U
F2 D' B R' F' B U
F2 D' B R' B F' U
F D' B R' F' B U
F D' B R' B F' U
B' D' B2 U R' F' L'
D' F2 B R' F' B U
D' F2 B R' B F' U
F' D2 U R F' L' R
F' D2 U R F' R L'
F' D2 U F' L' R F'
F' D2 U F' R L' F'
F2 D2 U R F' L' R
F2 D2 U R F' R L'
F2 D2 U F' L' R F'
F2 D2 U F' R L' F'
B D2 U R F' L' R2
B D2 U R F' R2 L'
U' B L' U2 R' F L2
U' B L' U2 F L2 R'
U' B L' U2 F R' L2
F D2 U R F' L' R
F D2 U R F' R L'
F D2 U F' L' R F'
F D2 U F' R L' F'
U' B L2 U2 L' R' F'
U' B L2 U2 R' L' F'
F' D2 F' U R F' L'
F2 D2 F' U R F' L'
D' B R' D F' B U
D' B R' D B F' U
D' B R' D' F' B U
D' B R' D' B F' U
D' B R' D2 F' B U
D' B R' D2 B F' U
D' B R' F' D B U
D' B R' F' D' B U
D' B R' F' D2 B U
D' B R' F' B U D
D' B R' F' B U D'
D' B R' F' B U D2
D' B R' F' B D U
D' B R' F' B D' U
D' B R' F' B D2 U
F D2 F' U R F' L'
D' B R' B D F' U
D' B R' B D' F' U
D' B R' B D2 F' U
D' B R' B F' U D
D' B R' B F' U D'
D' B R' B F' U D2
D' B R' B F' D U
D' B R' B F' D' U
D' B R' B F' D2 U
D2 B U R F' L' R
D2 B U R F' R L'
D2 B U F' L' R F'
D2 B U F' R L' F'
U B R' F' B' L' F
U B R' B' F' L' F
U' B U2 L' R' F L2
U' B U2 L' F L2 R'
U' B U2 L' F R' L2
U' B U2 R' L' F L2
U2 B U' R' F' L' F
U2 B U' F' L' R' F
U2 B U' F' L' F R'
U2 B U' F' R' L' F
R B U R' F2 L' F
R' B D F' R U R2
D' B D' R' F' U R
D' B F R' F' B U
D' B F R' B F' U
D' B F' R' F' B U
D' B F' R' B F' U
D2 B F' U R F' L'
D' B F2 R' F' B U
D' B F2 R' B F' U
F' B U R' F' L' F
U' B' L R B' R2 U2
U' B' L R' D B' U2
U' B' L R' D' B' U2
U' B' L R' D2 B' U2
U' B' L R' B' U2 D
U' B' L R' B' U2 D'
U' B' L R' B' U2 D2
U' B' L R' B' D U2
U' B' L R' B' D' U2
U' B' L R' B' D2 U2
U' B' L R2 B' R U2
F2 B U R' F' L' F
F' B U F' L' R' F
F' B U F' L' F R'
F' B U F' R' L' F
B' F U' L B' R' U2
U' B' L D R' B' U2
U' B' L D' R' B' U2
U' B' L D2 R' B' U2
F2 B U F' L' R' F
F2 B U F' L' F R'
F2 B U F' R' L' F
B F U R' F' L' F
U B F' R' B' L' F
B F U F' L' R' F
B F U F' L' F R'
B F U F' R' L' F
F B U R' F' L' F
F B U F' L' R' F
F B U F' L' F R'
