D' R U2 F' B
D' R U2 B F'
B' R U' L U' B
D' R U2 D F' B
D' R U2 D B F'
D' R U2 D' F' B
D' R U2 D' B F'
D' R U2 D2 F' B
D' R U2 D2 B F'
D' R U2 F' D B
D' R U2 F' D' B
D' R U2 F' D2 B
D' R U2 F' B D
D' R U2 F' B D'
D' R U2 F' B D2
D' R U2 B D F'
D' R U2 B D' F'
D' R U2 B D2 F'
D' R U2 B F' D
D' R U2 B F' D'
D' R U2 B F' D2
B R U2 D' F2 B
B R U2 D' B F2
D' R D U2 F' B
D' R D U2 B F'
B R U2 B D' F2
D' R D' U2 F' B
D' R D' U2 B F'
B R D B2 U2 B'
B R D' U2 F2 B
B R D' U2 B F2
D' R D2 U2 F' B
D' R D2 U2 B F'
D' R F U2 F2 B
D' R F U2 B F2
D' R F2 U2 F B
D' R F2 U2 B F
D' R B' U2 F' B2
D' R B' U2 B2 F'
D' R B2 U2 F' B'
D' R B2 U2 B' F'
D' R' F' R2 U2 F'
D' R' F' B R2 U2
D' R' B R2 U2 B
D' R' B F' R2 U2
R U2 B U' R' U
U2 D F2 L' F B'
U2 D F2 L' B' F
D U2 F2 L' F B'
D U2 F2 L' B' F
F2 U2 D L' F B'
F2 U2 D L' B' F
F2 D U2 L' F B'
F2 D U2 L' B' F
U2 F2 D L' F B'
U2 F2 D L' B' F
D F2 U2 L' F B'
D F2 U2 L' B' F
D' B R U2 F' B
D' B R U2 B F'
D' B' R U2 F' B
D' B' R U2 B F'
R B' U' L U' B2
D' B2 R U2 F' B
D' B2 R U2 B F'
D L R B' L' U2 B2
L' R D L B' U2 B2
L R D L' U2 F B
L R D L' U2 B F
R L D L' U2 F B
R L D L' U2 B F
D' L F2 L' R F' B
D' L F2 L' R B F'
D' L F2 R L' F' B
D' L F2 R L' B F'
D' L F2 R B L' F'
D L B' L' R U2 B
D L B' R L' U2 B
R L' D L B' U2 B2
U2 L' D F2 B' L' F
U2 L' D B' F2 L' F
U2 L' F2 D B' L' F
U2 L' F2 B' L' D F2
U2 L' B' L' D F2 L'
U2 L' B' F2 L' D F2
R U D L' U F B
R U D L' U B F
D R L B' L' U2 B2
D' R U L U F' B
D' R U L U B F'
D' R U L' U F' B
D' R U L' U B F'
D' R U L2 U F' B
D' R U L2 U B F'
D R U L' U F B
D R U L' U B F
B R U R2 U' F' U2
D' R U' L U' F' B
D' R U' L U' B F'
B' R U' L U' D B
B' R U' L U' D' B
B' R U' L U' D2 B
B' R U' L U' B D
B' R U' L U' B D'
B' R U' L U' B D2
B' R U' L D U' B
D' R U' L' U' F' B
B' R U' L D' U' B
D' R U' L' U' B F'
B' R U' L D2 U' B
D' R U' L2 U' F' B
D' R U' L2 U' B F'
B2 R U' L U' F B
B2 R U' L U' B F
B' R U' D L U' B
D R U' L' U' F B
D R U' L' U' B F
B' R U' D' L U' B
B' R U' D2 L U' B
D' R U2 L B L' F'
B R U' D2 L2 U' B
D' R U2 L' F' L B
D' R U2 L2 F' L2 B
D' R U2 L2 F' B L2
D' R U2 L2 B L2 F'
D' R U2 L2 B F' L2
D' R U2 D F' D B
D' R U2 D F' D' B
D' R U2 D F' D2 B
D' R U2 D F' B D
D' R U2 D F' B D'
D' R U2 D F' B D2
D' R U2 D B D F'
D' R U2 D B D' F'
D' R U2 D B D2 F'
D' R U2 D B F' D
D' R U2 D B F' D'
D' R U2 D B F' D2
D' R U2 D' F' D B
D' R U2 D' F' D' B
D' R U2 D' F' D2 B
D' R U2 D' F' B D
D' R U2 D' F' B D'
D' R U2 D' F' B D2
D' R U2 D' B D F'
D' R U2 D' B D' F'
D' R U2 D' B D2 F'
D' R U2 D' B F' D
D' R U2 D' B F' D'
D' R U2 D' B F' D2
D R U2 L' F L B
D' R U2 D2 F' D B
D' R U2 D2 F' D' B
D' R U2 D2 F' D2 B
D' R U2 D2 F' B D
D' R U2 D2 F' B D'
D' R U2 D2 F' B D2
D' R U2 D2 B D F'
D' R U2 D2 B D' F'
D' R U2 D2 B D2 F'
D' R U2 D2 B F' D
D' R U2 D2 B F' D'
D' R U2 D2 B F' D2
D' R U2 F' L B L'
D' R U2 F' L2 B L2
R U B R' B' U B
D' R U2 F' D B D
D' R U2 F' D B D'
D' R U2 F' D B D2
D' R U2 F' D' B D
D' R U2 F' D' B D'
D' R U2 F' D' B D2
D' R U2 F' D2 B D
D' R U2 F' D2 B D'
D' R U2 F' D2 B D2
D' R U2 F' B2 D B'
D' R U2 F' B2 D' B'
D' R U2 F' B2 D2 B'
F2 R U2 D L' F B
F2 R U2 D L' B F
D' R U2 F2 D F B
D' R U2 F2 D B F
D' R U2 F2 D' F B
D' R U2 F2 D' B F
F2 R U2 D B L' F
D' R U2 F2 D2 F B
D' R U2 F2 D2 B F
D' R U2 F2 B D F
D' R U2 F2 B D' F
D' R U2 F2 B D2 F
D' R U2 B L' F' L
D' R U2 B L2 F' L2
D' R U2 B D F' D
D' R U2 B D F' D'
D' R U2 B D F' D2
D' R U2 B D' F' D
D' R U2 B D' F' D'
D' R U2 B D' F' D2
D' R U2 B D2 F' D
D' R U2 B D2 F' D'
D' R U2 B D2 F' D2
D' R U2 B F2 D F
D' R U2 B F2 D' F
D' R U2 B F2 D2 F
D' R U2 B2 D F' B'
D' R U2 B2 D B' F'
D' R U2 B2 D' F' B'
D' R U2 B2 D' B' F'
D' R U2 B2 D2 F' B'
D' R U2 B2 D2 B' F'
D' R U2 B2 F' D B'
D' R U2 B2 F' D' B'
D' R U2 B2 F' D2 B'
B R U2 D' F2 D B
B R U2 D' F2 D' B
B R U2 D' F2 D2 B
B R U2 D' F2 B D
B R U2 D' F2 B D'
B R U2 D' F2 B D2
B R U2 D' B F2 D
B R U2 D' B F2 D'
B R U2 D' B F2 D2
B R U2 D2 B D F2
B R U2 F D' F2 B
B R U2 F D' B F2
B R U2 F B D' F2
B R U2 F' D' F2 B
B R U2 F' D' B F2
B R U2 F' B D' F2
D R U2 B L' F L
B R U2 F2 D' F2 B
B R U2 F2 D' B F2
B R U2 F2 B D' F2
B R U2 B U' R2 U
B R U2 B D' F2 D
B R U2 B D' F2 D'
B R U2 B D' F2 D2
B R U2 B F D' F2
B R U2 B F' D' F2
B R U2 B F2 D' F2
B R U2 B2 D' F2 B'
B R U2 B2 D' B' F2
B' R D U' L U' B
D' R D U2 F' D B
D' R D U2 F' D' B
D' R D U2 F' D2 B
D' R D U2 F' B D
D' R D U2 F' B D'
D' R D U2 F' B D2
D' R D U2 B D F'
D' R D U2 B D' F'
D' R D U2 B D2 F'
D' R D U2 B F' D
D' R D U2 B F' D'
D' R D U2 B F' D2
D' R D F U2 F2 B
D' R D F U2 B F2
D' R D F2 U2 F B
D' R D F2 U2 B F
F2 R D U2 L' F B
F2 R D U2 L' B F
F2 R D U2 B L' F
D' R D B' U2 F' B2
D' R D B' U2 B2 F'
D' R D B2 U2 F' B'
D' R D B2 U2 B' F'
B R D F B2 U2 B'
B R D F' B2 U2 B'
B R D F2 B2 U2 B'
B R D B2 U2 D B'
B R D B2 U2 D' B'
B R D B2 U2 D2 B'
B R D B2 U2 B' D
B R D B2 U2 B' D'
B R D B2 U2 B' D2
B R D B2 D U2 B'
B' R D' U' L U' B
B R D B2 D' U2 B'
B R D B2 D2 U2 B'
B R D B2 F U2 B'
B R D B2 F' U2 B'
B R D B2 F2 U2 B'
D' R D' U2 F' D B
D' R D' U2 F' D' B
D' R D' U2 F' D2 B
D' R D' U2 F' B D
D' R D' U2 F' B D'
D' R D' U2 F' B D2
D' R D' U2 B D F'
D' R D' U2 B D' F'
D' R D' U2 B D2 F'
D' R D' U2 B F' D
D' R D' U2 B F' D'
D' R D' U2 B F' D2
D' R D' F U2 F2 B
D' R D' F U2 B F2
D' R D' F2 U2 F B
D' R D' F2 U2 B F
D' R D' B' U2 F' B2
D' R D' B' U2 B2 F'
D' R D' B2 U2 F' B'
D' R D' B2 U2 B' F'
B R D' U2 F2 D B
B R D' U2 F2 D' B
B R D' U2 F2 D2 B
B R D' U2 F2 B D
B R D' U2 F2 B D'
B R D' U2 F2 B D2
B R D' U2 B F2 D
B R D' U2 B F2 D'
B R D' U2 B F2 D2
B R D' F U2 F B
B R D' F U2 B F
B R D' F' U2 F' B
B R D' F' U2 B F'
B R D' B' U2 F2 B2
B R D' B' U2 B2 F2
B' R D2 U' L U' B
B R D' B2 U2 F2 B'
B R D' B2 U2 B' F2
D' R D2 U2 F' D B
D' R D2 U2 F' D' B
D' R D2 U2 F' D2 B
D' R D2 U2 F' B D
D' R D2 U2 F' B D'
D' R D2 U2 F' B D2
D' R D2 U2 B D F'
D' R D2 U2 B D' F'
D' R D2 U2 B D2 F'
D' R D2 U2 B F' D
D' R D2 U2 B F' D'
D' R D2 U2 B F' D2
D' R D2 F U2 F2 B
D' R D2 F U2 B F2
D' R D2 F2 U2 F B
D' R D2 F2 U2 B F
D' R D2 B' U2 F' B2
D' R D2 B' U2 B2 F'
D' R D2 B2 U2 F' B'
D' R D2 B2 U2 B' F'
B R D2 U' L2 U' B
B R D2 U2 B D F2
D2 R F U' L' U' B
B' R F U' L U' B
D' R F U2 F2 D B
D' R F U2 F2 D' B
D' R F U2 F2 D2 B
D' R F U2 F2 B D
D' R F U2 F2 B D'
D' R F U2 F2 B D2
D' R F U2 B F2 D
D' R F U2 B F2 D'
D' R F U2 B F2 D2
D' R F D2 B2 U2 B'
D' R F B' U2 F2 B2
D' R F B' U2 B2 F2
D' R F B2 U2 F2 B'
D' R F B2 U2 B' F2
B R F U2 D' F2 B
B R F U2 D' B F2
