F' U2 L' F
F' R U2 L' F
F' R' U2 L' F
F' R2 U2 L' F
F' U2 L' D F
F' U2 L' D' F
F' U2 L' D2 F
F' U2 L' F D
F' U2 L' F D'
F' U2 L' F D2
F' B U2 L' F
F' B U2 L' F
B' F' U2 L' F
F' B' U2 L' F
B2 F' U2 L' F
B F' U2 L' F
F' B2 U2 L' F
F' L B' L' U2 L'
F' R U2 L' D F
F' R U2 L' D' F
F' R U2 L' D2 F
F' R U2 L' F D
F' R U2 L' F D'
F' R U2 L' F D2
F2 R F U2 L' F
F' R B U2 L' F
F' R B' U2 L' F
F' R B2 U2 L' F
F' R' U2 L' D F
F' R' U2 L' D' F
F' R' U2 L' D2 F
F' R' U2 L' F D
F' R' U2 L' F D'
F' R' U2 L' F D2
F2 R' F U2 L' F
R2 U2 L' F B L
R2 U2 L' B F L
R2 U2 L2 B L F
F' R' B U2 L' F
F' R' B' U2 L' F
F' R' B2 U2 L' F
F' R2 U2 L' D F
F' R2 U2 L' D' F
F' R2 U2 L' D2 F
F' R2 U2 L' D2 F
F' R2 U2 L' F D
F' R2 U2 L' F D'
F' R2 U2 L' F D2
R2 U2 B L' F L2
D2 R2 U2 B L F
F2 R2 F U2 L' F
F' R2 B U2 L' F
F' R2 B' U2 L' F
F' R2 B2 U2 L' F
F' U R U L' F
F' U R' U L' F
F' U R2 U L' F
F' U' L U' L2 F
F' U' B U' L' F
F' U' B' U' L' F
F' U' B2 U' L' F
F' U2 L F L2 F
F' U2 L F' L2 F
F' U2 L F2 L2 F
F' U2 L' R F R'
F' U2 L' R2 F R2
F' U2 L' D F D
F' U2 L' D F D'
F' U2 L' D F D2
F' U2 L' D' F D
F' U2 L' D' F D'
F' U2 L' D' F D2
F' U2 L' D2 F D
F' U2 L' D2 F D'
F' U2 L' D2 F D2
F' U2 L' F2 D F'
F' U2 L' F2 D' F'
F' U2 L' F2 D2 F'
F2 U2 L' F L' B'
F2 U2 L' F L' B'
F' U2 L2 D L F
F' U2 L2 D' L F
F' U2 L2 D2 L F
F' U2 L2 F L F
F' U2 L2 F' L F
F' U2 L2 F2 L F
F' U2 R L' F R'
F' U2 R2 L' F R2
F' U2 F' L' F L'
D2 F R F2 U2 F
F' U2 B' L' F B
F' U2 B' L' B F
F' U2 B2 L' F B2
F' U2 B2 L' B2 F
L' F' L U2 L2 F2
L' F' L U2 F2 L2
