L B U' R B R'
R' L U L F R U2
F' L D' B U' B R'
D2 L F B R U' R
D L F B R F U'
D L F2 D2 B R' U'
D2 L B R U' R B
U' L B R U' B R'
D2 L B U' R B R
D' L B U2 B L U
L R' U L F R U2
D2 L B F R U' R
F L B D' R F' U'
D L B F R F U'
F L B2 R B' U' R2
U L' B L2 U' B2 R'
U L' B' D F2 L2 R
U L' B' D F2 R L2
U2 L2 U' L' B U' B2
F L2 U' L' B R U'
U2 L2 U' B L' U' B'
F L2 U' B L' R U'
F L2 U' B R L' U'
L U L F U' B U'
F R D2 L B' U' R2
L2 U' L' B R U' B
L2 U' B L' R U' B
L2 U' B R L' U' B
D' R' B2 R' F' L' U
D' R2 F' B2 L' R' U
D' R2 F' B2 R' L' U
D' R2 B2 F' L' R' U
D' R2 B2 F' R' L' U
L' D B U' F2 R B
L D B U' R B R'
R2 D' F' B2 L' R' U
R2 D' F' B2 R' L' U
L D' B U' R B R'
R' D' B2 R' F' L' U
R2 D' B2 F' L' R' U
R2 D' B2 F' R' L' U
L D2 B U' R B R'
D2 F L B R U' R
F D L B R F2 U'
L F B D' R F' U'
L F B2 R B' U' R2
R2 F' L' U D F2 R
R2 F' L' D U F2 R
F' D F2 L B R U'
R2 F' D' B2 L' R' U
R2 F' D' B2 R' L' U
D F2 L D2 B R' U'
F2 D2 L B R' U' R'
F D2 L B R U' R
D F2 D' L B U' B2
D F2 D2 L B R' U'
L2 B L' U L F U2
L' B L2 U L F U2
B D2 F L' R U' R
B D2 F R L' U' R
L B R U' R B R'
L B R' U' R B R'
L B R2 U' R B R'
L' B U' D F2 R B
D' B U2 B L R' U
D' B U2 B R' L U
L B U' R B R' D
L B U' R B R' D'
L B U' R B R' D2
L B U' R B D R'
L B U' R B D' R'
L B U' R B D2 R'
L B U' R2 B R' B
L' B D U' F2 R B
L B U' B R B R2
L B U2 B L U R'
L B D' F R F' U'
L B F D' R F' U'
D' B2 R' U2 B' R' U'
L B2 R2 B' U' R B
L B2 F R B' U' R2
