F L D2 L2 U R2
F L' U2 R2 U' R2
F L2 U D B2 R'
F L2 D U B2 R'
F U' L' U' R2 U'
F U' L' U2 D B2
F U' L' D U2 B2
F U' L' D' F2 U2
F U' D L' U2 B2
F U' D' L' F2 U2
F U' D' F2 U2 R
F U2 R2 U L' U2
F U2 R2 F2 U' R
D' F L2 U B' R'
D2 F L2 B U R'
F U2 F2 R2 U' R'
F D L2 U B2 R'
D2 F B L2 U R'
F D U' L' U2 B2
F D' U' L' F2 U2
F D' U' F2 U2 R
F D2 L2 U' L U2
F D2 L2 B2 U R'
D2 B F L2 U R'
F L U D B2 D R2
F L U D2 R2 D' B2
F L U' L2 U' R2 U'
F L U' L2 U2 D B2
F L U' L2 D U2 B2
F L U' L2 D' F2 U2
F L U2 R2 U L2 U2
F L U2 R2 U' D2 R2
F L U2 R2 D F2 U'
F L U2 R2 D2 U' R2
F L U2 D F2 U' B2
F L D U B2 D R2
F L D U2 F2 U' B2
D' L D' B' L2 U L'
F L D' B2 U D2 B2
F L D' B2 U' F2 U2
F L D' B2 D' L2 U
F L D' B2 D2 U B2
F L D2 L2 U R2 D
F L D2 L2 U R2 D'
F L D2 L2 U R2 D2
F L D2 L2 D B2 U
F L D2 L2 B U R2
F L D2 L2 B' U R2
F L D2 L2 B2 U R2
F L D2 U R2 D' B2
F L D2 B L2 U R2
F L D2 B' L2 U R2
F L D2 B2 L2 U R2
F L B D2 L2 U R2
F L B' D2 L2 U R2
F L B2 D2 L2 U R2
F L' U D B2 D' R2
F L' U2 R2 U' R2 D
F L' U2 R2 U' R2 D'
F L' U2 R2 U' R2 D2
F L' U2 R2 D' F2 U'
F L' U2 R2 F U' R2
F L' U2 R2 F' U' R2
F L' U2 R2 F2 U' R2
F L' U2 F R2 U' R2
F L' U2 F' R2 U' R2
F L' U2 F2 R2 U' R2
F L' D L' U B2 R'
F L' D U B2 D' R2
F L' D2 L2 U D2 R2
F L' D2 L2 U' L2 U2
F L' D2 L2 D' B2 U
F L' D2 L2 D2 U R2
F L' B U2 R2 U' R2
F L' B' U2 R2 U' R2
F L' B2 U2 R2 U' R2
F L2 U D R B2 R'
F L2 U D R' B2 R'
F L2 U D R2 B2 R'
F L2 U D B2 R' D
F L2 U D B2 R' D'
F L2 U D B2 R' D2
F L2 U D B2 D R'
F L2 U D B2 D' R'
F L2 U D B2 D2 R'
F L2 U B2 D R' B2
F L2 U' L U' R2 U'
F L2 U' L U2 D B2
F L2 U' L D U2 B2
F L2 U' L D' F2 U2
F L2 U' D L U2 B2
F L2 U' D' L F2 U2
F L2 U' D' F2 L U2
D2 L2 U2 B' U L U2
F L2 U2 R2 U L U2
F L2 D U R B2 R'
F L2 D U R' B2 R'
F L2 D U R2 B2 R'
F L2 D U B2 R' D
F L2 D U B2 R' D'
F L2 D U B2 R' D2
F L2 D U B2 D R'
F L2 D U B2 D' R'
F L2 D U B2 D2 R'
F L2 D U' L U2 B2
F L2 D B U B R'
F L2 D' U' L F2 U2
F L2 D' U' F2 L U2
F L2 D2 L2 U' L' U2
F L2 D2 B2 L2 U R'
D2 L2 B U R' D L2
D2 L2 B U D L2 R'
D2 L2 B U D R' L2
D2 L2 B D U L2 R'
D2 L2 B D U R' L2
D2 L2 B D2 F2 U R'
D2 L2 B' U' L U2 L'
U' L2 B' R2 U' F' R
F L2 B2 U D R' B2
F L2 B2 U2 R2 U' R
F L2 B2 D U R' B2
F L2 B2 D2 L2 U R'
F' R U' F2 L' R' U
F' R U' F2 R' L' U
F' R F2 L' R' U R
F' R F2 R' L' U R
R2 U' F' D' L2 R F2
R2 U' F' D' R L2 F2
R2 U' F' D' R F2 L2
L2 U' B' R2 U' F' R
L2 U2 R2 F' B' U' R
R2 U2 R2 F U' L' U2
L2 U2 R2 B' F' U' R
R2 U2 F R2 U' L' U2
R2 U2 F U D' F2 R
R2 U2 F D' U F2 R
R2 U2 F' R2 F2 U R'
L2 U2 F' B' R2 U' R'
F' R2 U' D' L2 R' F2
F' R2 U' D' L2 F2 R'
F' R2 U' D' R' L2 F2
F' R2 U' D' R' F2 L2
F' R2 U' D' F2 L2 R'
F' R2 U' D' F2 R' L2
F' R2 U2 F2 R2 U R
U2 R2 U2 F U' L' U2
L2 U2 B' R2 F' U' R
L2 U2 B' F' R2 U' R'
F' R2 D' U' L2 R' F2
F' R2 D' U' L2 F2 R'
F' R2 D' U' R' L2 F2
F' R2 D' U' R' F2 L2
F' R2 D' U' F2 L2 R'
F' R2 D' U' F2 R' L2
U2 R2 F U L' U2 L
U2 R2 F' U' R D' L2
U2 R2 F' U' D' L2 R
U2 R2 F' U' D' R L2
U2 R2 F' D' U' L2 R
U2 R2 F' D' U' R L2
U2 R2 F' D2 B2 U' R
F' U R U' F2 L' U
F' U D R' B2 L R2
F' U D R' B2 R2 L
F' U D B2 D2 L2 R
F' U D B2 D2 R L2
F' U D' L2 R D2 B2
F' U D' L2 D2 R B2
F' U D' L2 D2 B2 R
F' U D' R L2 D2 B2
F U D L2 B2 L2 R'
F U D L2 B2 R' L2
F U D F2 R F2 B2
F U D F2 R B2 F2
F U D F2 B2 R F2
F U D B2 U2 L' U2
F U D B2 F2 R F2
F U' L' U D2 L2 U
F U' L' U' R2 U' D
F U' L' U' R2 U' D'
F U' L' U' R2 U' D2
F U' L' U' R2 D U'
F U' L' U' R2 D' U'
F U' L' U' R2 D2 U'
F U' L' U2 D B2 D
F U' L' U2 D B2 D'
F U' L' U2 D B2 D2
F U' L' U2 B D B2
F U' L' U2 B' D B2
F U' L' U2 B2 D B2
F U' L' D U2 B2 D
F U' L' D U2 B2 D'
F U' L' D U2 B2 D2
F U' L' D F U2 B2
F U' L' D F' U2 B2
F U' L' D F2 U2 B2
F U' L' D' F2 U2 D
F U' L' D' F2 U2 D'
F U' L' D' F2 U2 D2
F U' L' D' F2 D U2
F U' L' D' F2 D' U2
F U' L' D' F2 D2 U2
F U' L' D2 U L2 U
F U' L' F U' R2 U'
F U' L' F U2 D B2
F U' L' F D U2 B2
F U' L' F D' F2 U2
F U' L' F' U' R2 U'
F U' L' F' U2 D B2
F U' L' F' D U2 B2
F U' L' F' D' F2 U2
F U' L' F2 U' R2 U'
F U' L' F2 U2 D B2
F U' L' F2 D U2 B2
F U' L' F2 D' F2 U2
F U' L2 U2 D B2 R'
F U' L2 D L U2 B2
F U' L2 D U2 B2 R'
F U' L2 D' L F2 U2
F U' L2 D' F2 L U2
F' U' D R2 U2 R' B2
F' U' D' F2 L' U2 L'
F U' D L' U2 B2 D
F U' D L' U2 B2 D'
F U' D L' U2 B2 D2
F U' D L' D2 F2 U2
F U' D L' F U2 B2
F U' D L' F' U2 B2
F U' D L' F2 U2 B2
F U' D L2 U2 B2 R'
F U' D F2 U2 R B2
F U' D F2 U2 B2 R
F U' D' L F2 L2 U2
F U' D' L' U2 D2 B2
F U' D' L' D2 U2 B2
F U' D' L' F2 U2 D
F U' D' L' F2 U2 D'
F U' D' L' F2 U2 D2
F U' D' L' F2 D U2
F U' D' L' F2 D' U2
F U' D' L' F2 D2 U2
F U' D' L2 F2 L U2
F U' D' F2 L U2 R
F U' D' F2 L' U2 R
F U' D' F2 L2 U2 R
F U' D' F2 U2 R D
F U' D' F2 U2 R D'
F U' D' F2 U2 R D2
F U' D' F2 U2 D R
F U' D' F2 U2 D' R
F U' D' F2 U2 D2 R
F U' D' F2 D U2 R
F U' D' F2 D' U2 R
F U' D' F2 D2 U2 R
F U' D2 L' U L' U
L2 D2 L2 F B U R'
L2 D2 L2 B F U R'
R2 D2 L2 B' U L U2
F U' F2 U' R2 U' R'
F U' F2 U2 D R B2
F U' F2 U2 D B2 R
F U' F2 D U2 R B2
F U' F2 D U2 B2 R
F U' F2 D' F2 L' U2
F' U2 R2 U' R' D' L2
F' U2 R2 U' D' L2 R'
F' U2 R2 U' D' R' L2
F' U2 R2 U2 F2 U R'
F' U2 R2 D' U' L2 R'
F' U2 R2 D' U' R' L2
F2 U2 R2 B U L U2
F U2 R' F2 R' U' R2
F U2 R2 U L' U2 D
F U2 R2 U L' U2 D'
F U2 R2 U L' U2 D2
F U2 R2 U L' D U2
F U2 R2 U L' D' U2
F U2 R2 U L' D2 U2
F U2 R2 U D L' U2
F U2 R2 U D' L' U2
F U2 R2 U D2 L' U2
F U2 R2 U' F2 R F2
F U2 R2 D U L' U2
F U2 R2 D F2 U' R
F U2 R2 D' U L' U2
F U2 R2 D' F2 U' R
F U2 R2 D2 U L' U2
R2 D2 B2 L2 B' U' R'
F U2 R2 D2 F2 U' R
F U2 R2 F2 U' R D
F U2 R2 F2 U' R D'
F U2 R2 F2 U' R D2
F U2 R2 F2 U' D R
F U2 R2 F2 U' D' R
D2 F L D L B' U
F U2 R2 F2 U' D2 R
F U2 R2 F2 D U' R
F U2 R2 F2 D' U' R
F U2 R2 F2 D2 U' R
D' F L D' B' L U
D' F L B' L U B'
F U2 D F2 U' R B2
F U2 D F2 U' B2 R
D2 F L' B L' U R'
D' F L2 U R B' R'
D' F L2 U R' B' R'
D' F L2 U R2 B' R'
D' F L2 U D B' R'
