B2 L' F L2 U' L
L' F U2 R' U L'
L' F B2 L U' L2
L2 B2 L F U' L'
D' B2 L B' U' R'
L' B2 F L U' L2
F L U2 R' B' U L2
B2 L U2 D2 B' U L
B2 L U2 F B' U L'
B2 L U2 B' F U L'
B2 L D2 U2 B' U L
B2 L F U2 B' U L'
R' L' U2 R F U' L'
L' R' U2 R F U' L'
B2 L' F L2 U' L D
B2 L' F L2 U' L D'
B2 L' F L2 U' L D2
B2 L' F L2 U' D L
B2 L' F L2 U' D' L
B2 L' F L2 U' D2 L
B2 L' F L2 D U' L
B2 L' F L2 D' U' L
B2 L' F L2 D2 U' L
B L' F L2 U' L F
B' L' F U' D L' F
B' L' F D U' L' F
B2 L' F U' D L' F2
B L' F U' L F L2
B2 L' F D U' L' F2
B' L' F B' L U' L2
B2 L' F B L2 U' L
B2 L' F B' L2 U' L
B L' F B L U' L2
B2 L' F B2 L2 U' L
F L' F B2 L U' L'
B2 L' F' L2 F2 U' L'
B2 L' F2 L2 F' U' L'
B2 L' B F L2 U' L
B L' B F L U' L2
B' L' B' F L U' L2
B2 L' B' F L2 U' L
B2 L' B2 F L2 U' L
F L' B2 F L U' L'
B L2 U' L F L' R
B L2 U' L F R L'
B L2 B L F U' L'
B' L2 B' L F U' L'
L2 U' F L' R D' F2
L2 U' F R L' D' F2
L2 U' F R D' L' F2
L' U2 R' U2 F U' L'
L U2 R' D2 B' U L
L U2 R' F B' U L'
L U2 R' B' F U L'
L U2 D2 R' B' U L
L U2 F R' B' U L'
U2 R2 D R F' U R
R2 D R F' U R B2
R2 D R F' U B2 R
U2 D R F' R2 U R'
L' D' F B2 L B' U'
L2 D' B2 L F B' U'
L2 D' B2 L B' F U'
L' D' B2 F L B' U'
D2 U2 R' B U' R' U2
D U2 R F' R2 U R'
U2 D2 R' B U' R' U2
L D2 U2 R' B' U L
L' F L U2 R' U L2
L' F L D' B2 L U'
L' F L B2 L U' L
F2 U2 D2 R' B U L
L' F L' B2 L U' L'
L' F L2 U2 R' U L
F U2 D2 R' B U L'
L' F U' L' U' R' U
L' F U2 R' U L' D
L' F U2 R' U L' D'
L' F U2 R' U L' D2
L' F U2 R' U D L'
L' F U2 R' U D' L'
L' F U2 R' U D2 L'
L' F U2 R' D U L'
L' F U2 R' D' U L'
L' F U2 R' D2 U L'
L' F U2 D R' U L'
L' F U2 D' R' U L'
L' F U2 D2 R' U L'
L' F D U2 R' U L'
L' F D B2 L U' L2
L F U2 R' B' U L'
L' F D' U2 R' U L'
L' F D' B2 L U' L2
L' F D2 U2 R' U L'
U2 F D2 R' B U L'
L' F D2 B2 L U' L2
L' F B L2 U' L F
L' F B U' L F L2
L' F B' U' D L' F
L' F B' D U' L' F
D' F B2 L B' U' R'
L' F B2 L U' L2 D
L' F B2 L U' L2 D'
L' F B2 L U' L2 D2
L' F B2 L D' B2 U'
L' F B2 L B U' L2
L' F B2 L B' U' L2
L' F B2 L B2 U' L2
L' F B2 U' L' D F2
L2 F B2 L F U' L2
L' F B2 D L U' L2
L' F B2 D' L U' L2
L' F B2 D2 L U' L2
B2 D' L B' U L U2
D' F' B2 L B' U' R'
L' F' B2 L F2 U' L'
D' F2 B2 L B' U' R'
L' F2 B2 L F' U' L'
F2 D2 U2 R' B U L
F D2 U2 R' B U L'
L2 B U' L F L' R
L2 B U' L F R L'
B2 F L U2 B' U L2
B2 F L' F L2 U' L2
B F L2 U' L F R
F B L2 U' L F R
L' B F L2 U' L F
L' B F U' L F L2
L' B' F U' D L' F
L' B' F D U' L' F
D' B2 L D B' U' R'
D' B2 L D' B' U' R'
D' B2 L D2 B' U' R'
D' B2 L F B' U' R'
D' B2 L F' B' U' R'
D' B2 L F2 B' U' R'
D' B2 L B' U' R' D
D' B2 L B' U' R' D'
D' B2 L B' U' R' D2
D' B2 L B' U' D R'
D' B2 L B' U' D' R'
D' B2 L B' U' D2 R'
D' B2 L B' D U' R'
D' B2 L B' D' U' R'
D' B2 L B' D2 U' R'
D' B2 L B' F U' R'
D' B2 L B' F' U' R'
D' B2 L B' F2 U' R'
L2 B2 L F U' L' D
L2 B2 L F U' L' D'
L2 B2 L F U' L' D2
L2 B2 L F U' D L'
L2 B2 L F U' D' L'
L2 B2 L F U' D2 L'
L2 B2 L F D U' L'
L2 B2 L F D' U' L'
L2 B2 L F D2 U' L'
L2 B2 L F B U' L'
L2 B2 L F B' U' L'
L2 B2 L F B2 U' L'
L2 B2 L B F U' L'
L2 B2 L B' F U' L'
L2 B2 L B2 F U' L'
F B2 L U2 B' U L2
F B2 L' F L2 U' L2
L' B2 D' F L B' U'
L2 B2 D' L F B' U'
L2 B2 D' L B' F U'
D' B2 F L B' U' R'
L' B2 F L U' L2 D
L' B2 F L U' L2 D'
L' B2 F L U' L2 D2
L' B2 F L D' B2 U'
L' B2 F L B U' L2
L' B2 F L B' U' L2
L' B2 F L B2 U' L2
L' B2 F U' L' D F2
L' B2 F D L U' L2
L' B2 F D' L U' L2
L2 B2 F L F U' L2
L' B2 F D2 L U' L2
D' B2 F' L B' U' R'
L' B2 F' L F2 U' L'
D' B2 F2 L B' U' R'
L' B2 F2 L F' U' L'
