F2 U2 D' R F'
F2 D' U2 R F'
F2 L U2 D' R F'
F2 L D' U2 R F'
D L' U' R2 U' F
F2 L' U2 D' R F'
D L' U2 D F B2
D L' U2 D B2 F
D L' U2 F D B2
D L' D U2 F B2
D L' D U2 B2 F
F2 L' D' U2 R F'
D L' D' F2 U2 F'
B' L' F2 U' L2 U'
B' L' F2 U2 D F2
B' L' F2 D U2 F2
B' L' F2 D' B2 U2
B L' F2 U R' U
F2 L2 U2 D' R F'
F2 L2 D' U2 R F'
F2 U B R' U R2
F2 U2 D' R D F'
F2 U2 D' R D' F'
F2 U2 D' R D2 F'
F2 U2 D' R F' D
F2 U2 D' R F' D'
F2 U2 D' R F' D2
F2 D L B' U2 R
F2 D L' U2 R F
F2 D' L U2 R F'
F2 D' L' U2 R F'
F2 D' L2 U2 R F'
F2 D' U2 R D F'
F2 D' U2 R D' F'
F2 D' U2 R D2 F'
F2 D' U2 R F' D
F2 D' U2 R F' D'
F2 D' U2 R F' D2
F2 D' U2 R F' D2
F D' F U2 R F'
F2 D' B U2 R F'
F2 D' B' U2 R F'
F2 D' B2 U2 R F'
L2 F2 D L B' U2
L' F2 B U R' U
L' F2 B' U' L U'
L' B F2 U R' U
F2 B U R' U R2
F2 B U2 R D' F2
L' B' F2 U' L U'
F2 B' U' L U' R
B' F2 U' L U' R
B F2 U R' U R2
B F2 U2 R D' F2
F2 L U B R' U R2
F2 L U2 D' R D F'
F2 L U2 D' R D' F'
F2 L U2 D' R D2 F'
F2 L U2 D' R F' D
F2 L U2 D' R F' D'
F2 L U2 D' R F' D2
F2 L D L B' U2 R
F2 L D L' U2 R F
F2 L D' L U2 R F'
F2 L D' L' U2 R F'
F2 L D' L2 U2 R F'
F2 L D' U2 R D F'
F2 L D' U2 R D' F'
F2 L D' U2 R D2 F'
F2 L D' U2 R F' D
F2 L D' U2 R F' D'
F2 L D' U2 R F' D2
F2 L D' B U2 R F'
F2 L D' B' U2 R F'
F2 L D' B2 U2 R F'
L' R F2 D' R' B U2
F' L F' U2 D' R F'
F' L F' D' U2 R F'
B' L F2 L2 U' L2 U'
B' L F2 L2 U2 D F2
B' L F2 L2 D U2 F2
B' L F2 L2 D' B2 U2
B L F2 L2 U R' U
F2 L B U R' U R2
F2 L B U2 R D' F2
D L B' L2 U' R2 U'
D L B' L2 U2 D B2
D L B' L2 D U2 B2
D L B' L2 D' F2 U2
F2 L B' U' L U' R
D' L' U L' R U F'
D' L' U R L' U F'
D' L' U D2 L' U F
B L' U R' U D2 B2
B L' U R' U' F2 U2
B L' U R' D' L2 U
B L' U R' D2 U B2
B' L' U D2 R2 U B2
B L' U D' L2 R' U
B L' U D' R' L2 U
B L' U D2 R' U B2
F2 L' U B R' U R2
B' L' U' L2 U F2 U2
B' L' U' L2 U' D2 B2
B' L' U' L2 D R2 U'
B' L' U' L2 D2 U' B2
B' L' U' D R2 U' F2
D L' U' R2 U' D F
D L' U' R2 U' D' F
D L' U' R2 U' D2 F
D L' U' R2 U' F D
D L' U' R2 U' F D'
D L' U' R2 U' F D2
D L' U' R2 D U' F
D L' U' R2 D' U' F
D L' U' R2 D2 U' F
B' L' U2 D F2 D B2
F2 L' U2 D' R D F'
F2 L' U2 D' R D' F'
F2 L' U2 D' R D2 F'
F2 L' U2 D' R F' D
F2 L' U2 D' R F' D'
F2 L' U2 D' R F' D2
D L' U2 D F B2 D
D L' U2 D F B2 D'
D L' U2 D F B2 D2
B' L' U2 D2 B2 D' F2
D L' U2 D B2 D F
D L' U2 D B2 D' F
D L' U2 D B2 D2 F
D L' U2 D B2 F D
D L' U2 D B2 F D'
D L' U2 D B2 F D2
D L' U2 D2 F D' B2
D L' U2 F U R2 U'
D L' U2 F D B2 D
D L' U2 F D B2 D'
D L' U2 F D B2 D2
D L' U2 F B D B2
D L' U2 F B' D B2
D L' U2 F B2 D B2
D L' U2 F2 D F' B2
D L' U2 F2 D B2 F'
D L' U2 B D F B2
D L' U2 B D B2 F
D L' U2 B F D B2
D L' U2 B' D F B2
D L' U2 B' D B2 F
D L' U2 B' F D B2
F2 L' D L B' U2 R
D L' U2 B2 D F B2
D L' U2 B2 D B2 F
D L' U2 B2 F D B2
F2 L' D L' U2 R F
R' L' F2 U2 D L' F
L' R' F2 U2 D L' F
R' L' F2 D U2 L' F
L' R' F2 D U2 L' F
B' L' D U' R2 U' F2
B' L' D U2 F2 D B2
D L' D U2 F B2 D
D L' D U2 F B2 D'
D L' D U2 F B2 D2
D L' D U2 B2 D F
D L' D U2 B2 D' F
D L' D U2 B2 D2 F
D L' D U2 B2 F D
D L' D U2 B2 F D'
D L' D U2 B2 F D2
D L' D F' U2 F2 B2
D L' D F' U2 B2 F2
R L' F2 D' R' B U2
D L' D F2 U2 F' B2
D L' D F2 U2 B2 F'
D L' D B U2 F B
D L' D B U2 B F
D L' D B' U2 F B'
D L' D B' U2 B' F
F2 L' D' L U2 R F'
F2 L' D' L' U2 R F'
F2 L' D' L2 U2 R F'
F2 L' D' U2 R D F'
F2 L' D' U2 R D' F'
F2 L' D' U2 R D2 F'
F2 L' D' U2 R F' D
F2 L' D' U2 R F' D'
F2 L' D' U2 R F' D2
B L' D' U L2 R' U
B L' D' U R' L2 U
F2 L' D' B U2 R F'
F2 L' D' B' U2 R F'
D L' D' F2 U2 D F'
D L' D' F2 U2 D' F'
D L' D' F2 U2 D2 F'
D L' D' F2 U2 F' D
D L' D' F2 U2 F' D'
D L' D' F2 U2 F' D2
D L' D' F2 D U2 F'
D L' D' F2 D' U2 F'
D L' D' F2 D2 U2 F'
D L' D' F2 B U2 F'
B' L' D' B2 U L2 U
D L' D' F2 B' U2 F'
D L' D' F2 B2 U2 F'
B' L' D' B2 U2 D' B2
B' L' D' B2 D F2 U2
B' L' D' B2 D' U2 B2
F2 L' D' B2 U2 R F'
D L' D' B F2 U2 F'
D L' D' B' F2 U2 F'
D L' D' B2 F2 U2 F'
D' L' D2 U L' U F
B' L' D2 U R2 U B2
B' L' D2 U2 B2 D' F2
B L' D2 U R' U B2
D L' D2 U2 F D' B2
D2 L' F U' L' U' B2
B' L' F U' L2 U' B'
B' L' F D F U2 F
B' L' F D' F B2 U2
B' L' F D' B2 F U2
D L' F D' F2 U2 F2
D2 L' F' U R U B2
