B' D L2 F R F'
B' D F L2 R F'
B' D F R L2 F'
B' D F R F' L2
B F L' U' R B2
B F L' U' B2 R
F B L' U' R B2
F B L' U' B2 R
B' L D L2 F R F'
B' L D F L2 R F'
B' L D F R L2 F'
B' L D F R F' L2
B L F L' U' R B2
B L F L' U' B2 R
U L F L' B U' B2
U L F B L' U' B'
U L B F L' U' B'
B' L' D L2 F R F'
B' L' D F L2 R F'
B' L' D F R L2 F'
B' L' D F R F' L2
F L' D' B R' U' R2
B L' F L' U' R B2
B L' F L' U' B2 R
B' L2 D L2 F R F'
B' L2 D F L2 R F'
B' L2 D F R L2 F'
B' L2 D F R F' L2
B L2 F L' U' R B2
B L2 F L' U' B2 R
R2 U F' R U B' R'
B' R D L2 F R F'
B' R D F L2 R F'
B' R D F R L2 F'
B' R D F R F' L2
F R D B' L D F2
B R F L' U' R B2
B R F L' U' B2 R
R2 U' F' R B U B2
B' R' D L2 F R F'
B' R' D F L2 R F'
B' R' D F R L2 F'
B' R' D F R F' L2
B R' F L' U' R B2
B R' F L' U' B2 R
B' R2 D L2 F R F'
B' R2 D F L2 R F'
B' R2 D F R L2 F'
B' R2 D F R F' L2
B R2 F L' U' R B2
B R2 F L' U' B2 R
U R2 F' R U B' R'
B' U L F L' B2 U'
B' U L F B2 L' U'
B' U L B2 F L' U'
R D F R F' B' L
R D F R B' L F'
R D F R B' F' L
R D F B' L R F'
R D F B' R L F'
R D F B' R F' L
R D B' L F R F'
R D B' F L R F'
R D B' F R L F'
R D B' F R F' L
F U B L' U' R B2
F U B L' U' B2 R
B' U B2 L F L' U'
R D' F R B' L' F
R D' F B' L' R F
R D' F B' R L' F
R D' B' L' F L' R
R D' B' L' F R L'
R D' B' F L' R F
R D' B' F R L' F
F U' B L' U' R B2
F U' B L' U' B2 R
L F L' B U' R B2
L F L' B U' B2 R
D F R D F' B' L
D F R D B' L F'
D F R D B' F' L
D F R F' D B' L
F U2 B L' U' R B2
F U2 B L' U' B2 R
L2 F U' L' B U' R
B' D L F L R F'
B' D L F R L F'
B' D L F R F' L
L2 F U' B L' U' R
B' D L' D2 L' F R
B' D L' F R F' L'
B' D L2 R F R F2
B' D L2 F R D F'
B' D L2 F R D' F'
B' D L2 F R D2 F'
B' D L2 F R F' D
B' D L2 F R F' D'
B' D L2 F R F' D2
B' D L2 F2 R F' R
B' D R L2 F R F2
B' D R F L2 R F2
B' D R F R L2 F2
B' D R F R F2 L2
D F B U' R F' B2
D F B U' R B2 F'
D F B U' B2 R F'
L F B L' U' R B'
L F B L' U' B' R
D F B' R D L2 F'
D F B' R D F' L2
D F B' R F' D L2
B' D F L R F' L
B' D F L2 R D F'
B' D F L2 R D' F'
B' D F L2 R D2 F'
B' D F L2 R F' D
B' D F L2 R F' D'
B' D F L2 R F' D2
B' D F R L F' L
B' D F R L2 D F'
B' D F R L2 D' F'
B' D F R L2 D2 F'
B' D F R L2 F' D
B' D F R L2 F' D'
B' D F R L2 F' D2
B' D F R F L2 F2
B' D F R F' L2 D
B' D F R F' L2 D'
B' D F R F' L2 D2
B' D F2 L2 R F' R
B' D F2 L2 F' R F'
B' D F2 R L2 F' R
B' D F2 R F' L2 R
B' D F2 R F' R L2
F D B L' U' R B2
F D B L' U' B2 R
B' D' L D2 L2 F R
B' D' L' D2 F L2 R
B' D' L' D2 F R L2
B' D' L' F D2 L2 R
B' D' L' F D2 R L2
B' D' F R F2 L' F
B' D' F D2 L2 R F'
B' D' F D2 R L2 F'
