B L U R' D2 L2
B L U' R U2 R2
B L F2 U L' R'
B L F2 U R' L'
U' R U2 R B R'
U R2 B R' B L
F2 U L' R B R'
F2 U R L' B R'
F2 U R B L' R'
F2 U R B R' L'
F2 B L U L2 R'
F2 B L U R' L2
B F2 L U L2 R'
B F2 L U R' L2
U' L R D2 F L' U2
U L R2 B R' B L
B L U L R' D2 L2
F2 L U L2 R B R'
B L U L' R' D2 L2
F2 L U R L2 B R'
B L U L2 R' D2 L2
F2 L U R B L2 R'
F2 L U R B R' L2
B L U R' L D2 L2
B L U R' L' D2 L2
B L U R' L2 D2 L2
B L U R' U2 R2 U2
B L U R' D2 L2 D
B L U R' D2 L2 D'
B L U R' D2 L2 D2
B L U D R' D2 L2
B L U D' R' D2 L2
B L U D2 R' D2 L2
B L U F2 L' R' F2
B L U F2 L' F2 R'
B L U F2 R' L' F2
B L U' L R U2 R2
B L U' L' R U2 R2
B L U' L2 R U2 R2
B L U' R L U2 R2
B L U' R L' U2 R2
B L U' R L2 U2 R2
B L U' R U2 R2 D
B L U' R U2 R2 D'
B L U' R U2 R2 D2
B L U' R D2 L2 U2
B L U' D R U2 R2
B L U' D' R U2 R2
B L U' D2 R U2 R2
B L U2 F2 U' L' R'
B L U2 F2 U' R' L'
B L D U R' D2 L2
B L D U' R U2 R2
B L D F2 U L' R'
B L D F2 U R' L'
B L D' U R' D2 L2
B L D' U' R U2 R2
B L D' F2 U L' R'
B L D' F2 U R' L'
U' L D2 R F L' U2
B L D2 U R' D2 L2
B L D2 U' R U2 R2
B L D2 F2 U L' R'
B L D2 F2 U R' L'
B L F2 U L' R' D
B L F2 U L' R' D'
B L F2 U L' R' D2
B L F2 U L' D R'
B L F2 U L' D' R'
B L F2 U L' D2 R'
B L F2 U R' L' D
B L F2 U R' L' D'
B L F2 U R' L' D2
B L F2 U R' D L'
B L F2 U R' D' L'
B L F2 U R' D2 L'
B L F2 U D L' R'
B L F2 U D R' L'
B L F2 U D' L' R'
B L F2 U D' R' L'
B L F2 U D2 L' R'
B L F2 U D2 R' L'
B L F2 D U L' R'
B L F2 D U R' L'
B L F2 D' U L' R'
B L F2 D' U R' L'
B L F2 D2 U L' R'
B L F2 D2 U R' L'
F2 L B L U L R'
F2 L B L U R' L
B L B2 U' L R U2
B L B2 U' R L U2
U' L' R U2 B R' B2
U L' R2 B R' B L
B L' F2 L2 U L R'
B L' F2 L2 U R' L
F2 L' B L U L' R'
F2 L' B L U R' L'
F2 L2 U L R B R'
F2 L2 U R L B R'
U L2 R2 B R' B L
U' L2 D2 R F' U2 R
R U R' U R2 B R'
L' U R2 B R' B L
L2 U R2 B R' B L
L U R2 B R' B L
U' R L D2 F L' U2
U' R L' U2 B R' B2
B R U L R' U R'
B R U R' L U R'
U' R U B L U R'
U' R U2 R B R' D
U' R U2 R B R' D'
U' R U2 R B R' D2
U' R U2 R B D R'
U' R U2 R B D' R'
U' R U2 R B D2 R'
U' R U2 R2 B R' B
U' R U2 B R B R2
U' R D2 L F L' U2
U' R D2 F L' U2 B'
U' R D2 F' U2 R B
U' R F U2 R B R'
U R F U2 F' B R'
U R F U2 B F' R'
U' R F' U2 R B R'
L' U' R U2 R B R'
L2 U' R U2 R B R'
U R F' U2 F B R'
U R F' U2 B R' F
U R F' U2 B F R'
L U' R U2 R B R'
U' R F2 U2 R B R'
U R F2 U2 F2 B R'
U R F2 U2 B R' F2
U R F2 U2 B F2 R'
U R F2 B R' F2 L'
U' R B' L F B U2
U' R B' L B F U2
U R B R' U2 R U2
U R B R' F2 L' F2
U R B R2 D2 L2 R
U R B R2 D2 R L2
U R B F2 R' F2 L'
U R B' R B2 L R'
U R B' R B2 R' L
U R' U2 R2 U2 B R'
U R2 L B R' B L
U R2 L' B R' B L
U R2 L2 B R' B L
U R2 U2 R' U2 B R'
U R2 B L R' B L
U R2 B L' R' B L
U R2 B L2 R' B L
U R2 B R' L B L
U R2 B R' L' B L
U R2 B R' L2 B L
U R2 B R' D B L
U R2 B R' D' B L
U R2 B R' D2 B L
U R2 B R' B L D
U R2 B R' B L D'
U R2 B R' B L D2
U R2 B R' B D L
U R2 B R' B D' L
U R2 B R' B D2 L
U R2 B2 L B' R' B
F2 U L R B L2 R'
F2 U L R B R' L2
U R2 B2 D2 L B' R'
F2 U L' R B R' D
F2 U L' R B R' D'
F2 U L' R B R' D2
F2 U L' R B D R'
F2 U L' R B D' R'
F2 U L' R B D2 R'
F2 U L' R2 B R' B
F2 U L' B R B R2
F2 U R L B L2 R'
F2 U R L B R' L2
F2 U R L' B R' D
F2 U R L' B R' D'
F2 U R L' B R' D2
