R D' R2 U B R'
R' L U B D' R2 F'
D2 L R' B U F2 B2
D2 L R' B U B2 F2
L2 R U' F' L' B2 U2
L2 R U' F' B2 L' U2
L2 R U' B2 F' L' U2
L R D' R2 B' U B2
R L D' R2 B' U B2
R' L D' B' R2 U B2
L R D' B' R2 U B
R L D' B' R2 U B
R' L D2 B' U F2 B2
R' L D2 B' U B2 F2
B' L D B' L U F
R' L B' L2 U F B2
R' L B' L2 U B2 F
R' L B' U' B' U2 B'
R' L B' D L2 U F
L R B' U' F' B' U2
L R B' U' B' F' U2
R L B' U' F' B' U2
R L B' U' B' F' U2
L R' U B D' R2 F'
L2 R' U' B2 U2 B' R'
L R' D' B' R2 U B2
L R' D2 B' U F2 B2
L R' D2 B' U B2 F2
L R' B' L2 U F B2
L R' B' L2 U B2 F
L R' B' U' B' U2 B'
L R' B' D L2 U F
R' L2 U' B2 U2 B' R'
R L2 U' F' L' B2 U2
R L2 U' F' B2 L' U2
R L2 U' B2 F' L' U2
B' L2 U F B' R' B
B' L2 U B' R' F B
B' L2 U B' R' B F
B' L2 U B' F R' B
L U R' B D' R2 F'
R' U D' B D' R' F2
R' U D' B D' F2 R'
R' U D2 F2 D B R'
R' U B R2 D F' R
R' U B D R2 F' R
L2 U B' R' B D2 F2
D2 R' L B U F2 B2
D2 R' L B U B2 F2
L2 U' B2 U2 B' R' B
R U' B2 D F' U2 R
U R' D' B D' R' F2
U R' D' B D' F2 R'
U R' D2 F2 D B R'
D2 R' B L U F2 B'
D2 R' B L U B' F2
U R' B R2 D F' R
U R' B D R2 F' R
D' R2 U B D R' B
D' R2 B U D R' B
D' R2 B D U R' B
B U R' D' B R' F'
B U R2 D F' R B
L D B' L U2 L U'
L D B' D L U F2
L D B' D2 L R2 U
L D B' D2 R2 L U
R D' L R2 U B R'
R D' L' R2 U B R'
R D' L2 R2 U B R'
R' D' R2 U R2 B R'
R2 D' R2 U R' B R'
R2 D' R2 U B R' B
R' D' U B D' R' F2
R' D' U B D' F2 R'
R D' R2 L U B R'
R2 D' R2 B U R' B
R D' R2 L' U B R'
R D' R2 L2 U B R'
R D' R2 U B R' D
R D' R2 U B R' D'
R D' R2 U B R' D2
R D' R2 U B D R'
R D' R2 U B D' R'
R D' R2 U B D2 R'
L D' R2 D2 B' L U
R D' R2 B' U B2 R'
R' D' B' R2 U B2 R'
R D' B R2 U B R
L D2 L U F2 B' R'
L D2 L U B' R' F2
L D2 L U B' F2 R'
R' D2 U F2 D B R'
L D2 B' L U F2 B'
L D2 B' L U B' F2
U B R' D' B R' F'
U B R2 D F' R B
L B' L2 R' U F B
L B' L2 R' U B F
L B' R U' F' B' U2
L B' R U' B' F' U2
L B' R' L2 U F B
L B' R' L2 U B F
L B' R' U B D2 F2
L B' R' U' B' U2 B2
U' B2 U2 R' D' B R'
