U' R' F2 L' F R
L2 R U2 R' U' F' R
U' L D2 B' L U2 B
U L D2 B' L U2 L2
U' L F B' L' U2 B
U' L F' B' U2 B R
U' L B' U2 D2 B R'
U' L B' D2 U2 B R'
U' L B' F L' U2 B
U' L B' F' U2 B R
U' L' R2 F' R F2 L'
F' L' U' R F' L' F2
U L' U2 F L D2 R2
U L' U2 F' L R F2
U L' U2 F' R L F2
U L' U2 F' R F2 L
U L' F L D2 R2 B
U' L' F U2 L' U2 L
U' L' F' R' F2 L' R2
U' L' F' R' F2 R2 L'
R L2 U2 R' U' F' R
U L2 U2 L2 R' F' R
U L2 U2 R' L2 F' R
U L2 U2 R' F' L2 R
U L2 U2 R' F' R L2
U' L2 F L' B' U2 B
F' L2 B' L U' R F
L' U D2 F R2 B R'
L U D2 B' L U2 L'
L' U F U2 L' F' U2
L' U F' R' F2 R2 B
L' U' R2 F' R F2 L'
D' R B2 L B' R' U
L' U' F U2 L' U2 L
L U' D2 B' L U2 B
L' U' F' R' F2 L' R2
L' U' F' R' F2 R2 L'
L U' F B' L' U2 B
L U' F' B' U2 B R
L U' B' U2 D2 B R'
L U' B' D2 U2 B R'
L U' B' F L' U2 B
L U' B' F' U2 B R
U' R' F' R F' L' F
U' R' F' D2 R F' L'
U' R' F2 L' R F R
U' R' F2 L' R' F R
U' R' F2 L' R2 F R
U' R' F2 L' D F R
U' R' F2 L' D' F R
U' R' F2 L' D2 F R
U' R' F2 L' F R D
U' R' F2 L' F R D'
U' R' F2 L' F R D2
U' R' F2 L' F D R
U' R' F2 L' F D' R
U' R' F2 L' F D2 R
U' R' F2 R L' F R
U' R' F2 R' L' F R
U' R' F2 R2 L' F R
U' R2 L' F' R F2 L'
U' R2 F' R F2 L' F
U' R2 F' D2 L2 R F'
U' R2 F' D2 R L2 F'
U' R2 F' D2 R F' L2
F U L' U F' U F2
F U L' U2 F D' L2
D2 U F R2 B R' F'
B' U' R' F2 L' F R
B2 U' R' F2 L' F R
B U' R' F2 L' F R
R D' B2 L B' R' U
F' U' D2 R F' D' L2
L' D2 U F R2 B R'
L D2 U B' L U2 L'
L D2 U' B' L U2 B
U D2 F R2 B R' F'
U' F L B' L2 U2 B
U' F L' B U2 F B'
U' F L' B U2 B' F
U' F L' B' U2 F B
U' F L' B' U2 B F
U' F L' B2 U2 F B2
U' F L' B2 U2 B2 F
U F L' F' U2 L F2
U F L' F' U2 F2 L
U' F R' F2 L' R F
U' F R' F2 R L' F
U2 F U' L' U2 F L
U' F U2 L' U2 F L
U F U2 L' F' U2 F2
U' F B' L' U2 F B
U' F B' L' U2 B F
U' F B2 L' U2 F B2
U' F B2 L' U2 B2 F
U' F' L B' U2 B R
D' F' L2 B' L F U'
L' F' L2 B' U' R F2
U' F' R' F2 L' R2 F
U' F' R' F2 L' F R2
U' F' R' F2 R2 L' F
L F' L2 B' U' R F
L' F' D' L2 B' U' R
F' D' L2 B' L U' R
U F' D2 R F' D2 B2
R' F2 L' F2 U F' R
F' D2 L' U' R F' L'
F' D2 L2 B' U' R F'
U F2 D2 F R F' B2
U F2 D2 F R B2 F'
U F2 D2 F B2 R F'
U F2 D2 B2 F R F'
F' D2 U' R F' D' L2
U' B L2 F L' B' U2
F2 D2 F B2 U' R F'
F2 D2 B2 F U' R F'
U' B' F L' U2 F B
U' B' F L' U2 B F
U' B2 F L' U2 F B2
U' B2 F L' U2 B2 F
