R' D' B2 U L B'
D' L R' F2 B2 U B
D' L R' B2 F2 U B
L2 R D R F' B2 U2
L2 R D R B2 F' U2
L2 R D B2 R F' U2
B2 L D B2 U' R' B
D' L F2 R' B2 U B
F L' R' U' L' R' U2
F L' R' U' R' L' U2
F L' D' R' F2 U R
F L' D' F2 R' U R2
R L2 D R F' B2 U2
R L2 D R B2 F' U2
R L2 D B2 R F' U2
F L2 R2 U L R U
F L2 R2 U R L U
R' U' L2 D R' U2 B
D' R' L F2 B2 U B
D' R' L B2 F2 U B
F R' L' U' L' R' U2
F R' L' U' R' L' U2
D2 R' U L2 D' R' B
D R' U D L2 B R2
D R' U D B L2 R2
D R' U D B R2 L2
F2 R' U' L2 R' F' U2
F2 R' U' R' L2 F' U2
F2 R' U' R' F' L2 U2
D R' U2 F2 B2 U' B'
D R' U2 B2 F2 U' B'
D R' D U L2 B R2
D R' D U B L2 R2
D R' D U B R2 L2
U' R' D' B2 U L B'
F R' D' L' B2 U L
U2 R' D' B2 U L B'
F R' D' B2 L' U L2
U R' D' B2 U L B'
D R' D2 F2 B2 U B'
D R' D2 B2 F2 U B'
D' R' F2 L B2 U B
D' R' F2 B2 L U B'
D' R' B2 L F2 U B'
D' R' B2 F2 L U B'
F R2 L2 U L R U
F R2 L2 U R L U
L D B2 L U' R' B
R' D' L B2 U L B
R2 D' R B2 U L B'
R' D' F B2 U L B'
R' D' F' B2 U L B'
R' D' F2 B2 U L B'
R' D' B2 L' U L2 B'
R' D' B2 U L D B'
R' D' B2 U L D' B'
R' D' B2 U L D2 B'
R' D' B2 U L B' D
R' D' B2 U L B' D'
R' D' B2 U L B' D2
R' D' B2 F U L B'
R' D' B2 F' U L B'
R' D' B2 F2 U L B'
R' F L' U' L' R' U2
R' F L' U' R' L' U2
L2 F R2 U L' R U
L2 F R2 U R L' U
R' F D' L' B2 U L
R' F D' B2 L' U L2
F D F2 B2 L R U'
F D F2 B2 R L U'
F' D B2 L R F2 U'
F' D B2 R L F2 U'
F' D B2 R F2 L U'
F D B2 F2 L R U'
F D B2 F2 R L U'
F D' L' R' F2 B2 U
F D' L' R' B2 F2 U
F D' L' F2 R' B2 U
F D' R' L' F2 B2 U
F D' R' L' B2 F2 U
F D' R' B2 L' F2 U
D' F2 L R' B2 U B
F' D' F2 L' R' B2 U
F' D' F2 R' L' B2 U
D' F2 R' L B2 U B
F' D' F2 R' B2 L' U
D' F2 R' B2 L U B'
R' F2 U' L2 R' F' U2
R' F2 U' R' L2 F' U2
R' F2 U' R' F' L2 U2
F D2 L' R' U L' R'
F D2 L' R' U R' L'
F D2 R' L' U L' R'
F D2 R' L' U R' L'
D' F2 B2 U2 L U' B'
D F2 B2 L R' U' B
D F2 B2 R' L U' B
D F2 B2 D2 L U' B'
D B2 L R' F2 U' B
D B2 L F2 R' U' B
D B2 R' L F2 U' B
D B2 R' F2 L U' B
D' B2 F2 U2 L U' B'
D B2 F2 L R' U' B
D B2 F2 R' L U' B
D B2 F2 D2 L U' B'
