D L R F' B U
D L R B F' U
L R F B U L'
R L F B U L'
L R B F U L'
R L B F U L'
D R L F' B U
D R L B F' U
D R F' L B U
L D R F' B U
L D R B F' U
R F L B U L2
U2 L R U2 F U' L'
D L R D F' B U
D L R D B F' U
D L R D' F' B U
D L R D' B F' U
D L R D2 F' B U
D L R D2 B F' U
D L R F' D B U
D L R F' D' B U
U L R F U L' R
U L R F U R L'
D L R F' D2 B U
D L R F' B U D
D L R F' B U D'
D L R F' B U D2
D L R F' B D U
D L R F' B D' U
D L R F' B D2 U
D' L R B U D L2
D2 L R B U' R' U2
D' L R B U2 B2 U'
D' L R B D U L2
D' L R B D2 F2 U
D L R B D F' U
D L R B D' F' U
D L R B D2 F' U
D L R B F' U D
D L R B F' U D'
D L R B F' U D2
D L R B F' D U
D L R B F' D' U
D L R B F' D2 U
F' L U' R B L U2
L2 R D' L' F B U
L2 R D' L' B F U
L2 R D' B L' F U
L R D2 B U' R' U2
R L D2 B U' R' U2
R2 L F R' B U L'
L' R F B L2 U L
D2 L D' R F' B U
D2 L D' R B F' U
L R F D B U L'
L R F D' B U L'
R L F D B U L'
L R F D2 B U L'
L R F B U L' D
L R F B U L' D'
L R F B U L' D2
L R F B U D L'
L R F B U D' L'
L R F B U D2 L'
R L F D' B U L'
L2 R F B U L' B'
L R F B D U L'
L R F B D' U L'
L R F B D2 U L'
R L F D2 B U L'
R L F B U L' D
R L F B U L' D'
R L F B U L' D2
R L F B U D L'
R L F B U D' L'
R L F B U D2 L'
R L F B D U L'
R L F B D' U L'
R L F B D2 U L'
L R F' B U' R U2
R L F' B U' R U2
L' R B L2 F U L'
L2 R B L' F U L'
L R B U F L' F'
R L B U F L' F'
L' R B F L2 U L
L2 R B D' L' F U
L R B F U L' D
L R B F U L' D'
L R B F U L' D2
L R B F U D L'
L R B F U D' L'
L R B F U D2 L'
L2 R B F U L' B'
F L F' R B U L2
L R B F D U L'
L R B F D' U L'
L R B F D2 U L'
L R B F' U' R U2
R L B F U L' D
R L B F U L' D'
R L B F U L' D2
R L B F U D L'
R L B F U D' L'
R L B F U D2 L'
R L B F D U L'
R L B F D' U L'
R L B F D2 U L'
R L B F' U' R U2
D L B R F' B U
D L B R B F' U
L R B2 D2 B' U L
R L B2 D2 B' U L
D L B' R F' B U
D L B' R B F' U
D2 L B2 R B U L
D L B2 R F' B U
D L B2 R B F' U
D' L' R F L2 B U
D' L' R F B L2 U
D' L' R B F L2 U
D L' R F' L2 B U
D L' R F' B L2 U
D L' R B L2 F' U
D L' R B F' L2 U
R L' F B L2 U L
R L' B L2 F U L'
R L' B F L2 U L
R L2 D' L' F B U
R L2 D' L' B F U
R L2 D' B L' F U
D L2 R B L' F' U
L R2 F R' B U L'
R L2 F B U L' B'
R L2 B L' F U L'
R L2 B D' L' F U
R L2 B F U L' B'
U2 R L U2 F U' L'
D2 R L B U' R' U2
D' R L B U D L2
D' R L B U2 B2 U'
D' R L B D U L2
D' R L B D2 F2 U
D R L D F' B U
D R L D B F' U
D R L D' F' B U
D R L D' B F' U
D R L D2 F' B U
D R L D2 B F' U
D R L F' D B U
D R L F' D' B U
D R L F' D2 B U
D R L F' B U D
D R L F' B U D'
D R L F' B U D2
D R L F' B D U
D R L F' B D' U
D R L F' B D2 U
D R L B D F' U
D R L B D' F' U
D R L B D2 F' U
D R L B F' U D
D R L B F' U D'
D R L B F' U D2
D R L B F' D U
D R L B F' D' U
D R L B F' D2 U
U R L F U L' R
U R L F U R L'
D' R L' F L2 B U
D' R L' F B L2 U
D' R L' B F L2 U
L U F L' D R F'
D R L' F' L2 B U
D R L' F' B L2 U
L U F R D' L' F
D R L' B L2 F' U
D R L' B F' L2 U
L U F D L' R F'
L U F D R L' F'
L U F D' L' R F
L U F D' R L' F
F' R U L B U F
D R L2 B L' F' U
D R D L F' B U
D R D L B F' U
D R D F' L B U
D R D' L F' B U
D R D' L B F' U
D R D' F' L B U
D R D2 L F' B U
D R D2 L B F' U
D R D2 F' L B U
D R F L F2 B U
D R F L B F2 U
U R F L U L2 R
U R F L U R L2
B' R F B L U L2
D R F' L D B U
D R F' L D' B U
D R F' L D2 B U
D R F' L B U D
D R F' L B U D'
D R F' L B U D2
D R F' L B D U
D R F' L B D' U
D R F' L B D2 U
D R F' L' B L2 U
D R F' L2 B L' U
D R F' D L B U
D R F' D' L B U
D R F' D2 L B U
B' R B L F U L'
B' R B L F U L'
B' R B F L U L2
B2 R' F' U' D' F2 L'
B2 R' F' D' U' F2 L'
L2 D L' R F' B U
L2 D L' R B F' U
L2 D R L' F' B U
L2 D R L' B F' U
L2 D R B L' F' U
L D R D F' B U
L D R D B F' U
L D R D' F' B U
L D R D' B F' U
L D R D2 F' B U
L D R D2 B F' U
L D R F' D B U
L D R F' D' B U
L D R F' D2 B U
L D R F' B U D
L D R F' B U D'
L D R F' B U D2
L D R F' B D U
L D R F' B D' U
L D R F' B D2 U
L D R B D F' U
L D R B D' F' U
L D R B D2 F' U
L D R B F' U D
L D R B F' U D'
L D R B F' U D2
L D R B F' D U
L D R B F' D' U
L D R B F' D2 U
L D B R F' B U
L D B R B F' U
L D B' R F' B U
L D B' R B F' U
L D B2 R F' B U
L D B2 R B F' U
L2 D' L' R F B U
L2 D' L' R B F U
R D' L B U D L2
R D' L B U2 B2 U'
R D' L B D U L2
R D' L B D2 F2 U
R D' L' F L2 B U
R D' L' F B L2 U
R D' L' B F L2 U
L2 D' R L' F B U
L2 D' R L' B F U
L2 D' R B L' F U
R2 D2 L R' B' U L
R D2 L B U' R' U2
R2 D2 R' L B' U L
L D2 R B U' R' U2
L D2 B2 R B U L
R2 F L R' B U L2
R F L D F2 B U
R F L D B F2 U
R F L F B U L2
R F L F' B U L2
R F L F2 B U L2
R F L B U L2 D
R F L B U L2 D'
R F L B U L2 D2
R F L B D F2 U
R F L B F U L2
R F L B F' U L2
R F L B F2 U L2
R F L' B L2 U L2
R2 F R' L B U L2
L F U D' L' F R
R F D L B U L2
B' D R F' B L U
B' D R B L F' U
B' D R B F' L U
R F D' L B U L2
L F D' U L' F R
R F D2 L B U L2
R F' L F2 B U L'
R F' L B U' R U2
R F' L B F2 U L'
L F' U' R B L U2
F D' L U L2 F R
R F2 L F' B U L'
R F2 L B F' U L'
L B R F B U L'
L B R B F U L'
L B D R F' B U
L B D R B F' U
D B' R F' B L U
D B' R B L F' U
D B' R B F' L U
L B' R F B U L'
L B' R B F U L'
L B' D R F' B U
L B' D R B F' U
B2 F2 L' R' F' U' L'
F2 B2 L' R' F' U' L'
L B2 R F B U L'
L B2 R B F U L'
B2 F2 R' L' F' U' L'
F2 B2 R' L' F' U' L'
L B2 D R F' B U
L B2 D R B F' U
