R' L B' U' R F
L R' B' U' R F
L U R' B' U' F
U R' B L B' U'
D2 U R' B L U'
D2 U R' B L U'
U D2 R' B L U'
L F U R' B' U'
B' D L F B' L'
B' D L B' F L'
U B L B' R' U'
D' B' D L F B'
D' B' D L B' F
D L R' U' R F L'
D2 L R' B U' R F
F' L R' B' U' R F
F2 L R' B' U' R F
U L R' B L B2 U'
F L R' B' U' R F
U L R' B' U2 R' U
F' L U R' B' U' F
D2 L U R' B U' F
F2 L U R' B' U' F
D L U R' U' F L'
F L U R' B' U' F
B2 L U B' U' F B
B2 L U B' U' B F
R' L D B' U' R F
R' L D' B' U' R F
R' L D2 B' U' R F
D L F L' U R' U'
D2 L F U R' B U'
F' L F U R' B' U'
F2 L F U R' B' U'
D L F U R' U' L'
B2 L F U B' U' B
F L F U R' B' U'
D' L F B' D L B'
D L F B2 L' D' B2
R2 L B' R U' R F
R' L B' U' R D F
R' L B' U' R D' F
R' L B' U' R D2 F
R' L B' U' R F D
R' L B' U' R F D'
R' L B' U' R F D2
R' L B' U' R' F R2
R' L B' U' R2 F R'
R' L B' U' D R F
R' L B' U' D' R F
R' L B' U' D2 R F
R' L B' D U' R F
R' L B' D' U' R F
R' L B' D2 U' R F
B L B' R' U' R F
D' L B' D F L B'
D' L B' F D L B'
L2 R' U' R F' L' F
L2 R' U' D2 R F' L'
L2 R' U' F' L' F R
D L B2 F L' D' B2
U L' R' U2 F R U
L R' D B' U' R F
L R' D' B' U' R F
L2 R' D2 U' R F' L'
L R' D2 B' U' R F
B2 L' U' F L2 U F
L R' B' U' R D F
L R' B' U' R D' F
L R' B' U' R D2 F
L R' B' U' R F D
L R' B' U' R F D'
L R' B' U' R F D2
L R' B' U' R' F R2
L R' B' U' R2 F R'
L R' B' U' D R F
L R' B' U' D' R F
L R' B' U' D2 R F
L R' B' D U' R F
L R' B' D' U' R F
L R' B' D2 U' R F
U' L' F R U D B2
U' L' F R U2 R2 U'
U' L' F R D U B2
U' L' F R D2 L2 U
B2 L' F' D' L2 F B2
B2 L' F' D' L2 B2 F
R' L2 U' R F' L' F
R' L2 U' D2 R F' L'
R' L2 U' F' L' F R
R' L2 D2 U' R F' L'
L R2 B' R U' R F
L' U L2 R' B' U' F
L' U R' L2 B' U' F
L U R B' R2 U' F
L U R' D B' U' F
L U R' D' B' U' F
L U R' D2 B' U' F
L U R' B' U' D F
L U R' B' U' D' F
L U R' B' U' D2 F
L U R' B' U' F D
L U R' B' U' F D'
L U R' B' U' F D2
L U R' B' D U' F
L U R' B' D' U' F
L U R' B' D2 U' F
L U R2 B' R U' F
L U D R' B' U' F
L U D' R' B' U' F
L U D2 R' B' U' F
U2 R D' F2 B R' U2
U2 R D' B R' F2 U2
U2 R D' B F2 R' U2
U R B L R2 B' U'
U R B L B' R2 U'
U R B R2 L B' U'
D2 R' L B U' R F
D R' L U' R F L'
F' R' L B' U' R F
F2 R' L B' U' R F
U R' L B L B2 U'
F R' L B' U' R F
U R' L B' U2 R' U
U R' L' U2 F R U
U R' U' D L F L'
U R' D U' L F L'
D2 R' B L U' R F
U R' B L D B' U'
U R' B L D' B' U'
U R' B L D2 B' U'
U R' B L B' U' D
U R' B L B' U' D'
U R' B L B' U' D2
U R' B L B' D U'
U R' B L B' D' U'
U R' B L B' D2 U'
U R' B2 L B' L U'
R' D L U' R F L'
R D L R' F L' B2
R D L R' F B2 L'
R D L R' B2 F L'
R D L F L' R' B2
R D L F R' L' B2
R D L F R' B2 L'
R D R' L F L' B2
R D R' L F B2 L'
R D R' L B2 F L'
U R2 B L R B' U'
U R2 B L B' R U'
U R2 B R L B' U'
L D R' B' U' R F
R D R' B2 L F L'
D2 U L R' B L U'
L D U R' B' U' F
D2 U L' R' B L U'
D2 U L2 R' B L U'
L D F U R' B' U'
D2 U R' L B L U'
D2 U R' L' B L U'
D2 U R' L2 B L U'
D2 U R' D B L U'
D2 U R' D' B L U'
D2 U R' D2 B L U'
D2 U R' B L U' D
D2 U R' B L U' D'
D2 U R' B L U' D2
D2 U R' B L D U'
D2 U R' B L D' U'
D2 U R' B L D2 U'
D2 U R' B D L U'
D2 U R' B D' L U'
D2 U R' B D2 L U'
F' U R' B L B' U'
D U R' U' L F L'
F2 U R' B L B' U'
U D R' U' L F L'
F U R' B L B' U'
F' U D2 R' B L U'
F2 U D2 R' B L U'
F U D2 R' B L U'
B' U B L R' B' U'
F' U B L B' R' U'
B' U B R' L B' U'
F2 U B L B' R' U'
F U B L B' R' U'
L D' R' B' U' R F
L D' U R' B' U' F
B2 U' L' F L2 R U
B2 U' L' F R L2 U
B U' L' F R U B'
L D' F U R' B' U'
U D2 L R' B L U'
U D2 L' R' B L U'
U D2 L2 R' B L U'
L D2 R' B' U' R F
L D2 U R' B' U' F
U D2 R' L B L U'
U D2 R' L' B L U'
U D2 R' L2 B L U'
U D2 R' D B L U'
U D2 R' D' B L U'
U D2 R' D2 B L U'
U D2 R' B L U' D
U D2 R' B L U' D'
U D2 R' B L U' D2
U D2 R' B L D U'
U D2 R' B L D' U'
U D2 R' B L D2 U'
U D2 R' B D L U'
U D2 R' B D' L U'
U D2 R' B D2 L U'
L D2 F U R' B' U'
D2 F U R' B L U'
B' D L D2 F B' L
B' D L D2 B' F L
L F U R B' R2 U'
B' D L F D B' L'
B' D L F D' B' L'
B' D L F D2 B' L'
B' D L F B L' B2
B' D L F B' L' D
B' D L F B' L' D'
B' D L F B' L' D2
B' D L F B' D L'
B' D L F B' D' L'
B' D L F B' D2 L'
B' D L F B2 L' B
L F U R' D B' U'
L F U R' D' B' U'
L F U R' D2 B' U'
L F U R' B' U' D
L F U R' B' U' D'
L F U R' B' U' D2
L F U R' B' D U'
L F U R' B' D' U'
L F U R' B' D2 U'
L F U R2 B' R U'
L F U D R' B' U'
B' D L B F L' B2
L F U D' R' B' U'
L F U D2 R' B' U'
B' D L B' F L' D
B' D L B' F L' D'
B' D L B' F L' D2
B' D L B' F D L'
B' D L B' F D' L'
B' D L B' F D2 L'
B' D L B2 F L' B
B' D L2 F L' F B'
B' D L2 F L' B' F
L F D U R' B' U'
L F D' U R' B' U'
L F D2 U R' B' U'
D' F B' D L F B'
D' F B' D L B' F
B' D F L F B' L2
B' D F L B' F L2
B' D B L F B' L'
B' D B L B' F L'
B' D B' L F B' L'
B' D B' L B' F L'
D2 F' U R' B L U'
B' D B2 L F B' L'
B' D B2 L B' F L'
L F' R' B' U' R F2
L F' U R' B' U' F2
D' F' B' D L F B'
D' F' B' D L B' F
B' D' B' D2 L F B'
B' D' B' D2 L B' F
D2 F2 U R' B L U'
F' D' B' D L F B'
F' D' B' D L B' F
F2 D' B' D L F B'
F2 D' B' D L B' F
L F2 R' B' U' R F'
F D' B' D L F B'
F D' B' D L B' F
D' F2 B' D L F B'
D' F2 B' D L B' F
F' D2 U R' B L U'
F2 D2 U R' B L U'
R' B L B' U' R F
F D2 U R' B L U'
U B L R B' R' U'
U B L R' B' R' U'
U B L R2 B' R' U'
U B L D B' R' U'
U B L D' B' R' U'
U B L D2 B' R' U'
U B L B' R' U' D
U B L B' R' U' D'
U B L B' R' U' D2
U B L B' R' D U'
U B L B' R' D' U'
U B L B' R' D2 U'
U B L B' D R' U'
U B L B' D' R' U'
U B L B' D2 R' U'
U B R L B' R' U'
U B R' L B' R' U'
U B R2 L B' R' U'
R' B' L B' U' R F
B' F D L F B' L'
B' F D L B' F L'
D2 B' D L F B' L
D2 B' D L B' F L
D' B' D L D F B'
D' B' D L D B' F
D' B' D L D' F B'
D' B' D L D' B' F
D' B' D L D2 F B'
D' B' D L D2 B' F
D' B' D L F D B'
D' B' D L F D' B'
D' B' D L F D2 B'
D' B' D L F B' D
D' B' D L F B' D'
D' B' D L F B' D2
D' B' D L B' D F
D' B' D L B' D' F
D' B' D L B' D2 F
D' B' D L B' F D
D' B' D L B' F D'
D' B' D L B' F D2
