U L B' R' U' R' F'
R' L' F U R' F2 B'
R' L' F U R' B' F2
R' L' F U F2 R' B'
L' R' F U R' F2 B'
L' R' F U R' B' F2
L' R' F U F2 R' B'
R' L' F' R' D' B' L2
R' L' F' R' B' D' L2
L' R' F' R' D' B' L2
L' R' F' R' B' D' L2
R' L' F' D' R' B' L2
L' R' F' D' R' B' L2
U L' F R U R B
L' U F R U R B'
L' U F R U B' R
R' D F L' R' F2 B'
R' D F L' R' B' F2
R' D F L' F2 R' B'
R' D F R' L' F2 B'
R' D F R' L' B' F2
R2 D F D L' F B'
R2 D F D L' B' F
R' D' L' F' R' B' L
R' D' F' L' R' B' L
R' D' F' R' L' B' L
R2 D2 L' D F B' L
R2 D2 L' D B' F L
R2 D2 L' D' F B' L'
R2 D2 L' D' B' F L'
R2 D2 L' F D B' L
R2 D2 L' B' D' F L'
L' F R' U F' R' B'
R' F' R' D' L' B' L
R' F' D' L' R' B' L
R' F' D' R' L' B' L
R' F2 R' D F L' B'
R' F2 D R' F L' B'
R' F2 D F L' R' B'
R' F2 D F R' L' B'
L' B' R' F' R' D' L2
L' B' R' F' D' L2 R'
L' B' R' F' D' R' L2
