D F2 R B L
F2 R D F2 B L
F2 R D B L F2
F2 R D B F2 L
L' U' L' B' R' U'
D R F2 B L R
D R F2 B R L
F2 R B D L F2
F2 R B D F2 L
D R B F2 L R
D R B F2 R L
R D F2 B L R
R D F2 B R L
R D B F2 L R
R D B F2 R L
F2 D R F2 B L
F2 D R B L F2
F2 D R B F2 L
B D F2 L R B
B D F2 R L B
D F2 L R B L
D F2 L' R B L
D F2 L2 R B L
D F2 R L B L
D F2 R L' B L
D F2 R L2 B L
D F2 R D B L
D F2 R D' B L
D F2 R D2 B L
D F2 R B L D
D F2 R B L D'
D F2 R B L D2
D F2 R B D L
D F2 R B D' L
D F2 R B D2 L
D F2 D R B L
D F2 D' R B L
D F2 D2 R B L
D F2 B L R B
D F2 B R L B
R B D F2 L R
R B D F2 R L
D B F2 L R B
D B F2 R L B
L' R U' L' B' U' B2
L' R B L D F2 R
L2 R B2 U' R' B' L
R L' U' L' B' U' B2
F2 L' R B L D F2
D' L' R B2 U2 B' L
D L' R B L F2 R
D L' R' F' U2 F' L'
B L' U' L' U' L' B'
U' L' U' B' L' U' B'
D L' U2 F' L' F' B'
D L' U2 F' L' B' F'
R L' B L D F2 R
D L' F' U2 F' L' B'
D L' B L F2 R B
D' L' B' R' F' B' U2
D' L' B' R' B' F' U2
D L' B' R' F' U2 F'
D' L' B2 U2 L' B' L
U L2 U L F R U2
R L2 B2 U' R' B' L
D' R L' B2 U2 B' L
F2 R L' B L D F2
D R L' B L F2 R
F2 R U L2 U' B L
F2 R D L F2 B L
F2 R D L B L F2
F2 R D L B F2 L
F2 R D L' F2 B L
F2 R D L' B L F2
F2 R D L' B F2 L
F2 R D L2 F2 B L
F2 R D L2 B L F2
F2 R D L2 B F2 L
F2 R D F' B L F'
F2 R D F2 L B L
F2 R D F2 L' B L
F2 R D F2 L2 B L
F2 R D F2 D B L
F2 R D F2 D' B L
F2 R D F2 D2 B L
F2 R D F2 B L D
F2 R D F2 B L D'
F2 R D F2 B L D2
F2 R D F2 B D L
F2 R D F2 B D' L
F2 R D F2 B D2 L
F2 R D B L F2 D
F2 R D B L F2 D'
F2 R D B L F2 D2
F2 R D B L' F2 L2
F2 R D B F' L F'
F2 R D B F2 L D
F2 R D B F2 L D'
F2 R D B F2 L D2
F2 R D B F2 D L
F2 R D B F2 D' L
F2 R D B F2 D2 L
B R D F2 L B R
L' U' L' R B' R' U'
L' U' L' R' B' R' U'
L' U' L' R2 B' R' U'
D' R D2 F2 B L R
D' R D2 F2 B R L
D' R D2 B F2 L R
D' R D2 B F2 R L
L' U' L' D B' R' U'
L' U' L' D' B' R' U'
F2 R D2 B L D' F2
L' U' L' D2 B' R' U'
F2 R D2 B D' L F2
F2 R D2 B D' F2 L
L' U' L' B' R' U' D
L' U' L' B' R' U' D'
L' U' L' B' R' U' D2
L' U' L' B' R' D U'
L' U' L' B' R' D' U'
L' U' L' B' R' D2 U'
L' U' L' B' D R' U'
L' U' L' B' D' R' U'
L' U' L' B' D2 R' U'
F2 R F D F2 B L
F2 R F D B L F2
F2 R F D B F2 L
F2 R F B D L F2
F2 R F B D F2 L
L' U' R L' B' R' U'
F2 R F' D F2 B L
F2 R F' D B L F2
F2 R F' D B F2 L
F2 R F' B D L F2
F2 R F' B D F2 L
D R F' B L F' R
D R F2 L B L R
D R F2 L B R L
D R F2 L' B L R
D R F2 L' B R L
L' U' R' L' B' R' U'
D R F2 L2 B L R
D R F2 L2 B R L
F2 R F2 D F2 B L
F2 R F2 D B L F2
F2 R F2 D B F2 L
D' R B L D2 R2 F'
D R F2 D B L R
D R F2 D B R L
F2 R F2 B D L F2
F2 R F2 B D F2 L
D R F2 D' B L R
D R F2 D' B R L
D R F2 D2 B L R
D R F2 D2 B R L
D R F2 B L R D
D R F2 B L R D'
D R F2 B L R D2
D R F2 B L D R
D R F2 B L D' R
D R F2 B L D2 R
D R F2 B R L D
D R F2 B R L D'
D R F2 B R L D2
D R F2 B R D L
D R F2 B R D' L
D R F2 B R D2 L
D R F2 B D L R
D R F2 B D R L
F2 R B L U L U'
D R F2 B D' L R
D R F2 B D' R L
D R F2 B D2 L R
D R F2 B D2 R L
D R F2 B2 R B' L
D R B L F2 D2 R2
L' U' R2 L' B' R' U'
D R B R F2 L R
D R B R F2 R L
F2 R B U L2 U' L'
D R B R' F2 L R
D R B R' F2 R L
D R B R2 F2 L R
D R B R2 F2 R L
F2 R B D L F2 D
F2 R B D L F2 D'
F2 R B D L F2 D2
F2 R B D L' F2 L2
F2 R B D F' L F'
F2 R B D F2 L D
F2 R B D F2 L D'
F2 R B D F2 L D2
F2 R B D F2 D L
F2 R B D F2 D' L
F2 R B D F2 D2 L
F2 R B D' L D2 F2
F2 R B D2 L D' F2
F2 R B F D L F2
F2 R B F D F2 L
F2 R B F' D L F2
F2 R B F' D F2 L
F2 R B F2 D L F2
F2 R B F2 D F2 L
D R B F' L F' R
D R B F2 L R D
D R B F2 L R D'
D R B F2 L R D2
D R B F2 L D R
D R B F2 L D' R
D R B F2 L D2 R
D R B F2 R L D
D R B F2 R L D'
D R B F2 R L D2
D R B F2 R D L
D R B F2 R D' L
D R B F2 R D2 L
D R B F2 D L R
D R B F2 D R L
D R B F2 D' L R
D R B F2 D' R L
D R B F2 D2 L R
D R B F2 D2 R L
L' U' D L' B' R' U'
L' U' D' L' B' R' U'
L' U' D2 L' B' R' U'
D R B2 F2 R B' L
D R' L' F' U2 F' L'
L' U' B' L' R' B' U'
L' U' B' R' L' B' U'
B' R' D L' F' U2 F'
B' R' D F' U2 F' R
B' R' D' L' F' B2 U2
B' R' D' L' B2 F' U2
B' R' D' B2 L' F' U2
D R' F' U2 F' L' R
D R' F' U2 F' R L'
L' U2 F' D' L' F B'
L' U2 F' D' L' B' F
R' D L' F' U2 F' L'
R D L' B L F2 R
R' D R F2 R B L
D R2 F2 R' B L R2
D R2 F2 R' B R2 L
R' D R2 F2 B L R
R' D R2 F2 B R L
R' D R2 B F2 L R
R' D R2 B F2 R L
R D R' F2 R B L
L' D U' L' B' R' U'
R' D F' U2 F' L' R
R' D F' U2 F' R L'
F2 U L2 U' R B L
R D F' B L F' R
R D F2 L B L R
R D F2 L B R L
R D F2 L' B L R
R D F2 L' B R L
R D F2 L2 B L R
R D F2 L2 B R L
R D F2 D B L R
R D F2 D B R L
R D F2 D' B L R
R D F2 D' B R L
R D F2 D2 B L R
R D F2 D2 B R L
R D F2 B L R D
R D F2 B L R D'
R D F2 B L R D2
R D F2 B L D R
R D F2 B L D' R
R D F2 B L D2 R
R D F2 B R L D
R D F2 B R L D'
R D F2 B R L D2
R D F2 B R D L
R D F2 B R D' L
R D F2 B R D2 L
R D F2 B D L R
R D F2 B D R L
R D F2 B D' L R
R D F2 B D' R L
R D F2 B D2 L R
R D F2 B D2 R L
R D F2 B2 R B' L
R D B L F2 D2 R2
R D B R F2 L R
R D B R F2 R L
R D B R' F2 L R
R D B R' F2 R L
R D B R2 F2 L R
R D B R2 F2 R L
R D B F' L F' R
R D B F2 L R D
R D B F2 L R D'
R D B F2 L R D2
R D B F2 L D R
R D B F2 L D' R
R D B F2 L D2 R
R D B F2 R L D
R D B F2 R L D'
R D B F2 R L D2
R D B F2 R D L
R D B F2 R D' L
R D B F2 R D2 L
R D B F2 D L R
R D B F2 D R L
R D B F2 D' L R
R D B F2 D' R L
R D B F2 D2 L R
R D B F2 D2 R L
U2 D F' L' F' R B'
U2 D F' L' F' B' R
U2 D F' L' B' F' R
R D B2 F2 R B' L
R D' L' B2 U2 B' L
L' D' U' L' B' R' U'
U2 D' L' B2 U2 B L
R D' B L D2 R2 F'
D' U2 L' B2 U2 B L
L' D2 U' L' B' R' U'
D U2 F' L' F' R B'
D U2 F' L' F' B' R
D U2 F' L' B' F' R
R D2 B D' F2 L R
R D2 B D' F2 R L
D F R F B L R
D F R F B R L
D F R B F L R
D F R B F R L
F2 D L R F2 B L
F2 D L R B L F2
F2 D L R B F2 L
B' D L' R' F' U2 F'
F2 D L' R F2 B L
F2 D L' R B L F2
F2 D L' R B F2 L
F2 D L2 R F2 B L
F2 D L2 R B L F2
F2 D L2 R B F2 L
D F D F R B L
F2 D R L F2 B L
F2 D R L B L F2
F2 D R L B F2 L
F2 D R L' F2 B L
F2 D R L' B L F2
F2 D R L' B F2 L
F2 D R L2 F2 B L
F2 D R L2 B L F2
F2 D R L2 B F2 L
B' D R' L' F' U2 F'
F2 D R F' B L F'
F2 D R F2 L B L
F2 D R F2 L' B L
F2 D R F2 L2 B L
F2 D R F2 D B L
F2 D R F2 D' B L
F2 D R F2 D2 B L
F2 D R F2 B L D
F2 D R F2 B L D'
F2 D R F2 B L D2
F2 D R F2 B D L
F2 D R F2 B D' L
F2 D R F2 B D2 L
F2 D R B L F2 D
F2 D R B L F2 D'
F2 D R B L F2 D2
