B R' D' F L' B'
F' L U F2 R2 B R'
F L B R' D' L2 B'
F L B D' L2 R' B'
F L B D' R' L2 B'
F L B2 D' L2 B' R'
B L' R' D B' L F
F' L' U F2 B R' B2
F' L' U B R' F2 B2
F' L' U B R' B2 F2
F' L' U B F2 R' B2
F' L' B U R' F2 B2
F' L' B U R' B2 F2
F' L' B U F2 R' B2
F L' B R' B2 D' L2
U2 R U' F B L R'
U2 R U' F B R' L
U2 R U' B R' F L
U2 R U' B F L R'
U2 R U' B F R' L
U2 R B R' F D' L2
B R' L' D B' L F
B R' D L' B' L F
B R' D F L' B' L
B2 R' D' F L' B' R'
B R' D' F L' D B'
B R' D' F L' D' B'
B R' D' F L' D2 B'
B R' D' F L' B' D
B R' D' F L' B' D'
B R' D' F L' B' D2
B R' D' F D L' B'
B R' D' F D' L' B'
B R' D' F D2 L' B'
B R' D' F B L' B'
B R' D' F B' L' B'
B R' D' F B2 L' B'
B R' D' B F L' B'
B R' D' B' F L' B'
B R' D' B2 F L' B'
B R' F L' D B' L
B R' F D L' B' L
B R' B D' F L' B'
B R' B' D' F L' B'
B R' B2 D' F L' B'
U2 R2 B U' R' F B
U2 R2 B U' R' B F
U2 R2 B U' F R' B
D2 U F' U R F2 B
D2 U F' U R B F2
D2 U' F' L' U R F2
B2 U' F' L' B' U F2
B U' F' L' U R' F2
B U' F' L' U F2 R'
U' D2 F' L' U R F2
F' U2 R U' F2 B R'
F' U2 R U' B R' F2
F' U2 R U' B F2 R'
U D2 F' U R F2 B
U D2 F' U R B F2
B2 U2 F R D' L2 B
B2 U2 F R D' B L2
B2 U2 F R B D' L2
B2 U2 F D' L2 R B
B2 U2 F D' R L2 B
B2 U2 F D' R B L2
U2 F R B R' D' L2
U2 F R B D' L2 R'
U2 F R B D' R' L2
B D R' D' F L' B'
D2 F' L' U R F2 B'
D2 F' L' U R B' F2
D2 F' L' U B' R F2
U' F' L' B U R' F2
U' F' L' B U F2 R'
U2 F' R U F2 B R'
U2 F' R U B R' F2
U2 F' R U B F2 R'
U F' U R F2 B R'
U F' U R B R' F2
U F' U R B F2 R'
U F' U F2 R B R'
L2 F' U' B' L U2 B'
U' F' B L' U R' F2
U' F' B L' U F2 R'
B D' R' D' F L' B'
U F' B L U R' F2
U F' B L U F2 R'
B D2 R' D' F L' B'
B2 F L D' L2 B' R'
R2 B U' F R' D B2
F' B L' U R' F2 B'
F' B L' U R' B' F2
F' B L' U F2 R' B'
B F L R' D' L2 B'
B F L D' L2 R' B'
B F L D' R' L2 B'
B2 F L' D' B' L2 R'
B2 F L' D' B' R' L2
F B L R' D' L2 B'
B2 F L' B' R' D' L2
B2 F L' B' D' L2 R'
B2 F L' B' D' R' L2
F B L D' L2 R' B'
F B L D' R' L2 B'
B F L' R' D' B' L2
B F L' R' B' D' L2
R' B D' R' F L' B'
B F L' D' R' B' L2
F B L' R' D' B' L2
F B L' R' B' D' L2
R' B D' F L' R' B'
R' B D' F R' L' B'
F B L' D' R' B' L2
U' B F' L' U R' F2
U' B F' L' U F2 R'
B F R' L D' L2 B'
B F R' L' D' B' L2
B F R' L' B' D' L2
B F R' D' L' B' L'
F B R' L D' L2 B'
F B R' L' D' B' L2
F B R' L' B' D' L2
F B R' D' L' B' L'
U B F' L U R' F2
U B F' L U F2 R'
L2 B' L U F' U B'
B2 F D' L' B' L' R'
B2 F D' L' B' R' L'
B F D' L' R' B' L'
B F D' L2 D2 R' B
B F D' R' L' B' L'
F B D' L' R' B' L'
F B D' L2 D2 R' B
F B D' R' L' B' L'
B F' L' U R' F2 B'
B F' L' U R' B' F2
B F' L' U F2 R' B'
F B2 L D' L2 B' R'
F B2 L' D' B' L2 R'
F B2 L' D' B' R' L2
F B2 L' B' R' D' L2
F B2 L' B' D' L2 R'
F B2 L' B' D' R' L2
R' B2 D' F L' B' R'
F B2 D' L' B' L' R'
F B2 D' L' B' R' L'
