B R F U' F2 B2
B R F U' B2 F2
B' R F' D L2 R2
B' R F' D R2 L2
D' F B L' U' B2
R F' D R2 B' L
R F' D B' L R2
R F' D B' R2 L
B D' R2 F L' U'
B D' F L' R2 U'
B D' F R2 L' U'
D' B F L' U' B2
B F R U' F' B2
B F R U' B2 F'
F B R U' F' B2
F B R U' B2 F'
B' L R D L2 F' R
B' L R D F' L2 R
B' L R D F' R L2
B L' U' F R F' B2
B L' U' F R B2 F'
B L' U' F B2 R F'
B L' U' B2 F R F'
B' R L D L2 F' R
B' R L D F' L2 R
B' R L D F' R L2
B' R U F B2 U' F2
R U F' D R2 B' L
R U F' D B' L R2
R U F' D B' R2 L
B' R U B2 F U' F2
F R U' D F' B' L
F R U' D B' L F'
F R U' D B' F' L
B R U' F' B2 D R2
F R U' F' D B' L
B R U' B2 F' D R2
B' R D F' L2 D R2
F' R D F' R2 B' L
F' R D F' B' L R2
F' R D F' B' R2 L
F' R D B' L F' R2
F' R D B' F' L R2
F' R D B' F' R2 L
F R D U' F' B' L
F R D U' B' L F'
F R D U' B' F' L
B R D' F R2 U' F2
B R F L U' F2 B2
B R F L U' B2 F2
B R F L' U' F2 B2
B R F L' U' B2 F2
B R F L2 U' F2 B2
B R F L2 U' B2 F2
B R F R U' F2 B2
B R F R U' B2 F2
B R F R' U' F2 B2
B R F R' U' B2 F2
B R F R2 U' F2 B2
B R F R2 U' B2 F2
B' R F B2 U' F2 B2
B' R F B2 U' B2 F2
B' R F' L D L2 R2
B' R F' L D R2 L2
B R F U' F2 B2 D
B R F U' F2 B2 D'
B R F U' F2 B2 D2
B R F U' B2 F2 D
B R F U' B2 F2 D'
B R F U' B2 F2 D2
B' R F' L' D L2 R2
B' R F' L' D R2 L2
B' R F' L2 D L2 R2
B' R F' L2 D R2 L2
B R F D' L2 R2 U'
B R F D' R2 L2 U'
B' R F' R D L2 R2
B' R F' R D R2 L2
B' R F' R' D L2 R2
B' R F' R' D R2 L2
B' R F' R2 D L2 R2
B' R F' R2 D R2 L2
B' R F' U F2 B2 U'
B' R F' U B2 F2 U'
B' R F' D L2 R2 D
B' R F' D L2 R2 D'
B' R F' D L2 R2 D2
B' R F' D R2 L2 D
B' R F' D R2 L2 D'
B' R F' D R2 L2 D2
U' R F' D R2 B' L
U' R F' D B' L R2
U' R F' D B' R2 L
U2 R F' D R2 B' L
U2 R F' D B' L R2
U2 R F' D B' R2 L
U R F' D R2 B' L
B R F' B2 D L2 R2
B R F' B2 D R2 L2
U R F' D B' L R2
U R F' D B' R2 L
B' R B2 F U' F2 B2
B' R B2 F U' B2 F2
B R B2 F' D L2 R2
B R B2 F' D R2 L2
R U' F' D R2 B' L
R U' F' D B' L R2
R U' F' D B' R2 L
B R' D' R2 F U' F2
B R' D' F R2 U' F'
B R' F R2 U' F' B2
B R' F R2 U' B2 F'
B R' F U B U2 B
B R' F D' R2 U' F'
B' R' F' D L2 R2 F'
B' R' F' D R2 L2 F'
B' R' F' D R2 F' L2
R U2 F' D R2 B' L
R U2 F' D B' L R2
R U2 F' D B' R2 L
B R2 F R' U' F' B2
B R2 F R' U' B2 F'
R D F U' F2 B' L
R D F U' B' L F2
R D F U' B' F2 L
R D F' B' L D R2
R D F' B' D L R2
R D F' B' D R2 L
R D B' L D F' R
D' U F B L' U' B2
R D B' F' L D R2
R D B' F' D L R2
R D B' F' D R2 L
D' U B F L' U' B2
B' U B2 D' F L' U'
R D' F U' B' L' F2
D' U' F B L' U' B2
U' D' F B L' U' B2
B U' R F' B2 D R2
U2 D' F B L' U' B2
B U' R B2 F' D R2
U D' F B L' U' B2
U' D' B F L' U' B2
D' U' B F L' U' B2
U2 D' B F L' U' B2
U D' B F L' U' B2
B U' B2 R F' D R2
D' U2 F B L' U' B2
D' U2 B F L' U' B2
D' F L' D' B R' U'
R F R' B U' F2 B2
R F R' B U' B2 F2
D' F D B L' U' B2
R F U' F2 D B' L
D' F D' B L' U' B2
D' F D2 B L' U' B2
U' F B R U' F' B2
U' F B R U' B2 F'
D' F B L' R U' B2
D' F B L' R' U' B2
D' F B L' R2 U' B2
D' F B L' U' B2 D
D' F B L' U' B2 D'
D' F B L' U' B2 D2
D' F B L' D' R2 U'
D2 F B L' U' F B2
D2 F B L' U' B2 F
D' F B R L' U' B2
D' F B R' L' U' B2
D' F B R2 L' U' B2
D' F B D' L' R2 U'
D' F B D' R2 L' U'
D' F B' L' B2 U' B2
U2 F B R U' F' B2
U2 F B R U' B2 F'
D F B U2 R' U B2
U F B R U' F' B2
U F B R U' B2 F'
D F B' L B2 U' B2
B2 D F B' L U' B2
B2 D B' F L U' B2
F D B U2 R' U B2
R F' R' B' D L2 R2
R F' R' B' D R2 L2
F D B' L B2 U' B2
R F' D R B' L R
R F' D R B' R L
R F' D R2 B' L D
