F2 L2 R2 B U L
B2 L2 R2 B' U L
B L2 R2 B' U L'
L2 R2 B' U' R' U2
R2 L2 B' U' R' U2
B2 L2 B' R2 U L
B L2 B' R2 U L'
F2 R2 L2 B U L
B2 R2 L2 B' U L
B R2 L2 B' U L'
F2 R2 B L2 U L'
R2 B L2 B' U L'
L2 B' R2 U' R U2
L2 B' R2 F2 U L'
R2 B2 L2 B' U L
U' L R2 F L B' U
B L U' L R2 B' U
B L U' L B' R2 U
B L U' R2 L B' U
U' L F L R2 B' U
U' L F L B' R2 U
U' L F R2 L B' U
L2 R B' R U D2 L2
L2 R B' R U' R2 U2
L2 R B' R D' F2 U
L2 R B' R D2 U L2
F2 L' R2 B L' U L2
R2 L' B L' B' U L2
R2 L' B2 L' B' U L
L2 R2 D B' U' R' U2
R2 L2 D B' U' R' U2
L2 R2 D' B' U' R' U2
R2 L2 D' B' U' R' U2
B2 L2 R B' R U L
B L2 R B' R U L'
L2 R2 D2 B' U' R' U2
R2 L2 D2 B' U' R' U2
U L2 R' F' R' B' U
U' L2 R2 D' B' U L
F2 L2 R2 D B U L
L2 R2 F B' U' R' U2
F2 L2 R2 D' B U L
R2 L2 F B' U' R' U2
F2 L2 R2 D2 B U L
B' L2 R2 F2 B' U L'
F2 L2 R2 F B U L
B L2 R2 D B' U L'
B2 L2 R2 F B' U L
F2 L2 R2 F' B U L
B L2 R2 D' B' U L'
B' L2 R2 B' U' R U2
B2 L2 R2 F' B' U L
B' L2 R2 B' F2 U L'
F2 L2 R2 F2 B U L
B L2 R2 D2 B' U L'
U2 L2 R2 F' B' U L'
F2 L2 R2 B U L D
F2 L2 R2 B U L D'
F2 L2 R2 B U L D2
F2 L2 R2 B U D L
F2 L2 R2 B U D' L
F2 L2 R2 B U D2 L
F2 L2 R2 B D U L
B2 L2 R2 F2 B' U L
F2 L2 R2 B D' U L
F2 L2 R2 B D2 U L
F2 L2 R2 B F U L
F2 L2 R2 B F' U L
F2 L2 R2 B F2 U L
U L2 R2 D B' U L
B2 L2 R2 B' U L D
B2 L2 R2 B' U L D'
B2 L2 R2 B' U L D2
B2 L2 R2 B' U D L
B2 L2 R2 B' U D' L
B2 L2 R2 B' U D2 L
B2 L2 R2 B' D U L
B2 L2 R2 B' D' U L
B2 L2 R2 B' D2 U L
B2 L2 R2 B' F U L
B2 L2 R2 B' F' U L
B2 L2 R2 B' F2 U L
U2 L2 R2 B' F' U L'
B L2 R2 B' U L' D
B L2 R2 B' U L' D'
B L2 R2 B' U L' D2
B L2 R2 B' U D L'
B L2 R2 B' U D' L'
B L2 R2 B' U D2 L'
B L2 R2 B' D U L'
B L2 R2 B' D' U L'
B L2 R2 B' D2 U L'
L2 R2 F' B' U' R' U2
R2 L2 F' B' U' R' U2
L' R2 B L' B' U L2
L2 R2 F2 B' U' R' U2
R2 L2 F2 B' U' R' U2
L2 R2 B U L D' R2
L2 R2 B U D' L R2
L2 R2 B U D' R2 L
R2 L2 B U L D' R2
R2 L2 B U D' L R2
R2 L2 B U D' R2 L
L2 R2 B D' U L R2
L2 R2 B D' U R2 L
R2 L2 B D' U L R2
R2 L2 B D' U R2 L
L2 R2 B' U B2 L B2
L2 R2 B' U' R' U2 D
L2 R2 B' U' R' U2 D'
L2 R2 B' U' R' U2 D2
L2 R2 B' U' R' D U2
L2 R2 B' U' R' D' U2
L2 R2 B' U' R' D2 U2
L2 R2 B' U' D R' U2
L2 R2 B' U' D' R' U2
L2 R2 B' U' D2 R' U2
R L2 B' R U D2 L2
R L2 B' R U' R2 U2
R2 L2 B' U B2 L B2
R L2 B' R D' F2 U
R L2 B' R D2 U L2
R2 L2 B' U' R' U2 D
R2 L2 B' U' R' U2 D'
R2 L2 B' U' R' U2 D2
R2 L2 B' U' R' D U2
R2 L2 B' U' R' D' U2
R2 L2 B' U' R' D2 U2
R2 L2 B' U' D R' U2
R2 L2 B' U' D' R' U2
R2 L2 B' U' D2 R' U2
L2 R2 B' U2 B2 U' L
L2 R2 B' D U' R' U2
R2 L2 B' U2 B2 U' L
R2 L2 B' D U' R' U2
L2 R2 B' D' U' R' U2
L' R2 B2 L' B' U L
L2 R2 B' D2 U' R' U2
R2 L2 B' D' U' R' U2
R2 L2 B' D2 U' R' U2
L2 R2 B' F U' R' U2
L2 R2 B' F' U' R' U2
R2 L2 B' F U' R' U2
L2 R2 B' F2 U' R' U2
R2 L2 B' F' U' R' U2
R2 L2 B' F2 U' R' U2
U' L2 D' B' U L F2
U' L2 D' B' U F2 L
B L2 D' B' U L' F2
R' U L2 R' F' B' U
R' U L2 R' B' F' U
B2 L2 F R2 B' U L
F L2 F R2 B U L
B2 L2 F B' R2 U L
F' L2 F' R2 B U L
B2 L2 F' R2 B' U L
U2 L2 F' R2 B' U L'
B2 L2 F' B' R2 U L
U2 L2 F' B' R2 U L'
R' U R' L2 F' B' U
R' U R' L2 B' F' U
B2 L2 F2 R2 B' U L
B2 L2 F2 B' R2 U L
B L2 B R2 B2 U L'
B2 L2 B' R2 U L D
B2 L2 B' R2 U L D'
B2 L2 B' R2 U L D2
B2 L2 B' R2 U D L
B2 L2 B' R2 U D' L
B2 L2 B' R2 U D2 L
B2 L2 B' R2 D U L
B2 L2 B' R2 D' U L
B2 L2 B' R2 D2 U L
B2 L2 B' R2 F U L
B2 L2 B' R2 F' U L
B2 L2 B' R2 F2 U L
B2 L2 B' U L D' F2
U2 L2 B' R2 F' U L'
B2 L2 B' U D' L F2
B2 L2 B' U D' F2 L
B L2 B' R2 U L' D
B L2 B' R2 U L' D'
B L2 B' R2 U L' D2
B L2 B' R2 U D L'
B L2 B' R2 U D' L'
B L2 B' R2 U D2 L'
B L2 B' R2 D U L'
B L2 B' R2 D' U L'
B L2 B' R2 D2 U L'
B L2 B' U L' D' F2
B L2 B' U D' L' F2
B2 L2 B' D' U L F2
B2 L2 B' D' U F2 L
B2 L2 B' F R2 U L
U L2 B' R' F' R' U
B2 L2 B' F' R2 U L
B L2 B' D' U L' F2
U2 L2 B' F' R2 U L'
B2 L2 B' F2 R2 U L
B2 R L2 B' R U L
B R L2 B' R U L'
L U' L R2 F B' U
L U' L R2 B' F U
L U' L F R2 B' U
L U' L F B' R2 U
L U' L B' R2 F U
L U' L B' F R2 U
L U' R2 L F B' U
L U' R2 L B' F U
B' R' U L2 R' B' U
B' R' U R' L2 B' U
U R' L2 F' R' B' U
U' R2 L F L B' U
F2 R2 L' B L' U L2
U' R2 L2 D' B' U L
F2 R2 L2 D B U L
B' R2 L2 F2 B' U L'
F2 R2 L2 D' B U L
F2 R2 L2 D2 B U L
B2 R2 L2 F B' U L
B' R2 L2 B' U' R U2
B' R2 L2 B' F2 U L'
F2 R2 L2 F B U L
B2 R2 L2 F' B' U L
F2 R2 L2 F' B U L
B2 R2 L2 F2 B' U L
F2 R2 L2 F2 B U L
B R2 L2 D B' U L'
U2 R2 L2 F' B' U L'
F2 R2 L2 B U L D
F2 R2 L2 B U L D'
F2 R2 L2 B U L D2
F2 R2 L2 B U D L
F2 R2 L2 B U D' L
F2 R2 L2 B U D2 L
B2 R2 L2 B' U L D
B2 R2 L2 B' U L D'
B2 R2 L2 B' U L D2
B2 R2 L2 B' U D L
B2 R2 L2 B' U D' L
B2 R2 L2 B' U D2 L
F2 R2 L2 B D U L
F2 R2 L2 B D' U L
B2 R2 L2 B' D U L
F2 R2 L2 B D2 U L
B2 R2 L2 B' D' U L
F2 R2 L2 B F U L
B2 R2 L2 B' D2 U L
F2 R2 L2 B F' U L
B2 R2 L2 B' F U L
F2 R2 L2 B F2 U L
B2 R2 L2 B' F' U L
B2 R2 L2 B' F2 U L
B R2 L2 D' B' U L'
B R2 L2 D2 B' U L'
U2 R2 L2 B' F' U L'
U R2 L2 D B' U L
B R2 L2 B' U L' D
B R2 L2 B' U L' D'
B R2 L2 B' U L' D2
B R2 L2 B' U D L'
B R2 L2 B' U D' L'
B R2 L2 B' U D2 L'
B R2 L2 B' D U L'
B R2 L2 B' D' U L'
B R2 L2 B' D2 U L'
F2 R2 D' B U L B
D2 R2 F L2 B U' L
F2 R2 F L2 B U L
D2 R2 F B L2 U' L'
F2 R2 F B L2 U L'
F2 R2 F' L2 B U L
F2 R2 F' B L2 U L'
F2 R2 F2 L2 B U L
F2 R2 F2 B L2 U L'
F2 R2 B L2 U L' D
F2 R2 B L2 U L' D'
F2 R2 B L2 U L' D2
F2 R2 B L2 U D L'
F2 R2 B L2 U D' L'
F2 R2 B L2 U D2 L'
F2 R2 B L2 D U L'
F2 R2 B L2 D' U L'
F2 R2 B L2 D2 U L'
D2 R2 B F L2 U' L'
F2 R2 B U D' L B2
B R2 B L2 B' U L
F2 R2 B D' U L B2
F2 R2 B F L2 U L'
F2 R2 B F' L2 U L'
F2 R2 B F2 L2 U L'
B2 R2 B' L2 B' U L'
F2 R2 B' L2 B2 U L
B2 U L2 R2 B' U L
B U L2 R2 B' U L'
B2 U L2 B' R2 U L
B U L2 B' R2 U L'
B2 U R2 L2 B' U L
B U R2 L2 B' U L'
L2 D B' U' R' B' U2
B2 U' L2 R2 B' U L
B2 U' L2 B' R2 U L
B U' L2 R2 B' U L'
B U' L2 B' R2 U L'
B2 U' R2 L2 B' U L
L2 D' B' R2 U F2 L'
L2 D' B' U' R' U2 F2
B U' R2 L2 B' U L'
B2 U2 L2 R2 B' U L
B2 U2 L2 B' R2 U L
B U2 L2 R2 B' U L'
F U2 L2 R2 F' U L'
B U2 L2 B' R2 U L'
F U2 L2 F' R2 U L'
B2 U2 R2 L2 B' U L
B U2 R2 L2 B' U L'
F U2 R2 L2 F' U L'
F U2 R2 F' L2 U L
D2 F L2 R2 B U' L
D2 F L2 B R2 U' L
F U2 F' L2 R2 U L
F U2 F' R2 L2 U L
D2 F R2 L2 B U' L
D2 F R2 B L2 U' L'
L2 F R2 B' U' R' U2
U2 F U' D' F2 L' B2
U2 F U' D' F2 B2 L'
U2 F U' D' B2 F2 L'
U2 F D' U' F2 L' B2
U2 F D' U' F2 B2 L'
U2 F D' U' B2 F2 L'
D2 F B L2 R2 U' L'
D2 F B R2 L2 U' L'
D' F B U' F L B
L2 F B' R2 U' R U2
L2 F B' R2 F2 U L'
L2 F' R2 B' U' R' U2
U2 F' D' L' F2 R B2
U2 F' D' L' F2 B2 R
U2 F' D' L' B2 F2 R
U2 F' D' B2 L' F2 R
L2 F' B' R2 U' R U2
L2 F' B' R2 F2 U L'
B' D' F U' F B2 L
B' D' F U' B2 F L
B D' F U' F L B2
R2 F2 L2 U2 F' U' L'
L2 F2 R2 B' U' R' U2
F D' B U' L F2 B
F D' B U' L B F2
F D' B U' F2 L B
F D2 L2 R2 B U' L
F D2 L2 B R2 U' L
B2 D2 R2 F L2 U' L
L2 F2 B' R2 U' R U2
L2 F2 B' R2 F2 U L'
B D2 R2 F L2 U' L'
F D2 R2 L2 B U' L
F D2 R2 B L2 U' L'
D' B L F2 D' B R'
L' B L' R2 B' U L2
L' B L' B' R2 U L2
B2 D2 F L2 R2 U' L
B2 D2 F R2 L2 U' L
R' B L2 B' R' U L'
B D2 F L2 R2 U' L'
B D2 F R2 L2 U' L'
R2 B L2 D B' U L'
R2 B L2 D' B' U L'
R2 B L2 D2 B' U L'
R2 B L2 B' U L' D
R2 B L2 B' U L' D'
R2 B L2 B' U L' D2
R2 B L2 B' U D L'
R2 B L2 B' U D' L'
R2 B L2 B' U D2 L'
R2 B L2 B' D U L'
R2 B L2 B' D' U L'
R2 B L2 B' D2 U L'
R B L2 R B' U L'
L' B R2 L' B' U L2
R B L2 B' R U L'
D2 B R2 F L2 U' L'
R B R L2 B' U L'
L2 B R2 U L D' R2
L2 B R2 U D' L R2
L2 B R2 U D' R2 L
L2 B R2 D' U L R2
L2 B R2 D' U R2 L
F D2 B L2 R2 U' L'
F D2 B R2 L2 U' L'
L2 B R2 B2 U' R' U2
L2 B U L D' R2 F2
L2 B U L D' F2 R2
L2 B U D' L R2 F2
L2 B U D' L F2 R2
L2 B U D' R2 L F2
L2 B U D' R2 F2 L
L2 B U D' F2 L R2
L2 B U D' F2 R2 L
F2 B L2 R2 B U L'
L2 B D' U L R2 F2
L2 B D' U L F2 R2
L2 B D' U R2 L F2
L2 B D' U R2 F2 L
L2 B D' U F2 L R2
L2 B D' U F2 R2 L
D2 B F L2 R2 U' L'
D2 B F R2 L2 U' L'
D' B F U' F L B
F2 B R2 L2 B U L'
B' F U' D' F2 B2 L
B' F U' D' B2 L F2
B' F U' D' B2 F2 L
B F U' D' L F2 B2
B F U' D' L B2 F2
B F U' D' F2 L B2
F B U' D' L F2 B2
F B U' D' L B2 F2
F B U' D' F2 L B2
B F U2 L2 R2 U L'
B F U2 R2 L2 U L'
F B U2 L2 R2 U L'
F B U2 R2 L2 U L'
F' B D' L F2 B2 R'
F' B D' L B2 R' F2
F' B D' L B2 F2 R'
B' F D' U' F2 B2 L
B' F D' U' B2 L F2
B' F D' U' B2 F2 L
F' B D' F2 L B2 R'
L2 B' R D' R F2 U
L2 B' R D2 R U L2
B F D' U' L F2 B2
B F D' U' L B2 F2
B F D' U' F2 L B2
F B D' U' L F2 B2
F B D' U' L B2 F2
F B D' U' F2 L B2
B F D2 L2 R2 U' L'
B F D2 R2 L2 U' L'
L2 B' R2 U F2 L' F2
L2 B' R2 U' R U2 D
L2 B' R2 U' R U2 D'
L2 B' R2 U' R U2 D2
L2 B' R2 U' R D U2
L2 B' R2 U' R D' U2
L2 B' R2 U' R D2 U2
L2 B' R2 U' D R U2
L2 B' R2 U' D' R U2
L2 B' R2 U' D2 R U2
F B D2 L2 R2 U' L'
L2 B' R2 D U' R U2
L2 B' R2 D F2 U L'
L2 B' R2 D' U' R U2
L2 B' R2 D' F2 U L'
F B D2 R2 L2 U' L'
L2 B' R2 D2 U' R U2
L2 B' R2 D2 F2 U L'
L2 B' R2 F2 U L' D
L2 B' R2 F2 U L' D'
L2 B' R2 F2 U L' D2
L2 B' R2 F2 U D L'
L2 B' R2 F2 U D' L'
L2 B' R2 F2 U D2 L'
L2 B' R2 F2 D U L'
L2 B' R2 F2 D' U L'
L2 B' R2 F2 D2 U L'
L2 B' U' R' U R' U
L2 B' U' D R' B2 U2
L2 B' U' D B2 U2 L
L2 B' U' D' R' U2 F2
L2 B' D U' R' B2 U2
L2 B' D U' B2 U2 L
L2 B' D' R2 U F2 L'
L2 B' D' U' R' U2 F2
L2 B' F R2 U' R U2
L2 B' F R2 F2 U L'
L2 B' F' R2 U' R U2
L2 B' F' R2 F2 U L'
F B' U' D' F2 B2 L
F B' U' D' B2 L F2
F B' U' D' B2 F2 L
L2 B' F2 R2 U' R U2
L2 B' F2 R2 F2 U L'
L' B2 L' R2 B' U L
B F' D' L F2 B2 R'
L' B2 L' B' R2 U L
B F' D' L B2 R' F2
B F' D' L B2 F2 R'
B F' D' F2 L B2 R'
F B' D' U' F2 B2 L
F B' D' U' B2 L F2
F B' D' U' B2 F2 L
R2 B2 L2 F B' U L
R2 B2 L2 F' B' U L
R2 B2 L2 F2 B' U L
R2 B2 L2 B' U L D
R2 B2 L2 B' U L D'
R2 B2 L2 B' U L D2
R2 B2 L2 B' U D L
R2 B2 L2 B' U D' L
R2 B2 L2 B' U D2 L
R2 B2 L2 B' D U L
R2 B2 L2 B' D' U L
R2 B2 L2 B' D2 U L
R2 B2 L2 B' F U L
R2 B2 L2 B' F' U L
R2 B2 L2 B' F2 U L
R B2 L2 R B' U L
L' B2 R2 L' B' U L
R B2 L2 B' R U L
R B2 R L2 B' U L
B F2 L2 R2 B U L'
B F2 R2 L2 B U L'
