U' R F U R
L' R B' U B L
R L' B' U B L
U' R D F U R
U' R D' F U R
U' R D2 F U R
U' R F U R D
U' R F U R D'
U' R F U R D2
U' R F U D R
U' R F U D' R
U' R F U D2 R
U' R F D U R
U' R F D' U R
U' R F D2 U R
U' R F B U R
U' R F B' U R
U' R F B2 U R
B R F U B' R'
R' U' R2 F U R
R2 U' R' F U R
U' R B F U R
U' R B' F U R
U' R B2 F U R
R' U' F R2 U R'
R2 U' F R' U R2
U' R' F R2 U R'
U' R2 F R' U R2
U' D R F U R
U' D' R F U R
D2 U' R F U R
D' U' R F U R
D U' R F U R
U' D2 R F U R
R F L' B' U B
U' F U D R F'
U' F D U R F'
R F B U B' R'
U' B R F U R
R B F U B' R'
U' B' R F U R
U' B2 R F U R
F L U F L' U' L
L' R D B' U B L
L' R D' B' U B L
L' R D2 B' U B L
L' R F B' U B L
L' R F' B' U B L
L' R F2 B' U B L
L' R B' L F U B
L' R B' U L B L
L' R B' U L' B L
L' R B' U L2 B L
L' R B' U D B L
L' R B' U D' B L
L' R B' U D2 B L
L' R B' U B L D
L' R B' U B L D'
L' R B' U B L D2
L' R B' U B D L
L' R B' U B D' L
L' R B' U B D2 L
L' R B' D U B L
L' R B' D' U B L
L' R B' D2 U B L
L' R B' F U B L
L' R B' F' U B L
L' R B' F2 U B L
D2 L' R B' U B L
D' L' R B' U B L
D L' R B' U B L
R L' D B' U B L
R L' D' B' U B L
R L' D2 B' U B L
F2 L' U' F' B' U F
F2 L' U' B' F' U F
R L' F B' U B L
R L' F' B' U B L
R L' F2 B' U B L
R L' B' L F U B
R L' B' U L B L
R L' B' U L' B L
R L' B' U L2 B L
R L' B' U D B L
R L' B' U D' B L
R L' B' U D2 B L
R L' B' U B L D
R L' B' U B L D'
R L' B' U B L D2
R L' B' U B D L
R L' B' U B D' L
R L' B' U B D2 L
R L' B' D U B L
R L' B' D' U B L
R L' B' D2 U B L
R L' B' F U B L
R L' B' F' U B L
R L' B' F2 U B L
U L' F2 L' B' U' R'
U L2 F' B' U' R' F'
U L2 F2 B' L' U' R'
U L2 B' U' R' D' F2
U L2 B' U2 R U R2
U L2 B' F' U' R' F'
U L2 B' F2 L' U' R'
R' U D2 L2 B' U' R'
D2 R L' B' U B L
D' R L' B' U B L
D R L' B' U B L
U2 R U F B U F'
U2 R U B F U F'
L2 U F2 B' L' F U'
U' R D F U R D
U' R D F U R D'
U' R D F U R D2
U' R D F U D R
U' R D F U D' R
U' R D F U D2 R
U' R D F D U R
U' R D F D' U R
U' R D F D2 U R
U' R D F B U R
U' R D F B' U R
U' R D F B2 U R
L2 U B' F2 L' F U'
U' R D B F U R
U' R D B' F U R
U' R D B2 F U R
B R D F U B' R'
B' R D' F L' B' U
U' R D' F U R D
U' R D' F U R D'
U' R D' F U R D2
U' R D' F U D R
U' R D' F U D' R
U' R D' F U D2 R
U' R D' F D U R
U' R D' F D' U R
U' R D' F D2 U R
U' R D' F B U R
U' R D' F B' U R
U' R D' F B2 U R
U' R D' B F U R
U' R D' B' F U R
U' R D' B2 F U R
B R D' F U B' R'
U' R D2 F U R D
U' R D2 F U R D'
U' R D2 F U R D2
U' R D2 F U D R
U' R D2 F U D' R
U' R D2 F U D2 R
U' R D2 F D U R
U' R D2 F D' U R
U' R D2 F D2 U R
U' R D2 F B U R
U' R D2 F B' U R
U' R D2 F B2 U R
U' R D2 B F U R
U' R D2 B' F U R
U' R D2 B2 F U R
D2 R F L' B' U B
D' R F L' B' U B
B R D2 F U B' R'
B2 R F L' B' U B'
B' R F U B' R' B
U' R F U R2 D R'
U' R F U R2 D' R'
U' R F U R2 D2 R'
U' R F U D R D
U' R F U D R D'
U' R F U D R D2
U' R F U D' R D
U' R F U D' R D'
U' R F U D' R D2
U' R F U D2 R D
U' R F U D2 R D'
U' R F U D2 R D2
U' R F U B R B'
U' R F U B2 R B2
U' R F U' L U2 R
D R F L' B' U B
U' R F U' L' U2 R
U' R F U' L2 U2 R
B2 R F U B' R' B'
U' R F D U R D
U' R F D U R D'
U' R F D U R D2
U' R F D B U R
U' R F D B' U R
U' R F D B2 U R
U' R F D' U R D
U' R F D' U R D'
U' R F D' U R D2
D2 R F B U B' R'
U' R F D' B U R
D' R F B U B' R'
U' R F D' B' U R
U' R F D' B2 U R
U' R F D2 U R D
U' R F D2 U R D'
U' R F D2 U R D2
U' R F D2 B U R
U' R F D2 B' U R
U' R F D2 B2 U R
U' R F B U R D
U' R F B U R D'
U' R F B U R D2
U' R F B U D R
U' R F B U D' R
U' R F B U D2 R
U' R F B D U R
U' R F B D' U R
U' R F B D2 U R
B R F U R B' R'
B R F U R' B' R'
B R F U R2 B' R'
B R F U D B' R'
U' R F B' U R D
U' R F B' U R D'
U' R F B' U R D2
U' R F B' U D R
B R F U D' B' R'
U' R F B' U D' R
U' R F B' U D2 R
B R F U D2 B' R'
U' R F B' D U R
U' R F B' D' U R
U' R F B' D2 U R
B R F U B' R' D
B R F U B' R' D'
B R F U B' R' D2
B R F U B' D R'
B R F U B' D' R'
B R F U B' D2 R'
U' R F B2 U R D
U' R F B2 U R D'
U' R F B2 U R D2
U' R F B2 U D R
U' R F B2 U D' R
U' R F B2 U D2 R
U' R F B2 D U R
U' R F B2 D' U R
