U' L D F2 U2 F' L'
B' L' R' F' B' U R'
B' L' R' B' F' U R'
L' U R D2 R2 F' L'
L' U R' D2 F' L' R2
L' U R' D2 F' R2 L'
L' U R' F' D2 L' R2
L' U R' F' D2 R2 L'
L' U D2 R' F' L' R'
L' U D2 R' F' R' L'
L' U' L' B' L' R' U2
L' U' L' B' R' L' U2
L' U' L2 U2 F' L' F
B' R' L' F' B' U R'
B' R' L' B' F' U R'
L' U' B L2 U2 L' F
B' R' B' L' F' U R'
F U L F R B U2
F U B2 R' F' L' B'
L' D' B' R' F' B' U
L' D' B' R' B' F' U
L' D2 R' F' U R' F'
L' D2 U R' F' L' R'
L' D2 U R' F' R' L'
L' D2 B' R' F' U R'
F2 B L R B U' R'
F2 B R L B U' R'
L' B D' B2 R' F' U
L' B' R' D' F' B2 U
L' B' R' D' B2 F' U
L' B' R' D2 F' U R2
L' B' R' F' U D2 R2
L' B' R' F' U' L2 U2
L' B' R' F' D' B2 U
L' B' R' F' D2 U R2
L' B' D' R' F' B2 U
L' B' D' R' B2 F' U
L' B' D2 R' F' U R'
B F2 L R B U' R'
B F2 R L B U' R'
