L' B D' R2 F' U
B L R2 F' L2 U F2
B2 L U' D' F R B2
B2 L U' D' F B2 R
B2 L U' D' B2 F R
B2 L U' F R D' B2
B2 L U' F D' R B2
B2 L U' F D' B2 R
B2 L D' U' F R B2
B2 L D' U' F B2 R
B2 L D' U' B2 F R
B2 L D2 R2 U' F R
D2 L F2 L2 B U F'
D2 L F2 B L2 U F'
L' R' U D L2 F R
R' L' U D L2 F R
D2 L B F2 L2 U F'
R' L' D U L2 F R
L' R' D U L2 F R
B L' R' U' B' R' U2
B L' R2 F' U' B' U2
B L' U' B' U' B2 U'
B L' U' B' U2 D L2
B L' U' B' D U2 L2
B L' U' B' D' R2 U2
B L' U2 L2 B U' F
B L' U2 B U B2 U2
B L' U2 B U' D2 F2
B L' U2 B D L2 U'
B L' U2 B D2 U' F2
D2 L' F2 B U D2 F2
D2 L' F2 B U' B2 U2
D2 L' F2 B D' R2 U
D2 L' F2 B D2 U F2
D' L' B U D2 L2 F2
D' L' B U D2 F2 L2
U2 L' B R' U F' L'
D' L' B U' R2 B2 U2
D' L' B U' B2 R2 U2
D' L' B D' R2 F2 U
U' L' B U2 B L U'
D2 L' B D' R2 U L2
D' L' B D' F2 R2 U
D L' B U L' D2 F2
D L' B U D2 L' F2
D' L' B D2 U L2 F2
D' L' B D2 U F2 L2
D L' B U' B2 U2 L'
D2 L' B F2 U D2 F2
D2 L' B F2 U' B2 U2
D2 L' B F2 D' R2 U
D2 L' B F2 D2 U F2
D L' B D' R2 U L'
U L' B U2 L B U'
D L' B D2 U L' F2
B R' L' U' B' R' U2
B R2 L F' L2 U F2
B R2 L' F' U' B' U2
L' D R' U L2 F R
L D F L2 B' D' R2
L' D B U L2 D2 F2
L' D B U' B2 U2 L2
L D B U F L2 B'
L' D' B U D2 L2 F2
L' D' B U D2 F2 L2
L' D' B U' R2 B2 U2
L' D' B U' B2 R2 U2
L' D' B D' R2 F2 U
L' D' B D' F2 R2 U
L' D' B D2 U L2 F2
L' D' B D2 U F2 L2
B2 U' B' L' U L F
L' D2 F2 B U D2 F2
L' D2 F2 B U' B2 U2
L' D2 F2 B D' R2 U
L' D2 F2 B D2 U F2
L' D2 B D' R2 U L2
L' D2 B F2 U D2 F2
L' D2 B F2 U' B2 U2
L' D2 B F2 D' R2 U
L' D2 B F2 D2 U F2
B2 U2 R' B' L' U F'
B2 U2 B' L' R' U F'
B2 U2 B' R' L' U F'
L' F B D' R2 F' U
L' F' B D' R2 F' U
L' F2 B D' R2 F' U
D2 B L F2 L2 U F'
U' B L' U2 B L U'
D2 B L' U D' L2 F
D' B L' U D2 L2 F
D' B L' U' R2 B' U2
D' B L' U' B' R2 U2
D2 B L' D' U L2 F
D' B L' D2 U L2 F
D2 B L' F2 U' B' U2
U2 B L' R' U F' L'
D B L' U L2 F L
D B L' U' B' U2 L'
U B L' U2 L2 B U'
U B L' U2 B L2 U'
U B L' D2 R2 F' U
U2 B R' L' U F' L'
L' B R2 D' F' R2 U
L' B R2 D2 F' U F'
L' B R2 F' U D2 F2
L' B R2 F' U' B2 U2
L' B R2 F' D' R2 U
L' B R2 F' D2 U F2
L B R2 F' L2 U F2
L' B U' B2 U' B' U'
B2 F L U' F R B
L' B U2 D L2 B U'
L' B U2 D B L2 U'
L' B U2 D2 B U' F2
L' B U2 B U B U2
L' B D U2 L2 B U'
L' B D U2 B L2 U'
L' B D' R2 D F' U
L' B D' R2 D' F' U
L' B D' R2 D2 F' U
L' B D' R2 F' U D
L' B D' R2 F' U D'
L' B D' R2 F' U D2
L' B D' R2 F' D U
L' B D' R2 F' D' U
L' B D' R2 F' D2 U
L' B D' F R2 F' U
L' B D' F' R2 F' U
L' B D' F2 R2 F' U
L' B D2 R2 F' U F'
L' B D2 U2 B U' F2
L' B F D' R2 F' U
L' B F' D' R2 F' U
L' B F2 D' R2 F' U
B2 F2 L R U' F R
F2 B2 L R U' F R
F B2 L U' F R B
B2 F2 R L U' F R
F2 B2 R L U' F R
U' B2 U2 B' L' R' U
U' B2 U2 B' R' L' U
