L U' F R U B
F' L U' F L2 R U
F' L U' F R L2 U
D' L U' F R U B
D2 L U' F R U B
F2 L U' F L' R U
F2 L U' F R L' U
D L U' F R U B
F' L2 D F L' D' B2
F2 L2 D' F L B' L
F2 L2 D' F B' L B'
F2 L2 D' B' F L B'
F2 L2 F U' L' F U
F L2 F D' L B' L
F L2 F D' B' L B'
U L2 B U' F L B'
L' U B' L' U' F B'
L' U B' L' U' B' F
U2 R B' U' R' B2 U'
L U' D F R U B
L U' D' F R U B
L U' D2 F R U B
L U' F L R U B
L U' F L' R U B
L U' F L2 R U B
L U' F R L U B
L U' F R L' U B
L U' F R L2 U B
L U' F R U D B
L U' F R U D' B
L U' F R U D2 B
L U' F R U B D
L U' F R U B D'
L U' F R U B D2
L U' F R D U B
L U' F R D' U B
L U' F R D2 U B
L U' F D R U B
L U' F D' R U B
L U' F D2 R U B
U2 R2 B' U' R' B U'
L D U' F R U B
L2 D F L' U R U'
L2 D F U R U' L'
L D' U' F R U B
F' U' L' F' U L' F
L D2 U' F R U B
L2 F L U R B' U'
L2 F L U B' R U'
L2 F U' F2 L' F U
L F' L D' F L2 B2
L F' L D' F B2 L2
L F' L D' B2 F L2
L2 F' U' L' F U F
F2 D' L2 D F L' B'
L2 F2 D' L F' B' L
L2 F2 D' L B' L F'
L2 F2 D' L B' F' L
L2 F2 D' F' L B' L
L2 F2 D' F' B' L B'
L2 F2 D' B' L F' B'
L2 F2 D' B' L B' F'
L2 F2 D' B' F' L B'
U B L' U' B' L2 F
L B U' F R U B
U2 B' R U' B R2 U'
U2 B' U' R' B U' L
L B' U' F R U B
L B2 U' F R U B
