U L B2 U F U
F' U L B2 U2 L2
F U L R B2 U2
F U L B2 R U2
F U R L B2 U2
F U R B2 U2 R'
F' U B2 U2 L' R'
F' U B2 U2 R' L'
F U B2 R U2 R2
F' U' L' D2 R2 F2
F' U' L' D2 F2 R2
F L R B2 U L U
U L R B2 U F U
U L R' B2 U F U
U L R2 B2 U F U
U L U D' R2 F U
U L U D' F R2 U
U L U D2 F U F
U L U F U D2 F2
U L U F U' B2 U2
U L U F D' R2 U
U L U F D2 U F2
U L U' D L2 B' U'
U L D U' L2 B' U'
U L D' U R2 F U
U L D' U F R2 U
U L D2 U F U F
R' L B2 U' R B U'
L R B2 U L F U
R L B2 U L F U
F L B2 R U' R' U'
F' L B2 U2 L2 D' B2
U L B2 R U F U
U L B2 R' U F U
U L B2 R2 U F U
U L B2 U D F U
U L B2 U D' F U
U L B2 U D2 F U
U L B2 U F U D
U L B2 U F U D'
U L B2 U F U D2
U L B2 U F D U
U L B2 U F D' U
U L B2 U F D2 U
U L B2 D U F U
U L B2 D' U F U
U L B2 D2 U F U
F L' U L2 R B2 U2
F L' U L2 B2 R U2
F L' U R L2 B2 U2
F L' U R B2 L2 U2
F L' U B2 L2 R U2
F L' U B2 R L2 U2
F L' U' D2 F2 L' R2
F L' U' D2 F2 R2 L'
F' L' D L2 F2 U' L2
F L' D L2 F2 U' L'
F' L' D F2 L2 U' L2
F L' D F2 L2 U' L
F' L' D2 R2 F2 D B2
F' L' D2 F2 R2 D B2
F L' D2 U' F2 L' R2
F L' D2 U' F2 R2 L'
L R' B2 U' R B U'
U L' B2 L2 U' B U'
F' L2 U L' B2 U2 L2
D L2 U L' U' B' U'
F L2 U L' R B2 U2
F L2 U L' B2 R U2
F L2 U R L' B2 U2
F L2 U R B2 L' U2
F' L2 U B2 L' R' U2
F' L2 U B2 R' L' U2
F' L2 U' L D2 R2 F2
F' L2 U' L D2 F2 R2
F L2 U B2 L' R U2
F L2 U B2 R L' U2
F' L2 U' D2 F2 L R
F' L2 U' D2 F2 R L
F L2 U' D2 F2 L' R
F L2 U' D2 F2 R L'
F' L2 D2 U' F2 L R
F' L2 D2 U' F2 R L
F L2 D2 U' F2 L' R
F L2 D2 U' F2 R L'
L2 U L' B2 U' B U'
D2 L2 F' U' L' F' R
U L2 B2 L' U F U
F R L B2 U L U
U R L B2 U F U
L2 U B2 L' U' B' U'
F R B2 U L U R'
U R' L B2 U F U
U R2 L B2 U F U
F' U L R B2 U2 L2
D' U L U R2 F U
D' U L U F R2 U
F' U L R' B2 U2 L2
D2 U L U F U F
F' U L R2 B2 U2 L2
F' U L U2 L2 D2 F2
F' U L D2 R2 U2 F2
F' U L B' U2 L2 F
F' U L B2 R U2 L2
F' U L B2 R' U2 L2
F' U L B2 R2 U2 L2
F' U L B2 U2 L2 D
F' U L B2 U2 L2 D'
F' U L B2 U2 L2 D2
F' U L B2 D2 R2 U2
F U L R U2 D2 F2
F U L R D2 U2 F2
F U L R B2 U2 D
F U L R B2 U2 D'
F U L R B2 U2 D2
F U L R B2 D U2
F U L R B2 D' U2
F U L R B2 D2 U2
F U L R' B2 R2 U2
F U L R2 B2 U2 L
F U L U2 D2 F2 L'
F U L D2 R U2 F2
F U L D2 U2 F2 L'
F' U L' B2 L2 U2 L2
F U L B' R B' U2
F U L B2 R U2 D
F U L B2 R U2 D'
F U L B2 R U2 D2
F U L B2 R D U2
F U L B2 R D' U2
F U L B2 R D2 U2
F U L B2 D R U2
F U L B2 D' R U2
F U L B2 D2 R U2
F U L' R B2 L2 U2
L' D F' L2 F' U' L
F' U L2 B2 L' R' U2
F' U L2 B2 R' L' U2
F' U R L B2 U2 L2
F U L' B2 L2 R U2
F U L' B2 R L2 U2
F U L2 R B2 L' U2
F' U R B2 U2 L' R'
F' U R B2 U2 R' L'
F' U R' L B2 U2 L2
F U L2 B2 L' R U2
F U L2 B2 R L' U2
F U R L U2 D2 F2
F U R L D2 U2 F2
F U R L B2 U2 D
F U R L B2 U2 D'
F U R L B2 U2 D2
F U R L B2 D U2
F U R L B2 D' U2
F U R L B2 D2 U2
F U R L' B2 L2 U2
F U R L2 B2 L' U2
F U R D2 L U2 F2
F' U R' B2 U2 L' R'
F' U R' B2 U2 R' L'
F' U R2 L B2 U2 L2
F U R B2 L U2 R'
F U R B2 L' U2 R'
F U R B2 L2 U2 R'
F U R B2 U2 R' D
F U R B2 U2 R' D'
F U R B2 U2 R' D2
F U R B2 U2 D R'
F U R B2 U2 D' R'
F U R B2 U2 D2 R'
F U R B2 D U2 R'
F U R B2 D' U2 R'
F U R B2 D2 U2 R'
F U R' L B2 R2 U2
F' U R2 B2 U2 L' R'
F' U R2 B2 U2 R' L'
F U R' B2 R2 U2 R
F U R2 L B2 U2 L
F U R2 B2 U2 L R'
F U R2 B2 U2 R' L
F' U D2 L U2 L2 F2
F' U D2 L U2 F2 L2
F U D2 L R U2 F2
F U D2 L U2 F2 L'
F U D2 R L U2 F2
U D' L U R2 F U
U D' L U F R2 U
F' U B2 L U2 L2 R'
F' U B2 L U2 R' L2
F' U B2 L2 U2 L R'
F' U B2 L2 U2 R' L
F' U B2 R U2 L' R2
F' U B2 R U2 R2 L'
F' U B2 R2 U2 L' R
F' U B2 R2 U2 R L'
F' U B2 U2 L' R' D
F' U B2 U2 L' R' D'
F' U B2 U2 L' R' D2
F' U B2 U2 L' D R'
F' U B2 U2 L' D' R'
F' U B2 U2 L' D2 R'
F U B' R B' U2 R'
F' U B2 U2 R' L' D
F' U B2 U2 R' L' D'
F' U B2 U2 R' L' D2
F' U B2 U2 R' D L'
F' U B2 U2 R' D' L'
F' U B2 U2 R' D2 L'
F' U B2 U2 D L' R'
F' U B2 U2 D R' L'
F' U B2 U2 D' L' R'
F' U B2 U2 D' R' L'
F' U B2 U2 D2 L' R'
F' U B2 U2 D2 R' L'
F' U B2 D U2 L' R'
F' U B2 D U2 R' L'
F' U B2 D' U2 L' R'
F' U B2 D' U2 R' L'
F' U B2 D2 U2 L' R'
F' U B2 D2 U2 R' L'
F U B2 L R U2 R2
F U B2 L' R U2 R2
F U B2 L2 R U2 R2
F U B2 R L U2 R2
F U B2 R L' U2 R2
F U B2 R L2 U2 R2
F U B2 R U2 R2 D
F U B2 R U2 R2 D'
F U B2 R U2 R2 D2
F U B2 R D2 L2 U2
F U B2 U2 R' D2 L2
F U B2 D R U2 R2
F' U' L B2 U2 L2 B2
F' U' L B2 U2 B2 L2
F U B2 D' R U2 R2
F' U' L' R D2 R2 F2
F' U' L' R D2 F2 R2
F' U' L' R' D2 R2 F2
F' U' L' R' D2 F2 R2
F U B2 D2 R U2 R2
F' U' L' R2 D2 R2 F2
F' U' L' R2 D2 F2 R2
F' U' L' U2 L2 B2 U2
F' U' L' U2 B2 L2 U2
F U' L R B2 U2 B2
F' U' L' D2 R' F2 R'
F' U' L' D2 R2 F2 D
F' U' L' D2 R2 F2 D'
F' U' L' D2 R2 F2 D2
F' U' L' D2 F R2 F
F' U' L' D2 F2 R2 D
F' U' L' D2 F2 R2 D'
F' U' L' D2 F2 R2 D2
F' U' L' F D2 R2 F2
F' U' L' F D2 F2 R2
F' U' L' F' D2 R2 F2
F' U' L' F' D2 F2 R2
F' U' L' F2 D2 R2 F2
F' U' L' F2 D2 F2 R2
F U' L B2 R U2 B2
F' U' L2 D2 F2 L R
F' U' L2 D2 F2 R L
F U' L' D2 F2 L' R2
F U' L' D2 F2 R2 L'
F' U' R L' D2 R2 F2
F' U' R L' D2 F2 R2
F U' L2 D2 F2 L' R
F U' L2 D2 F2 R L'
B2 U' R B U' R2 B'
B2 U' R B U' B' R2
F' U' R' L' D2 R2 F2
F' U' R' L' D2 F2 R2
F U' R L B2 U2 B2
B2 U' R' U' F' U F
F' U' R2 L' D2 R2 F2
F' U' R2 L' D2 F2 R2
F U' R B2 U2 R' B2
F U' R' D2 L2 F2 R
F' U' D2 L' F2 D2 R2
F' U' D2 L2 F2 L R
F' U' D2 L2 F2 R L
F2 U' F L' D2 R2 F2
F2 U' F L' D2 F2 R2
F U' D2 L2 F2 L' R
F U' D2 L2 F2 R L'
F U' D2 F2 L' D2 R2
U D2 L U F U F
F U' F2 L' D2 R2 F2
F U' F2 L' D2 F2 R2
B2 U' B' U' B L R'
B2 U' B' U' B R' L
F' U' B2 U2 L' R' B2
F' U' B2 U2 R' L' B2
F' U' B2 U2 R' B2 L'
F U' B2 R U2 R2 B2
F U' B2 R U2 B2 R2
L' D2 F' U' L' F' R2
L2 D2 F' U' L' F' R
D F L2 U L' R U2
D F L2 U R L' U2
D F L2 F2 U' L' R
D F L2 F2 U' R L'
L F R B2 U L U
L' F U L2 R B2 U2
L' F U L2 B2 R U2
L' F U R L2 B2 U2
L' F U R B2 L2 U2
L' F U B2 L2 R U2
L' F U B2 R L2 U2
L' F U' D2 F2 L' R2
L' F U' D2 F2 R2 L'
L' F D L2 F2 U' L'
F' D L2 U L' U2 L2
L' F D F2 L2 U' L
F' D L2 U' L D2 R2
F' D L2 F2 U' L R
F' D L2 F2 U' R L
F D L2 U L' R U2
F D L2 U R L' U2
L' F D2 U' F2 L' R2
L' F D2 U' F2 R2 L'
F D L2 F2 U' L' R
F D L2 F2 U' R L'
L F B2 R U' R' U'
D F' L2 U L' U2 L2
D F' L2 U' L D2 R2
D F' L2 F2 U' L R
D F' L2 F2 U' R L
D2 F' U L U2 L2 F'
D2 F' U L U2 F' L2
L' F' U L2 B2 R' U2
F' D B2 L2 U' L R'
F' D B2 L2 U' R' L
D2 F' U' L' D2 F' R2
D2 F' U' L' F' D2 R2
L' F' U B2 L2 U2 L
L' F' U' L' D2 F2 R
L' F' U' D2 L' R2 F2
L' F' U' D2 L' F2 R2
L' F' U' D2 R2 L' F2
L' F' D L2 F2 U' L
L' F' D2 U' L' R2 F2
L' F' D2 U' L' F2 R2
L' F' D2 U' R2 L' F2
D2 F' B2 U' L' F' R'
D F' B2 L2 U' L R'
D F' B2 L2 U' R' L
F' D2 L2 U' F2 L R
F' D2 L2 U' F2 R L
F D2 L2 U' F2 L' R
F D2 L2 U' F2 R L'
F' D2 U L U2 L2 F2
F' D2 U L U2 F2 L2
F' D2 U' L' F2 D2 R2
F' D2 U' L2 F2 L R
F' D2 U' L2 F2 R L
F D2 U L R U2 F2
F D2 U L U2 F2 L'
F D2 U R L U2 F2
F D2 U' L2 F2 L' R
F D2 U' L2 F2 R L'
F D2 U' F2 L' D2 R2
F' D2 B2 U' L' R' F2
F' D2 B2 U' L' F2 R'
F' D2 B2 U' R' L' F2
F D2 B2 U' F2 L' R'
F D2 B2 U' F2 R' L'
B2 F R U' R' U' R'
F' B U B U2 L' R'
F' B U B U2 R' L'
B F U B R U2 R2
F B U B R U2 R2
B F' U B U2 L' R'
B F' U B U2 R' L'
U B2 L U F U R'
D B2 L2 F' U' L' R'
D B2 L2 F' U' R' L'
L B2 R' U' R B U'
R' B2 U' R B U' R2
F B2 R U' R' U' R'
R B2 U L F U R'
L B2 U' R B U' B'
U B2 U' F' U' L' R'
U B2 U' F' U' R' L'
L B2 U' B' U' B L
U B2 U2 R' U' F' U
D2 B2 F' U' L' F' R'
L B2 F R U' R' U'
D B2 F' L2 U' L R'
D B2 F' L2 U' R' L
