F' L' U' R U' F' L'
F L' B U L R F'
F L' B U R L F'
F L' B U R F' L
F R F' D' B L B'
F R F' B D' L B'
F R B L D' F' B2
F R B L D' B2 F'
F R B L F' D' B2
F R B F' D' L B'
F U L' U R F' L'
R' D' B U2 L B' R'
R' B U2 D' L B' R'
B F L R D' F' B2
B F L R D' B2 F'
B F L R F' D' B2
F B L R D' F' B2
F B L R D' B2 F'
F B L R F' D' B2
B F L' U L2 R F'
B F L' U R L2 F'
B F L' U R F' L2
R' B D' U2 L B' R'
F B L' U L2 R F'
F B L' U R L2 F'
F B L' U R F' L2
B F R L D' F' B2
B F R L D' B2 F'
B F R L F' D' B2
F B R L D' F' B2
F B R L D' B2 F'
F B R L F' D' B2
B F R F' D' L B'
F B R F' D' L B'
