D' L2 U L R2
D' L2 U R2 L
B2 U L' D2 B2
B2 U D2 L' B2
B2 U D2 B2 L'
B2 U' F2 R U2
B2 D' L2 U L
B2 D2 U L' B2
B2 D2 U B2 L'
B2 L U L2 D2 B2
B2 L U' F2 U2 L2
B2 L F U L2 B'
B2 L' D' L2 U L2
U L' D' R2 D' B2
U L' D2 B2 D R2
D' L2 U L R2 D
D' L2 U L R2 D'
D' L2 U L R2 D2
B2 L2 U L D2 B2
D' L2 U R2 L D
D' L2 U R2 L D'
D' L2 U R2 L D2
D' L2 U R2 D L
D' L2 U R2 D' L
D' L2 U R2 D2 L
B2 L2 U D2 L B2
B2 L2 U' F2 U2 L
B2 L2 D' L2 U L'
B2 L2 D2 U L B2
D' L2 F U L R2
D' L2 F U R2 L
D' L2 F' U L R2
D' L2 F' U R2 L
D' L2 F2 U L R2
D' L2 F2 U R2 L
F2 R U R' B2 U
D' R2 D' L' F2 B2
D' R2 D' L' B2 F2
D' R2 D' B2 L' F2
B2 U L' U2 F2 U2
B2 U L' D2 B2 D
B2 U L' D2 B2 D'
B2 U L' D2 B2 D2
B2 U L' B D2 B2
B2 U L' B' D2 B2
B2 U L' B2 D2 B2
D2 U L' B2 D R2
B2 U L2 D2 L B2
D' U R2 D' L' B2
D' U R2 D' B2 L'
B2 U D L' D B2
L' D' L2 U L2 R2
L' D' L2 U R2 L2
B2 U D2 L B2 L2
B2 U D2 L' B2 D
B2 U D2 L' B2 D'
B2 U D2 L' B2 D2
B2 U D2 B L' B
B2 U D2 B2 L' D
B2 U D2 B2 L' D'
B2 U D2 B2 L' D2
B2 U D2 B2 D L'
B2 U D2 B2 D' L'
B2 U D2 B2 D2 L'
L' D' R2 D' F2 B2
L' D' R2 D' B2 F2
L2 D' L2 U L' R2
L2 D' L2 U R2 L'
D2 U B2 L' D R2
B2 U B L' D2 B2
D2 U B2 D L' R2
D2 U B2 D R2 L'
B2 U B D2 L' B2
B2 U B D2 B2 L'
B2 U B' L' D2 B2
B2 U B' D2 L' B2
B2 U B' D2 B2 L'
B2 U B2 L' D2 B2
B2 U B2 D2 L' B2
B2 U B2 D2 B2 L'
B2 U' R F2 R U2
U D' R2 D' L' B2
U D' R2 D' B2 L'
B2 U' R' F2 R U2
B2 U' R2 F2 R U2
B2 U' F2 R U2 D
B2 U' F2 R U2 D'
B2 U' F2 R U2 D2
B2 U' F2 R D U2
B2 U' F2 R D' U2
B2 U' F2 R D2 U2
B2 U' F2 D R U2
B2 U' F2 D' R U2
B2 U' F2 D2 R U2
U D2 L' B2 D R2
B2 U2 D R2 U' L'
U D2 B2 L' D R2
U D2 B2 D L' R2
U D2 B2 D R2 L'
B2 D U L' D B2
L F B2 U L2 B'
B2 D U2 R2 U' L'
B2 D' L2 U L D
B2 D' L2 U L D'
B2 D' L2 U L D2
B2 D' L2 U D L
B2 D' L2 U D' L
B2 D' L2 U D2 L
B2 D' L2 D U L
B2 D' L2 D' U L
B2 D' L2 D2 U L
B2 D' L2 F U L
B2 D' L2 F' U L
B2 D' L2 F2 U L
U' F2 R U B2 U
U' F2 R U2 D' R2
U' F2 R D L2 U2
U' F2 R D' U2 R2
B' D' B' L2 U L
B D' B L2 U L
B2 D2 L U L2 B2
B2 D2 L U B2 L2
U' F2 D L2 R U2
U' F2 D R L2 U2
U' F2 D' R U2 R
B2 D2 L2 U L B2
B2 D2 U L B2 L2
B2 D2 U L' B2 D
B2 D2 U L' B2 D'
B2 D2 U L' B2 D2
B2 D2 U B L' B
B2 D2 U B2 L' D
B2 D2 U B2 L' D'
B2 D2 U B2 L' D2
B2 D2 U B2 D L'
B2 D2 U B2 D' L'
B2 D2 U B2 D2 L'
D' B L2 U L R2
D' B L2 U R2 L
B' D2 B' U B' L'
B D2 B U L' B
B D2 B U B L'
D' B' L2 U L R2
D' B' L2 U R2 L
B2 F' U' F' R U2
D' B2 L2 U L R2
D' B2 L2 U R2 L
L B2 U L2 D2 B2
L2 B2 U D2 B2 L
L' B2 D' L2 U L2
L2 B2 U' R' F2 U2
L2 B2 U' F2 R' U2
L B2 U' F2 U2 L2
F' B2 U' F' R U2
L2 B2 D2 U B2 L
L B2 F U L2 B'
F2 L R U R' B2 U
B2 L U L D2 L B2
B2 L U L' D2 L' B2
B2 L U L' D2 B2 L'
B2 L U L2 U2 F2 U2
B2 L U L2 D2 B2 D
B2 L U L2 D2 B2 D'
B2 L U L2 D2 B2 D2
D2 L U L2 B2 D R2
B2 L U L2 B D2 B2
B2 L U L2 B' D2 B2
B2 L U L2 B2 D2 B2
B2 L U D2 B2 D2 L2
B2 L U F L2 F' B'
B2 L U F L2 B' F'
B2 L U B L2 D2 B2
B2 L U B' L2 D2 B2
D2 L U B2 L2 D R2
B2 L U B2 L2 D2 B2
B2 L U' R F2 U2 L2
B2 L U' R' F2 U2 L2
B2 L U' R2 F2 U2 L2
B2 L U' D2 R2 U2 B2
B2 L U' F U2 L2 B'
B2 L U' F2 R U2 L2
B2 L U' F2 R' U2 L2
B2 L U' F2 R2 U2 L2
B2 L U' F2 U2 L2 D
B2 L U' F2 U2 L2 D'
B2 L U' F2 U2 L2 D2
B2 L U' F2 D2 R2 U2
D2 L U2 F2 U' L2 B2
D2 L U2 F2 U' B2 L2
D' L D L F2 B2 U
D' L D L B2 F2 U
D2 L D L2 F2 U R2
D2 L D F2 L2 U R2
D' L D F2 L B2 U
B2 L D F2 U D B2
B2 L D F2 U2 R2 U'
B2 L D F2 D U B2
B2 L D F2 D2 L2 U
D L D F2 U B2 R'
B2 L D' L2 U D L2
B2 L D' L2 U2 B2 U'
B2 L D' L2 D U L2
B2 L D' L2 D2 F2 U
B2 L D2 U B2 D2 L2
B2 L D2 U' R2 U2 B2
D' L F L U L R2
D' L F L U R2 L
B2 L F L U L B'
B' L F U L2 B' R'
B2 L F U L2 D B'
B2 L F U L2 D' B'
B2 L F U L2 D2 B'
B2 L F U L2 B' D
B2 L F U L2 B' D'
B2 L F U L2 B' D2
B2 L F U B L2 B'
B2 L F U B' L2 B'
B2 L F U B2 L2 B'
B2 L F U' F U2 L2
D' L F' L U L R2
D' L F' L U R2 L
B L F B U L2 B'
B2 L F' U' F' U2 L2
D' L F2 L U L R2
D' L F2 L U R2 L
B2 L F2 U L2 D' B2
U' L F2 U B2 U L2
U' L F2 U2 L2 D' R2
B L B U L2 D2 B2
B L B U' F2 U2 L2
B L B F U L2 B'
F' L B2 U' F' R U2
F2 L' R U R' B2 U
U L' R D' R2 D' B2
U L' R D2 B2 D R2
U L' R' D' R2 D' B2
U L' R' D2 B2 D R2
D' L' R2 U' L' R2 U
D' L' R2 U' R2 L' U
R2 L' D' R2 F2 D' B2
U L' R2 D' R2 D' B2
R2 L' D' F2 R2 D' B2
U L' R2 D2 B2 D R2
D2 L' U F2 U' F2 B2
D2 L' U F2 U' B2 F2
B2 L' U D2 B2 D L2
D2 L' U B2 D L2 R2
D2 L' U B2 D R2 L2
U L' U D2 F2 U' B2
R2 L' D2 B2 D R2 F2
R2 L' D2 B2 D F2 R2
R2 L' F D' F2 R2 B
U L' U' D' L2 U R2
B2 L' U' F2 U F2 U
B2 L' U' F2 U2 D' L2
B2 L' U' F2 D R2 U2
B2 L' U' F2 D' U2 L2
U L' U' B2 U D2 B2
U L' U' B2 U' F2 U2
U L' U' B2 D' L2 U
U L' U' B2 D2 U B2
R2 L' F' D' R2 F2 B
R2 L' F' D' R2 B F2
D2 L' D L2 U L2 R2
D2 L' D L2 U R2 L2
U L' U2 F2 U B2 U
U L' U2 F2 U2 D' R2
U L' U2 F2 D L2 U2
U L' U2 F2 D' U2 R2
D2 L' D R2 D' F2 B2
D2 L' D R2 D' B2 F2
D' L' D B2 L' U L
B2 L' D' L2 U L2 D
B2 L' D' L2 U L2 D'
B2 L' D' L2 U L2 D2
B2 L' D' L2 D F2 U
B2 L' D' L2 F U L2
B2 L' D' L2 F' U L2
B2 L' D' L2 F2 U L2
B L' D' L2 B U L2
U L' D' R D' R B2
U L' D' R D' B2 R
U L' D' R' D' R' B2
B2 L' D' F L2 U L2
U L' D' R2 U' L2 U
U L' D' R2 D' B2 D
U L' D' R2 D' B2 D'
U L' D' R2 D' B2 D2
U L' D' R2 B D' B2
U L' D' R2 B' D' B2
B2 L' D' F' L2 U L2
U L' D' R2 B2 D' B2
B2 L' D' F2 L2 U L2
U L' D' U' L2 U R2
B L' D' B L2 U L2
B2 L' D2 L U L' B2
B2 L' D2 L U B2 L'
U L' D' B R2 D' B2
B2 L' D2 L' U L B2
U L' D' B' R2 D' B2
B2 L' D2 L2 U L2 B2
B2 L' D2 L2 U B2 L2
U L' D' B2 R2 D' B2
B2 L' D2 U B2 D L2
U L' D2 R B2 D R2
U L' D2 R' B2 D R2
U L' D2 R2 B2 D R2
U L' D2 U F2 U' B2
U L' D2 B D B R2
B2 L' F L2 U B' L2
U L' D2 B' D R2 B'
U L' D2 B' D B' R2
U L' D2 B2 R D R2
U L' D2 B2 R' D R2
U L' D2 B2 R2 D R2
U L' D2 B2 U F2 U'
U L' D2 B2 D R2 D
U L' D2 B2 D R2 D'
U L' D2 B2 D R2 D2
U L' F' D' R2 F B
U L' F' D' R2 B F
U' L' F2 D L2 U2 L2
D' L' B L' U L R2
D' L' B L' U R2 L
B L' B D' L2 U L2
D' L' B' L' U L R2
D' L' B' L' U R2 L
D' L' B2 L' U L R2
D' L' B2 L' U R2 L
L' R2 D' R2 F2 D' B2
D2 L' B2 U F2 U' F2
F' L' B2 U' F' R U2
D2 L' B2 D R2 D' F2
L' R2 D' F2 R2 D' B2
F2 L2 R U R' B2 U
U L' B2 D2 B2 D' R2
L' R2 D2 B2 D R2 F2
L' R2 D2 B2 D F2 R2
L' R2 F D' F2 R2 B
D' L2 U L R D R
D' L2 U L R D' R
D' L2 U L R D2 R
D' L2 U L R' D R'
D' L2 U L R' D' R'
D' L2 U L R' D2 R'
D2 L2 U L B2 D R2
D' L2 U L F' R2 F
D' L2 U L F2 R2 F2
D' L2 U L B R2 B'
D' L2 U L B2 R2 B2
D' L2 U L2 R2 D L'
D' L2 U L2 R2 D' L'
D' L2 U L2 R2 D2 L'
L' R2 F' D' R2 F2 B
L' R2 F' D' R2 B F2
D' L2 U R L D R
D' L2 U R L D' R
D' L2 U R L D2 R
D' L2 U R D L R
D' L2 U R D R L
D' L2 U R D' L R
D' L2 U R D' R L
D' L2 U R D2 L R
D' L2 U R D2 R L
B2 L2 U L U2 F2 U2
D' L2 U R' L D R'
D' L2 U R' L D' R'
D' L2 U R' L D2 R'
B2 L2 U L D2 B2 D
B2 L2 U L D2 B2 D'
B2 L2 U L D2 B2 D2
B2 L2 U L B D2 B2
D' L2 U R' D L R'
D' L2 U R' D R' L
B2 L2 U L B' D2 B2
D' L2 U R' D' L R'
B2 L2 U L B2 D2 B2
D' L2 U R' D' R' L
D' L2 U R' D2 L R'
D' L2 U R' D2 R' L
D' L2 U R2 L2 D L'
D' L2 U R2 L2 D' L'
D' L2 U R2 L2 D2 L'
D' L2 U R2 D L D
D' L2 U R2 D L D'
D' L2 U R2 D L D2
D' L2 U R2 D' L D
D' L2 U R2 D' L D'
D' L2 U R2 D' L D2
D' L2 U R2 D2 L D
D' L2 U R2 D2 L D'
D' L2 U R2 D2 L D2
D' L2 U R2 F L F'
D' L2 U R2 F2 L F2
B2 L2 U L2 D2 L' B2
B2 L2 U L2 D2 B2 L'
D' L2 U D L D' R2
D' L2 U D' L D R2
D' L2 U F L F' R2
B2 L2 U D L D B2
D' L2 U F' R2 F L
D' L2 U F2 L R2 F2
D' L2 U F2 L F2 R2
D' L2 U F2 R2 L F2
D' L2 U F2 R2 F2 L
B2 L2 U D2 L B2 D
B2 L2 U D2 L B2 D'
B2 L2 U D2 L B2 D2
B2 L2 U D2 L' B2 L2
B2 L2 U D2 L2 B2 L'
D' L2 U B R2 B' L
D' L2 U' L' U2 L2 R2
D' L2 U' L' U2 R2 L2
D' L2 U' L2 U2 L' R2
D' L2 U' L2 U2 R2 L'
D' L2 U' R U2 L R
D' L2 U' R U2 R L
B2 L2 U B2 D2 B2 L
D' L2 U' R' U2 L R'
D' L2 U' R' U2 R' L
B2 L2 U' R F2 U2 L
D' L2 U' D2 L2 U2 L'
B2 L2 U' R' F2 U2 L
B2 L2 U' R2 F2 U2 L
B2 L2 U' F2 R U2 L
B2 L2 U' F2 R' U2 L
B2 L2 U' F2 R2 U2 L
B2 L2 U' F2 U2 L D
B2 L2 U' F2 U2 L D'
B2 L2 U' F2 U2 L D2
B2 L2 U' F2 U2 D L
B2 L2 U' F2 U2 D' L
B2 L2 U' F2 U2 D2 L
B2 L2 U' F2 D U2 L
B2 L2 U' F2 D' U2 L
B2 L2 U' F2 D2 U2 L
D' L2 U2 D' F2 U' L
D' L2 U2 F U' L R2
D' L2 U2 F U' R2 L
B2 L2 U2 D R2 U' L
D' L2 U2 F' U' L R2
D' L2 U2 F' U' R2 L
D2 L2 U2 F2 U' L B2
D L2 U2 R2 U' L R2
D L2 U2 R2 U' R2 L
D' L2 U2 F2 U' L R2
D' L2 U2 F2 U' R2 L
D2 L2 D L2 U L' R2
D2 L2 D L2 U R2 L'
D' L2 D U L D' R2
B2 L2 D U L D B2
U L2 D L D B2 R'
B2 L2 D U2 R2 U' L
D' L2 D B2 U' R' U2
B' L2 D' L2 B' U L'
B2 L2 D' L2 U L' D
B2 L2 D' L2 U L' D'
B2 L2 D' L2 U L' D2
B2 L2 D' L2 U D L'
B2 L2 D' L2 U D' L'
B2 L2 D' L2 U D2 L'
B2 L2 D' L2 D U L'
B2 L2 D' L2 D' U L'
D' L2 D' U L D R2
B2 L2 D' L2 D2 U L'
D' L2 D' U2 F2 U' L
B L2 D' L2 B U L'
B2 L2 D' F L2 U L'
B2 L2 D' F' L2 U L'
B2 L2 D' F2 L2 U L'
U L2 D' R2 D' L B2
L2 U L D' R2 D' B2
B2 L2 D2 L' U L2 B2
B2 L2 D2 L' U B2 L2
B2 L2 D2 L2 U L' B2
B2 L2 D2 L2 U B2 L'
L2 U L D2 B2 D R2
D' L2 D2 U' L2 U2 L'
B2 L2 D2 U L B2 D
B2 L2 D2 U L B2 D'
B2 L2 D2 U L B2 D2
B2 L2 D2 U L' B2 L2
B2 L2 D2 U L2 B2 L'
U L2 D2 L B2 D R2
B2 L2 D2 F U L B2
B2 L2 D2 F' U L B2
B2 L2 D2 F2 U L B2
D' L2 F U L R2 D
D' L2 F U L R2 D'
D' L2 F U L R2 D2
B2 L2 F L2 U B' L'
D' L2 F U R2 L D
D' L2 F U R2 L D'
D' L2 F U R2 L D2
D' L2 F U R2 D L
D' L2 F U R2 D' L
D' L2 F U R2 D2 L
B2 L2 F U L2 B' L'
B2 L2 F U' F U2 L
D' L2 F' U L R2 D
D' L2 F' U L R2 D'
D' L2 F' U L R2 D2
D' L2 F' U R2 L D
D' L2 F' U R2 L D'
D' L2 F' U R2 L D2
D' L2 F' U R2 D L
D' L2 F' U R2 D' L
D' L2 F' U R2 D2 L
L U L2 D' R2 D' B2
L U L2 D2 B2 D R2
B2 L2 F' U' F' U2 L
D' L2 F2 U L R2 D
D' L2 F2 U L R2 D'
D' L2 F2 U L R2 D2
D' L2 F2 U R2 L D
D' L2 F2 U R2 L D'
D' L2 F2 U R2 L D2
D' L2 F2 U R2 D L
D' L2 F2 U R2 D' L
D' L2 F2 U R2 D2 L
F L2 F' B2 U L' B
F L2 F' B2 U B L'
U' L2 F2 U2 L D' R2
U' L2 F2 U2 D' L R2
U' L2 F2 U2 D' R2 L
U' L2 F2 D L2 U2 L'
U' L2 F2 D' U2 L R2
U' L2 F2 D' U2 R2 L
L2 U D L D B2 R'
D' L2 B2 U' R' U2 R'
F' L2 B2 U' F' R U2
D' L2 B2 D B2 U L
L2 U D' R2 D' L B2
F2 R L U R' B2 U
F L2 B2 F' U L' B
F L2 B2 F' U B L'
L2 U D2 L B2 D R2
L' U D2 F2 U' F2 B2
L' U D2 F2 U' B2 F2
L' U D2 B2 D L2 R2
L' U D2 B2 D R2 L2
F2 R L' U R' B2 U
U R L' D' R2 D' B2
