R' U R' U2 R' F' U'
R2 U' R U' R2 F' U'
F' R2 U' L' R U2 B
F' R2 U' R L' U2 B
F R2 F2 U L' R' B'
F R2 F2 U R' L' B'
R F D B2 U' R F'
F D R D2 F2 L2 B'
F D R' U2 B R2 F'
F D R' B2 U2 R2 B'
F D R' B2 U2 B' R2
R F' U L' R2 B' U2
R F' U L' B' R2 U2
R F' U R2 L' B' U2
F D' B2 L R F2 B'
F D' B2 L R B' F2
F D' B2 L B' R F2
F D' B2 R L F2 B'
F D' B2 R L B' F2
F D' B2 R F2 L B'
B2 F D' L R F2 B'
B2 F D' L R B' F2
B2 F D' L B' R F2
B2 F D' R L F2 B'
B2 F D' R L B' F2
B2 F D' R F2 L B'
F B2 D' L R F2 B'
F B2 D' L R B' F2
F B2 D' L B' R F2
F B2 D' R L F2 B'
F B2 D' R L B' F2
F B2 D' R F2 L B'
