R U D R' B U B
U' R U' R2 F' U' R
U' R U' F' R2 U' R'
U' R F L' U' R2 U'
U' R F L' U2 D B2
U' R F L' D U2 B2
U' R F L' D' F2 U2
U' R F D L' U2 B2
U' R F D' L' F2 U2
U' R F D' F2 U2 R
U' R F' U' R2 U' R'
U' R F' U2 D R B2
U' R F' U2 D B2 R
U' R F' D U2 R B2
U' R F' D U2 B2 R
U' R F' D' F2 L' U2
U2 R' D2 B U' L2 R'
U2 R' D2 B U' R' L2
U2 R' F U L' R2 U2
U2 R' F U R2 L' U2
U2 R' F' U R2 U2 R'
U2 R' F' U' D2 L2 R
U2 R' F' U' D2 R L2
U2 R' F' D B2 U' R
U2 R' F' D2 U' L2 R
U2 R' F' D2 U' R L2
R D U R' B U B
U' D R U' F' R2 U'
B U' L R F L' U2
D U' R U' F' R2 U'
B U' R L F L' U2
B U' R F L' U2 B'
B U' R F' U2 R B
B U' F' U2 R B L
F' U2 R' B U' L R2
F' U2 R' B U' R2 L
F2 U2 R' B' U' L' R'
F2 U2 R' B' U' R' L'
U2 F' R' F' U' L' R2
U2 F' R' F' U' R2 L'
R' F' U R2 U2 R' F'
B2 D' L F2 B' U L'
B2 D' L B' U' R U2
B2 D' L B' F2 U L'
B2 D' F2 L B' U L2
D' F2 B2 L B' U L2
D' B2 L F2 B' U L'
D' B2 L B' U' R U2
D' B2 L B' F2 U L'
B2 F2 L F U L2 R
B2 F2 L F U R L2
F2 B2 L F U L2 R
F2 B2 L F U R L2
D' B2 F2 L B' U L2
