U' L2 R2 B U' L
U' L2 B R2 U' L
R U' L2 B R U'
R U' B L2 R U'
R U' B R L2 U'
U' R2 L2 B U' L
U' R2 B L2 U' L'
U' B L2 R2 U' L'
U' B R2 L2 U' L'
L2 R D B R F2 U'
L2 R D2 B R U' R
L2 R B R U L2 U2
L2 R B R U' D2 R2
L2 R B R D F2 U'
L2 R B R D2 U' R2
L2 R B D R F2 U'
L2 R B D2 R U' R
U' L' R2 B L' U' L2
U2 L' R2 B' L' U' R2
U2 L' U R2 B' L' U'
U2 L' U B' L' R2 U'
U2 L' U B' R2 L' U'
U' L' B L' R2 U' L2
U' L' B R2 L' U' L2
U2 L' B' L' R2 U' R2
U2 L' B' R2 L' U' R2
L2 R2 D F2 B' U' L
R2 L2 D F2 B' U' L
L2 R2 D B' F2 U' L
R2 L2 D B' F2 U' L
R L2 D B R F2 U'
U' L2 R B R U' L
R L2 D2 B R U' R
U' L2 R2 U2 F' U L'
U' L2 R2 D B U' L
U' L2 R2 D' B U' L
U' L2 R2 D2 B U' L
U' L2 R2 B U' L D
U' L2 R2 B U' L D'
U' L2 R2 B U' L D2
U' L2 R2 B U' D L
U' L2 R2 B U' D' L
U' L2 R2 B U' D2 L
U' L2 R2 B D U' L
U' L2 R2 B D' U' L
U' L2 R2 B D2 U' L
U' L2 R2 B' U R' U2
R L2 B R U L2 U2
R L2 B R U' D2 R2
R L2 B R D F2 U'
R L2 B R D2 U' R2
R L2 B D R F2 U'
R L2 B D2 R U' R
U' L2 D B U' L B
U' L2 B R2 U' L D
U' L2 B R2 U' L D'
U' L2 B R2 U' L D2
U' L2 B R2 U' D L
U' L2 B R2 U' D' L
U' L2 B R2 U' D2 L
U' L2 B R2 D U' L
U' L2 B R2 D' U' L
U' L2 B R2 D2 U' L
U' L2 B U' L D B2
U' L2 B U' D L B2
U' L2 B D U' L B2
U' L2 B' R2 U R U2
U' L2 B' U' D B2 L
U' L2 B' D U' B2 L
U L2 B' R2 F' U' L'
U' L2 B2 R2 B' U' L
U' R L2 B R U' L
R' U F' U2 L2 R' U'
R' U F' U2 R' L2 U'
F' R U' L2 B R U'
B' R U' L2 B R U'
B2 R U' L2 B R U'
F2 R U' L2 B R U'
B R U' L2 B R U'
F' R U' B L2 R U'
F' R U' B R L2 U'
B' R U' B L2 R U'
B' R U' B R L2 U'
F R U' L2 B R U'
B2 R U' B L2 R U'
B2 R U' B R L2 U'
F2 R U' B L2 R U'
F2 R U' B R L2 U'
D R U' B U' F2 B
D R U' B U' B F2
B R U' B L2 R U'
B R U' B R L2 U'
R U B L2 R F U'
F R U' B L2 R U'
F R U' B R L2 U'
R U B R L2 F U'
R' U' L2 R2 B R U'
R U' L' B L' R U'
R U' L' B R L' U'
R2 U' L2 R' B U' B'
R U' L2 D B R U'
R U' L2 D' B R U'
R U' L2 D2 B R U'
R U' L2 B R U' D
R U' L2 B R U' D'
R U' L2 B R U' D2
R U' L2 B R D U'
R U' L2 B R D' U'
R U' L2 B R D2 U'
R U' L2 B D R U'
R U' L2 B D' R U'
R U' L2 B D2 R U'
R U' L2 B' R B2 U'
R U' L2 B2 R B' U'
D' R F2 B2 U' B' U'
U' R B L2 R U' L'
R2 U' R' L2 B U' B'
U' R B R L2 U' L'
R' U' R2 L2 B R U'
R' U' R2 B L2 R U'
R' U' R2 B R L2 U'
D' R B2 F2 U' B' U'
R U' D B R U' F2
D2 R' U L2 F' R' U
D2 R' U F' L2 R' U
D2 R' U F' R' L2 U
D R' U F' U F' B2
D R' U F' U B2 F'
L2 U' B L D B2 R'
R U' B L2 R U' D
R U' B L2 R U' D'
