F' L R2 U L2 F R
F' L' D' F' R F2 B2
F' L' D' F' R B2 F2
F' L' D' F' B2 R F2
F' L' D' B2 F' R F2
F' L' F2 D' F' R B2
F' L' F2 D' F' B2 R
F' L' F2 D' B2 F' R
B' R F' U' L' F B'
B' R F' U' L' B' F
B2 R F' R2 U' L' F
F' R2 L U L2 F R
L' D' F' L' R F2 B2
L' D' F' L' R B2 F2
L' D' F' L' B2 R F2
L' D' F' R L' F2 B2
L' D' F' R L' B2 F2
L' D' F' R B2 L' F2
L' D' F' B2 L' R F2
L' D' F' B2 R L' F2
L' D' B2 F' L' R F2
L' D' B2 F' R L' F2
R2 F' L U L2 F R
D' F' L' D' R F' B2
D' F' L' D' R B2 F'
D' F' L' D' B2 R F'
R F' U' L' D' F B2
R F' U' L' D' B2 F
R F' U' L' F D' B2
R F' U2 L U L2 F
R F' B' U' L' F B'
R F' B' U' L' B' F
R F' B2 R' U' L' F
R B' F' U' L' F B'
R B' F' U' L' B' F
R2 B2 R' F' U' L' F
R B2 F' R' U' L' F
