F L R F' D2 B2
F L' R F' B' L2
F L' R B' L2 F'
F L' R B' F' L2
D2 L' F R B' L2
D2 L' F B' L2 R
D2 L' F B' R L2
F L' B' L2 R F'
F L' B' R L2 F'
F L' B' R F' L2
D2 L' B' F L2 R
D2 L' B' F R L2
F R L F' D2 B2
F R L' F' B' L2
F R L' B' L2 F'
F R L' B' F' L2
F R F' L' B' L2
F U2 L R F' B
F U2 L R B F'
F U2 R L F' B
F U2 R L B F'
F U2 R F' L B
L' F R F' B' L2
L' F R B' L2 F'
L' F R B' F' L2
L' F B' L2 R F'
L' F B' R L2 F'
L' F B' R F' L2
L F2 R F' R B
L' B' L2 F R F'
L' B' F L2 R F'
L' B' F R L2 F'
L' B' F R F' L2
F L R U2 F U2 F2
F L R D F' D2 B2
F L R D' F' D2 B2
F' L R F' D2 R2 B2
F' L R F' D2 B2 R2
F L R D2 F' D2 B2
F2 L R F' R D2 B2
U2 L R F' B' R' B2
F2 L R F' D2 R B2
F2 L R F' D2 B2 R
F L R F' U2 F2 U2
F L R F' D2 B2 D
F L R F' D2 B2 D'
F L R F' D2 B2 D2
F L R F' B D2 B2
F L R F' B' D2 B2
F L R F' B2 D2 B2
U2 L R B' F' R' B2
F L R B F' D2 B2
F L R B' F' D2 B2
F L R B2 F' D2 B2
B2 L R' F B U2 R
B2 L R' B F U2 R
F L R' F2 R2 F' B
F L R' F2 R2 B F'
U2 L R2 B' R' F' B
U2 L R2 B' R' B F'
L' R U2 F' B' L2 R'
L' R U2 F' B' R' L2
R' L U2 F B L U2
L' R U2 B' L2 F' R'
L' R U2 B' F' L2 R'
L' R U2 B' F' R' L2
R' L U2 B F L U2
D2 L U2 F B' U2 R'
D2 L U2 B' F U2 R'
L' R F R F2 B' L2
L' R F R B' L2 F2
L' R F R B' F2 L2
L R F R F2 D2 B2
R L F R F2 D2 B2
L' R F B' L2 R F2
L' R F B' R L2 F2
L' R F B' R F2 L2
L R F' U2 L' F2 U2
L R F' U2 F2 U2 R
L' R F' B L2 B2 R'
R L F' U2 L' F2 U2
R L F' U2 F2 U2 R
R' L F2 R2 F' B R
R' L F2 R2 B F' R
B2 L F R' U2 R2 F'
B2 L F R' B U2 R2
B' L F U2 R F' L'
L' R B F' L2 B2 R'
F2 L F' R D2 F' B2
F2 L F' R D2 B2 F'
L' R B' L2 F R F2
L' R B' F L2 R F2
L' R B' F R L2 F2
L' R B' F R F2 L2
F L B R F' D2 B2
U2 L B' R F' B R2
U2 L B' R B F' R2
F L B' R F' D2 B2
U2 L B2 R F' B R'
U2 L B2 R B F' R'
F L B2 R F' D2 B2
F' L' R U2 F' B' L2
F' L' R U2 B' L2 F'
F' L' R U2 B' F' L2
L R' U2 F B L U2
D2 L' R F R B' L2
R L' U2 F' B' L2 R'
R L' U2 F' B' R' L2
D2 L' R F B' L2 R
D2 L' R F B' R L2
L R' U2 B F L U2
R L' U2 B' L2 F' R'
F2 L' R F' R B' L2
R L' U2 B' F' L2 R'
R L' U2 B' F' R' L2
F2 L' R F' B' L2 R
F2 L' R F' B' R L2
D2 L' R B' F L2 R
D2 L' R B' F R L2
F L' R F B' L2 F2
F L' R F' B L2 B2
F L' R F' B' L2 D
F L' R F' B' L2 D'
F L' R F' B' L2 D2
F L' R F' B2 L2 B
F2 L' R B' L2 F' R
F2 L' R B' F' L2 R
F2 L' R B' F' R L2
F L' R B L2 F' B2
F L' R B L2 B2 F'
F L' R B F' L2 B2
F L' R B' L F' L
F L' R B' L2 D F'
F L' R B' L2 D' F'
F L' R B' L2 D2 F'
F L' R B' L2 F' D
F L' R B' L2 F' D'
F L' R B' L2 F' D2
F L' R B' F L2 F2
F L' R B' F' L2 D
F L' R B' F' L2 D'
F L' R B' F' L2 D2
F L' R B2 L2 F' B
F L' R B2 L2 B F'
F L' R B2 F' L2 B
D2 L' R' F R B' L2
D2 L' R' F B' L2 R
D2 L' R' F B' R L2
F' L' R' B U2 L2 B2
F' L' R' B U2 B2 L2
D2 L' R' B' F L2 R
D2 L' R' B' F R L2
D2 L' R2 F R B' L2
D2 L' R2 F B' L2 R
D2 L' R2 F B' R L2
D2 L' R2 B' F L2 R
D2 L' R2 B' F R L2
F L' U R F' B' L2
F L' U R B' L2 F'
F L' U R B' F' L2
F L' U B' L2 R F'
F L' U B' R L2 F'
F L' U B' R F' L2
R L' F R F2 B' L2
R L' F R B' L2 F2
R L' F R B' F2 L2
F L' U' R F' B' L2
F L' U' R B' L2 F'
F L' U' R B' F' L2
R L' F B' L2 R F2
R L' F B' R L2 F2
R L' F B' R F2 L2
F L' U' B' L2 R F'
F L' U' B' R L2 F'
F L' U' B' R F' L2
F L' U2 R F' B' L2
F L' U2 R B' L2 F'
F L' U2 R B' F' L2
D2 L' U2 F B' L2 R'
D2 L' U2 F B' R' L2
D2 L' U2 B' R' F L2
D2 L' U2 B' F L2 R'
D2 L' U2 B' F R' L2
R L' F' B L2 B2 R'
F L' U2 B' L2 R F'
F L' U2 B' R L2 F'
F L' U2 B' R F' L2
L R' F2 R2 F' B R
L R' F2 R2 B F' R
R L' B F' L2 B2 R'
R L' B' L2 F R F2
R' L' B2 L2 F B R
R' L' B2 L2 B F R
L' R' B2 L2 F B R
L' R' B2 L2 B F R
R L' B' F L2 R F2
R L' B' F R L2 F2
R L' B' F R F2 L2
D2 L' F R B L2 B2
D2 L' F R B' L2 D
D2 L' F R B' L2 D'
D2 L' F R B' L2 D2
D2 L' F R B2 L2 B
D2 L' F R' B' L2 R2
D2 L' F R' B' R2 L2
B L' F R F' B' L
B L' F R B' L F'
B L' F R B' F' L
