U' L U' B R' B2
U' L R U' B R' B2
U' L R' U' B R' B2
U' L R2 U' B R' B2
R2 L U' B R' B2 L
B' L U R' U F' B'
B' L U R' U B' F'
U' L U' R B R' B2
U' L U' R' B R' B2
U' L U' R2 B R' B2
U' L U' B R B2 R2
U' L U' B R' B2 D
U' L U' B R' B2 D'
U' L U' B R' B2 D2
U' L U' B R2 B2 R
U2 L U' B L' R' B2
U2 L U' B R' L' B2
U2 L U' B R' B2 L'
U' L U' B' U2 L U2
U2 L U' B' L' D2 R2
U' L U2 B U R' B2
U' L D' R F' U' B'
U' L D' R2 U' B' R'
U' L D2 F' U' R B'
U' L D2 F' U' B' R
U' L F U' B R' B2
R2 L B U' R' B2 L
U' L F' U' B R' B2
U' L F2 U' B R' B2
B' L B U' L U' B2
U2 L B U' L' R' B2
U2 L B U' R' L' B2
U2 L B U' R' B2 L'
L R2 U' B R' B2 L
L R2 B U' R' B2 L
U' L2 D L' F U' B'
U' R L U' B R' B2
L2 U' L' U' R B R'
L' U' L2 U' B R' B2
L2 U' D L' F R U'
U' R' L U' B R' B2
U' R2 L U' B R' B2
L2 D U' L' F R U'
D' U B2 R' B L U
F' U' L U' B R' B2
F2 U' L U' B R' B2
F U' L U' B R' B2
L' D' B2 D' F L' U2
U D' B2 R' B L U
L' D2 F L' U R2 U
L' D2 F L' U2 D' F2
L' D2 F L' D B2 U2
L' D2 F L' D' U2 F2
L' D2 F U2 D' F2 R
L' D2 F D L' B2 U2
L' D2 F D B2 L' U2
L' D2 F D' L' U2 F2
L' D2 F D' U2 F2 R
U' F L U' B R' B2
L' F B U' L2 U' R'
L' F B U2 R' D F2
L' F B U2 D R' F2
L' F B U2 D F2 R'
L' F B D U2 R' F2
L' F B D U2 F2 R'
L' F B D' B2 L U2
L' F B' L U' L U'
L' F B' D L U2 F2
L' F B' D' L B2 U2
L' F B' D' B2 U2 R'
U' F' L U' B R' B2
U' F2 L U' B R' B2
L B R U' B2 L R2
L B R U' B2 R2 L
L' B U' L2 U' R' B'
L B U' R' B2 D L2
L' B D F U2 R' F
L' B D F U2 F R'
L' B D' F B2 L U2
L' B D' B2 F L U2
L' B F U' L2 U' R'
L' B F U2 R' D F2
L' B F U2 D R' F2
L' B F U2 D F2 R'
L' B F D U2 R' F2
L' B F D U2 F2 R'
L' B F D' B2 L U2
L' B' L U' L U' B'
L2 B' L U' L2 U' B'
L2 B' L D F U2 F
L2 B' L D' F B2 U2
L2 B' L D' B2 F U2
L2 B' L F U' L2 U'
L2 B' L F U2 D F2
L2 B' L F D U2 F2
L2 B' L F D' B2 U2
U B' U' L U2 F B'
U B' U' L U2 B' F
L' B' D' F L B2 U2
L' B' D' F B2 U2 R'
L' B' D' B2 F U2 R'
L' B' F L U' L U'
L' B' F D L U2 F2
L' B' F D' L B2 U2
L' B' F D' B2 U2 R'
L' B2 D F U2 F R
