F' U' L F2 R U'
U' F L U2 L' U
U F L U2 F' U
U' F' L F2 R U'
F L R B2 U' L B2
F L R2 D B2 U' B2
U' L U2 L B' L2 U
U' L U2 L' U2 F U'
U' L D2 F2 R F' U'
U' L F2 D2 R F' U'
F L B2 R U' B2 L
F L B2 U' B2 D L2
F' L' R D R2 F2 L'
F' L' R' D F2 L' R2
F' L' R' D F2 R2 L'
F2 L' U F' L2 B' U'
F' L' D R' F2 L' R'
F' L' D R' F2 R' L'
F' L' D R2 F2 D2 L2
F' L' D F2 R2 D2 L2
F' L' D' L2 B2 U2 B2
F' L' D' B2 L2 U2 B2
B2 L2 U R' B' U B'
R2 U D F L B2 U'
R2 U D2 F L U' L
F' R L' D R2 F2 L'
F R L B2 U' L B2
R2 U F L U R2 U2
R2 U F L U' D2 L2
R2 U F L D B2 U'
R2 U F L D2 U' L2
R' U F D' L B' U'
R U F L U R' U2
R U F L B2 U' L
R2 U F D L B2 U'
L' U F' L2 B' U' R'
R2 U F D2 L U' L
R' U F2 L F' U' L2
U R U2 R' F L U'
U R U2 F L R' U'
U R U2 F R' L U'
U' R F L U2 L' U
L2 U' L' U2 L B' U
U' R F' L F2 R U'
F' R' L' D F2 L' R2
F' R' L' D F2 R2 L'
F' R' U L F2 U' L'
F' R' U F2 L U' L2
U R' U2 R F L U'
L2 U' B' U2 L' B U'
L2 U' B' U2 B L' U'
U' R' F L U2 L' U
U' R' F' L F2 R U'
R' U2 R U' F L U'
F R' F2 L' D R2 F2
F R' F2 L' D F2 R2
R U2 R' U' F L U'
R2 U2 R2 U' F L U'
F R2 L D B2 U' B2
U R2 U2 R2 F L U'
U R2 U2 F L R2 U'
U R2 U2 F R2 L U'
F R2 D L B2 U' B2
U' R2 F L U2 L' U
U' R2 F' L F2 R U'
U R2 F L R2 B U'
U R2 F R2 L B U'
R2 D U F L B2 U'
F' U L F2 U' D' L2
F' U L F2 U2 F2 U
F' U L F2 D' U' L2
F' U L F2 D2 B2 U'
F2 U L F' U2 F U
F U L U L' U2 L
R2 D F L B2 U' B2
F2 U L' F' L2 B' U'
B2 U L2 R' B' U B'
B2 U R' L2 B' U B'
B2 U R' U2 F U' B2
B2 U R' D L2 B' U
D' U F L U2 F' U
U' D F L U2 L' U
D2 U F L U2 F' U
B2 U D L2 R' B' U
B2 U D R' L2 B' U
D U F L U2 F' U
U' D F' L F2 R U'
U D F L U2 F' U
F2 U F' L2 B' L' U'
F' U F2 L U' D' L2
F' U F2 L U2 F2 U
F' U F2 L D' U' L2
F' U F2 L D2 B2 U'
F' U F2 D' L U' L
F' U F2 D2 L B2 U'
F' U' L R F2 R U'
F' U' L R' F2 R U'
F' U' L R2 F2 R U'
F' U' L F2 R U' D
F' U' L F2 R U' D'
F' U' L F2 R U' D2
F' U' L F2 R D U'
F' U' L F2 R D' U'
F' U' L F2 R D2 U'
F' U' L F2 D R U'
F' U' L F2 D' R U'
F' U' L F2 D2 R U'
F2 U' L F2 R F U'
F U' L F2 R U' R'
F' U' R L F2 R U'
D' U' F L U2 L' U
U' D' F L U2 L' U
D2 U' F L U2 L' U
F' U' R' L F2 R U'
U' D' F' L F2 R U'
D' U' F' L F2 R U'
D2 U' F' L F2 R U'
D U' F L U2 L' U
U D' F L U2 F' U
F' U' R2 L F2 R U'
D U' F' L F2 R U'
B' U' F L U' F B
B' U' F L U' B F
F2 U' F L F2 R U'
B2 U' F U2 R' U B2
F2 U' F' L U2 L' U
F' U' F2 L U2 L' U
R2 D2 U F L U' L
U' D2 F L U2 L' U
U' D2 F' L F2 R U'
U D2 F L U2 F' U
U' F L R U2 L' U
U' F L R' U2 L' U
U' F L R2 U2 L' U
U' F L U2 L' U D
U' F L U2 L' U D'
U' F L U2 L' U D2
U' F L U2 L' D U
U' F L U2 L' D' U
U' F L U2 L' D2 U
U' F L U2 D L' U
U' F L U2 D' L' U
U' F L U2 D2 L' U
U' F L D U2 L' U
U' F L D' U2 L' U
U' F L D2 U2 L' U
U' F L F2 R F2 U'
U2 F L R2 U' L' B
U2 F L R2 U' B L'
R2 F L D B2 U' B2
U F L R2 B R2 U'
U F L U2 D F' U
U F L U2 D' F' U
U F L U2 D2 F' U
U F L U2 F' U D
U F L U2 F' U D'
U F L U2 F' U D2
U F L U2 F' D U
U F L U2 F' D' U
U F L U2 F' D2 U
U F L D U2 F' U
U F L D' U2 F' U
U F L D2 U2 F' U
U' F L2 D' L' U' B2
U' F L2 D2 L' R2 U'
U' F L2 D2 R2 L' U'
U F L B U2 F' U
U F L B' U2 F' U
U F L B2 U2 F' U
U' F R L U2 L' U
R F L B2 U' L B2
U' F R' L U2 L' U
U' F R2 L U2 L' U
U2 F R2 L U' L' B
U2 F R2 L U' B L'
U F R2 L B R2 U'
B U2 B' U F L U'
B2 U2 B2 U F L U'
U' F D L U2 L' U
U' F D' L U2 L' U
R' F D' L B' U' B
R2 F D L B2 U' B2
U F U2 F' U2 L U'
U F D L U2 F' U
U' F D2 L U2 L' U
U F D' L U2 F' U
U F D2 L U2 F' U
B2 D U L2 R' B' U
B2 D U R' L2 B' U
U' F' L R F2 R U'
U' F' L R' F2 R U'
U' F' L R2 F2 R U'
U' F' L F2 R U' D
U' F' L F2 R U' D'
U' F' L F2 R U' D2
U' F' L F2 R D U'
U' F' L F2 R D' U'
U' F' L F2 R D2 U'
U' F' L F2 D R U'
U' F' L F2 D' R U'
U' F' L F2 D2 R U'
U F B2 U2 F' R' U
U' F' R L F2 R U'
R F' L' D R2 F2 L'
U' F' R' L F2 R U'
U F' L2 B' L' F2 U'
U' F' R2 L F2 R U'
D2 F' U' L F2 R U'
D' F' U' L F2 R U'
D F' U' L F2 R U'
U' F2 L F2 R F U'
R' F2 L' U L2 F' U'
R' F2 L' U F' L2 U'
R' F2 L' F D R2 F2
R' F2 L' F D F2 R2
U F2 L D' F' U' L2
U F2 L D2 F' B2 U'
U F2 L D2 B2 F' U'
U F2 L F' U2 F' U
R' F2 U L F' U' L2
U F2 D' L F' U' L
U F2 D' F' L U' L
U F2 D2 L F' B2 U'
U F2 D2 L B2 F' U'
U F2 D2 F' L B2 U'
U' B U2 F B' L U'
U' B U2 B' F L U'
L2 B' U2 L' U' L B
U' B2 R' U2 F B2 U'
U' B2 R' U2 B2 F U'
U B2 R' U2 R F U'
U' B2 U2 F B2 L U'
U' B2 U2 B2 F L U'
U B2 F U2 F' R' U
