B' L U F2 U B2
B' L U2 B2 D' L2
F2 L2 U F B R'
F2 L2 U B R' F
F2 L2 U B F R'
D' L2 D F B R'
D' L2 D B R' F
D' L2 D B F R'
D' L2 F D B R'
B R' D' L2 D' F2
B R' D2 F2 D L2
B' U F2 U B2 R'
F2 U B R' D2 F2
F2 U B D2 R' F2
F2 U B D2 F2 R'
F2 U' B' L U2 B2
F2 U' B' U2 B2 R'
B' U2 B2 R' D' L2
B' U2 B2 D' L2 R'
B' U2 B2 D' R' L2
B D' L2 D' R' F2
B D' L2 D' F2 R'
L2 F2 U F' B R'
L2 F2 U B F' R'
B D2 R' F2 D L2
L2 B R' D' F L2
B D2 F2 R' D L2
B D2 F2 D L2 R'
B D2 F2 D R' L2
L2 B D' R' F L2
L2 B D' F L2 R'
L2 B D' F R' L2
B' L R U F2 U B2
B' L R U2 B2 D' L2
B' L R' U F2 U B2
B' L R' U2 B2 D' L2
B L R' D' L2 D' F2
B L R' D2 F2 D L2
B' L R2 U F2 U B2
B' L R2 U2 B2 D' L2
B' L U L F2 U B2
B' L U L' F2 U B2
B' L U L2 F2 U B2
B' L U F2 L U B2
B' L U F2 L' U B2
B' L U F2 L2 U B2
B' L U F2 U B2 D
B' L U F2 U B2 D'
B' L U F2 U B2 D2
B' L U F2 D L2 U
B' L U' D' R2 U' L2
B' L U2 L B2 D' L2
B' L U2 L' B2 D' L2
B' L U2 L2 B2 D' L2
B' L U2 D' L2 D B2
B' L U2 B D' L2 B
B' L U2 B D' B L2
B' L U2 B' D' B' L2
B' L U2 B2 L D' L2
B' L U2 B2 L' D' L2
B' L U2 B2 L2 D' L2
B' L U2 B2 U' F2 U
B' L U2 B2 D' L2 D
B' L U2 B2 D' L2 D'
B' L U2 B2 D' L2 D2
D' L D L F B R'
D' L D L B R' F
D' L D L B F R'
B' L D R2 U L2 U
B' L D R2 U2 D' B2
B' L D R2 D F2 U2
B' L D R2 D' U2 B2
B L D' L2 D' R' F2
B L D' L2 D' F2 R'
B' L D' U' R2 U' L2
B' L D' U2 L2 D B2
B L D2 R' F2 D L2
B' L D2 F2 U' B2 U'
B' L D2 F2 U2 D L2
B' L D2 F2 D U2 L2
B' L D2 F2 D' R2 U2
B L D2 F2 R' D L2
B L D2 F2 D L2 R'
B L D2 F2 D R' L2
B' L F U F U B2
B' L F' U F' U B2
B' L F2 U2 B2 D L2
B L' R' D' L2 D' F2
B L' R' D2 F2 D L2
B L' D' L2 D' R' F2
B L' D' L2 D' F2 R'
B L' D2 R' F2 D L2
B L' D2 F2 R' D L2
B L' D2 F2 D L2 R'
B L' D2 F2 D R' L2
B L2 R' D' L2 D' F2
B L2 R' D2 F2 D L2
B' L2 U F2 U R B2
B' L2 U F2 U B2 R
F2 L2 U F B R' D
F2 L2 U F B R' D'
F2 L2 U F B R' D2
F2 L2 U F B D R'
F2 L2 U F B D' R'
F2 L2 U F B D2 R'
F2 L2 U F' B R' F2
F2 L2 U B R F R2
F2 L2 U B R' D F
F2 L2 U B R' D' F
F2 L2 U B R' D2 F
F2 L2 U B R' F D
F2 L2 U B R' F D'
F2 L2 U B R' F D2
F2 L2 U B D R' F
F2 L2 U B D F R'
F2 L2 U B D' R' F
F2 L2 U B D' F R'
F2 L2 U B D2 R' F
F2 L2 U B D2 F R'
F2 L2 U B F R' D
F2 L2 U B F R' D'
F2 L2 U B F R' D2
F2 L2 U B F D R'
F2 L2 U B F D' R'
F2 L2 U B F D2 R'
F2 L2 U B F' R' F2
D' L2 D F B R' D
D' L2 D F B R' D'
D' L2 D F B R' D2
D' L2 D F B D R'
D' L2 D F B D' R'
D' L2 D F B D2 R'
D' L2 D F' B R' F2
D' L2 D B R F R2
D' L2 D B R' D F
D' L2 D B R' D' F
D' L2 D B R' D2 F
D' L2 D B R' F D
D' L2 D B R' F D'
D' L2 D B R' F D2
D' L2 D B D R' F
D' L2 D B D F R'
D' L2 D B D' R' F
D' L2 D B D' F R'
D' L2 D B D2 R' F
D' L2 D B D2 F R'
D' L2 D B F R' D
D' L2 D B F R' D'
D' L2 D B F R' D2
D' L2 D B F D R'
D' L2 D B F D' R'
D' L2 D B F D2 R'
D' L2 D B F' R' F2
B L2 D' L2 D' R' F2
B L2 D' L2 D' F2 R'
D' L2 D' F' B R F2
D' L2 D' B F' R F2
D' L2 D2 F D' B R'
B L2 D2 R' F2 D L2
B L2 D2 F2 R' D L2
B L2 D2 F2 D L2 R'
B L2 D2 F2 D R' L2
D' L2 F D B R' D
D' L2 F D B R' D'
D' L2 F D B R' D2
D' L2 F D B D R'
D' L2 F D B D' R'
D' L2 F D B D2 R'
F' L2 F B R' D' L2
F' L2 F B D' L2 R'
F' L2 F B D' R' L2
F L2 F B R' D L2
F L2 F B D L2 R'
F L2 F B D R' L2
F' L2 F' U F2 B R'
F' L2 F' U B R' F2
F' L2 F' U B F2 R'
U' L2 F2 U F' B R'
U' L2 F2 U B F' R'
D' L2 F2 D F' B R'
D' L2 F2 D B F' R'
U2 L2 F2 U F' B R'
U2 L2 F2 U B F' R'
D' L2 F2 D' F' B R
D' L2 F2 D' B F' R
D' L2 F2 B D' F' R
U L2 F2 U F' B R'
U L2 F2 U B F' R'
D' L2 B R F D R2
F' L2 B R' D' F L'
U' L2 B R' D' F L2
U2 L2 B R' D' F L2
D' L2 B D' F' R F2
U' L2 B D' R' F L2
U' L2 B D' F L2 R'
U' L2 B D' F R' L2
F L2 B R' D F L2
F L2 B R' F D L2
F' L2 B F R' D' L2
F' L2 B F D' L2 R'
F' L2 B F D' R' L2
U2 L2 B D' R' F L2
U2 L2 B D' F L2 R'
U2 L2 B D' F R' L2
D' L2 B F2 D' F' R
U L2 B R' D' F L2
F L2 B D R' F L2
F L2 B D F L2 R'
F L2 B D F R' L2
F L2 B F R' D L2
F L2 B F D L2 R'
F L2 B F D R' L2
U L2 B D' R' F L2
U L2 B D' F L2 R'
U L2 B D' F R' L2
F2 L2 B' U F B2 R'
F2 L2 B' U B2 R' F
F2 L2 B' U B2 F R'
F L2 B' U' F B2 R'
F L2 B' U' B2 R' F
F L2 B' U' B2 F R'
B' R L U F2 U B2
B' R L U2 B2 D' L2
B' R U F2 U B2 R'
L2 U F2 U F' B R'
L2 U F2 U B F' R'
L U F2 U B R' F'
L2 U B R' D' F L2
L2 U B D' R' F L2
L2 U B D' F L2 R'
L2 U B D' F R' L2
B' R U2 B2 R' D' L2
B' R U2 B2 D' L2 R'
B' R U2 B2 D' R' L2
B' R' L U F2 U B2
B' R' L U2 B2 D' L2
B R' L D' L2 D' F2
B R' L D2 F2 D L2
B R' L' D' L2 D' F2
B R' L' D2 F2 D L2
B R' L2 D' L2 D' F2
B R' L2 D2 F2 D L2
B' R' U F2 U B2 R'
B R' U D2 B2 U' F2
L2 U' F2 U F' B R'
L2 U' F2 U B F' R'
B R' U' D' R2 U L2
L2 U' B R' D' F L2
B R' U' F2 U D2 F2
B R' U' F2 U' B2 U2
B R' U' F2 D' R2 U
B R' U' F2 D2 U F2
L2 U' B D' R' F L2
L2 U' B D' F L2 R'
L2 U' B D' F R' L2
B' R' U2 B2 R' D' L2
B' R' U2 B2 D' L2 R'
B' R' U2 B2 D' R' L2
B R' U2 B2 U F2 U
B R' U2 B2 U2 D' L2
B R' U2 B2 D R2 U2
B R' U2 B2 D' U2 L2
B R' D' L D' L F2
B R' D' L D' F2 L
B R' D' L' D' L' F2
B R' D' L2 U' R2 U
B R' D' L2 D' F2 D
B R' D' L2 D' F2 D'
B R' D' L2 D' F2 D2
B R' D' L2 F D' F2
B R' D' L2 F' D' F2
B R' D' L2 F2 D' F2
B R' D' U' R2 U L2
B2 R' D' B' L2 R' F'
B2 R' D' B' R' L2 F'
B2 R' D' B' R' F' L2
B R' D' F L2 D' F2
B R' D' F' L2 D' F2
B R' D' F2 L2 D' F2
B R' D2 L F2 D L2
B R' D2 L' F2 D L2
B R' D2 L2 F2 D L2
B R' D2 U B2 U' F2
B R' D2 F D F L2
B R' D2 F' D L2 F'
B R' D2 F' D F' L2
B R' D2 F2 L D L2
B R' D2 F2 L' D L2
B R' D2 F2 L2 D L2
B R' D2 F2 U B2 U'
B R' D2 F2 D L2 D
B R' D2 F2 D L2 D'
B R' D2 F2 D L2 D2
B R' F2 D2 F2 D' L2
B2 R' B' R' D' L2 F'
B2 R' B' R' D' F' L2
B2 R' B' D' L2 R' F'
B2 R' B' D' R' L2 F'
