U L U' R2 B L
R2 L' D F2 B L
R2 L' D B L F2
R2 L' D B F2 L
R2 L' B D L F2
R2 L' B D F2 L
L' R2 D F2 B L
L' R2 D B L F2
L' R2 D B F2 L
L' R2 B D L F2
L' R2 B D F2 L
L2 R2 B L D F2
R2 L2 B L D F2
R2 U L U' B L
R2 B L2 D L' F
L B U' L R2 B
L B U' R2 L B
R2 B D L' F L2
B L R D' R F' B
B L R D' R B F'
B L R2 B U' R' U
L' R D R F2 B L
L' R D R B L F2
L' R D R B F2 L
U L U F' U2 L' R2
U L U F' U2 R2 L'
U L U' L R2 B L
U L U' L' R2 B L
U L U' L2 R2 B L
U L U' R2 L B L
U L U' R2 L' B L
U L U' R2 L2 B L
U L U' R2 D B L
U L U' R2 D' B L
U L U' R2 D2 B L
U L U' R2 B L D
U L U' R2 B L D'
U L U' R2 B L D2
U L U' R2 B D L
U L U' R2 B D' L
U L U' R2 B D2 L
U L U' B L R2 B
U L U' B R2 L B
R2 L B L U L' U'
R2 L B L2 D L' F2
F2 L B U' L R2 B'
F2 L B U' L B' R2
F2 L B U' R2 L B'
R2 L' U L2 U' B L
U L B U' R2 B L
U L B' U' R2 B L
U L B2 U' R2 B L
R2 L' D L F2 B L
R2 L' D L B L F2
R2 L' D L B F2 L
R2 L' D L' F2 B L
R2 L' D L' B L F2
R2 L' D L' B F2 L
R2 L' D L2 F2 B L
R2 L' D L2 B L F2
R2 L' D L2 B F2 L
R L' D R F2 B L
R L' D R B L F2
R L' D R B F2 L
R2 L' D F' B L F'
R2 L' D F2 L B L
R2 L' D F2 L' B L
R2 L' D F2 L2 B L
R2 L' D F2 D B L
R2 L' D F2 D' B L
R2 L' D F2 D2 B L
R2 L' D F2 B L D
R2 L' D F2 B L D'
R2 L' D F2 B L D2
R2 L' D F2 B D L
R2 L' D F2 B D' L
R2 L' D F2 B D2 L
R2 L' D B L F2 D
R2 L' D B L F2 D'
R2 L' D B L F2 D2
R2 L' D B L' F2 L2
R2 L' D B F' L F'
R2 L' D B F2 L D
R2 L' D B F2 L D'
R2 L' D B F2 L D2
R2 L' D B F2 D L
R2 L' D B F2 D' L
R2 L' D B F2 D2 L
U' L' R2 B D L2 F2
U' L' R2 B D F2 L2
R2 L' D2 B L D' F2
R2 L' D2 B D' L F2
R2 L' D2 B D' F2 L
R2 L' F D F2 B L
R2 L' F D B L F2
R2 L' F D B F2 L
R2 L' F B D L F2
R2 L' F B D F2 L
R2 L' F' D F2 B L
R2 L' F' D B L F2
R2 L' F' D B F2 L
R2 L' F' B D L F2
R2 L' F' B D F2 L
D' L' D R2 F2 B L
D' L' D R2 B L F2
D' L' D R2 B F2 L
R2 L' F2 D F2 B L
R2 L' F2 D B L F2
R2 L' F2 D B F2 L
R2 L' F2 B D L F2
R2 L' F2 B D F2 L
R2 L' B L U L U'
R2 L' B U L2 U' L'
R2 L' B D L F2 D
R2 L' B D L F2 D'
R2 L' B D L F2 D2
R2 L' B D L' F2 L2
R2 L' B D F' L F'
R2 L' B D F2 L D
R2 L' B D F2 L D'
R2 L' B D F2 L D2
R2 L' B D F2 D L
R2 L' B D F2 D' L
R2 L' B D F2 D2 L
R2 L' B D' L D2 F2
R2 L' B D2 L D' F2
R2 L' B F D L F2
R2 L' B F D F2 L
R2 L' B F' D L F2
R2 L' B F' D F2 L
R2 L' B F2 D L F2
R2 L' B F2 D F2 L
L' R2 U L2 U' B L
R2 L2 U L' U' B L
L2 R2 U L' U' B L
L' R2 D L F2 B L
L' R2 D L B L F2
L' R2 D L B F2 L
L' R2 D L' F2 B L
L' R2 D L' B L F2
L' R2 D L' B F2 L
L' R2 D L2 F2 B L
L' R2 D L2 B L F2
L' R2 D L2 B F2 L
U' L' B' L2 U' R2 B
L' R2 D F' B L F'
L' R2 D F2 L B L
L' R2 D F2 L' B L
L' R2 D F2 L2 B L
L' R2 D F2 D B L
L' R2 D F2 D' B L
L' R2 D F2 D2 B L
L' R2 D F2 B L D
L' R2 D F2 B L D'
L' R2 D F2 B L D2
L' R2 D F2 B D L
L' R2 D F2 B D' L
L' R2 D F2 B D2 L
L' R2 D B L F2 D
L' R2 D B L F2 D'
L' R2 D B L F2 D2
L' R2 D B L' F2 L2
L' R2 D B F' L F'
L' R2 D B F2 L D
L' R2 D B F2 L D'
L' R2 D B F2 L D2
L' R2 D B F2 D L
L' R2 D B F2 D' L
L' R2 D B F2 D2 L
L2 R2 D B L D F2
R2 L2 D B L D F2
L2 R2 D' B L D F2
R2 L2 D' B L D F2
L' R2 D2 B L D' F2
L' R2 D2 B D' L F2
L' R2 D2 B D' F2 L
L2 R2 D2 B L D F2
R2 L2 D2 B L D F2
L' R2 F D F2 B L
L' R2 F D B L F2
L' R2 F D B F2 L
L' R2 F B D L F2
L' R2 F B D F2 L
B L2 R2 D L' F B
B L2 R2 D L' B F
B L2 R2 D B L' F
L' R2 F' D F2 B L
L' R2 F' D B L F2
L' R2 F' D B F2 L
L' R2 F' B D L F2
L' R2 F' B D F2 L
L' R2 F2 D F2 B L
L' R2 F2 D B L F2
L' R2 F2 D B F2 L
F' L2 U' L' B' U' R2
L' R2 F2 B D L F2
L' R2 F2 B D F2 L
L' R2 B L U L U'
L2 R2 B L U L2 U'
L2 R2 B L D F2 D
L2 R2 B L D F2 D'
L2 R2 B L D F2 D2
L2 R2 B L F D F2
L2 R2 B L F' D F2
L2 R2 B L F2 D F2
R2 L2 B L U L2 U'
L' R2 B U L2 U' L'
R2 L2 B L D F2 D
R2 L2 B L D F2 D'
R2 L2 B L D F2 D2
R2 L2 B L F D F2
R2 L2 B L F' D F2
R2 L2 B L F2 D F2
L R2 B L U L' U'
L' R2 B D L F2 D
L' R2 B D L F2 D'
L' R2 B D L F2 D2
L R2 B L2 D L' F2
L' R2 B D L' F2 L2
L' R2 B D F' L F'
L' R2 B D F2 L D
L' R2 B D F2 L D'
L' R2 B D F2 L D2
L' R2 B D F2 D L
L' R2 B D F2 D' L
L' R2 B D F2 D2 L
L' R2 B D' L D2 F2
L' R2 B D2 L D' F2
L2 R2 B U L' U' L2
R2 L2 B U L' U' L2
L' R2 B F D L F2
L' R2 B F D F2 L
L' R2 B F' D L F2
L' R2 B F' D F2 L
L2 R2 B D L D F2
L' R2 B F2 D L F2
L' R2 B F2 D F2 L
R2 L2 B D L D F2
L2 R2 B D' L D F2
R2 L2 B D' L D F2
L2 R2 B D2 L D F2
R2 L2 B D2 L D F2
R' U L U' R' B L
R2 U L U' L B L
R2 U L U' L' B L
R2 U L U' L2 B L
R2 U L U' D B L
R2 U L U' D' B L
R2 U L U' D2 B L
R2 U L U' B L D
R2 U L U' B L D'
R2 U L U' B L D2
R2 U L U' B D L
R2 U L U' B D' L
R2 U L U' B D2 L
R2 U L D U' B L
R U L U' R B L
R2 U L D' U' B L
R2 U L D2 U' B L
L2 U L' U' R2 B L
L' U L2 U' R2 B L
R2 U D L U' B L
R2 U D' L U' B L
R2 U D2 L U' B L
B R L D' R F' B
B R L D' R B F'
B R D' L R F' B
B R D' L R B F'
B R D' R L F' B
B R D' R L B F'
B R D' R F' L B
L U' L' R2 B D L2
L2 U' L' B' U' R2 B
L U' R2 L' B D L2
B2 R' U R' B' L B2
B R2 L B U' R' U
U' R2 L' B D L2 F2
U' R2 L' B D F2 L2
B R2 L2 D L' F B
B R2 L2 D L' B F
B R2 L2 D B L' F
B R2 D L B D2 F2
B R2 D L' F L2 B
B R2 D L' F B L2
B R2 D L' B F L2
R2 D L' D F2 B L
R2 D L' D B L F2
R2 D L' D B F2 L
R2 D L' B D L F2
R2 D L' B D F2 L
U2 R2 F' L' D F2 B
U2 R2 F' L' D B F2
U2 R2 F' L' B D F2
R2 D L2 B L D F2
U2 R2 F' B D L' F
B' R2 F2 B L' D F2
B' R2 B L' D F2 L'
B' R2 B F2 L' D F2
U2 R2 B D F' L' F
U2 R2 B F' D L' F
R2 D U L U' B L
D R2 B2 R' U B' L
B' U R' U2 F' R' B
R2 D B L2 D L' F
R2 D B D L' F L2
F' U D B2 R' F' U
R2 D' L' D F2 B L
R2 D' L' D B L F2
R2 D' L' D B F2 L
R2 D' L' B D L F2
R2 D' L' B D F2 L
B' U F' R' U2 F' R'
R2 D' L2 B L D F2
R2 D' U L U' B L
F' U B2 R' F' U R'
F' U' L U2 F U R2
F' U' L' B' L2 U' R2
B' U' R' U2 R' F' B
B' U' R' U2 R' B F'
R2 D' B L2 D L' F
R2 D' B D L' F L2
R2 D2 L' D F2 B L
R2 D2 L' D B L F2
R2 D2 L' D B F2 L
R2 D2 L' B D L F2
R2 D2 L' B D F2 L
B' U' F' R' U2 R' F'
R2 D2 L2 B L D F2
B' U' B R2 B L F
B' U' B2 L R2 F B
B' U' B2 L R2 B F
B' U' B2 R2 L F B
B' U' B2 R2 L B F
R2 D2 U L U' B L
R2 D2 B L2 D L' F
R2 D2 B D L' F L2
F' U2 R2 F' L' D F2
R2 F L' D F2 B L
R2 F L' D B L F2
R2 F L' D B F2 L
F' U2 F' L' R2 D F2
R2 F L' B D L F2
R2 F L' B D F2 L
F' U2 F' R2 L' D F2
R2 F L2 B L D F2
R2 F U L U' B L
R2 F B L2 D L' F
R2 F B D L' F L2
F' D U B2 R' F' U
D2 F' L2 U' L' B' U'
R2 F' L' D F2 B L
R2 F' L' D B L F2
R2 F' L' D B F2 L
R2 F' L' B D L F2
R2 F' L' B D F2 L
R2 F' L2 B L D F2
R2 F' U L U' B L
U2 F' U' L U' L2 R2
U2 F' U' L U' R2 L2
D F' U B2 R' F' U
U2 F' U2 L' R2 D F2
U2 F' U2 R2 L' D F2
R2 F' B L2 D L' F
R2 F' B D L' F L2
D' F2 L B U' L B'
R2 F2 L' D F2 B L
R2 F2 L' D B L F2
R2 F2 L' D B F2 L
R2 F2 L' B D L F2
R2 F2 L' B D F2 L
R2 F2 L2 B L D F2
R2 F2 U L U' B L
F' D2 L2 U' L' B' U'
R2 F2 B L2 D L' F
R2 F2 B D L' F L2
L2 B L R2 D F2 B
L2 B L R2 D B F2
L2 B L R2 B D F2
R2 B L R' D' R F'
R2 B L D L' F L
R2 B L D' R F' R'
L2 B L' U' L2 R2 B
L2 B L' U' R2 L2 B
L2 B L' U' R2 B L2
L' B L2 U' L' R2 B
L' B L2 U' R2 L' B
L' B L2 U' R2 B L'
R B L D' R F' B
R B L D' R B F'
R2 B L2 D L' D F
R2 B L2 D L' D' F
R2 B L2 D L' D2 F
R2 B L2 D L' F D
R2 B L2 D L' F D'
R2 B L2 D L' F D2
R2 B R' L D' R F'
L' B R2 D L F2 B
L' B R2 D L B F2
L' B R2 D F2 L B
R2 B R' D' L R F'
R2 B R' D' R L F'
R2 B R' D' R F' L
L2 B R2 L D F2 B
L2 B R2 L D B F2
L2 B R2 L B D F2
L B R' U' L R' B
L B R' U' R' L B
L B U F' U2 L R2
L B U F' U2 R2 L
L B U' L R2 D B
L B U' L R2 D' B
L B U' L R2 D2 B
L B U' L R2 B D
L B U' L R2 B D'
L B U' L R2 B D2
L B U' L B R2 B
L B U' L B' R2 B
L B U' L B2 R2 B
L B U' L' R2 B L2
L B U' L2 R2 B L'
L B U' R2 L D B
L B U' R2 L D' B
L B U' R2 L D2 B
L B U' R2 L B D
L B U' R2 L B D'
L B U' R2 L B D2
L B U' R2 L' B L2
L B U' R2 L2 B L'
L B U' R2 D L B
L B U' R2 D' L B
L B U' R2 D2 L B
L B U' B' R2 B L
R2 B D L U2 B' U2
R2 B D L' F L2 D
R2 B D L' F L2 D'
R2 B D L' F L2 D2
R2 B D L' F' L2 F2
R2 B D L' F2 L2 F'
R2 B D F L' F L2
R2 B D F' L' F L2
R2 B D F2 L' F L2
R2 B D' L R F' R'
R2 B D' L2 D2 L' F
R2 B D' R L F' R'
R2 B D' R F' L R'
R2 B D' R F' R' L
R2 B D2 L2 D' L' F
R B D' L R F' B
R B D' L R B F'
R B D' R L F' B
R B D' R L B F'
R B D' R F' L B
R2 B D2 F L D F2
R2 B F L2 D L' F
R2 B F D L' F L2
R2 B F' L2 D L' F
R2 B F' D L' F L2
R2 B F2 L2 D L' F
R2 B F2 D L' F L2
L' B' R2 D F2 L' B
L' B' R2 D F2 B L'
L' B' R2 D B F2 L'
L' B' R2 B D F2 L'
L B' U R' U2 R' B
L B' U F' R' U2 R'
U B' U' R2 B L F
L B' U' B R2 B L
L B' U' B2 L R2 B
L B' U' B2 R2 L B
U' B2 R' U R' B L
R2 B2 R' U R B' L
R2 B2 R' U B' L R
R2 B2 R' U B' R L
U B2 R' F' U R' B
R2 B2 U' R' U B' L
L B2 U' R2 B' L B2
L B2 U' B' L R2 B
L B2 U' B' R2 L B
L B2 U' B2 R2 B L
