B R' F' U' L2 U' R
B R' F' U2 R D F2
B R' F' U2 D R F2
B R' F' D U2 R F2
B R' F' D' B2 U2 R
B' F D F2 L R B
B' F D F2 R L B
B2 F D F2 R B L
B' F' R D L F2 B
B' F' R D L B F2
B' F' R D F2 L B
F' B' R D L F2 B
F' B' R D L B F2
F' B' R D F2 L B
B2 F' R D F2 B L
B2 F' R D B L F2
B2 F' R D B F2 L
B2 F' R B D L F2
B2 F' R B D F2 L
B' F' D L R F2 B
B' F' D L R B F2
B' F' D R L F2 B
B' F' D R L B F2
B' F' D R F2 L B
F' B' D L R F2 B
F' B' D L R B F2
F' B' D R L F2 B
F' B' D R L B F2
F' B' D R F2 L B
B2 F' D R F2 B L
B2 F' D R B L F2
B2 F' D R B F2 L
F B' D F2 L R B
F B' D F2 R L B
F' B2 R D F2 B L
F' B2 R D B L F2
F' B2 R D B F2 L
F' B2 R B D L F2
F' B2 R B D F2 L
F' B2 D R F2 B L
F' B2 D R B L F2
F' B2 D R B F2 L
F B2 D F2 R B L
