B' L R' F L2 U'
B' L F L2 R' U'
B' L F R' L2 U'
B' L' R' U2 B' U
B' L' R' U2 B' U
B' R' L F L2 U'
B' R' L' U2 B' U
B' L R F L2 R2 U'
B' L R F R2 L2 U'
B' L R' D F U' F
B' L R' F L2 U' D
B' L R' F L2 U' D'
B' L R' F L2 U' D2
B' L R' F L2 D U'
B' L R' F L2 D' U'
B' L R' F L2 D2 U'
B' L R' F U' D F2
B' L R' F D U' F2
B' L R' F' L2 F2 U'
B' L R' F2 L2 F' U'
B L U2 F L2 B2 U'
B L U2 F B2 L2 U'
B L U2 B2 F L2 U'
B' L D R' F U' F
B' L D F R' U' F
B L D2 F2 R2 B U
F' L F L' B' R' U'
B' L F L2 R' U' D
B' L F L2 R' U' D'
B' L F L2 R' U' D2
B' L F L2 R' D U'
B' L F L2 R' D' U'
B' L F L2 R' D2 U'
B' L F L2 D R' U'
B' L F L2 D' R' U'
B' L F L2 D2 R' U'
B2 L F L2 B R' U'
B' L F R' L2 U' D
B' L F R' L2 U' D'
B' L F R' L2 U' D2
B' L F R' L2 D U'
B' L F R' L2 D' U'
B' L F R' L2 D2 U'
B' L F R' U' D F2
B' L F R' D U' F2
B' L F D R' U' F2
B2 L F B L2 R' U'
B2 L F B R' L2 U'
B' L F' L2 R' F2 U'
B' L F' L2 F2 R' U'
B' L F' R' L2 F2 U'
B' L F' R' F2 L2 U'
B' L F2 L2 F' R' U'
B2 L B R' F L2 U'
B2 L B F L2 R' U'
B2 L B F R' L2 U'
B' L' R' U2 D B' U
B' L' R' U2 D' B' U
B' L' R' U2 D2 B' U
B' L' R' U2 B' U D
B' L' R' U2 B' U D'
B' L' R' U2 B' U D2
B' L' R' U2 B' D U
B' L' R' U2 B' D' U
B' L' R' U2 B' D2 U
B' L' R' D U2 B' U
B' L' R' D' U2 B' U
B' L' R' D2 U2 B' U
B' L' R' F U2 B' U
B' L' R' F' U2 B' U
B' L' R' F2 U2 B' U
B' L' U2 B2 L B U
B L' U2 B' L2 F U
B' L' D R' U2 B' U
B' L' D' R' U2 B' U
B' L' D2 R' U2 B' U
B' L' F R' U2 B' U
B' L' F' R' U2 B' U
B' L' F2 R' U2 B' U
B2 L' B R' U' D' R2
B2 L' B R' U2 B2 U
B2 L' B R' D' U' R2
B2 L' B R' D2 F2 U'
B2 L' B U2 B2 L U
B2 L' B D' R' U' R'
B2 L' B D2 R' F2 U'
B2 L' B D2 F2 R' U'
B L' B2 U2 L2 B U
B L' B2 U2 B L2 U
B L' B2 D2 R2 F' U'
B' R L F L2 R2 U'
B' R L F R2 L2 U'
U R B' L' U' R' B2
B' R' L D F U' F
B' R' L F L2 U' D
B' R' L F L2 U' D'
B' R' L F L2 U' D2
B' R' L F L2 D U'
B' R' L F L2 D' U'
B' R' L F L2 D2 U'
B' R' L F U' D F2
B' R' L F D U' F2
B' R' L F' L2 F2 U'
B' R' L F2 L2 F' U'
B' R' L' U2 D B' U
B' R' L' U2 D' B' U
B' R' L' U2 D2 B' U
B' R' L' U2 B' U D
B' R' L' U2 B' U D'
B' R' L' U2 B' U D2
B' R' L' U2 B' D U
B' R' L' U2 B' D' U
B' R' L' U2 B' D2 U
B' R' L' D U2 B' U
B' R' L' D' U2 B' U
B' R' L' D2 U2 B' U
B' R' L' F U2 B' U
B' R' L' F' U2 B' U
B' R' L' F2 U2 B' U
B' R' D L F L2 U'
B' R' D L' U2 B' U
B' R' D' L F L2 U'
B' R' D' L' U2 B' U
B' R' D2 L F L2 U'
B' R' D2 L' U2 B' U
B' R' F' L F L' U'
B' R' F2 U2 R B U
L U2 F L2 R B U'
L U2 F R L2 B U'
L U2 F R B L2 U'
L' U2 F' B' L' F U
L' U2 B' F' L' F U
U R2 B' L' U' R' B
B2 U2 L' B R' F' U'
L F L' B' L' R' U'
L F L' B' R' L' U'
B2 U2 B L' R' F' U'
B2 U2 B R' L' F' U'
B' D L R' F L2 U'
B U2 B2 L' R' F' U'
B U2 B2 R' L' F' U'
B' D L F L2 R' U'
B' D L F R' L2 U'
B' D L' R' U2 B' U
B' D R' L F L2 U'
B' D R' L' U2 B' U
B' D' L R' F L2 U'
B' D' L F L2 R' U'
B' D' L F R' L2 U'
B' D' L' R' U2 B' U
B' D' R' L F L2 U'
B' D' R' L' U2 B' U
B' D2 L R' F L2 U'
B' D2 L F L2 R' U'
B' D2 L F R' L2 U'
B' D2 L' R' U2 B' U
B' D2 R' L F L2 U'
B' D2 R' L' U2 B' U
F' D2 B' L R' F U'
F' D2 B' L F R' U'
F' D2 B' R' L F U'
R' B' L R' F L2 U'
D2 B' L R' F L2 U'
D' B' L R' F L2 U'
R' B' L F L2 R' U'
R' B' L F R' L2 U'
D2 B' L F L2 R' U'
D2 B' L F R' L2 U'
D' B' L F L2 R' U'
D' B' L F R' L2 U'
R' B' L' R' U2 B' U
D2 B' L' R' U2 B' U
D' B' L' R' U2 B' U
U' B' L' F U' R B'
U' B' L' F U' B' R
R2 B' L R' F L2 U'
D B' L R' F L2 U'
R2 B' L F L2 R' U'
R2 B' L F R' L2 U'
D B' L F L2 R' U'
D B' L F R' L2 U'
R2 B' L' R' U2 B' U
D B' L' R' U2 B' U
R B' L R' F L2 U'
U B' L' R U' B R2
R B' L F L2 R' U'
R B' L F R' L2 U'
R B' L' R' U2 B' U
D2 B' R' L F L2 U'
R' B' R' L F L2 U'
D2 B' R' L' U2 B' U
R' B' R' L' U2 B' U
D' B' R' L F L2 U'
D' B' R' L' U2 B' U
B' F' L R' F L' U'
U B' R L' U' B R2
F' B' L R' F L' U'
R2 B' R' L F L2 U'
R2 B' R' L' U2 B' U
B' F' L F L' R' U'
B' F' L F R' L' U'
D B' R' L F L2 U'
D B' R' L' U2 B' U
F' B' L F L' R' U'
F' B' L F R' L' U'
R B' R' L F L2 U'
R B' R' L' U2 B' U
