B U R U L B'
U L R U B' D L2
U L R U2 B U' B2
B L R' D' F2 R B'
B L R' D' F2 B' R
B L R' D' B' F2 R
U L R' F' R2 U B'
B L R' B' D' F2 R
U' L U2 R F U B'
B L B' R' D' F2 R
R2 U L R' F' U B'
R2 U R' L F' U B'
R2 U R' F' L U B'
U R L U B' D L2
U R L U2 B U' B2
R2 U D2 R' F' U B
U R U L B' D L2
U R U2 D' B R' U'
U R D' U2 B R' U'
B R' L D' F2 R B'
B R' L D' F2 B' R
B R' L D' B' F2 R
B R' L B' D' F2 R
U R' L F' R2 U B'
B' R' U L R2 U B'
B' R' U R2 L U B'
B R' U R2 U L B'
B R' U2 L D' F2 B'
B R' U2 L D' B' F2
B R' U2 L B' D' F2
D2 R' D B2 U2 B' L
D2 R' D' B L F2 R
U R' F' L R2 U B'
U R' F' R2 L U B'
D2 R' B L D' F2 R
D2 R' B D' L F2 R
D2 R2 U R' F' L' U
B R2 U R' U L B'
B2 U L R U B' L
B U L' R U L2 B'
B2 U R L U B' L
D' U R U2 B R' U'
B2 U R U L B' L
B2 U R U B' L B'
B U R L' U L2 B'
B U R U L D B'
B U R U L D' B'
B U R U L D2 B'
B U R U L B' D
B U R U L B' D'
B U R U L B' D2
B U R F U L B'
B U R F' U L B'
B U R F2 U L B'
B U F' U L F B'
B U F' U L B' F
U D' R U2 B R' U'
F2 U' L' B' U F U2
R2 D2 U R' F' U B
B U2 L U' R U B'
B U2 L B' U' R U
B U2 R U L R' B'
B U2 R U R' L B'
B U2 F2 L D F2 B'
B U2 F2 L D B' F2
B U2 F2 L B' D F2
L' F D' L B' R' U2
B' D2 R' U2 D' F2 B
B' D2 R' U2 D' B F2
B' D2 R' U2 B D' F2
B' D2 R' D B2 U2 B'
B' D2 R' D' U2 F2 B
B' D2 R' D' U2 B F2
R' B L D' F2 R B'
R' B L D' F2 B' R
R' B L D' B' F2 R
R' B L B' D' F2 R
R' B U R2 U L B'
R' B U2 L D' F2 B'
R' B U2 L D' B' F2
R' B U2 L B' D' F2
F2 B L D F2 R B'
F2 B L D F2 B' R
F2 B L D B' F2 R
F2 B L B' D F2 R
F2 B U' L' U' L2 B'
F2 B U2 L D F2 B'
F2 B U2 L D B' F2
F2 B U2 L B' D F2
D' B' R' U L R2 U
D' B' R' U R2 L U
D2 B' R' U2 D' F2 B
D2 B' R' U2 D' B F2
D2 B' R' U2 B D' F2
D2 B' R' D B2 U2 B'
D2 B' R' D' U2 F2 B
D2 B' R' D' U2 B F2
B F2 L D F2 R B'
B F2 L D F2 B' R
B F2 L D B' F2 R
B F2 L B' D F2 R
R2 B2 U' L U' B' L
B F2 U' L' U' L2 B'
B F2 U2 L D F2 B'
B F2 U2 L D B' F2
B F2 U2 L B' D F2
