B R D' F' L' R2
B R D' F' R2 L'
B R F' L' D' R2
B R F' D' L' R2
B R F' D' R2 L'
B R' D' R2 F' L'
B L R D' F' L' R2
B L R D' F' R2 L'
B L R F' L' D' R2
B L R F' D' L' R2
B L R F' D' R2 L'
B L R' D' R2 F' L'
B L' R D' F' L' R2
B L' R D' F' R2 L'
B L' R F' L' D' R2
B L' R F' D' L' R2
B L' R F' D' R2 L'
B L' R' D' R2 F' L'
F' L' B R D F' R
B L2 R D' F' L' R2
B L2 R D' F' R2 L'
B L2 R F' L' D' R2
B L2 R F' D' L' R2
B L2 R F' D' R2 L'
B L2 R' D' R2 F' L'
B R L D' F' L' R2
B R L D' F' R2 L'
B R L F' L' D' R2
B R L F' D' L' R2
B R L F' D' R2 L'
B R L' D' F' L' R2
B R L' D' F' R2 L'
B R L' F' L' D' R2
B R L' F' D' L' R2
B R L' F' D' R2 L'
B R L2 D' F' L' R2
B R L2 D' F' R2 L'
B R L2 F' L' D' R2
B R L2 F' D' L' R2
B R L2 F' D' R2 L'
B R U' B2 U F' L'
B R D F' D2 L' R2
B R D F' D2 R2 L'
B R D' L F' L' R2
B R D' L F' R2 L'
B R D' L' F' L' R2
B R D' L' F' R2 L'
B R D' L2 F' L' R2
B R D' L2 F' R2 L'
B2 R D' F' R B' L'
B2 R D' F' B' L' R
B2 R D' F' B' R L'
B2 R D' B' F' L' R
B2 R D' B' F' R L'
B R D' F' L' R2 D
B R D' F' L' R2 D'
B R D' F' L' R2 D2
B R D' F' R2 L' D
B R D' F' R2 L' D'
B R D' F' R2 L' D2
B R D' F' R2 D L'
B R D' F' R2 D' L'
B R D' F' R2 D2 L'
B R D' F2 R2 F L'
B' R F U F2 L' B2
B' R F U F2 B2 L'
B' R F U B2 F2 L'
B' R F' L' B2 D' R2
B R F' L' R D' R2
B R F' L' R' D' R2
B R F' L' R2 D' R2
B R F' L' U' B2 U
B R F' L' D' R2 D
B R F' L' D' R2 D'
B R F' L' D' R2 D2
B R F' L2 D' L R2
B R F' L2 D' R2 L
B R F' R L' D' R2
B R F' R D' L' R2
B R F' R D' R2 L'
B R F' R' L' D' R2
B R F' R' D' L' R2
B R F' R' D' R2 L'
B R F' R2 L' D' R2
B R F' R2 D' L' R2
B R F' R2 D' R2 L'
B' R F' B2 L' D' R2
B' R F' B2 D' L' R2
B' R F' B2 D' R2 L'
B R F' U' B2 U L'
B R F' D' L' R2 D
B R F' D' L' R2 D'
B R F' D' L' R2 D2
B R F' D' R2 L' D
B R F' D' R2 L' D'
B R F' D' R2 L' D2
B R F' D' R2 D L'
B R F' D' R2 D' L'
B R F' D' R2 D2 L'
B R F' D2 L' D R2
B' R F2 U F L' B2
B' R F2 U F B2 L'
B' R F2 U B2 F L'
B2 R B' D' F' L' R
B2 R B' D' F' R L'
B' R B2 D' F' L' R2
B' R B2 D' F' R2 L'
B' R B2 F' L' D' R2
B' R B2 F' D' L' R2
B' R B2 F' D' R2 L'
B R' L D' R2 F' L'
B R' L' D' R2 F' L'
B R' L2 D' R2 F' L'
B R' D' L R2 F' L'
B R' D' L' R2 F' L'
B R' D' L2 R2 F' L'
B R' D' R2 L F' L'
B R' D' R2 L' F' L'
B R' D' R2 L2 F' L'
B R' D' R2 D F' L'
B R' D' R2 D' F' L'
B R' D' R2 D2 F' L'
B R' D' R2 F' L' D
B R' D' R2 F' L' D'
B R' D' R2 F' L' D2
B R' D' R2 F' D L'
B R' D' R2 F' D' L'
B R' D' R2 F' D2 L'
B R' D' F' L' R2 F'
B R' D' F' R2 L' F'
B R' F' L' D' R2 F'
B R' F' D' L' R2 F'
B R' F' D' R2 L' F'
B R2 D' R' F' L' R'
B R2 D' R' F' R' L'
D2 F' L' D' F B R'
D2 F' L' D' B R' F
D2 F' L' D' B F R'
D2 F' L' F D' B R'
R F' L' R' D' B R'
R F' R' L' D' B R'
R F' R' B L' D' R2
R F' R' B D' L' R2
R F' R' B D' R2 L'
D2 F' B L' D' R2 F
D2 F' B L' D' F R2
D2 F' B L' F D' R2
B D' R D R F' L'
D' F' B' R U L' B2
D' F' B' R U B2 L'
D2 F' B' U L' F B2
D2 F' B' U L' B2 F
D2 F' B' U B2 L' F
B D' R2 D' F' L' F
F' D' B D' L' R2 F
F' D' B D' L' F R2
F' D' B D' R2 L' F
F' D2 L' D' F B R'
F' D2 L' D' B R' F
F' D2 L' D' B F R'
F' D2 L' F D' B R'
U2 B L R D' F' R2
U2 B L R F' D' R2
U2 B L R' D' R2 F'
L' B R D F' L' R
L' B R D F' R L'
U2 B R L D' F' R2
U2 B R L F' D' R2
B D2 F' L' F D R2
U2 B R D' L F' R2
U2 B R D' F' L R2
U2 B R D' F' R2 L
U2 B R F' L D' R2
L2 B R F' L' D R2
U2 B R F' D' L R2
U2 B R F' D' R2 L
L2 B R F' D L' R2
L2 B R F' D R2 L'
F' D2 B L' D' R2 F
F' D2 B L' D' F R2
F' D2 B L' F D' R2
U2 B R' L D' R2 F'
U2 B R' D' L R2 F'
U2 B R' D' R2 L F'
U2 B R' D' R2 F' L
F' D2 B' U L' F B2
F' D2 B' U L' B2 F
F' D2 B' U B2 L' F
F' B L' R D' F' R2
F' B L' R F' D' R2
F' B L' R' D' R2 F'
D B U' R' F' B2 U
D B U' R' B2 F' U
D' B D' R2 F' L' F
D' B D' F' L' R2 F
D' B D' F' L' F R2
D' B D' F' R2 L' F
F' B R L' D' F' R2
F' B R L' F' D' R2
F' B R D' L' F' R2
F' B R' L' D' R2 F'
F' B R' D' L' R2 F'
F' B R' D' R2 L' F'
D2 B F' L' D' R2 F
D2 B F' L' D' F R2
D2 B F' L' F D' R2
B' F U' R U2 F' B2
B' F U' R U2 B2 F'
F' B D' R2 D' L' F
F' B D2 L' D R2 F
F' B D2 L' D F R2
B F' L' R D' F' R2
B F' L' R F' D' R2
B F' L' R' D' R2 F'
B' F' R U L' F' B2
B' F' R U L' B2 F'
B' F' R U B2 L' F'
U2 B' U' R' B U2 B
F' B' R U L' F' B2
F' B' R U L' B2 F'
F' B' R U B2 L' F'
B F' R L' D' F' R2
B F' R L' F' D' R2
B F' R D' L' F' R2
B F' R' L' D' R2 F'
B F' R' D' L' R2 F'
B F' R' D' R2 L' F'
B' F' U B2 D2 L' F
F' B' U B2 D2 L' F
D' B' F' R U L' B2
D' B' F' R U B2 L'
D2 B' F' U L' F B2
D2 B' F' U L' B2 F
D2 B' F' U B2 L' F
F B' U' R U2 F' B2
F B' U' R U2 B2 F'
B F' D' R2 D' L' F
B F' D2 L' D R2 F
B F' D2 L' D F R2
