U' L' R2 B R' U
R2 U' L' B R' U
R2 U' B L' R' U
R2 U' B R' L' U
U' R2 L' B R' U
U' R2 B L' R' U
U' R2 B R' L' U
R2 B L' R' U L
R2 B R' L' U L
U' L R2 B L2 R' U
U' L R2 B R' L2 U
R2 L B L2 R' U L
R2 L B R' L2 U L
D L' R U F L R
D L' R U F R L
U' L' R' B R' B U
U' L' R2 B R' U D
U' L' R2 B R' U D'
U' L' R2 B R' U D2
U' L' R2 B R' D U
U' L' R2 B R' D' U
U' L' R2 B R' D2 U
U' L' R2 B D R' U
U' L' R2 B D' R' U
U' L' R2 B D2 R' U
D L' U F L D R2
D L' U F D L R2
D L' U F D R2 L
B' L' U2 F' L2 U' L'
B2 L' U2 F' L' U' L2
D L' U2 F' U' L F2
D L' U2 F' U' F2 L
D L' F' U L F2 R
U' L' B R2 B R U
U' L' B' U2 L F' U'
U' L' B' U2 F' L U'
U' L' B2 U2 F' L' U'
L R2 B L2 R' U L
L R2 B R' L2 U L
D R L' U F L R
D R L' U F R L
U' R D L' U F R
R' U' L' R' B R' U
R2 U' L B L2 R' U
R2 U' L B R' L2 U
F2 R D2 F L' U' L
R' U' L' B R' B U
R2 U' L' B R' U D
R2 U' L' B R' U D'
R2 U' L' B R' U D2
R2 U' L' B R' D U
R2 U' L' B R' D' U
R2 U' L' B R' D2 U
R2 U' L' B D R' U
R2 U' L' B D' R' U
R2 U' L' B D2 R' U
F2 R F B' L U' L'
R' U' R' L' B R' U
R' U' R' B L' R' U
R' U' R' B R' L' U
R2 U' D L' B U F
F2 R B' F L U' L'
R2 U' D B L' U F
U' R' L' B R' B U
R' U' B L' R' B U
R' U' B R' L' B U
R' U' B R' B L' U
R2 U' B L' R' U D
R2 U' B L' R' U D'
R2 U' B L' R' U D2
R2 U' B L' R' D U
R2 U' B L' R' D' U
R2 U' B L' R' D2 U
R2 U' B L' D R' U
R2 U' B L' D' R' U
R2 U' B L' D2 R' U
R2 U' B R' L' U D
R2 U' B R' L' U D'
R2 U' B R' L' U D2
R2 U' B R' L' D U
R2 U' B R' L' D' U
R2 U' B R' L' D2 U
R2 U' B R' D L' U
R2 U' B R' D' L' U
R2 U' B R' D2 L' U
R2 U' B D L' R' U
R2 U' B D R' L' U
R2 U' B D' L' R' U
R2 U' B D' R' L' U
R2 U' B D2 L' R' U
R2 U' B D2 R' L' U
U' R' B L' R' B U
U' R' B R' L' B U
U' R' B R' B L' U
U' R2 L B L2 R' U
U' R2 L B R' L2 U
U' R2 L' B R' U D
U' R2 L' B R' U D'
U' R2 L' B R' U D2
U' R2 L' B R' D U
U' R2 L' B R' D' U
U' R2 L' B R' D2 U
U' R2 L' B D R' U
U' R2 L' B D' R' U
U' R2 L' B D2 R' U
D R2 U' L' B U F
B R2 U' L' B R U
D R2 U' B L' U F
B R2 U' B L' R U
B R2 U' B R L' U
U' R2 D L' B U F
U R2 U2 L' B R' U
U' R2 D B L' U F
U R2 U2 B L' R' U
U R2 U2 B R' L' U
R D L' U F L R
R D L' U F R L
U' R2 B L' R' U D
U' R2 B L' R' U D'
U' R2 B L' R' U D2
U' R2 B L' R' D U
U' R2 B L' R' D' U
U' R2 B L' R' D2 U
U' R2 B L' D R' U
U' R2 B L' D' R' U
U' R2 B L' D2 R' U
U' R2 B R' L' U D
U' R2 B R' L' U D'
U' R2 B R' L' U D2
U' R2 B R' L' D U
U' R2 B R' L' D' U
U' R2 B R' L' D2 U
U' R2 B R' D L' U
U' R2 B R' D' L' U
U' R2 B R' D2 L' U
U' R2 B D L' R' U
U' R2 B D R' L' U
U' R2 B D' L' R' U
U' R2 B D' R' L' U
U' R2 B D2 L' R' U
U' R2 B D2 R' L' U
B R2 B L' R U L
D R2 B L' U F L
B R2 B R L' U L
R2 D U' L' B U F
B' U L D' F' U' B2
B' U L D2 F' R2 U'
R2 D U' B L' U F
B' U L F' U' D' B2
B' U L F' U2 L2 U
B' U L F' D' U' B2
B' U L F' D2 R2 U'
U' D L' R U F R
U' D L' R2 B U F
U' D L' U F D R2
U' D L' U2 F' U' F2
U' D R L' U F R
F2 U R D2 F L' U'
R2 D B L' U F L
U' D R2 L' B U F
U' D R2 B L' U F
F2 U D' R F U' F2
D' U F2 R F U' F2
F2 U D2 R F L' U'
B' U F' D' L U' B'
B' U F2 R F L U'
D U' L' R U F R
D U' L' R2 B U F
D U' L' U F D R2
D U' L' U2 F' U' F2
B' U' L' U2 L2 F' U'
B' U' L' U2 F' L2 U'
B' U' L' D2 R2 B U
D U' R L' U F R
B U' L' R2 B R U
D U' R2 L' B U F
D U' R2 B L' U F
B U' R2 L' B R U
B U' R2 B L' R U
B U' R2 B R L' U
U D' F2 R F U' F2
D2 F U L' F2 U' B'
F2 D' U R F U' F2
U F2 R D2 F L' U'
D' F2 U R F U' F2
F2 D2 R F L' U' L
U F2 D' R F U' F2
U F2 D2 R F L' U'
F2 D2 U R F L' U'
U' B L' R2 B R U
R2 B L' R' U L D
R2 B L' R' U L D'
R2 B L' R' U L D2
R2 B L' R' U D L
R2 B L' R' U D' L
R2 B L' R' U D2 L
R2 B L' R' D U L
R2 B L' R' D' U L
R2 B L' R' D2 U L
R2 B L' R' F U L
R2 B L' R' F' U L
R2 B L' R' F2 U L
R2 B L' D R' U L
R2 B L' D' R' U L
R2 B L' D2 R' U L
R2 B L' F R' U L
R2 B L' F' R' U L
R2 B L' F2 R' U L
R' B R' B L' U L
U' B R2 L' B R U
R2 B R' L' U L D
R2 B R' L' U L D'
R2 B R' L' U L D2
R2 B R' L' U D L
R2 B R' L' U D' L
R2 B R' L' U D2 L
R2 B R' L' D U L
R2 B R' L' D' U L
R2 B R' L' D2 U L
R2 B R' L' F U L
R2 B R' L' F' U L
R2 B R' L' F2 U L
U' B R2 B L' R U
U' B R2 B R L' U
R2 B R' D L' U L
