B' L F2 U R F' L'
R2 U' R' B L R' U'
R2 U' R' B R' L U'
R2 U' B L R' B U'
R2 U' B R' L B U'
B2 R' B U L F' U
B2 R' B U F' L U
R2 U2 D L F B' L
R2 U2 D L B' F L
R2 U2 D B' L F B'
R2 U2 D B' L B' F
R U2 F' U B R' U'
R U2 B R' U' R F'
U' R2 B R' U' L F'
U' R2 B R' U' F' L
R2 D U2 L F B' L
R2 D U2 L B' F L
R2 D U2 B' L F B'
R2 D U2 B' L B' F
R2 D B' U2 L F B'
R2 D B' U2 L B' F
R2 D' R F' B R U2
R2 D' R B F' R U2
R2 D' F' R F' B U2
R2 D' F' R B F' U2
R F U' B R' U' F2
R F2 U' B R' U' F
R' B R2 U' B R U'
R' B U F' U2 R' U'
R' B U' R2 B R U'
R2 B U' R' B L U'
