L2 U2 D' F L'
L2 D' U2 F L'
L2 R U F' U F2
L2 R U2 F D' L2
L2 R' U' B U' F
R L2 U F' U F2
R' L2 U' B U' F
R L2 U2 F D' L2
R L2 U2 F D' L2
B' L2 R U F' U
B' L2 R' U' B U'
B2 L2 D B R' U2
L2 U R F' U F2
B' R L2 U F' U
B' R' L2 U' B U'
L2 U2 D' F L' D
L2 U2 D' F L' D'
L2 U2 D' F L' D2
L2 U2 D' F D L'
L2 U2 D' F D' L'
L2 U2 D' F D2 L'
L2 D B R' U2 F
L2 D B' U2 F L
L D' L U2 F L'
L2 D' R U2 F L'
L2 D' R U2 F L'
L2 D' R' U2 F L'
L2 D' R2 U2 F L'
L2 D' U2 F L' D
L2 D' U2 F L' D'
L2 D' U2 F L' D2
L2 D' U2 F L' D2
L2 D' U2 F D L'
L2 D' U2 F D' L'
L2 D' U2 F D2 L'
L2 D' B U2 F L'
L2 D' B' U2 F L'
L2 D' B2 U2 F L'
L2 B U2 D' F L'
L2 B D' U2 F L'
R' B' L2 U' B2 U'
R' B' L2 U2 D L2
R' B' L2 D U2 L2
R' B' L2 D' R2 U2
R B' L2 U F' U
L2 B' U2 D' F L'
D B' U' F2 U' L
D B' U2 L D R2
D B' U2 D L R2
D B' U2 D R2 L
L2 B' D' U2 F L'
D B' D U2 L R2
D B' D U2 R2 L
D B' D' L2 U2 L'
L2 B2 U2 D' F L'
L2 B2 D' U2 F L'
L2 R U D F' U F2
L2 R U D' F' U F2
L2 R U D2 F' U F2
L2 R U F' R U F2
L2 R U F' R' U F2
L2 R U F' R2 U F2
L2 R U F' U F2 D
L2 R U F' U F2 D'
L2 R U F' U F2 D2
L2 R U F' D R2 U
L2 R U2 D F D' L2
L2 R U2 D' F D' L2
L2 R U2 D2 F D' L2
L2 R U2 F L D' L2
L2 R U2 F L' D' L2
L2 R U2 F L2 D' L2
L2 R U2 F U' F2 U
L2 R U2 F D' L2 D
L2 R U2 F D' L2 D'
L2 R U2 F D' L2 D2
L2 R D U F' U F2
L2 R D U2 F D' L2
L2 R D' U F' U F2
L2 R D' U2 F D' L2
L2 R D2 U F' U F2
B2 L D L B R' U2
L2 R D2 U2 F D' L2
B' L D2 L U' B' U'
L2 R B U F' U F2
L2 R B U2 F D' L2
L2 R B' U F' U F2
L2 R B' U2 F D' L2
L2 R B2 U F' U F2
L2 R B2 U2 F D' L2
L2 R' U R2 F' U F2
L2 R' U' D B U' F
L2 R' U' D' B U' F
L2 R' U' D2 B U' F
L2 R' U' B U' D F
L2 R' U' B U' D' F
L2 R' U' B U' D2 F
L2 R' U' B U' F D
L2 R' U' B U' F D'
L2 R' U' B U' F D2
L2 R' U' B D U' F
L2 R' U' B D' U' F
L2 R' U' B D2 U' F
L2 R' U2 F U B U'
L2 R' D U' B U' F
L2 R' D' U' B U' F
L2 R' D2 U' B U' F
