F' U F' U' L'
U F2 U' F L'
F' L U F' U' L'
U L F2 U' F L'
F' L' U F' U' L'
U L' F2 U' F L'
F' L2 U F' U' L'
U L2 F2 U' F L'
L' U F2 U' F L'
L2 U F2 U' F L'
L U F2 U' F L'
F2 R B U' F B'
F2 R B U' B' F
F' U D F' U' L'
F' U D' F' U' L'
F' U D2 F' U' L'
F' U F' U' L' D
F' U F' U' L' D'
F' U F' U' L' D2
F' U F' U' D L'
F' U F' U' D' L'
F' U F' U' D2 L'
F' U F' D U' L'
F' U F' D' U' L'
F' U F' D2 U' L'
F' U F' B U' L'
F' U F' B' U' L'
F' U F' B2 U' L'
F' U B F' U' L'
F' U B' F' U' L'
F' U B2 F' U' L'
F' D U F' U' L'
L' F' U F' U' L'
L2 F' U F' U' L'
L F' U F' U' L'
F' D' U F' U' L'
D F2 R2 D' F L'
U F2 U' F L' D
U F2 U' F L' D'
U F2 U' F L' D2
U F2 U' F D L'
U F2 U' F D' L'
U F2 U' F D2 L'
F' D2 U F' U' L'
U F2 B U' F L'
U F2 B' U' F L'
U F2 B2 U' F L'
U B F2 U' F L'
F2 B' U' F B L
F2 B' U' B F L
U B' F2 U' F L'
D2 B2 U F' L' B2
D2 B2 U F' B2 L'
D2 B2 U B2 F' L'
B' F2 U' F B L
B' F2 U' B F L
B' F2 U' B F L
U B2 F2 U' F L'
F' L U D F' U' L'
F' L U D' F' U' L'
F' L U D2 F' U' L'
F' L U F' U' L' D
F' L U F' U' L' D'
F' L U F' U' L' D2
F' L U F' U' D L'
F' L U F' U' D' L'
F' L U F' U' D2 L'
F' L U F' D U' L'
F' L U F' D' U' L'
F' L U F' D2 U' L'
F' L U F' B U' L'
F' L U F' B' U' L'
F' L U F' B2 U' L'
F' L U B F' U' L'
F' L U B' F' U' L'
F' L U B2 F' U' L'
F' L D U F' U' L'
F' L D' U F' U' L'
F' L D2 U F' U' L'
D L F2 R2 D' F L'
B' L F2 U' F B L
B' L F2 U' B F L
U L F2 U' F L' D
U L F2 U' F L' D'
U L F2 U' F L' D2
U L F2 U' F D L'
U L F2 U' F D' L'
U L F2 U' F D2 L'
U L F2 B U' F L'
U L F2 B' U' F L'
U L F2 B2 U' F L'
U L B F2 U' F L'
U L B' F2 U' F L'
D2 L B2 U F' L' B2
D2 L B2 U F' B2 L'
D2 L B2 U B2 F' L'
U L B2 F2 U' F L'
F' L' U D F' U' L'
F' L' U D' F' U' L'
F' L' U D2 F' U' L'
F' L' U F' U' L' D
F' L' U F' U' L' D'
F' L' U F' U' L' D2
F' L' U F' U' D L'
F' L' U F' U' D' L'
F' L' U F' U' D2 L'
F' L' U F' D U' L'
F' L' U F' D' U' L'
F' L' U F' D2 U' L'
F' L' U F' B U' L'
F' L' U F' B' U' L'
F' L' U F' B2 U' L'
F' L' U B F' U' L'
F' L' U B' F' U' L'
F' L' U B2 F' U' L'
U2 L' U' F2 B' U' F
U2 L' U' B' F2 U' F
F' L' D U F' U' L'
F' L' D' U F' U' L'
F' L' D2 U F' U' L'
B' L' F2 U' F B L
B' L' F2 U' B F L
D L' F2 R2 D' F L'
U L' F2 U' F L' D
U L' F2 U' F L' D'
U L' F2 U' F L' D2
U L' F2 U' F D L'
U L' F2 U' F D' L'
U L' F2 U' F D2 L'
U L' F2 B U' F L'
U L' F2 B' U' F L'
U L' F2 B2 U' F L'
U L' B F2 U' F L'
D2 L' B2 U F' L' B2
D2 L' B2 U F' B2 L'
D2 L' B2 U B2 F' L'
U L' B' F2 U' F L'
U L' B2 F2 U' F L'
F' L2 U D F' U' L'
