D F' R' B L U'
D L F' R' B L U'
B L F' U R U2 B
F L' U R' F2 U' F
F L' U F2 R' U' F'
D L' F' R' B L U'
F L2 R' F2 U' L F
D L2 F' R' B L U'
F L2 F2 R' U' L F
F' R' U R B R U2
F R' L2 F2 U' L F
F' R' U' L D2 F L2
F' R' U' L F D2 L2
F' R' U' L' D2 L2 F
F' R' U' D2 L F L
F' R' D B L B U'
D R' D B L U' R'
F' R' D2 L U' L F
F' R' D2 U' L F L
F' R' D2 B L U' L
F2 R' F U R B U2
F' R' B L U R2 U2
F' R' B L U' D2 L2
F' R' B L D B2 U'
F' R' B L D2 U' L2
F R' F2 U R B U2
F' R' B D L B2 U'
F' R' B D2 L U' L
F R' B L F2 U' L2
F' R' B' D B2 L U'
L' D F' R' B L U'
L2 D F' R' B L U'
F' U R U' R2 U' F'
F' U R D B U2 B
F' U R D' F2 B U2
F' U R D' B F2 U2
L D F' R' B L U'
F' U R B U' R2 U'
F' U R B U2 D B2
F' U R B D U2 B2
F' U R B D' F2 U2
U2 D F' L' R' B U'
U2 D F' R' L' B U'
U2 D F' R' B L' U'
D U F' R' B U' F'
U D F' R' B U' F'
F2 U F R' U' F' L'
D U2 F' L' R' B U'
D U2 F' R' L' B U'
D U2 F' R' B L' U'
D F R' F2 B L U'
D F R' B L F2 U'
D F R' B F2 L U'
D F' L R' B L U'
U2 F' L' R' U R2 U2
U2 F' L' R' U' D2 L2
U2 F' L' R' D B2 U'
U2 F' L' R' D2 U' L2
D F' L' R' B L U'
D F' L2 R' B L U'
D' F' R' B L B' U'
U2 F' R' L' U R2 U2
U2 F' R' L' U' D2 L2
U2 F' R' L' D B2 U'
U2 F' R' L' D2 U' L2
U2 F' R' D L' B2 U'
U2 F' R' D B2 L' U'
U2 F' R' D2 L' U' L'
D F' R' L B L U'
D F' R' L' B L U'
D F' R' L2 B L U'
D F' R' D B L U'
D F' R' D' B L U'
D F' R' D2 B L U'
U F' R' U R2 B U2
U F' R' U' D2 L2 F'
U F' R' U' D2 F' L2
U F' R' U' F' D2 L2
D F' R' B L U' D
D F' R' B L U' D'
D F' R' B L U' D2
D F' R' B L D U'
D F' R' B L D' U'
D F' R' B L D2 U'
D F' R' B D L U'
D F' R' B D' L U'
D F' R' B D2 L U'
U F' R' D B2 U' F'
U F' R' D2 U' L2 F'
U F' R' D2 U' F' L2
B D' L F' B' R' U'
B D' L B' F' R' U'
D2 F' D' R' B L U'
D' F' D2 R' B L U'
D' F' B L B' R' U'
B D' F' L B' R' U'
D F2 R' F B L U'
D F2 R' B F L U'
U F2 R' F U' F2 L'
D' B L F' B' R' U'
D' B L B' F' R' U'
F' B L U R U2 B
D' B F' L B' R' U'
B F' L U R U2 B
