F2 R U B R U2 B
B' R D R2 F' B2 L
B' R D R2 B2 L F'
B' R D R2 B2 F' L
B' R F2 R2 U' L' F'
B' R' F2 U R' U2 F
B' R' F2 B2 U' F L
B' R' B2 F2 U' F L
B' R2 U' R F2 U' F
F2 D B' R' B' U' F'
B D B2 R' U' F' R'
R' F2 U R' F' U2 F2
R F2 R2 U' L' F' B'
R F2 R2 U' L' B' F'
R F2 U B U2 L' B'
R F2 U' L' B' D2 F2
F2 D2 B' R' U' L2 F'
F2 D2 B' R' U' F' L2
F2 B D B2 R' U' F'
F2 B' R' B2 U' L F'
F2 B' R' B2 U' F' L
F2 B' D R' B2 U' F'
F2 B' D2 R' U' L2 F'
F2 B' D2 R' U' F' L2
B' F2 R' B2 U' L F'
B' F2 R' B2 U' F' L
R' B2 D L F' R2 B'
R' B2 D L F' B' R2
R' B2 D L B' F' R2
R' B2 D F' L R2 B'
R' B2 D F' L B' R2
R' B2 D F' R2 L B'
B' F2 D R' B2 U' F'
B' F2 D2 R' U' L2 F'
B' F2 D2 R' U' F' L2
B F2 D B2 R' U' F'
