L' U R' F' U B
L' R D' F' U2 F' L'
R' L D' B2 U B' L
R L' D' F' U2 F' L'
L R' D' B2 U B' L
U2 L' U R' U B L
D2 L' F U R' F' U
L2 R' B2 U R' B' L
R' L2 B2 U R' B' L
L' U L R' F' U B
L' U L' R' F' U B
L' U L2 R' F' U B
L' U R' L F' U B
L' U R' L' F' U B
L' U R' L2 F' U B
L' U R' D F' U B
L' U R' D' F' U B
L' U R' D2 F' U B
L' U R' F' L U B
L' U R' F' L' U B
L' U R' F' L2 U B
L' U R' F' U D B
L' U R' F' U D' B
L' U R' F' U D2 B
L' U R' F' U B D
L' U R' F' U B D'
L' U R' F' U B D2
L' U R' F' D U B
L' U R' F' D' U B
L' U R' F' D2 U B
L' U F R' F' U B
L' U F' R' F' U B
L' U F2 R' F' U B
F2 R U' R2 U B L
R' U' L' U' B' U' B2
R' U' L' U2 B D L2
U' R' U B L D2 R2
U' R' U' L' U2 B L
B' R' D L' U2 F B
B' R' D L' U2 B F
F2 R' D B2 U B' L
U R' F' U D2 B R'
U' R' F2 U B L R
U' R' F2 U B R L
U R' F' D2 U B R'
F2 R' B L R2 D' F2
F2 R' B R2 L D' F2
F2 R' B R2 D' L F2
F2 R' B R2 D' F2 L
F2 R' B' U B2 L R2
F2 R' B' U B2 R2 L
F2 R' B2 U R2 B' L
F2 R' B2 U B' L R2
F2 R' B2 U B' R2 L
F' U R' F' U B R
F2 U R' F' U B R2
R D' L' F' U2 F' L'
R D' R F2 R B L
R D' R2 F2 B L R
R D' R2 F2 B R L
R D' R2 B F2 L R
R D' R2 B F2 R L
R D' F' U2 F' L' R
R D' F' U2 F' R L'
F2 U' R' U B L R2
F2 U' R' U B R2 L
L' F U R' F' U B
L' F' U R' F' U B
U F' R' F' U B R
U' F2 R' U B L R2
U' F2 R' U B R2 L
R2 F2 R B L D F2
L' F2 U R' F' U B
U F2 R' F' U B R2
R' F2 B' U B2 L R
R' F2 B' U B2 R L
R' F2 B2 U R B' L
R' F2 B2 U B' L R
R' F2 B2 U B' R L
R' B L D2 R2 D' F2
R' B R2 D' F2 L R
R' B R2 D' F2 R L
R' B' L2 U B2 L R'
R' B' L2 U B2 R' L
R' B' U L2 B2 L R'
R' B' U L2 B2 R' L
R' B' U B2 L D2 R2
R' B' U' L' R' U2 B2
R' B' U' L' U2 B2 L
R' B' U' R' L' U2 B2
R' B' F2 U B2 L R
R' B' F2 U B2 R L
R' B2 U B' L D2 R2
R' B2 F2 U R B' L
R' B2 F2 U B' L R
R' B2 F2 U B' R L
