B R U' L F2 R
B U F2 L D' B2
B U2 R U' L F2
B U2 R U' F2 L
B L U R U' R' F2
B L U R U' F2 R'
F2 L B' D' B2 L R2
F2 L B' D' B2 R2 L
B L' U2 R U' L2 F2
B L' U2 R U' F2 L2
B L' D F2 L' R2 U
B L' D F2 R2 L' U
F2 L' F B U L F'
F2 L' F B U F' L
F2 L' F' B U F L
F2 L' F2 B U L F2
F2 L' F2 B U F2 L
F2 L' B F U L F'
F2 L' B F U F' L
F2 L' B F' U F L
F2 L' B F2 U L F2
F2 L' B F2 U F2 L
F2 L2 U' L F B U
F2 L2 U' L B F U
B L2 U2 R U' L' F2
B R U L F2 D2 B2
B R U F2 L D2 B2
B R U F2 D2 L B2
B R U' L R F2 R
B R U' L R' F2 R
B R U' L R2 F2 R
B R U' L F2 R D
B R U' L F2 R D'
B R U' L F2 R D2
B R U' L F2 D R
B R U' L F2 D' R
B R U' L F2 D2 R
B R U' R L F2 R
B R U' R' L F2 R
B R U' R2 L F2 R
B2 R U2 B' U L F2
B2 R U2 B' U F2 L
B2 R B' U' L F2 R
B R' U L F2 D B2
B R' U F2 L D B2
B R' U F2 D L B2
B R' U2 R2 U' L F2
B R' U2 R2 U' F2 L
B R' D R2 U L B2
B R2 U2 R' U' L F2
B R2 U2 R' U' F2 L
D R2 U2 F' R' U' L'
B' R2 B2 L U F2 L'
B U L U R U' F2
B U L F2 U' L' U
B U R U' L R' F2
B U R U' L F2 R'
B U R U' R' L F2
B U R U' R' F2 L
B U R U' F2 L R'
B U R U' F2 R' L
B U F D' F L B'
B U F2 L U' L2 U
B U F2 L D' B2 D
B U F2 L D' B2 D'
B U F2 L D' B2 D2
B U F2 L B D' B2
B U F2 L B' D' B2
B U F2 L B2 D' B2
B U F2 U' L' U L2
B U F2 D L D' B2
B U F2 D' L D' B2
B U F2 D2 L D' B2
F2 U' L F L2 B U
F2 U' L F B L2 U
F2 U' L B F L2 U
F2 U' L' B U D L2
F2 U' L' B U2 B2 U'
F2 U' L' B D U L2
F2 U' L' B D2 F2 U
F2 U' B L F L2 U
F2 U' B L' U2 B' U'
B U2 L' R U' L2 F2
B U2 L' R U' F2 L2
B U2 L2 R U' L' F2
B U2 R L' U' L2 F2
B U2 R L' U' F2 L2
B U2 R L2 U' L' F2
B U2 R U' L F2 D
B U2 R U' L F2 D'
B U2 R U' L F2 D2
B U2 R U' L' F2 L2
B U2 R U' F' L F'
B U2 R U' F2 L D
B U2 R U' F2 L D'
B U2 R U' F2 L D2
B U2 R U' F2 D L
B U2 R U' F2 D' L
B U2 R U' F2 D2 L
B U2 R D' L2 U' L'
B U2 D' L2 R U' L'
B U2 D' R L2 U' L'
B D R2 U2 R' U' L
B D F2 L' R2 U L2
B D F2 R2 L' U L2
U2 F' B U L' F' B'
U2 F' B U L' B' F'
U F' B U F' L' B'
B D' U2 L2 R U' L'
B D' U2 R L2 U' L'
D F2 L' B R2 U L
F D' B U F L B'
U F2 U' L' B U L
U F2 U' B L' U L2
D F2 B L' R2 U L2
D F2 B R2 L' U L2
L' B R U' L F2 R
L2 B R U' L F2 R
L B R U' L F2 R
D B R2 U2 R' U' L
L' B U F2 L D' B2
L2 B U F2 L D' B2
U' B U2 R B U' F2
D' B U2 L2 R U' L'
D' B U2 R L2 U' L'
L' B U2 R U' L F2
L' B U2 R U' F2 L
F2 B L D' B2 D' R2
L B U F2 L D' B2
F2 B L B2 D' R2 B2
F2 B L B2 D' B2 R2
L2 B U2 R U' L F2
L2 B U2 R U' F2 L
F2 B L' U L2 D F2
F2 B L' D F2 U F2
F2 B L' F U L2 F'
F2 B L' F U F' L2
F2 B L' F' U F L2
F2 B L' F2 U L2 F2
F2 B L' F2 U F2 L2
F' B L2 U L' F' B'
F' B L2 U L' B' F'
L B U2 R U' L F2
L B U2 R U' F2 L
F' B U L F' D2 B2
F' B U L' F' B' L2
F' B U L' B' L2 F'
F' B U L' B' F' L2
U2 B F' U L' F' B'
U2 B F' U L' B' F'
F' B U F' L' B' L2
D B F2 L' R2 U L2
B F U D' F L B'
U B F' U F' L' B'
B F U F L D' B2
D B F2 R2 L' U L2
F B U D' F L B'
F B U F L D' B2
B F D' U F L B'
F B D' U F L B'
F2 B' L D' B2 L R2
F2 B' L D' B2 R2 L
B F' L2 U L' F' B'
B F' L2 U L' B' F'
B F' U L F' D2 B2
B F' U L' F' B' L2
B F' U L' B' L2 F'
B F' U L' B' F' L2
F2 B' U' L' B2 U L
B F' U F' L' B' L2
F2 B' U' B2 L' U L2
B' F2 L D' B2 L R2
B' F2 L D' B2 R2 L
B F2 L D' B2 D' R2
B F2 L B2 D' R2 B2
B F2 L B2 D' B2 R2
B F2 L' U L2 D F2
B F2 L' D F2 U F2
B F2 L' F U L2 F'
B F2 L' F U F' L2
B F2 L' F' U F L2
B F2 L' F2 U L2 F2
B F2 L' F2 U F2 L2
B' F2 U' L' B2 U L
B' F2 U' B2 L' U L2
B2 F2 U' B' L' U L2
F2 B2 U' B' L' U L2
