R2 L' U' R' F L'
R2 L' U' F L' R'
R2 L' U' F R' L'
L' R2 U' R' F L'
L' R2 U' F L' R'
L' R2 U' F R' L'
R2 U' L' R' F L'
R2 U' L' F L' R'
R2 U' L' F R' L'
R2 U' R' L' F L'
R2 U' R' F L' F
R2 U' F L' R' F
R2 U' F L' F R'
R2 U' F R' L' F
R2 F U' L' R' F
R2 F U' L' F R'
R2 F U' R' L' F
L' R U R U' F L'
R2 L U' L2 R' F L'
R2 L U' L2 F L' R'
R2 L U' L2 F R' L'
R2 L U' R' L2 F L'
L' R F L2 D' L B'
L' R F D' L B' L2
R L' U R U' F L'
R2 L' U' R F L' R2
R2 L' U' R F R2 L'
R2 L' U' R' F L' D
R2 L' U' R' F L' D'
R2 L' U' R' F L' D2
R2 L' U' R' F D L'
R2 L' U' R' F D' L'
R2 L' U' R' F D2 L'
R2 L' U' F L' R' D
R2 L' U' F L' R' D'
R2 L' U' F L' R' D2
R2 L' U' F L' D R'
R2 L' U' F L' D' R'
R2 L' U' F L' D2 R'
R2 L' U' F R' L' D
R2 L' U' F R' L' D'
R2 L' U' F R' L' D2
R2 L' U' F R' D L'
R2 L' U' F R' D' L'
R2 L' U' F R' D2 L'
R2 L' U' F D L' R'
R2 L' U' F D R' L'
R2 L' U' F D' L' R'
R2 L' U' F D' R' L'
R2 L' U' F D2 L' R'
R2 L' U' F D2 R' L'
B' L' R2 U' R' F L'
B' L' R2 U' F L' R'
B' L' R2 U' F R' L'
U' L' R2 U' R' F L'
U' L' R2 U' F L' R'
U' L' R2 U' F R' L'
U2 L' R2 U' R' F L'
U2 L' R2 U' F L' R'
U2 L' R2 U' F R' L'
B2 L' R2 U' R' F L'
B2 L' R2 U' F L' R'
B2 L' R2 U' F R' L'
B L' R2 U' R' F L'
B L' R2 U' F L' R'
B L' R2 U' F R' L'
U L' R2 U' R' F L'
U L' R2 U' F L' R'
U L' R2 U' F R' L'
R L' F L2 D' L B'
R L' F D' L B' L2
R2 L' F' U' F2 L' R'
R2 L' F' U' F2 R' L'
L' R2 U' R F L' R2
L' R2 U' R F R2 L'
