F' L U L2 R' F
F' L U L2 F R'
F' L U R' L2 F
F' L' R' D' F B2
F' L' R' D' B2 F
F' L' R' F D' B2
F' L' D' R' F B2
F' L' D' R' B2 F
F' L' D' F R' B2
F' L' F R' D' B2
F' L' F D' R' B2
F' R' L' D' F B2
F' R' L' D' B2 F
F' R' L' F D' B2
R' F' L' D' F B2
R' F' L' D' B2 F
R' F' L' F D' B2
F' L R U L2 R2 F
F' L R U L2 F R2
F' L R U R2 L2 F
F' L R2 U L2 R F
F' L R2 U R L2 F
F' L U L2 R F R2
F' L U L2 R' D F
F' L U L2 R' D' F
F' L U L2 R' D2 F
F' L U L2 R' F D
F' L U L2 R' F D'
F' L U L2 R' F D2
F' L U L2 D R' F
F' L U L2 D F R'
F' L U L2 D' R' F
F' L U L2 D' F R'
F' L U L2 D2 R' F
F' L U L2 D2 F R'
F' L U L2 F R' D
F' L U L2 F R' D'
F' L U L2 F R' D2
F' L U L2 F D R'
F' L U L2 F D' R'
F' L U L2 F D2 R'
F' L U L2 F' R' F2
F' L U R L2 F R2
F2 L U L2 R' F L'
F2 L U L2 F L' R'
F' L U R' L2 D F
F' L U R' L2 D' F
F' L U R' L2 D2 F
F2 L U L2 F R' L'
F' L U R' L2 F D
F' L U R' L2 F D'
F' L U R' L2 F D2
F' L U R' F L2 F
F' L U R' F' L2 F
F' L U R' F2 L2 F
F2 L U R' L2 F L'
F L U R' D2 L2 F
F' L U F L2 R' F
F' L U F L2 F R'
F' L U F R' L2 F
F' L U F' L2 R' F
F' L U F' L2 F R'
F' L U F' R' L2 F
F' L U F2 L2 R' F
F' L U F2 L2 F R'
F' L U F2 R' L2 F
F L U' R B' U2 R2
L' R F R2 D' B2 L
F' L F U L2 R' F
F' L F U L2 F R'
F' L F U R' L2 F
D L F' R U L' R2
D L F' R U R2 L'
F' L F' U L2 R' F
F' L F' U L2 F R'
F' L F' U R' L2 F
F' L F2 U L2 R' F
F' L F2 U L2 F R'
F' L F2 U R' L2 F
F' L' R F R2 D' B2
F' L' R' D' F B2 D
F' L' R' D' F B2 D'
F' L' R' D' F B2 D2
F' L' R' D' B2 D F
F' L' R' D' B2 D' F
F' L' R' D' B2 D2 F
F' L' R' D' B2 F D
F' L' R' D' B2 F D'
F' L' R' D' B2 F D2
F' L' R' D2 F D B2
F' L' R' F U' L2 U
F' L' R' F D' B2 D
F' L' R' F D' B2 D'
F' L' R' F D' B2 D2
F' L' R' F B D' B2
F' L' R' F B' D' B2
F' L' R' F B2 D' B2
U' L' R' F D' L2 B2
U' L' R' F D' B2 L2
F2 L' R' F D' L' B2
F2 L' R' F D' B2 L'
F' L' R' F2 D' F' B2
F' L' R' F2 D' B2 F'
F' L' R' B D' F B2
F' L' R' B D' B2 F
F' L' R' B F D' B2
F' L' R' B' D' F B2
F' L' R' B' D' B2 F
F' L' R' B' F D' B2
F' L' R' B2 D' F B2
F' L' R' B2 D' B2 F
F' L' R' B2 F D' B2
F' L' R2 D' R F B2
F' L' R2 D' R B2 F
R' L' D' F' L' F2 B2
R' L' D' F' L' B2 F2
F' L' R2 D' B2 R F
L' R' D' F' L' F2 B2
L' R' D' F' L' B2 F2
R' L' D' F' B2 L' F2
L' R' D' F' B2 L' F2
R' L' D' B2 F' L' F2
L' R' D' B2 F' L' F2
R L' F R2 D' B2 L
F' L' D R' D2 F B2
F' L' D R' D2 B2 F
F' L' D' R F R2 B2
F' L' D' R F B2 R2
F' L' D' R B2 R2 F
F' L' D' R B2 F R2
F' L' D' R' F B2 D
F' L' D' R' F B2 D'
F' L' D' R' F B2 D2
F' L' D' R' B2 D F
F' L' D' R' B2 D' F
F' L' D' R' B2 D2 F
F' L' D' R' B2 F D
F' L' D' R' B2 F D'
F' L' D' R' B2 F D2
F' L' D' R2 B2 R F
F' L' D' F R B2 R2
F' L' D' F R' B2 D
F' L' D' F R' B2 D'
F' L' D' F R' B2 D2
F' L' D' F R2 B2 R
F' L' D' F' R' F2 B2
F' L' D' F' R' B2 F2
