U L2 R' B' L
L2 U R' B' L
U R' L2 B' L
U L R' B' L B'
U L2 R B' L R2
U L2 R B' R2 L
U L2 R' B' L D
U L2 R' B' L D'
U L2 R' B' L D2
U L2 R' B' D L
U L2 R' B' D' L
U L2 R' B' D2 L
U L2 R2 B' L R
U L2 R2 B' R L
U' L2 U2 R' B' L
L U L R' B' L
L2 U R B' L R2
L2 U R B' R2 L
L U R' L B' L
L2 U R' B' L D
L2 U R' B' L D'
L2 U R' B' L D'
L2 U R' B' L D2
L2 U R' B' D L
L2 U R' B' D' L
L2 U R' B' D2 L
L U R' B' L B'
L2 U R2 B' L R
L2 U R2 B' R L
U R L2 B' L R2
U R L2 B' R2 L
U R' L B' L B'
U R' L2 B' L D
U R' L2 B' L D'
U R' L2 B' L D2
U R' L2 B' D L
U R' L2 B' D' L
U R' L2 B' D2 L
U R' B' L2 B' L'
U R2 L2 B' L R
U R2 L2 B' R L
D2 U' F U2 L' R'
D2 U' F U2 R' L'
U' D2 F U2 L' R'
U' D2 F U2 R' L'
L2 F U R' B' L
L2 F' U R' B' L
L2 F2 U R' B' L
U L R B' L R2 B'
U L R B' L B' R2
U L R B' R2 L B'
U L R' B' L D B'
U L R' B' L D' B'
U L R' B' L D2 B'
U L R' B' L B' D
U L R' B' L B' D'
U L R' B' L B' D2
U L R2 B' L R B'
U L R2 B' L B' R
U L R2 B' R L B'
U' L U2 L R' B' L
U' L U2 R' L B' L
U' L U2 R' B' L B'
U L B' L B R' B2
L2 R' U' R U B' L
U L' R' B' L' B' L2
L2 R' F2 B' L D F2
L2 R' B' L U' R U
L2 R' B' U' R U L
L2 R' B' F2 L D F2
D L' F L' U R' B'
R' L2 U' R U B' L
U' L2 R U2 R2 B' L
U' L2 R U2 B' L R2
U' L2 R U2 B' R2 L
U' L2 R B' L R2 F'
U' L2 R B' R2 L F'
U' L2 R B' R2 F' L
U L2 R B' L R2 D
U L2 R B' L R2 D'
U L2 R B' L R2 D2
U L2 R B' R2 L D
U L2 R B' R2 L D'
U L2 R B' R2 L D2
U L2 R B' R2 D L
U L2 R B' R2 D' L
U L2 R B' R2 D2 L
U2 L2 R' B' D L F2
U2 L2 R' B' D F2 L
U L2 R' F B' L F'
U' L2 R2 U2 R B' L
U' L2 R2 U2 B' L R
U' L2 R2 U2 B' R L
U L2 R' F2 B' L F2
U L2 R' B L B2 L
U L2 R' B L' B2 L
U L2 R' B L2 B2 L
U L2 R' B' L2 D L'
U L2 R' B' L2 D' L'
U L2 R' B' L2 D2 L'
U L2 R' B' D L D
U L2 R' B' D L D'
U L2 R' B' D L D2
U L2 R' B' D' L D
U L2 R' B' D' L D'
U L2 R' B' D' L D2
U L2 R' B' D2 L D
U L2 R' B' D2 L D'
U L2 R' B' D2 L D2
U L2 R' B' F L F'
U L2 R' B' F2 L F2
U L2 R' B2 L B L
U L2 R' B2 L' B L
U L2 R' B2 L2 B L
U L2 R' B2 D B L
U L2 R' B2 D' B L
U L2 R' B2 D2 B L
D2 L2 U R' D2 B' L
D' L2 U R' B' D L2
D' L2 U D R' B' L
U L2 R2 B' L R D
U L2 R2 B' L R D'
U L2 R2 B' L R D2
U L2 R2 B' L D R
U L2 R2 B' L D' R
U L2 R2 B' L D2 R
U L2 R2 B' R L D
U L2 R2 B' R L D'
U L2 R2 B' R L D2
U L2 R2 B' R D L
U L2 R2 B' R D' L
U L2 R2 B' R D2 L
D2 L2 U D2 R' B' L
U L2 R2 B' D L R
U L2 R2 B' D R L
U L2 R2 B' D' L R
U L2 R2 B' D' R L
U L2 R2 B' D2 L R
U L2 R2 B' D2 R L
D L2 U R' B L B2
B' L2 U B L' R' B2
B' L2 U B R' L' B2
B' L2 U B R' B2 L'
B' L2 U B' L' D2 R2
R' L2 F2 B' L D F2
U' L2 U2 R B' L R2
U' L2 U2 R B' R2 L
R' L2 B' L U' R U
U' L2 U2 R' B' L D
U' L2 U2 R' B' L D'
U' L2 U2 R' B' L D2
U' L2 U2 R' B' D L
U' L2 U2 R' B' D' L
U' L2 U2 R' B' D2 L
U' L2 U2 R2 B' L R
U' L2 U2 R2 B' R L
L2 R2 B' L D' R F2
R' L2 B' U' R U L
R2 L2 B' L D' R F2
R' L2 B' F2 L D F2
D' L2 D U R' B' L
L2 R2 B' D' L R F2
L2 R2 B' D' R L F2
L2 R2 B' D' R F2 L
R2 L2 B' D' L R F2
R2 L2 B' D' R L F2
R2 L2 B' D' R F2 L
U L2 D R' D' B' L
L U L R B' L R2
L U L R B' R2 L
U L2 D' R' B' D L2
L U L R' B' L D
L U L R' B' L D'
L U L R' B' L D2
L U L R' B' D L
L U L R' B' D' L
L U L R' B' D2 L
L U L R2 B' L R
L U L R2 B' R L
D2 L2 D2 U R' B' L
L2 U L' R' B' L B'
U L2 D2 R' D2 B' L
D2 L2 F U R' B' L'
U' L2 F U2 R' B' L
U' L2 F' U2 R' B' L
U L2 F' R' F B' L
U L2 F' R' B' F L
L U R L B' L R2
L U R L B' R2 L
U' L2 F2 U2 R' B' L
L2 U R B' L R2 D
L2 U R B' L R2 D'
L2 U R B' L R2 D2
L2 U R B' R2 L D
L2 U R B' R2 L D'
L2 U R B' R2 L D2
L2 U R B' R2 D L
L2 U R B' R2 D' L
L2 U R B' R2 D2 L
L U R B' L R2 B'
L2 U R' L' B' L B'
L U R B' L B' R2
L U R B' R2 L B'
U L2 F2 R' F2 B' L
U L2 F2 R' B' L F2
U L2 F2 R' B' F2 L
L U R' L B' L D
L U R' L B' L D'
L U R' L B' L D2
L U R' L B' D L
L U R' L B' D' L
L U R' L B' D2 L
L2 U R' F B' L F'
B' L2 B U L' R' B2
B' L2 B U R' L' B2
B' L2 B U R' B2 L'
L2 U R' F2 B' L F2
L2 U R' B L B2 L
L2 U R' B L' B2 L
L2 U R' B L2 B2 L
L2 U R' B' L2 D L'
L2 U R' B' L2 D' L'
L2 U R' B' L2 D2 L'
L2 U R' B' D L D
L2 U R' B' D L D'
L2 U R' B' D L D2
L2 U R' B' D' L D
L2 U R' B' D' L D'
L2 U R' B' D' L D2
L2 U R' B' D2 L D
L2 U R' B' D2 L D'
L2 U R' B' D2 L D2
L2 U R' B' F L F'
L2 U R' B' F2 L F2
L2 U R' B2 L B L
L2 U R' B2 L' B L
L2 U R' B2 L2 B L
L2 U R' B2 D B L
L2 U R' B2 D' B L
L2 U R' B2 D2 B L
L U R' B' L D B'
L U R' B' L D' B'
L U R' B' L D2 B'
L U R' B' L B' D
L U R' B' L B' D'
L U R' B' L B' D2
L U R2 L B' L R
L U R2 L B' R L
L2 U R2 B' L R D
L2 U R2 B' L R D'
L2 U R2 B' L R D2
L2 U R2 B' L D R
L2 U R2 B' L D' R
L2 U R2 B' L D2 R
L2 U R2 B' R L D
L2 U R2 B' R L D'
L2 U R2 B' R L D2
L2 U R2 B' R D L
L2 U R2 B' R D' L
L2 U R2 B' R D2 L
L2 U R2 B' D L R
L2 U R2 B' D R L
L2 U R2 B' D' L R
L2 U R2 B' D' R L
L2 U R2 B' D2 L R
L2 U R2 B' D2 R L
U L2 B' L B R' B'
L U R2 B' L R B'
L U R2 B' L B' R
L U R2 B' R L B'
L2 U D R' D' B' L
B L2 B2 U L B R'
L2 U D' R' B' D L2
L2 U D2 R' D2 B' L
U R L B' L R2 B'
U R L B' L B' R2
U R L B' R2 L B'
U' R L2 U2 R2 B' L
U' R L2 U2 B' L R2
U' R L2 U2 B' R2 L
U' R L2 B' L R2 F'
U' R L2 B' R2 L F'
U' R L2 B' R2 F' L
L2 U F' R' F B' L
L2 U F' R' B' F L
U R L2 B' L R2 D
U R L2 B' L R2 D'
U R L2 B' L R2 D2
U R L2 B' R2 L D
U R L2 B' R2 L D'
U R L2 B' R2 L D2
U R L2 B' R2 D L
U R L2 B' R2 D' L
U R L2 B' R2 D2 L
L2 U F2 R' F2 B' L
L2 U F2 R' B' L F2
L2 U F2 R' B' F2 L
U2 R U' L2 R2 B' L
