L' R U D B' L2
L R U D L2 B'
R L U D L2 B'
L' R U2 B2 U' B
L' R D U B' L2
L R D U L2 B'
R L D U L2 B'
L' R D2 F2 U B'
R L' U D B' L2
D L' R U B' L'
D2 L' R F2 U B'
R L' U2 B2 U' B
R L' D U B' L2
R L' D2 F2 U B'
D R L' U B' L'
D2 R L' F2 U B'
D2 R F2 L' U B'
R U2 R B2 U' B'
R U2 B2 R U' B
L' D R U B' L2
R D L' U B' L'
L D R U L2 B'
L' D2 R F2 U B'
R D2 L' F2 U B'
B2 U2 R B2 U B'
R D2 F2 L' U B'
B2 U2 B2 R U B
B2 D2 F2 L' U' B'
L' R U L2 D L2 B'
D2 L R U D' L2 B'
L2 R U L D B' L2
D' L R U' R F U2
D L R U L2 B' L'
L2 R U L' D L2 B'
D L R U' F U2 L
L R U L2 D B' L2
L' R U D B L2 B2
L' R U D B' L2 D
L' R U D B' L2 D'
L' R U D B' L2 D2
L' R U D B2 L2 B
D2 L R D' U L2 B'
L' R U D' B' D2 L2
L' R U D2 B' D' L2
R L U L2 D B' L2
L R U D L2 D B'
L R U D L2 D' B'
L R U D L2 D2 B'
L R U D L2 B' D
L R U D L2 B' D'
L R U D L2 B' D2
L R U D B L2 B'
L R U D B' L2 B'
L R U D B2 L2 B'
D2 L R F2 U' F' U2
R L U D L2 D B'
R L U D L2 D' B'
R L U D L2 D2 B'
R L U D L2 B' D
R L U D L2 B' D'
R L U D L2 B' D2
R L U D B L2 B'
R L U D B' L2 B'
R L U D B2 L2 B'
L' R U B' U B' U'
L' R U' D' R2 U2 B'
D2 L R' F2 R2 U B
L R U' D F U2 L2
L R U' D' R2 F U2
L R U' D' F R2 U2
L R U' F U' B2 U'
L R U' F U2 D L2
L R U' F D U2 L2
L R U' F D' R2 U2
R L U' D F U2 L2
R L U' D' R2 F U2
R L U' D' F R2 U2
R L U' F U' B2 U'
R L U' F U2 D L2
R L U' F D U2 L2
R L U' F D' R2 U2
L' R U2 R B2 U' B
L' R U2 R' B2 U' B
L' R U2 R2 B2 U' B
L' R U2 B2 U' D B
L' R U2 B2 U' D' B
L' R U2 B2 U' D2 B
L' R U2 B2 U' B D
L' R U2 B2 U' B D'
L' R U2 B2 U' B D2
L' R U2 B2 D U' B
L' R U2 B2 D' U' B
L' R U2 B2 D2 U' B
F2 L U D L2 F2 B'
F2 L U D L2 B' F2
L R U2 B2 U F U2
L R D L U L B'
R L U2 B2 U F U2
L' R D U B L2 B2
R L D L U L B'
L' R D U B' L2 D
L' R D U B' L2 D'
L' R D U B' L2 D2
L' R D U B2 L2 B
R2 L D R' U L2 B'
L' R D F U B' L2
L R D U L2 D B'
L R D U L2 D' B'
L R D U L2 D2 B'
L R D U L2 B' D
L R D U L2 B' D'
L R D U L2 B' D2
L' R D F' U B' L2
L R D U B L2 B'
L R D U B' L2 B'
L R D U B2 L2 B'
L' R D F2 U B' L2
L R D U' F U2 L2
L2 R D F L' U L'
R L D U L2 D B'
R L D U L2 D' B'
R L D U L2 D2 B'
R L D U L2 B' D
R L D U L2 B' D'
R L D U L2 B' D2
R L D U B L2 B'
R L D U B' L2 B'
R L D U B2 L2 B'
R L D U' F U2 L2
L' R D' U B' D2 L2
L' R D' U' R2 U2 B'
L R D' U' R2 F U2
L R D' U' F R2 U2
R L D' U' R2 F U2
R L D' U' F R2 U2
F2 L U2 L2 B2 U' B
L R D2 L2 F2 U B'
L' R D2 U B' D' L2
R L D2 L2 F2 U B'
F2 L U2 B2 L2 U' B'
L' R D2 F2 U D B'
L' R D2 F2 U D' B'
L' R D2 F2 U D2 B'
L' R D2 F2 U B' D
L' R D2 F2 U B' D'
L' R D2 F2 U B' D2
L' R D2 F2 D U B'
L' R D2 F2 D' U B'
L' R D2 F2 D2 U B'
L R D2 F2 U' F' U2
R L D2 F2 U' F' U2
F2 L D U L2 F2 B'
F2 L D U L2 B' F2
L' R F U D B' L2
L' R F U2 B2 U' B
L' R F D U B' L2
L' R F D2 F2 U B'
D2 L D' R U L2 B'
L R F U2 B2 U' B2
R L F U2 B2 U' B2
L' R F' U D B' L2
L' R F' U2 B2 U' B
L' R F' D U B' L2
D' L D2 R U L2 B'
L' R F' D2 F2 U B'
L R F' D2 F2 U B2
R L F' D2 F2 U B2
L' R F2 U D B' L2
F2 L D2 F2 R2 U B
L' R F2 U2 B2 U' B
L' R F2 D U B' L2
L' R F2 D2 F2 U B'
R L' U L2 D L2 B'
L' R' U D B' L2 F
R' L' U D B' L2 F
R L' U D B L2 B2
R L' U D B' L2 D
R L' U D B' L2 D'
R L' U D B' L2 D2
R L' U D B2 L2 B
R L' U D' B' D2 L2
R L' U D2 B' D' L2
R L' U B' U B' U'
R L' U' D' R2 U2 B'
R L' U2 R B2 U' B
D2 L' R U D' B' L2
D2 L' R U B' D' L2
R L' U2 R' B2 U' B
D' L' R U' R U2 B'
R L' U2 R2 B2 U' B
D L' R U D B' L'
D L' R U D' B' L'
D L' R U D2 B' L'
D L' R U B L' B2
D L' R U B' L' D
D L' R U B' L' D'
D L' R U B' L' D2
D L' R U B' D L'
D L' R U B' D' L'
D L' R U B' D2 L'
D L' R U B2 L' B
D2 L' R D' U B' L2
D L' R D U B' L'
D L' R D' U B' L'
R2 L' U2 B2 L U' B
D2 L' R F2 U D B'
D2 L' R F2 U D' B'
D2 L' R F2 U D2 B'
D2 L' R F2 U B' D
D2 L' R F2 U B' D'
D2 L' R F2 U B' D2
D2 L' R F2 D U B'
D2 L' R F2 D' U B'
D2 L' R F2 D2 U B'
D L' R D2 U B' L'
D' L' R F2 U B' L'
R L' U2 B2 U' D B
R L' U2 B2 U' D' B
R L' U2 B2 U' D2 B
R L' U2 B2 U' B D
R L' U2 B2 U' B D'
R L' U2 B2 U' B D2
R L' U2 B2 D U' B
R L' U2 B2 D' U' B
R L' U2 B2 D2 U' B
R' L' D U B' L2 F
L' R' D U B' L2 F
R2 L' D R' U B' L2
R L' D U B L2 B2
R L' D U B' L2 D
R L' D U B' L2 D'
R L' D U B' L2 D2
R L' D U B2 L2 B
R L' D F U B' L2
D2 L' R' F2 R2 U B'
R L' D F' U B' L2
R L' D F2 U B' L2
D2 L' R2 F2 R' U B'
R L' D' U B' D2 L2
R L' D' U' R2 U2 B'
R2 L' D2 R' F2 U B'
R L' D2 U B' D' L2
R2 L' D2 F2 R' U B'
R L' D2 F2 U D B'
R L' D2 F2 U D' B'
R L' D2 F2 U D2 B'
R L' D2 F2 U B' D
R L' D2 F2 U B' D'
R L' D2 F2 U B' D2
R L' D2 F2 D U B'
R L' D2 F2 D' U B'
R L' D2 F2 D2 U B'
R L' F U D B' L2
R L' F U2 B2 U' B
R L' F D U B' L2
R L' F D2 F2 U B'
B2 L' U2 R B2 U B
R L' F' U D B' L2
R L' F' U2 B2 U' B
R L' F' D U B' L2
R L' F' D2 F2 U B'
D L' D R U B' L'
R L' F2 U D B' L2
R L' F2 U2 B2 U' B
R L' F2 D U B' L2
R L' F2 D2 F2 U B'
D2 L' D' R U B' L2
D' L' D' R F2 U B'
D L' D' R U B' L'
D' L' D2 R U B' L2
D L' D2 R U B' L'
R L2 U L D B' L2
R L2 U L' D L2 B'
L' R2 U2 B2 L U' B
L2 R2 U2 B2 L U' B'
R2 L2 U2 B2 L U' B'
L' R2 D R' U B' L2
L R2 D R' U L2 B'
R L2 D F L' U L'
F2 L' B2 U' D' B R2
F2 L' B2 U2 B2 U B'
F2 L' B2 D' U' B R2
F2 L' B2 D2 F2 U' B
L' R2 D2 R' F2 U B'
D2 L2 R F2 L U B'
L2 R2 D2 R' F2 U B
R2 L2 D2 R' F2 U B
L' R2 D2 F2 R' U B'
L2 R2 D2 F2 R' U B
R2 L2 D2 F2 R' U B
F2 L2 U2 L B2 U' B
D2 R L U D' L2 B'
D' R L U' R F U2
D2 R L D' U L2 B'
D R L U L2 B' L'
D2 R L F2 U' F' U2
D R L U' F U2 L
D2 R L' U D' B' L2
D2 R L' U B' D' L2
D' R L' U' R U2 B'
D2 R L' D' U B' L2
D R L' U D B' L'
D R L' U D' B' L'
D R L' U D2 B' L'
D R L' U B L' B2
D R L' U B' L' D
D R L' U B' L' D'
D R L' U B' L' D2
D R L' U B' D L'
D R L' U B' D' L'
D R L' U B' D2 L'
D R L' U B2 L' B
D2 R L' F2 U D B'
D2 R L' F2 U D' B'
D2 R L' F2 U D2 B'
D2 R L' F2 U B' D
D2 R L' F2 U B' D'
D2 R L' F2 U B' D2
D2 R L' F2 D U B'
D2 R L' F2 D' U B'
D2 R L' F2 D2 U B'
D' R L' F2 U B' L'
D R L' D U B' L'
D R L' D' U B' L'
D R L' D2 U B' L'
D2 R L2 F2 L U B'
U2 R U' D B L2 F
D R U2 R U' L2 B
D R U2 R U' B L2
D R D L' F2 U B'
R U B' U R' B' U'
U2 R D U' B L2 F
D2 R D' L' U B' L'
D R D F2 L' U B'
D R F L' U B' L'
D2 R F' L' F' U B'
D R F' L' U B' L'
D2 R F2 L U' F U2
D' R F2 L U L2 B'
D2 R F2 L' U D B'
D2 R F2 L' U D' B'
D2 R F2 L' U D2 B'
D2 R F2 L' U B' D
D2 R F2 L' U B' D'
D2 R F2 L' U B' D2
D2 R F2 L' D U B'
D2 R F2 L' D' U B'
D2 R F2 L' D2 U B'
D' R F2 L2 U L B'
D2 R F2 U2 R U' B
D R F2 L' U B' L'
D2 R F2 D L' U B'
D2 R F2 D' L' U B'
D2 R F2 D2 L' U B'
D2 R' L F2 R2 U B
D2 R' L' F2 R2 U B'
R U' F U' R B2 U'
R U' F U' B2 R U'
D2 R' F2 L' R2 U B'
D2 R' F2 R2 L' U B'
R U2 R U' D L2 B
R U2 R U' D B L2
R U2 R D U' L2 B
R U2 R D U' B L2
R U2 R B2 R U' B'
R U2 R B2 R' U' B'
R U2 R B2 R2 U' B'
R U2 R B2 U' D B'
R U2 R B2 U' D' B'
R U2 R B2 U' D2 B'
R U2 R B2 U' B' D
R U2 R B2 U' B' D'
R U2 R B2 U' B' D2
R U2 R B2 D U' B'
R U2 R B2 D' U' B'
R U2 R B2 D2 U' B'
L' U2 R2 B2 L U' B
R U2 R' B2 R2 U' B
R U2 R' B2 U F' U2
L2 U2 R2 B2 L U' B'
R U2 R2 B2 R' U' B
R U2 D R U' L2 B
R U2 D R U' B L2
U2 R' B2 U2 R2 U B
D2 R2 L' F2 R' U B'
D' R2 U R' U R B
R U2 B' R B' U' B2
R2 U2 B2 L R U' B
R2 U2 B2 R L U' B
R U2 B2 R U' D B
R U2 B2 R U' D' B
R U2 B2 R U' D2 B
R U2 B2 R U' B D
R U2 B2 R U' B D'
R U2 B2 R U' B D2
R U2 B2 R D U' B
R U2 B2 R D' U' B
R U2 B2 R D2 U' B
R U2 B2 R' U F' U2
R U2 B2 U2 L' U B'
R U2 B2 D R U' B
R U2 B2 D' R U' B
R U2 B2 D2 R U' B
L D L R U L B'
R D L U L2 B' L'
R D L U' F U2 L
R2 D L' R' U B' L'
R D L' U D B' L'
R D L' U D' B' L'
R D L' U D2 B' L'
R D L' U B L' B2
R D L' U B' L' D
R D L' U B' L' D'
R D L' U B' L' D2
R D L' U B' D L'
R D L' U B' D' L'
R D L' U B' D2 L'
R D L' U B2 L' B
R D L' D U B' L'
R D L' D' U B' L'
R D L' D2 U B' L'
L' D R U B L2 B2
L' D R U B' L2 D
L' D R U B' L2 D'
L' D R U B' L2 D2
L' D R U B2 L2 B
L' D R D F2 U B'
D2 R2 F2 L' R' U B'
L' D R F U B' L2
D2 R2 F2 R' L' U B'
L' D R F' U B' L2
L' D R F2 U B' L2
L2 D R F L' U L'
L D R L U L B'
L D R U L2 D B'
L D R U L2 D' B'
L D R U L2 D2 B'
L D R U L2 B' D
L D R U L2 B' D'
