B' L U R' U2 B' U'
B' L U' B2 L B U'
B2 L U' B' L F U'
B' L B2 U' L B U'
B R U' L B' U' R2
B R2 U' L B' U' R
B2 U' L F B' L U'
B2 U' L B' F L U'
B2 U' B' L F B' U'
B2 U' B' L B' F U'
B U2 L B' U' B R'
B U2 R' U L B' U'
B2 U2 D L' F L' R
B2 U2 D L' F R L'
B2 U2 D F L' R F
B2 U2 D F R L' F
L' F R2 U B R' F'
B2 D L' U2 F L' R
B2 D L' U2 F R L'
B2 D U2 L' F L' R
B2 D U2 L' F R L'
B2 D U2 F L' R F
B2 D U2 F R L' F
B2 D' R' B L R' U2
B2 D' R' B R' L U2
B2 D' B L R' B U2
B2 D' B R' L B U2
L2 B' L U R' F U
L2 B' L U F R' U
U' B2 L B' U' R' F
U' B2 L B' U' F R'
