F' R F' U' L' R2
F' R F' U' R2 L'
F2 R2 U' L' R B
F2 R2 U' R L' B
F2 R2 U' R B L'
L2 D F2 L' R' B
L2 D F2 R' L' B
L2 D F2 R' B L'
U D R U2 R2 B
U' D R' D2 L2 B
U' D R' D2 B L2
D U R U2 R2 B
U D R F' U2 R2
U' D R' B D2 L2
D U R F' U2 R2
F2 U' L' R B R2
F2 U' R L' B R2
D U' R' D2 L2 B
D U' R' D2 B L2
D U' R' B D2 L2
F2 U' R B L' R2
F2 U' R B R2 L'
F2 U' R B R2 L'
U2 F2 U L' R' B'
U2 F2 U R' L' B'
D F2 U' L' R' B
D F2 U' R' L' B
D F2 U' R' B L'
U' L D R' D2 L2 B
U' L D R' D2 B L2
U' L D R' B D2 L2
U L D R U2 R2 B
U L D R F' U2 R2
U2 L F2 U L' R' B'
U2 L F2 U R' L' B'
U' L' D R' D2 L2 B
U' L' D R' D2 B L2
U' L' D R' B D2 L2
U L' D R U2 R2 B
U L' D R F' U2 R2
U2 L' F2 U L' R' B'
U2 L' F2 U R' L' B'
U' L2 D R' D2 L2 B
U' L2 D R' D2 B L2
U' L2 D R' B D2 L2
D' L2 D F2 L' R' B'
D' L2 D F2 R' L' B'
U L2 D R U2 R2 B
U L2 D R F' U2 R2
U2 L2 F2 U L' R' B'
U2 L2 F2 U R' L' B'
R2 U D R' U2 B R2
L2 U D F2 L' R' B
L2 U D F2 R' L' B
L2 U D F2 R' B L'
F2 R U L' B' R2 F'
F2 R U' L' R B R
F2 R U' R L' B R
F2 R U' R B L' R
F2 R U' R B R L'
U R U' F' R U' R
D R U2 R2 D' F2 B
D R U2 R2 D' B F2
D R U2 R2 B D' F2
F' R U2 B U L R2
F' R U2 B U R2 L
U R U2 R' D R' B
F' R F U R U2 R
F' R F D' F2 U' L'
U R F U L' U R2
F' R F' U' L' R2 D
F' R F' U' L' R2 D'
F' R F' U' L' R2 D2
F' R F' U' R2 L' D
F' R F' U' R2 L' D'
F' R F' U' R2 L' D2
F' R F' U' R2 D L'
F' R F' U' R2 D' L'
F' R F' U' R2 D2 L'
F' R F' B U' L' R2
F' R F' B U' R2 L'
F' R F' B' U' L' R2
F' R F' B' U' R2 L'
D R F' U2 R2 D' F2
F' R F' B2 U' L' R2
F' R F' B2 U' R2 L'
U R F' U' R U' R
F' R B F' U' L' R2
F' R B F' U' R2 L'
F' R B' F' U' L' R2
F' R B' F' U' R2 L'
L2 U' D F2 L' R' B
L2 U' D F2 R' L' B
L2 U' D F2 R' B L'
F' R B2 F' U' L' R2
F' R B2 F' U' R2 L'
R2 U' D' B2 L R B'
R2 U' D' B2 L B' R
R2 U' D' B2 R L B'
R U' F' R U' R F
U' R' D' L D' B' L2
U' R' D' L B' D' L2
U' R' D' L' D' L2 B'
B2 R' D B2 U' R' B
R2 U' B2 R D' L B'
R2 U' B2 D' L R B'
R2 U' B2 D' L B' R
R2 U' B2 D' R L B'
U' R' D2 L D L B'
D R' D2 L2 D F2 B
D R' D2 L2 D B F2
D R' D2 L2 B D F2
D R' D2 B L2 D F2
F' R' F' R2 U' L' R2
F' R' F' R2 U' R2 L'
D R' B D2 L2 D F2
L2 U2 D F2 L' R' B
L2 U2 D F2 R' L' B
L2 U2 D F2 R' B L'
R U2 F L' U L R2
R U2 F L' U R2 L
F2 R2 U' L R B L2
F2 R2 U' L' R D B
F2 R2 U' L' R D' B
F2 R2 U' L' R D2 B
F2 R2 U' L' R B D
F2 R2 U' L' R B D'
F2 R2 U' L' R B D2
F2 R2 U' L' D R B
F2 R2 U' L' D' R B
F2 R2 U' L' D2 R B
F2 R2 U' L' B R B
F2 R2 U' L' B' R B
F2 R2 U' L' B2 R B
F2 R2 U' R L B L2
F2 R2 U' R L' D B
F2 R2 U' R L' D' B
F2 R2 U' R L' D2 B
F2 R2 U' R L' B D
F2 R2 U' R L' B D'
F2 R2 U' R L' B D2
F2 R2 U' R D L' B
F2 R2 U' R D B L'
F2 R2 U' R D' L' B
F2 R2 U' R D' B L'
F2 R2 U' R D2 L' B
F2 R2 U' R D2 B L'
F2 R2 U' R B L' D
F2 R2 U' R B L' D'
F2 R2 U' R B L' D2
F2 R2 U' R B D L'
F2 R2 U' R B D' L'
F2 R2 U' R B D2 L'
F2 R2 U' R B' L' B2
F2 R2 U' D L' R B
F2 R2 U' D R L' B
F2 R2 U' D R B L'
F2 R2 U' D' L' R B
F2 R2 U' D' R L' B
F2 R2 U' D' R B L'
F2 R2 U' D2 L' R B
F2 R2 U' D2 R L' B
F2 R2 U' D2 R B L'
D' R2 U' B2 L R B'
D' R2 U' B2 L B' R
D' R2 U' B2 R L B'
F2 R2 U' B L' R B
F2 R2 U' B R L' B
F2 R2 U' B R B L'
F2 R2 U' B' L' R B
F2 R2 U' B' R L' B
F2 R2 U' B' R B L'
F2 R2 U' B2 L' R B
F2 R2 U' B2 R L' B
F2 R2 U' B2 R B L'
F2 R2 D U' L' R B
F2 R2 D U' R L' B
F2 R2 D U' R B L'
U R2 D R' U2 B R2
F2 R2 D' U' L' R B
F2 R2 D' U' R L' B
F2 R2 D' U' R B L'
U' R2 D' B2 L R B'
U' R2 D' B2 L B' R
U' R2 D' B2 R L B'
L2 D L F2 L' R' B
L2 D L F2 R' L' B
L2 D L F2 R' B L'
F2 R2 D2 U' L' R B
F2 R2 D2 U' R L' B
F2 R2 D2 U' R B L'
L2 D L' F2 L' R' B
L2 D L' F2 R' L' B
L2 D L' F2 R' B L'
L2 D L2 F2 L' R' B
L2 D L2 F2 R' L' B
L2 D L2 F2 R' B L'
L2 D R U2 R2 F2 B
L2 D R U2 R2 B F2
L2 D R F' U2 F' R2
R' D R' B2 U' R B'
R' D R' B2 U' B' R
L2 D R' F2 D2 L2 B
L2 D R' F2 D2 B L2
L2 D R' F2 B D2 L2
F2 R2 B U' L' R B
F2 R2 B U' R L' B
F2 R2 B U' R B L'
L2 D R' B F2 D2 L2
F2 R2 B' U' L' R B
F2 R2 B' U' R L' B
F2 R2 B' U' R B L'
U' R2 B2 R D' L B'
D' R2 B2 U' L R B'
D' R2 B2 U' L B' R
D' R2 B2 U' R L B'
R2 D U R' U2 B R2
L2 D U F2 L' R' B
L2 D U F2 R' L' B
L2 D U F2 R' B L'
U' R2 B2 D' L R B'
U' R2 B2 D' L B' R
U' R2 B2 D' R L B'
F2 R2 B2 U' L' R B
F2 R2 B2 U' R L' B
F2 R2 B2 U' R B L'
D' U L R U2 R2 B'
D' U L R U2 B' R2
U' D L R' D2 L2 B
U' D L R' D2 B L2
U' D L R' B D2 L2
