B L F2 L' U F'
F2 L' B U D2 F2
F2 L' B U' B2 U2
F2 L' B D' R2 U
F2 L' B D2 U F2
B L2 F2 L' U F
L2 F2 L' B U F
L F2 L' B U F'
L2 F2 B L' U F
L F2 B L' U F'
F2 B L' U' B' U2
L2 B F2 L' U F
L B F2 L' U F'
B F2 L' U' B' U2
F2 L D' B U F B
F2 L D' B U B F
F' L F' L' B U F2
F' L F' B L' U F2
B' L F2 L' B2 U F'
B2 L F2 L' B' U F'
B L F2 L' U D F'
B L F2 L' U D' F'
B L F2 L' U D2 F'
B L F2 L' U F' D
B L F2 L' U F' D'
B L F2 L' U F' D2
B L F2 L' D U F'
B L F2 L' D' U F'
B L F2 L' D2 U F'
B L F2 D L' U F'
B L F2 D' L' U F'
B L F2 D2 L' U F'
B' L F2 B2 L' U F'
F2 L B L2 U' B' U2
F2 L B U D' F B2
F2 L B U D' B2 F
F2 L B U F D' B2
F2 L B D' U F B2
F2 L B D' U B2 F
F' L B F' L' U F2
B' L B2 F2 L' U F'
F2 L' R' U' B' U2 R'
F2 L' U' B' U B2 U
F2 L' U' B' U2 D' R2
F2 L' U' B' D L2 U2
F2 L' U' B' D' U2 R2
F2 L' D B U D2 F2
F2 L' D B U' B2 U2
F2 L' D B D' R2 U
F2 L' D B D2 U F2
F2 L' D' B U D2 F2
F2 L' D' B U' B2 U2
F2 L' D' B D' R2 U
F2 L' D' B D2 U F2
F2 L' D2 B U D2 F2
F2 L' D2 B U' B2 U2
F2 L' D2 B D' R2 U
F2 L' D2 B D2 U F2
F2 L' B R U D2 F2
F2 L' B R U' B2 U2
F2 L' B R D' R2 U
F2 L' B R D2 U F2
F2 L' B R' U D2 F2
F2 L' B R' U' B2 U2
F2 L' B R' D' R2 U
F2 L' B R' D2 U F2
F2 L' B R2 U D2 F2
F2 L' B R2 U' B2 U2
F2 L' B R2 D' R2 U
F2 L' B R2 D2 U F2
F2 L' B U D2 F2 D
F2 L' B U D2 F2 D'
F2 L' B U D2 F2 D2
F2 L' B U F D2 F2
F2 L' B U F' D2 F2
F2 L' B U F2 D2 F2
F2 L' B U' B2 U2 D
F2 L' B U' B2 U2 D'
F2 L' B U' B2 U2 D2
F2 L' B U' B2 D U2
F2 L' B U' B2 D' U2
F2 L' B U' B2 D2 U2
F2 L' B U2 D L2 U'
F2 L' B D U2 L2 U'
F2 L' B D' R2 U D
F2 L' B D' R2 U D'
F2 L' B D' R2 U D2
F2 L' B D' R2 D U
F2 L' B D' R2 D' U
F2 L' B D' R2 D2 U
F2 L' B D2 R U F2
F2 L' B D2 R' U F2
F2 L' B D2 R2 U F2
F2 L' B D2 U F2 D
F2 L' B D2 U F2 D'
F2 L' B D2 U F2 D2
F2 L' B2 R2 B' U F'
F2 L2 D' L B R' U
F' L2 F' L' B U F
F' L2 F' B L' U F
B' L2 F2 L' B2 U F
B L2 F2 L' R U F
B L2 F2 L' R' U F
B L2 F2 L' R2 U F
B L2 F2 L' U D F
B L2 F2 L' U D' F
B L2 F2 L' U D2 F
B L2 F2 L' U F D
B L2 F2 L' U F D'
B L2 F2 L' U F D2
B L2 F2 L' D U F
B L2 F2 L' D' U F
B L2 F2 L' D2 U F
B L2 F2 R L' U F
B L2 F2 R' L' U F
B L2 F2 R2 L' U F
B' L2 F2 B2 L' U F
F' L2 B F' L' U F
B' L2 B2 F2 L' U F
L2 U F2 L' B U F
L U F2 L' B U F'
L2 U F2 B L' U F
L U F2 B L' U F'
L2 U B F2 L' U F
L U B F2 L' U F'
F2 R' L' U' B' U2 R'
L2 U' F2 L' B U F
L U' F2 L' B U F'
L2 U' F2 B L' U F
L U' F2 B L' U F'
L2 U' B F2 L' U F
L U' B F2 L' U F'
R U2 R' F2 B U F
R U2 R' B F2 U F
L2 U2 F2 L' B U F
L U2 F2 L' B U F'
L2 U2 F2 B L' U F
R U2 F2 R' B U F'
D R2 U' F' L' R' U'
D R2 U' F' R' L' U'
L U2 F2 B L' U F'
L2 U2 B F2 L' U F
L U2 B F2 L' U F'
B' R2 F2 B2 L U F
B R2 F2 U2 R' U' F'
B' R2 B2 L F2 U F'
B' R2 B2 F2 L U F
B2 U F2 B' L' R' U
B2 U F2 B' R' L' U
B2 U B' F2 L' R' U
B2 U B' F2 R' L' U
F U' F L' B R U
F U' F B L' R U
F U' F B R L' U
F U' B F L' R U
F U' B F R L' U
L F U' F L' B U
L F U' F B L' U
L F U' B F L' U
F2 D L' B U D2 F2
F2 D L' B U' B2 U2
F2 D L' B D' R2 U
F2 D L' B D2 U F2
U' F B R F L' U
F2 D B L' U' B' U2
F2 D' L' B U D2 F2
F2 D' L' B U' B2 U2
F2 D' L' B D' R2 U
F2 D' L' B D2 U F2
U' F2 L' D2 B R' U
L' F2 L' D' B R' U
L2 F2 L' R' U F R
L2 F2 L' D B U F
L2 F2 L' D' B U F
L2 F2 L' D2 B U F
U2 F2 L' B R' U F'
L2 F2 L' B R U F
L2 F2 L' B R' U F
L2 F2 L' B R2 U F
L2 F2 L' B U D F
L2 F2 L' B U D' F
L2 F2 L' B U D2 F
L2 F2 L' B U F D
L2 F2 L' B U F D'
L2 F2 L' B U F D2
L2 F2 L' B D U F
L2 F2 L' B D' U F
L2 F2 L' B D2 U F
L F2 L B L2 U F'
L F2 L' D B U F'
L F2 L' D' B U F'
L F2 L' D2 B U F'
U F2 L' B U2 L U'
L F2 L' B U D F'
L F2 L' B U D' F'
L F2 L' B U D2 F'
L F2 L' B U F' D
L F2 L' B U F' D'
L F2 L' B U F' D2
U F2 L' B' R' B2 U
L F2 L' B D U F'
L F2 L' B D' U F'
L F2 L' B D2 U F'
L2 F2 R' L' U F R
F2 D' B L' U' B' U2
R2 F2 U2 R' F U' F2
R2 F2 U2 F R' U' F'
U' F2 D' L' B U F
F2 D2 L' B U D2 F2
F2 D2 L' B U' B2 U2
F2 D2 L' B D' R2 U
F2 D2 L' B D2 U F2
U' F2 D' B L' U F
U' F2 D2 L' B R' U
L2 F2 D' L' B R' U
L F2 D L' B U F'
U' F2 D2 B L' R' U
U' F2 D2 B R' L' U
L2 F2 D' B L' R' U
L2 F2 D' B R' L' U
L F2 D B L' U F'
L F2 D' L' B U F'
L' F2 B L' U D2 F2
L' F2 B L' U' B2 U2
L' F2 B L' D' R2 U
L' F2 B L' D2 U F2
U' F2 B D' L' U F
L F2 D' B L' U F'
U2 F2 B L' R' U F'
L' F2 B D' L' R2 U
L2 F2 B L' R U F
L2 F2 B L' R' U F
L2 F2 B L' R2 U F
L' F2 B D' R2 L' U
L2 F2 B L' U D F
L2 F2 B L' U D' F
L2 F2 B L' U D2 F
L2 F2 B L' U F D
L2 F2 B L' U F D'
L2 F2 B L' U F D2
L2 F2 B L' D U F
L2 F2 B L' D' U F
L2 F2 B L' D2 U F
L' F2 B D2 L' U F2
L2 F2 B R L' U F
U2 F2 B R' L' U F'
L2 F2 B R' L' U F
L2 F2 B R2 L' U F
L F2 D2 L' B U F'
L2 F2 B' L' B2 U F
L F2 D2 B L' U F'
U F2 B L' U D F2
L F2 B L' U D F'
L F2 B L' U D' F'
L F2 B L' U D2 F'
L F2 B L' U F' D
L F2 B L' U F' D'
L F2 B L' U F' D2
U F2 B L' U2 L2 U'
U F2 B L' D U F2
L F2 B L' D U F'
U F2 B L' D2 R2 U
L F2 B L' D' U F'
L F2 B L' D2 U F'
L F2 B D L' U F'
L F2 B D' L' U F'
L F2 B D2 L' U F'
U F2 B' L' R' B2 U
L F2 B' L' B2 U F'
U F2 B' R' L' B2 U
U F2 B' R' B2 L' U
L2 B L' F2 L' U F'
L B L F2 L' U F
U B L2 F2 L' R U
U B L2 F2 R L' U
F2 D2 B L' U' B' U2
F2 B L U D' F B2
F2 B L U D' B2 F
F2 B L U F D' B2
F' B L F' L' U F2
F2 B L D' U F B2
F2 B L D' U B2 F
F2 B L' R U' B' U2
F2 B L' R' U' B' U2
F2 B L' R2 U' B' U2
F2 B L' U L2 F L2
F2 B L' U' D B' U2
F2 B L' U' D' B' U2
F2 B L' U' D2 B' U2
F2 B L' U' B' U2 D
F2 B L' U' B' U2 D'
F2 B L' U' B' U2 D2
F2 B L' U' B' D U2
F2 B L' U' B' D' U2
F2 B L' U' B' D2 U2
F2 B L' U2 L2 U' F
F2 B L' D U' B' U2
F2 B L' D' U' B' U2
F2 B L' D2 U' B' U2
F' B L2 F' L' U F
F2 B R L' U' B' U2
U' B F R F L' U
F2 B R' L' U' B' U2
F2 B R2 L' U' B' U2
L' B F2 L' U D2 F2
L' B F2 L' U' B2 U2
L' B F2 L' D' R2 U
L' B F2 L' D2 U F2
U' B F2 D' L' U F
L' B F2 D' L' R2 U
L' B F2 D' R2 L' U
L2 B F2 L' R U F
L2 B F2 L' R' U F
L2 B F2 L' R2 U F
L2 B F2 L' U D F
L2 B F2 L' U D' F
U2 B F2 L' R' U F'
L2 B F2 L' U D2 F
L2 B F2 L' U F D
L2 B F2 L' U F D'
L2 B F2 L' U F D2
L' B F2 D2 L' U F2
L2 B F2 L' D U F
L2 B F2 L' D' U F
L2 B F2 L' D2 U F
L2 B F2 R L' U F
L2 B F2 R' L' U F
U2 B F2 R' L' U F'
L2 B F2 R2 L' U F
L B F2 L' U D F'
L B F2 L' U D' F'
