U' L D' F' B' L2
U' L D' B' L2 F'
U' L D' B' F' L2
U2 L F2 U F B'
U2 L F2 U B' F
U' L B' D' L2 F'
U' L B' D' F' L2
U' L' D' L2 F' B'
U' L' D' L2 B' F'
L' U' D' L2 F' B'
L' U' D' L2 B' F'
L U' D' F' B' L2
L U' D' B' L2 F'
L U' D' B' F' L2
L U' B' D' L2 F'
L U' B' D' F' L2
L U2 F2 U F B'
L U2 F2 U B' F
L' D' U' L2 F' B'
L' D' U' L2 B' F'
L D' U' F' B' L2
L D' U' B' L2 F'
L D' U' B' F' L2
L D2 B2 U' F' B
L D2 B2 U' B F'
U2 L U D' F' B' L2
U2 L U D' B' L2 F'
U2 L U D' B' F' L2
U2 L U B' D' L2 F'
U2 L U B' D' F' L2
D' L U' D L F' B'
D' L U' D L B' F'
D' L U' D F' L B'
B' L U' D' F' B' L2
B' L U' D' B' L2 F'
B' L U' D' B' F' L2
B2 L U' D' F' B' L2
B2 L U' D' B' L2 F'
B2 L U' D' B' F' L2
B L U' D' F' B' L2
B L U' D' B' L2 F'
B L U' D' B' F' L2
D' L U' F' D L B'
U' L U' F2 U F B'
U' L U' F2 U B' F
B' L U' B' D' L2 F'
B' L U' B' D' F' L2
B2 L U' B' D' L2 F'
B2 L U' B' D' F' L2
B L U' B' D' L2 F'
B L U' B' D' F' L2
B' L U2 F2 U F B'
B' L U2 F2 U B' F
B2 L U2 F2 U F B'
B2 L U2 F2 U B' F
B L U2 F2 U F B'
B L U2 F2 U B' F
D' L D U' L F' B'
D' L D U' L B' F'
D' L D U' F' L B'
U' L D F' D2 B' L2
U' L D F' B' D2 L2
U' L D B' D2 L2 F'
U' L D B' D2 F' L2
U' L D B' F' D2 L2
U' L D' L2 F' D2 B2
U2 L D' U F' B' L2
U2 L D' U B' L2 F'
U2 L D' U B' F' L2
B' L D' U' F' B' L2
B' L D' U' B' L2 F'
B' L D' U' B' F' L2
B2 L D' U' F' B' L2
B2 L D' U' B' L2 F'
B2 L D' U' B' F' L2
B L D' U' F' B' L2
B L D' U' B' L2 F'
B L D' U' B' F' L2
U' L D' F B' L2 F2
U' L D' F' B L2 B2
U' L D' F' B' L2 D
U' L D' F' B' L2 D'
U' L D' F' B' L2 D2
U' L D' F' B2 L2 B
U' L D' B L2 F' B2
U' L D' B L2 B2 F'
U' L D' B F' L2 B2
U' L D' B' L F' L
U' L D' B' L2 D F'
U' L D' B' L2 D' F'
U' L D' B' L2 D2 F'
U' L D' B' L2 F' D
U' L D' B' L2 F' D'
U' L D' B' L2 F' D2
U' L D' B' F L2 F2
U' L D' B' F' L2 D
U' L D' B' F' L2 D'
U' L D' B' F' L2 D2
U' L D' B2 L2 F' B
U' L D' B2 L2 B F'
U' L D' B2 F' L2 B
U' L D2 F' D B' L2
B' L D2 B2 U' F' B
B' L D2 B2 U' B F'
B2 L D2 B2 U' F' B
B2 L D2 B2 U' B F'
B L D2 B2 U' F' B
B L D2 B2 U' B F'
U' L F' U' F' U B'
U' L F' B' U' F' U
U2 L F2 R U F B'
U2 L F2 R U B' F
U2 L F2 R' U F B'
U2 L F2 R' U B' F
U2 L F2 R2 U F B'
U2 L F2 R2 U B' F
U2 L F2 U D F B'
U2 L F2 U D B' F
U2 L F2 U D' F B'
U2 L F2 U D' B' F
U2 L F2 U D2 F B'
U2 L F2 U D2 B' F
U2 L F2 U F D B'
U2 L F2 U F D' B'
U2 L F2 U F D2 B'
U2 L F2 U F B' D
U2 L F2 U F B' D'
U2 L F2 U F B' D2
U2 L F2 U B' D F
U2 L F2 U B' D' F
U2 L F2 U B' D2 F
U2 L F2 U B' F D
U2 L F2 U B' F D'
U2 L F2 U B' F D2
U2 L F2 D U F B'
U2 L F2 D U B' F
U L F2 U R F B'
U L F2 U R B' F
U L F2 U B' R F
U2 L F2 D' U F B'
U2 L F2 D' U B' F
U2 L F2 D2 U F B'
U2 L F2 D2 U B' F
U' L B' L D' L2 F'
U' L B' L D' F' L2
U' L B' L' D' L2 F'
U' L B' L' D' F' L2
U' L B' L2 D' L2 F'
U' L B' L2 D' F' L2
U' L B' U' F2 U F
U' L B' D F' D2 L2
U' L B' D' L F' L
U' L B' D' L2 D F'
U' L B' D' L2 D' F'
U' L B' D' L2 D2 F'
U' L B' D' L2 F' D
U' L B' D' L2 F' D'
U' L B' D' L2 F' D2
U' L B' D' F L2 F2
U' L B' D' F' L2 D
U' L B' D' F' L2 D'
U' L B' D' F' L2 D2
U' L B' D2 F' D L2
U' L B' F' U' F' U
U' L B2 D' L2 F' B
U' L B2 D' L2 B F'
U' L B2 D' F' L2 B
U' L B2 D' F' B L2
U' L B2 D' B L2 F'
U' L B2 D' B F' L2
U2 L' U D' L2 F' B'
U2 L' U D' L2 B' F'
B' L' U' D' L2 F' B'
B' L' U' D' L2 B' F'
B2 L' U' D' L2 F' B'
B2 L' U' D' L2 B' F'
B L' U' D' L2 F' B'
B L' U' D' L2 B' F'
U' L' D F' D2 L2 B2
U' L' D F' D2 B2 L2
U' L' D' L F' L B'
U' L' D' L2 D F' B'
U' L' D' L2 D B' F'
U' L' D' L2 D' F' B'
U' L' D' L2 D' B' F'
U' L' D' L2 D2 F' B'
U' L' D' L2 D2 B' F'
