B' L' U L2 U L'
B' L' U2 D' L B2
B' L' D F2 U2 L
B' L' D' U2 L B2
D' R' B D2 F2 R
U2 D B' L' F U2
D U2 B' L' F U2
B D2 F2 R D B2
U2 B' L' U L2 U
U2 B' L' U2 D' B2
U2 B' L' D F2 U2
U2 B' L' D' U2 B2
D B' L' F U2 L
B' L' R U L2 U L'
B' L' R U2 D' L B2
B' L' R D F2 U2 L
B' L' R D' U2 L B2
B' L' R' U L2 U L'
B' L' R' U2 D' L B2
B' L' R' D F2 U2 L
B' L' R' D' U2 L B2
B' L' R2 U L2 U L'
B' L' R2 U2 D' L B2
B' L' R2 D F2 U2 L
B' L' R2 D' U2 L B2
B' L' U L2 U L' D
B' L' U L2 U L' D'
B' L' U L2 U L' D2
B' L' U L2 U D L'
B' L' U L2 U D' L'
B' L' U L2 U D2 L'
B' L' U L2 D U L'
B' L' U L2 D' U L'
B' L' U L2 D2 U L'
B' L' U F L2 U L'
B' L' U F' L2 U L'
B' L' U F2 L2 U L'
B' L' U' D2 R2 U' L
B' L' U2 L U' L U
B' L' U2 D L D2 B2
B' L' U2 D' L B2 D
B' L' U2 D' L B2 D'
B' L' U2 D' L B2 D2
B' L' U2 D' L' B2 L2
B' L' U2 D' L2 B2 L'
B' L' U2 D2 L D B2
B' L' U2 B2 D' B2 L
B' L' D R F2 U2 L
B' L' D R' F2 U2 L
B' L' D R2 F2 U2 L
B' L' D U2 L D2 B2
B' L' D F2 R U2 L
B' L' D F2 R' U2 L
B' L' D F2 R2 U2 L
B' L' D F2 U2 L D
B' L' D F2 U2 L D'
B' L' D F2 U2 L D2
B' L' D F2 U2 D L
B' L' D F2 U2 D' L
B' L' D F2 U2 D2 L
B' L' D F2 D U2 L
B' L' D F2 D' U2 L
B' L' D F2 D2 U2 L
B' L' D' R U2 L B2
B' L' D' R' U2 L B2
B' L' D' R2 U2 L B2
B' L' D' U2 L B2 D
B' L' D' U2 L B2 D'
B' L' D' U2 L B2 D2
B' L' D' U2 L' B2 L2
B' L' D' U2 L2 B2 L'
B' L' D' F U2 L B2
B' L' D' F' U2 L B2
B' L' D' F2 U2 L B2
B' L' D2 U' R2 U' L
B' L' D2 U2 L D B2
B' L' F U L2 U L'
B' L' F U2 D' L B2
B' L' F D F2 U2 L
B' L' F D' U2 L B2
D L' F U2 L' F L2
B' L' F' U L2 U L'
B' L' F' U2 D' L B2
B' L' F' D F2 U2 L
B' L' F' D' U2 L B2
B' L' F2 U L2 U L'
B' L' F2 U2 D' L B2
B' L' F2 D F2 U2 L
B' L' F2 D' U2 L B2
B L' B2 R' U L U
D' L2 F B2 L2 R' B
D' L2 F B2 R' L2 B
D' L2 F B2 R' B L2
D' L2 B2 R' F L2 B
D' L2 B2 R' F B L2
D' L2 B2 R' B F L2
D' L2 B2 F L2 R' B
D' L2 B2 F R' L2 B
D' L2 B2 F R' B L2
B' R L' U L2 U L'
B' R L' U2 D' L B2
B' R L' D F2 U2 L
B' R L' D' U2 L B2
D' R U2 B' L' F' U2
F2 R U2 B' U L U
D R U2 B' L' F U2
B R D B2 D F2 R
B R D2 F2 R D' B2
B R D2 F2 D' R B2
B R D2 F2 D' B2 R
D' R B' L' F' U2 L
D R B' L' F U2 L
B' R' L' U L2 U L'
B' R' L' U2 D' L B2
B' R' L' D F2 U2 L
B' R' L' D' U2 L B2
D' R' U2 B' L' U2 B2
D R' U2 B' L' F U2
D' R' D B D2 F2 R
D' R' D' B D2 F2 R
D' R' D2 B D2 F2 R
D' R' F2 B R D2 F2
D' R' F2 B D2 R F2
D' R' B R D2 F2 R
D' R' B R' D2 F2 R
D' R' B R2 D2 F2 R
D' R' B U2 L' B2 U2
D' R' B U2 B2 L' U2
D' R' B D2 R F2 R
D' R' B D2 R' F2 R
D' R' B D2 R2 F2 R
D' R' B D2 F2 R D
D' R' B D2 F2 R D'
D' R' B D2 F2 R D2
D' R' B D2 F2 D R
D' R' B D2 F2 D' R
D' R' B D2 F2 D2 R
D' R' B F2 R D2 F2
D' R' B F2 D2 R F2
D' R' B' L' U2 L B2
D R' B' L' F U2 L
R' U2 D B' L' F U2
R2 U2 D B' L' F U2
R U2 D B' L' F U2
B' R2 L' U L2 U L'
B' R2 L' U2 D' L B2
B' R2 L' D F2 U2 L
B' R2 L' D' U2 L B2
R' U2 B' L' U L2 U
R' U2 B' L' U2 D' B2
R' U2 B' L' D F2 U2
R' U2 B' L' D' U2 B2
D' R2 U2 B' L' U2 B'
R2 U2 B' L' U L2 U
R2 U2 B' L' U2 D' B2
R2 U2 B' L' D F2 U2
R2 U2 B' L' D' U2 B2
D R2 U2 B' L' F U2
R U2 B' L' U L2 U
R U2 B' L' U2 D' B2
R U2 B' L' D F2 U2
R U2 B' L' D' U2 B2
F2 R2 D' R' B D2 F2
D' R2 F2 R B D2 F2
D' R2 B D2 F2 R B
D R2 B' L' F U2 L
B' U L U' L2 U2 L2
R' D U2 B' L' F U2
R2 D U2 B' L' F U2
R D U2 B' L' F U2
R' D B' L' F U2 L
B U R' U L' B2 U2
B U R' U B2 L' U2
B U R' U' D2 F2 R
B U R' D2 U' F2 R
R2 D B' L' F U2 L
R D B' L' F U2 L
B U D2 R' U' F2 R
U2 D B L' F B2 U2
U2 D B L' B2 F U2
U2 D B' L' D F U2
U2 D B' L' D' F U2
U2 D B' L' D2 F U2
U2 D B' L' F U2 D
U2 D B' L' F U2 D'
U2 D B' L' F U2 D2
U2 D B' L' F D U2
U2 D B' L' F D' U2
U2 D B' L' F D2 U2
R' D' R' B D2 F2 R
U2 D B2 L' F B U2
U2 D B2 L' B F U2
R2 D' R' B D2 F2 R
R D' R' B D2 F2 R
L2 D' B2 U' R' F B
L2 D' B2 U' R' B F
L2 D' B2 U' F R' B
U2 D' B' D2 L' F U2
B' U2 L' D F2 U2 F2
B U2 L' B2 U L U
D U2 B L' F B2 U2
D U2 B L' B2 F U2
D' U2 B' D2 L' F U2
D2 U2 B' D' L' F U2
D U2 B' L' D F U2
D U2 B' L' D' F U2
D U2 B' L' D2 F U2
D U2 B' L' F U2 D
D U2 B' L' F U2 D'
D U2 B' L' F U2 D2
D U2 B' L' F D U2
D U2 B' L' F D' U2
