R' U L2 R B U
R' U R L2 B U
R' U R B L2 U
B2 L2 B U L' R'
B2 L2 B U R' L'
D' B' U R' B' L
R' L U L R B U
R' L U R L B U
B2 L D L B' U L'
L' R' U L' R B U
R' L' U L' R B U
L R' U L R B U
L' R' U R L' B U
R' L' U R L' B U
L' R' U R B L' U
R' L' U R B L' U
L R' U R L B U
L2 R' U R B U B'
D' L B' U R' B' L
U' L' R' U B' L' U
B' L' D L' F U R'
R' L2 U R B U B'
B2 L' B L' U L' R'
B2 L' B L' U R' L'
D' L' B' U R' B' L
B2 L2 U L' B R' B'
B' L2 U R' B' L B
B' L2 U B' L B R'
B2 L2 U B R' B' L'
B L2 U' L' U' B' U'
B2 L2 U2 B U' L' R'
B2 L2 U2 B U' R' L'
R' U L' R B L' U
B' L2 D2 F U L' R'
B' L2 D2 F U R' L'
R' U L2 R D B U
R' U L2 R D' B U
R' U L2 R D2 B U
R' U L2 R B U D
R' U L2 R B U D'
R' U L2 R B U D2
R' U L2 R B D U
R' U L2 R B D' U
R' U L2 R B D2 U
R' U L2 D R B U
R' U L2 D' R B U
R' U L2 D2 R B U
R' U L2 B R B U
R' U L2 B' R B U
R' U L2 B2 R B U
R' U R L' B L' U
R' U R L2 D B U
R' U R L2 D' B U
R' U R L2 D2 B U
R' U R L2 B U D
R' U R L2 B U D'
R' U R L2 B U D2
R' U R L2 B D U
R' U R L2 B D' U
R' U R L2 B D2 U
R' U R D' B U B
R' U R B L2 U D
R' U R B L2 U D'
R' U R B L2 U D2
R' U R B L2 D U
R' U R B L2 D' U
R' U R B L2 D2 U
R' U R B U D' B2
R' U R B D' U B2
R' U R B' L2 B2 U
B L2 F2 B U L R
B L2 F2 B U R L
B2 L2 B U L' R' D
B2 L2 B U L' R' D'
B2 L2 B U L' R' D2
B2 L2 B U L' D R'
B2 L2 B U L' D' R'
B2 L2 B U L' D2 R'
B2 L2 B U R' L' D
B2 L2 B U R' L' D'
B2 L2 B U R' L' D2
B2 L2 B U R' D L'
B2 L2 B U R' D' L'
B2 L2 B U R' D2 L'
B2 L2 B U D L' R'
B2 L2 B U D R' L'
B2 L2 B U D' L' R'
B2 L2 B U D' R' L'
B2 L2 B U D2 L' R'
B2 L2 B U D2 R' L'
B L2 B U L D2 R2
B2 L2 B D U L' R'
B2 L2 B D U R' L'
B L2 B U' L' U2 L2
B2 L2 B D' U L' R'
B2 L2 B D' U R' L'
B2 L2 B D2 U L' R'
B2 L2 B D2 U R' L'
B L2 B F2 U L R
B L2 B F2 U R L
D' L2 B' U R' B' L
B2 L2 B' U L' D2 R2
B2 L2 B' U' L U2 L2
B L2 B' U' L' R' U2
B L2 B' U' R' L' U2
R' U D' R B U B
R' U B L2 R B U
R' U B R L2 B U
R' U B R B L2 U
R' U B' L2 R B U
R' U B' R L2 B U
R' U B' R B L2 U
R' U B2 L2 R B U
R' U B2 R L2 B U
R' U B2 R B L2 U
L2 U' L R' U' F U'
L2 U' L' R' U B' U
L2 U' R' L U' F U'
L2 U' R' L' U B' U
L2 U' R' U B' U R'
L2 U' R' U' F U' R
U' R' L' U B' L' U
D' R' U R B U B
F' R' U L2 R B U
U' R' U L2 B' U R'
F' R' U R L2 B U
F' R' U R B L2 U
F2 R' U L2 R B U
F2 R' U R L2 B U
F2 R' U R B L2 U
U' R' U B' L2 U R'
F R' U L2 R B U
F R' U R L2 B U
F R' U R B L2 U
L2 U2 F U R' U2 R2
L2 U2 F U' R D2 L2
L2 U2 F B2 U' L R
L2 U2 F B2 U' R L
L2 U2 F' U L' R' U2
L2 U2 F' U R' L' U2
L2 U2 B2 F U' L R
L2 U2 B2 F U' R L
B2 U L B D' R' B
B' U R' B D' B2 L
B' U R' B' D' L B2
R' D' U R B U B
B U' L U F L U
R2 D' F2 L' B' R' B'
